Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.66197183,621
"Nu: 0.0003, Gamma: 1e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 2e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 3e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 4e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 5e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 6e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 7e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 8e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 9e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.005",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.1",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.2",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.5",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.7",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.9",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.99",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0004, Gamma: 1e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0004, Gamma: 2e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.0004, Gamma: 3e-05",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 4e-05",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 5e-05",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 6e-05",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 7e-05",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 8e-05",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 9e-05",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.005",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.05",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.1",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.2",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.5",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.7",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.9",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.0004, Gamma: 0.99",115,13,4,0,87.12121212,0,40,,,
"Nu: 0.005, Gamma: 1e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.005, Gamma: 2e-05",115,12,4,1,87.87878788,0,40,,,
"Nu: 0.005, Gamma: 3e-05",119,13,0,0,90.15151515,0,40,,,
"Nu: 0.005, Gamma: 4e-05",119,13,0,0,90.15151515,0,40,,,
