Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.4545125,303
"Nu: 0.05, Gamma: 0.0625",465,37,3919,1098,28.32034789,0,40,,,
"Nu: 0.05, Gamma: 0.1",465,37,3821,1196,30.09603189,0,40,,,
"Nu: 0.05, Gamma: 0.2",464,38,3557,1460,34.86138793,0,40,,,
"Nu: 0.05, Gamma: 0.5",464,38,2643,2374,51.42235912,0,40,,,
"Nu: 0.05, Gamma: 0.7",467,35,2859,2158,47.56296431,0,40,,,
"Nu: 0.05, Gamma: 0.9",466,36,3012,2005,44.77260373,0,40,,,
"Nu: 0.05, Gamma: 0.99",467,35,3081,1936,43.54049647,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",416,86,3132,1885,41.69233557,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",426,76,3349,1668,37.9416561,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",426,76,3346,1671,37.99601377,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",426,76,3340,1677,38.10472912,0,40,,,
"Nu: 0.0625, Gamma: 0.005",460,42,3922,1095,28.17539409,0,40,,,
"Nu: 0.0625, Gamma: 0.05",456,46,3734,1283,31.5093314,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",456,46,3704,1313,32.05290814,0,40,,,
"Nu: 0.0625, Gamma: 0.1",445,57,3347,1670,38.32215981,0,40,,,
"Nu: 0.0625, Gamma: 0.2",444,58,2865,2152,47.03750679,0,40,,,
"Nu: 0.0625, Gamma: 0.5",457,45,2700,2317,50.26272876,0,40,,,
"Nu: 0.0625, Gamma: 0.7",461,41,2909,2108,46.54828773,0,40,,,
"Nu: 0.0625, Gamma: 0.9",458,44,3153,1864,42.07283928,0,40,,,
"Nu: 0.0625, Gamma: 0.99",460,42,3255,1762,40.26091683,0,40,,,
"Nu: 0.1, Gamma: 0.0001",52,450,213,4804,87.98695416,0,40,,,
"Nu: 0.1, Gamma: 0.0002",94,408,615,4402,81.46403334,0,40,,,
"Nu: 0.1, Gamma: 0.0003",76,426,434,4583,84.41746693,0,40,,,
"Nu: 0.1, Gamma: 0.0004",94,408,545,4472,82.73237905,0,40,,,
"Nu: 0.1, Gamma: 0.005",95,407,578,4439,82.15256387,0,40,,,
"Nu: 0.1, Gamma: 0.05",447,55,3262,1755,39.89853234,0,40,,,
"Nu: 0.1, Gamma: 0.0625",397,105,2405,2612,54.52074651,0,40,,,
"Nu: 0.1, Gamma: 0.1",445,57,2910,2107,46.24026092,0,40,,,
"Nu: 0.1, Gamma: 0.2",440,62,2408,2609,55.24551549,0,40,,,
"Nu: 0.1, Gamma: 0.5",441,61,2783,2234,48.46892553,0,40,,,
"Nu: 0.1, Gamma: 0.7",438,64,3050,1967,43.57673492,0,40,,,
"Nu: 0.1, Gamma: 0.9",443,59,3530,1487,34.97010328,0,40,,,
"Nu: 0.1, Gamma: 0.99",443,59,3631,1386,33.14006161,0,40,,,
"Nu: 0.2, Gamma: 0.0001",75,427,361,4656,85.7220511,0,40,,,
"Nu: 0.2, Gamma: 0.0002",99,403,494,4523,83.74705563,0,40,,,
"Nu: 0.2, Gamma: 0.0003",118,384,548,4469,83.11288277,0,40,,,
"Nu: 0.2, Gamma: 0.0004",116,386,545,4472,83.13100199,0,40,,,
"Nu: 0.2, Gamma: 0.005",185,317,780,4237,80.12321073,0,40,,,
"Nu: 0.2, Gamma: 0.05",387,115,1767,3250,65.8996195,0,40,,,
"Nu: 0.2, Gamma: 0.0625",402,100,1912,3105,63.54412031,0,40,,,
"Nu: 0.2, Gamma: 0.1",398,104,1934,3083,63.07302047,0,40,,,
"Nu: 0.2, Gamma: 0.2",396,106,2017,3000,61.53288639,0,40,,,
"Nu: 0.2, Gamma: 0.5",401,101,2612,2405,50.84254394,0,40,,,
"Nu: 0.2, Gamma: 0.7",399,103,2711,2306,49.01250226,0,40,,,
"Nu: 0.2, Gamma: 0.9",402,100,2893,2124,45.76916108,0,40,,,
"Nu: 0.2, Gamma: 0.99",400,102,2889,2128,45.80539953,0,40,,,
"Nu: 0.5, Gamma: 0.0001",495,7,4992,25,9.421996739,0,40,,,
"Nu: 0.5, Gamma: 0.0002",494,8,4987,30,9.494473637,0,40,,,
"Nu: 0.5, Gamma: 0.0003",494,8,4987,30,9.494473637,0,40,,,
"Nu: 0.5, Gamma: 0.0004",494,8,4978,39,9.657546657,0,40,,,
"Nu: 0.5, Gamma: 0.005",310,192,989,4028,78.60119587,0,40,,,
"Nu: 0.5, Gamma: 0.05",224,278,491,4526,86.06631636,0,40,,,
"Nu: 0.5, Gamma: 0.0625",238,264,490,4527,86.33810473,0,40,,,
"Nu: 0.5, Gamma: 0.1",239,263,440,4577,87.26218518,0,40,,,
"Nu: 0.5, Gamma: 0.2",254,248,402,4615,88.22250408,0,40,,,
"Nu: 0.5, Gamma: 0.5",251,251,355,4662,89.01974995,0,40,,,
"Nu: 0.5, Gamma: 0.7",248,254,352,4665,89.01974995,0,40,,,
"Nu: 0.5, Gamma: 0.9",253,249,360,4657,88.96539228,0,40,,,
"Nu: 0.5, Gamma: 0.99",251,251,355,4662,89.01974995,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.7, Gamma: 0.0002",25,477,75,4942,89.99818808,0,40,,,
"Nu: 0.7, Gamma: 0.0003",21,481,60,4957,90.19749955,0,40,,,
"Nu: 0.7, Gamma: 0.0004",25,477,73,4944,90.03442653,0,40,,,
"Nu: 0.7, Gamma: 0.005",153,349,256,4761,89.03786918,0,40,,,
"Nu: 0.7, Gamma: 0.05",156,346,224,4793,89.67204204,0,40,,,
"Nu: 0.7, Gamma: 0.0625",157,345,219,4798,89.78075738,0,40,,,
"Nu: 0.7, Gamma: 0.1",157,345,206,4811,90.0163073,0,40,,,
"Nu: 0.7, Gamma: 0.2",135,367,144,4873,90.74107628,0,40,,,
"Nu: 0.7, Gamma: 0.5",144,358,98,4919,91.73763363,0,40,,,
"Nu: 0.7, Gamma: 0.7",143,359,77,4940,92.10001812,0,40,,,
"Nu: 0.7, Gamma: 0.9",148,354,76,4941,92.20873347,0,40,,,
"Nu: 0.7, Gamma: 0.99",144,358,69,4948,92.26309114,0,40,,HERE,
"Nu: 0.9, Gamma: 0.0001",426,76,4041,976,25.40315275,0,40,,,
"Nu: 0.9, Gamma: 0.0002",474,28,4628,389,15.63689074,0,40,,,
"Nu: 0.9, Gamma: 0.0003",455,47,4364,653,20.07610074,0,40,,,
"Nu: 0.9, Gamma: 0.0004",470,32,4542,475,17.12266715,0,40,,,
"Nu: 0.9, Gamma: 0.005",8,494,17,5000,90.74107628,0,40,,,
"Nu: 0.9, Gamma: 0.05",28,474,52,4965,90.46928791,0,40,,,
"Nu: 0.9, Gamma: 0.0625",33,469,63,4954,90.36057257,0,40,,,
"Nu: 0.9, Gamma: 0.1",44,458,55,4962,90.70483783,0,40,,,
"Nu: 0.9, Gamma: 0.2",46,456,21,4996,91.35712991,0,40,,,
"Nu: 0.9, Gamma: 0.5",54,448,2,5015,91.84634898,0,40,,,
"Nu: 0.9, Gamma: 0.7",50,452,1,5016,91.7919913,0,40,,,
"Nu: 0.9, Gamma: 0.9",54,448,1,5016,91.8644682,0,40,,,
"Nu: 0.9, Gamma: 0.99",51,451,1,5016,91.81011053,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.99, Gamma: 0.0002",482,20,4741,276,13.73437217,0,40,,,
"Nu: 0.99, Gamma: 0.0003",432,70,4114,903,24.1891647,0,40,,,
"Nu: 0.99, Gamma: 0.0004",423,79,3887,1130,28.13915564,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.99, Gamma: 0.05",8,494,6,5011,90.94038775,0,40,,,
"Nu: 0.99, Gamma: 0.0625",9,493,6,5011,90.95850698,0,40,,,
"Nu: 0.99, Gamma: 0.1",6,496,3,5014,90.95850698,0,40,,,
"Nu: 0.99, Gamma: 0.2",4,498,0,5017,90.9766262,0,40,,,
"Nu: 0.99, Gamma: 0.5",3,499,0,5017,90.95850698,0,40,,,
"Nu: 0.99, Gamma: 0.7",2,500,0,5017,90.94038775,0,40,,,
"Nu: 0.99, Gamma: 0.9",4,498,0,5017,90.9766262,0,40,,,
"Nu: 0.99, Gamma: 0.99",5,497,0,5017,90.99474542,0,40,,,
,,,,,,,,,,
Target Class: x264_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",29,473,259,4757,86.73432403,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",29,473,259,4757,86.73432403,0,40,,,
"Nu: 0.0001, Gamma: 0.005",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0001, Gamma: 0.05",255,247,2533,2483,49.61942733,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",390,112,4024,992,25.04530627,0,40,,,
"Nu: 0.0001, Gamma: 0.1",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0001, Gamma: 0.2",502,0,5009,7,9.224356651,0,40,,,
"Nu: 0.0001, Gamma: 0.5",501,1,5002,14,9.3330917,0,40,,,
"Nu: 0.0001, Gamma: 0.7",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0001, Gamma: 0.9",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0001, Gamma: 0.99",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",29,473,261,4755,86.69807901,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",29,473,259,4757,86.73432403,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",29,473,259,4757,86.73432403,0,40,,,
"Nu: 0.0002, Gamma: 0.005",122,380,966,4050,75.60710402,0,40,,,
"Nu: 0.0002, Gamma: 0.05",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0002, Gamma: 0.1",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0002, Gamma: 0.2",502,0,5009,7,9.224356651,0,40,,,
"Nu: 0.0002, Gamma: 0.5",501,1,5002,14,9.3330917,0,40,,,
"Nu: 0.0002, Gamma: 0.7",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0002, Gamma: 0.9",501,1,5000,16,9.369336716,0,40,,,
"Nu: 0.0002, Gamma: 0.99",501,1,5000,16,9.369336716,0,40,,,
