Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.82608696,184
"Nu: 0.99, Gamma: 0.9",0,5,0,30,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,5,0,30,85.71428571,0,40,,,
,,,,,,,,,,
Target Class: swaptions_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,0,4,39,91.30434783,0,40,,,
"Nu: 0.0001, Gamma: 0.2",0,3,1,42,91.30434783,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.0001, Gamma: 0.9",1,2,2,41,91.30434783,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,3,2,41,89.13043478,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,0,2,41,95.65217391,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,0,2,41,95.65217391,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,0,4,39,91.30434783,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,2,3,40,89.13043478,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,3,3,40,86.95652174,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,3,3,40,86.95652174,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0002, Gamma: 0.99",0,3,3,40,86.95652174,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,0,2,41,95.65217391,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,0,15,28,67.39130435,0,40,,,
"Nu: 0.0003, Gamma: 0.1",2,1,5,38,86.95652174,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,1,2,41,93.47826087,0,40,,,
"Nu: 0.0003, Gamma: 0.5",0,3,3,40,86.95652174,0,40,,,
