Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.82608696,184
"Nu: 0.99, Gamma: 0.0002",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.99, Gamma: 0.0003",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.99, Gamma: 0.0004",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,3,0,43,93.47826087,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.0001, Gamma: 0.005",5,0,28,2,20,10,40,,,
"Nu: 0.0001, Gamma: 0.05",5,0,28,2,20,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,1,28,2,17.14285714,10,40,,,
"Nu: 0.0001, Gamma: 0.1",4,1,28,2,17.14285714,10,40,,,
"Nu: 0.0001, Gamma: 0.2",4,1,23,7,31.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.5",4,1,18,12,45.71428571,10,40,,,
"Nu: 0.0001, Gamma: 0.7",3,2,17,13,45.71428571,10,40,,,
"Nu: 0.0001, Gamma: 0.9",3,2,14,16,54.28571429,10,40,,,
"Nu: 0.0001, Gamma: 0.99",3,2,2,28,88.57142857,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",5,0,28,2,20,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",5,0,28,2,20,10,40,,,
"Nu: 0.0002, Gamma: 0.005",5,0,28,2,20,10,40,,,
"Nu: 0.0002, Gamma: 0.05",5,0,28,2,20,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,1,28,2,17.14285714,10,40,,,
"Nu: 0.0002, Gamma: 0.1",4,1,28,2,17.14285714,10,40,,,
"Nu: 0.0002, Gamma: 0.2",4,1,23,7,31.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.5",4,1,18,12,45.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.7",3,2,17,13,45.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.9",3,2,14,16,54.28571429,10,40,,,
"Nu: 0.0002, Gamma: 0.99",3,2,6,24,77.14285714,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",5,0,28,2,20,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",5,0,28,2,20,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",5,0,28,2,20,10,40,,,
"Nu: 0.0003, Gamma: 0.005",5,0,28,2,20,10,40,,,
"Nu: 0.0003, Gamma: 0.05",5,0,28,2,20,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,1,26,4,22.85714286,10,40,,,
"Nu: 0.0003, Gamma: 0.1",4,1,28,2,17.14285714,10,40,,,
"Nu: 0.0003, Gamma: 0.2",4,1,23,7,31.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.5",4,1,20,10,40,10,40,,,
"Nu: 0.0003, Gamma: 0.7",3,2,19,11,40,10,40,,,
"Nu: 0.0003, Gamma: 0.9",3,2,14,16,54.28571429,10,40,,,
"Nu: 0.0003, Gamma: 0.99",3,2,8,22,71.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",5,0,28,2,20,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",5,0,28,2,20,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",5,0,28,2,20,10,40,,,
"Nu: 0.0004, Gamma: 0.005",5,0,28,2,20,10,40,,,
"Nu: 0.0004, Gamma: 0.05",5,0,28,2,20,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,1,28,2,17.14285714,10,40,,,
"Nu: 0.0004, Gamma: 0.1",4,1,28,2,17.14285714,10,40,,,
"Nu: 0.0004, Gamma: 0.2",4,1,23,7,31.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.5",4,1,20,10,40,10,40,,,
"Nu: 0.0004, Gamma: 0.7",3,2,19,11,40,10,40,,,
"Nu: 0.0004, Gamma: 0.9",3,2,14,16,54.28571429,10,40,,,
"Nu: 0.0004, Gamma: 0.99",3,2,11,19,62.85714286,10,40,,,
"Nu: 0.005, Gamma: 0.0001",5,0,28,2,20,10,40,,,
"Nu: 0.005, Gamma: 0.0002",5,0,30,0,14.28571429,10,40,,,
"Nu: 0.005, Gamma: 0.0003",5,0,30,0,14.28571429,10,40,,,
"Nu: 0.005, Gamma: 0.0004",5,0,30,0,14.28571429,10,40,,,
"Nu: 0.005, Gamma: 0.005",5,0,30,0,14.28571429,10,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,26,4,25.71428571,10,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,28,2,20,10,40,,,
"Nu: 0.005, Gamma: 0.1",4,1,26,4,22.85714286,10,40,,,
"Nu: 0.005, Gamma: 0.2",4,1,25,5,25.71428571,10,40,,,
"Nu: 0.005, Gamma: 0.5",4,1,20,10,40,10,40,,,
"Nu: 0.005, Gamma: 0.7",3,2,19,11,40,10,40,,,
"Nu: 0.005, Gamma: 0.9",3,2,14,16,54.28571429,10,40,,,
"Nu: 0.005, Gamma: 0.99",3,2,6,24,77.14285714,10,40,,,
"Nu: 0.05, Gamma: 0.0001",5,0,28,2,20,10,40,,,
"Nu: 0.05, Gamma: 0.0002",5,0,30,0,14.28571429,10,40,,,
"Nu: 0.05, Gamma: 0.0003",5,0,28,2,20,10,40,,,
"Nu: 0.05, Gamma: 0.0004",5,0,28,2,20,10,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,28,2,20,10,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,26,4,25.71428571,10,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,26,4,25.71428571,10,40,,,
"Nu: 0.05, Gamma: 0.1",4,1,26,4,22.85714286,10,40,,,
"Nu: 0.05, Gamma: 0.2",4,1,25,5,25.71428571,10,40,,,
"Nu: 0.05, Gamma: 0.5",4,1,18,12,45.71428571,10,40,,,
"Nu: 0.05, Gamma: 0.7",3,2,17,13,45.71428571,10,40,,,
"Nu: 0.05, Gamma: 0.9",3,2,16,14,48.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.99",3,2,4,26,82.85714286,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",5,0,28,2,20,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",5,0,28,2,20,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,28,2,20,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,28,2,20,10,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,28,2,20,10,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,28,2,20,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,26,4,25.71428571,10,40,,,
"Nu: 0.0625, Gamma: 0.1",4,1,28,2,17.14285714,10,40,,,
"Nu: 0.0625, Gamma: 0.2",4,1,25,5,25.71428571,10,40,,,
"Nu: 0.0625, Gamma: 0.5",4,1,20,10,40,10,40,,,
"Nu: 0.0625, Gamma: 0.7",3,2,17,13,45.71428571,10,40,,,
"Nu: 0.0625, Gamma: 0.9",3,2,16,14,48.57142857,10,40,,,
"Nu: 0.0625, Gamma: 0.99",3,2,4,26,82.85714286,10,40,,,
"Nu: 0.1, Gamma: 0.0001",5,0,27,3,22.85714286,10,40,,,
"Nu: 0.1, Gamma: 0.0002",5,0,29,1,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0003",5,0,29,1,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,29,1,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,27,3,22.85714286,10,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,28,2,20,10,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,28,2,20,10,40,,,
"Nu: 0.1, Gamma: 0.1",4,1,28,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.2",4,1,23,7,31.42857143,10,40,,,
"Nu: 0.1, Gamma: 0.5",4,1,20,10,40,10,40,,,
"Nu: 0.1, Gamma: 0.7",3,2,17,13,45.71428571,10,40,,,
"Nu: 0.1, Gamma: 0.9",3,2,16,14,48.57142857,10,40,,,
"Nu: 0.1, Gamma: 0.99",3,2,11,19,62.85714286,10,40,,,
"Nu: 0.2, Gamma: 0.0001",5,0,24,6,31.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.0002",5,0,24,6,31.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.0003",5,0,24,6,31.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.0004",5,0,24,6,31.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.005",5,0,24,6,31.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.05",5,0,23,7,34.28571429,10,40,,,
"Nu: 0.2, Gamma: 0.0625",5,0,23,7,34.28571429,10,40,,,
"Nu: 0.2, Gamma: 0.1",4,1,25,5,25.71428571,10,40,,,
"Nu: 0.2, Gamma: 0.2",4,1,21,9,37.14285714,10,40,,,
"Nu: 0.2, Gamma: 0.5",4,1,20,10,40,10,40,,,
"Nu: 0.2, Gamma: 0.7",3,2,17,13,45.71428571,10,40,,,
"Nu: 0.2, Gamma: 0.9",3,2,16,14,48.57142857,10,40,,,
"Nu: 0.2, Gamma: 0.99",3,2,2,28,88.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.0001",5,0,22,8,37.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.0002",5,0,22,8,37.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.0003",5,0,22,8,37.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.0004",5,0,22,8,37.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.005",5,0,22,8,37.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.05",4,1,19,11,42.85714286,10,40,,,
"Nu: 0.5, Gamma: 0.0625",4,1,19,11,42.85714286,10,40,,,
"Nu: 0.5, Gamma: 0.1",3,2,19,11,40,10,40,,,
"Nu: 0.5, Gamma: 0.2",3,2,16,14,48.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.5",3,2,0,30,94.28571429,10,40,,,
"Nu: 0.5, Gamma: 0.7",3,2,0,30,94.28571429,10,40,,,
"Nu: 0.5, Gamma: 0.9",3,2,0,30,94.28571429,10,40,,,
"Nu: 0.5, Gamma: 0.99",3,2,2,28,88.57142857,10,40,,,
"Nu: 0.7, Gamma: 0.0001",3,2,21,9,34.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0002",3,2,21,9,34.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0003",3,2,21,9,34.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0004",3,2,21,9,34.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.005",3,2,21,9,34.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.05",3,2,19,11,40,10,40,,,
"Nu: 0.7, Gamma: 0.0625",3,2,19,11,40,10,40,,,
"Nu: 0.7, Gamma: 0.1",3,2,18,12,42.85714286,10,40,,,
"Nu: 0.7, Gamma: 0.2",3,2,15,15,51.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.5",2,3,0,30,91.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.7",2,3,0,30,91.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.9",2,3,0,30,91.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.99",2,3,0,30,91.42857143,10,40,,,
"Nu: 0.9, Gamma: 0.0001",1,4,19,11,34.28571429,10,40,,,
"Nu: 0.9, Gamma: 0.0002",1,4,19,11,34.28571429,10,40,,,
"Nu: 0.9, Gamma: 0.0003",1,4,19,11,34.28571429,10,40,,,
"Nu: 0.9, Gamma: 0.0004",1,4,19,11,34.28571429,10,40,,,
"Nu: 0.9, Gamma: 0.005",1,4,19,11,34.28571429,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,5,18,12,34.28571429,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,5,18,12,34.28571429,10,40,,,
"Nu: 0.9, Gamma: 0.1",1,4,16,14,42.85714286,10,40,,,
"Nu: 0.9, Gamma: 0.2",2,3,11,19,60,10,40,,,
"Nu: 0.9, Gamma: 0.5",2,3,0,30,91.42857143,10,40,,,
"Nu: 0.9, Gamma: 0.7",2,3,0,30,91.42857143,10,40,,,
"Nu: 0.9, Gamma: 0.9",2,3,0,30,91.42857143,10,40,,,
"Nu: 0.9, Gamma: 0.99",2,3,0,30,91.42857143,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,5,2,28,80,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,5,2,28,80,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,5,2,28,80,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,5,2,28,80,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,5,2,28,80,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,5,2,28,80,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,5,3,27,77.14285714,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,5,8,22,62.85714286,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,5,1,29,82.85714286,10,40,,,
"Nu: 0.99, Gamma: 0.5",1,4,0,30,88.57142857,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,5,0,30,85.71428571,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,5,0,30,85.71428571,10,40,,,
,,,,,,,,,,
Target Class: swaptions_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0001, Gamma: 0.005",3,0,32,11,30.43478261,10,40,,,
"Nu: 0.0001, Gamma: 0.05",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.0001, Gamma: 0.1",2,1,26,17,41.30434783,10,40,,,
"Nu: 0.0001, Gamma: 0.2",2,1,19,24,56.52173913,10,40,,,
"Nu: 0.0001, Gamma: 0.5",2,1,15,28,65.2173913,10,40,,,
"Nu: 0.0001, Gamma: 0.7",2,1,3,40,91.30434783,10,40,,,
"Nu: 0.0001, Gamma: 0.9",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.0001, Gamma: 0.99",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0002, Gamma: 0.005",3,0,32,11,30.43478261,10,40,,,
"Nu: 0.0002, Gamma: 0.05",3,0,37,6,19.56521739,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,0,33,10,28.26086957,10,40,,,
"Nu: 0.0002, Gamma: 0.1",2,1,26,17,41.30434783,10,40,,,
"Nu: 0.0002, Gamma: 0.2",3,0,21,22,54.34782609,10,40,,,
"Nu: 0.0002, Gamma: 0.5",2,1,14,29,67.39130435,10,40,,,
"Nu: 0.0002, Gamma: 0.7",2,1,3,40,91.30434783,10,40,,,
"Nu: 0.0002, Gamma: 0.9",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.0002, Gamma: 0.99",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0003, Gamma: 0.005",3,0,32,11,30.43478261,10,40,,,
"Nu: 0.0003, Gamma: 0.05",3,0,37,6,19.56521739,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,0,33,10,28.26086957,10,40,,,
"Nu: 0.0003, Gamma: 0.1",2,1,26,17,41.30434783,10,40,,,
"Nu: 0.0003, Gamma: 0.2",3,0,21,22,54.34782609,10,40,,,
"Nu: 0.0003, Gamma: 0.5",3,0,16,27,65.2173913,10,40,,,
"Nu: 0.0003, Gamma: 0.7",1,2,1,42,93.47826087,10,40,,,
"Nu: 0.0003, Gamma: 0.9",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.0003, Gamma: 0.99",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,3,0,43,93.47826087,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",3,0,7,36,84.7826087,10,40,,,
"Nu: 0.0004, Gamma: 0.005",3,0,41,2,10.86956522,10,40,,,
"Nu: 0.0004, Gamma: 0.05",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,0,39,4,15.2173913,10,40,,,
"Nu: 0.0004, Gamma: 0.1",2,1,26,17,41.30434783,10,40,,,
"Nu: 0.0004, Gamma: 0.2",2,1,19,24,56.52173913,10,40,,,
"Nu: 0.0004, Gamma: 0.5",3,0,16,27,65.2173913,10,40,,,
"Nu: 0.0004, Gamma: 0.7",1,2,1,42,93.47826087,10,40,,,
"Nu: 0.0004, Gamma: 0.9",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.0004, Gamma: 0.99",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.005, Gamma: 0.0001",2,1,22,21,50,10,40,,,
"Nu: 0.005, Gamma: 0.0002",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.005, Gamma: 0.0003",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.005, Gamma: 0.0004",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.005, Gamma: 0.005",3,0,41,2,10.86956522,10,40,,,
"Nu: 0.005, Gamma: 0.05",2,1,36,7,19.56521739,10,40,,,
"Nu: 0.005, Gamma: 0.0625",2,1,32,11,28.26086957,10,40,,,
"Nu: 0.005, Gamma: 0.1",2,1,26,17,41.30434783,10,40,,,
"Nu: 0.005, Gamma: 0.2",3,0,21,22,54.34782609,10,40,,,
"Nu: 0.005, Gamma: 0.5",3,0,16,27,65.2173913,10,40,,,
"Nu: 0.005, Gamma: 0.7",1,2,1,42,93.47826087,10,40,,,
"Nu: 0.005, Gamma: 0.9",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.005, Gamma: 0.99",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.05, Gamma: 0.0001",2,1,32,11,28.26086957,10,40,,,
"Nu: 0.05, Gamma: 0.0002",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.05, Gamma: 0.0003",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.05, Gamma: 0.0004",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.05, Gamma: 0.005",3,0,41,2,10.86956522,10,40,,,
"Nu: 0.05, Gamma: 0.05",3,0,30,13,34.7826087,10,40,,,
"Nu: 0.05, Gamma: 0.0625",2,1,27,16,39.13043478,10,40,,,
"Nu: 0.05, Gamma: 0.1",2,1,20,23,54.34782609,10,40,,,
"Nu: 0.05, Gamma: 0.2",2,1,18,25,58.69565217,10,40,,,
"Nu: 0.05, Gamma: 0.5",3,0,4,39,91.30434783,10,40,,,
"Nu: 0.05, Gamma: 0.7",2,1,3,40,91.30434783,10,40,,,
"Nu: 0.05, Gamma: 0.9",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.05, Gamma: 0.99",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.0625, Gamma: 0.005",3,0,42,1,8.695652174,10,40,,,
"Nu: 0.0625, Gamma: 0.05",2,1,27,16,39.13043478,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,1,27,16,39.13043478,10,40,,,
"Nu: 0.0625, Gamma: 0.1",3,0,22,21,52.17391304,10,40,,,
"Nu: 0.0625, Gamma: 0.2",3,0,20,23,56.52173913,10,40,,,
"Nu: 0.0625, Gamma: 0.5",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.0625, Gamma: 0.7",1,2,1,42,93.47826087,10,40,,,
"Nu: 0.0625, Gamma: 0.9",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.0625, Gamma: 0.99",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.1, Gamma: 0.0001",2,1,25,18,43.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.0002",2,1,25,18,43.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.0003",2,1,25,18,43.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.0004",2,1,25,18,43.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.005",2,1,25,18,43.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.05",2,1,24,19,45.65217391,10,40,,,
"Nu: 0.1, Gamma: 0.0625",2,1,25,18,43.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.1",3,0,21,22,54.34782609,10,40,,,
"Nu: 0.1, Gamma: 0.2",2,1,17,26,60.86956522,10,40,,,
"Nu: 0.1, Gamma: 0.5",3,0,3,40,93.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.7",1,2,1,42,93.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.9",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.99",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.2, Gamma: 0.0001",2,1,20,23,54.34782609,10,40,,,
"Nu: 0.2, Gamma: 0.0002",2,1,20,23,54.34782609,10,40,,,
"Nu: 0.2, Gamma: 0.0003",2,1,20,23,54.34782609,10,40,,,
"Nu: 0.2, Gamma: 0.0004",2,1,20,23,54.34782609,10,40,,,
"Nu: 0.2, Gamma: 0.005",2,1,20,23,54.34782609,10,40,,,
"Nu: 0.2, Gamma: 0.05",2,1,17,26,60.86956522,10,40,,,
"Nu: 0.2, Gamma: 0.0625",2,1,17,26,60.86956522,10,40,,,
"Nu: 0.2, Gamma: 0.1",2,1,17,26,60.86956522,10,40,,,
"Nu: 0.2, Gamma: 0.2",2,1,14,29,67.39130435,10,40,,,
"Nu: 0.2, Gamma: 0.5",2,1,1,42,95.65217391,10,40,,,
"Nu: 0.2, Gamma: 0.7",2,1,3,40,91.30434783,10,40,,,
"Nu: 0.2, Gamma: 0.9",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.2, Gamma: 0.99",2,1,2,41,93.47826087,10,40,,,
"Nu: 0.5, Gamma: 0.0001",2,1,0,43,97.82608696,10,40,,,
"Nu: 0.5, Gamma: 0.0002",2,1,0,43,97.82608696,10,40,,,
"Nu: 0.5, Gamma: 0.0003",2,1,0,43,97.82608696,10,40,,,
"Nu: 0.5, Gamma: 0.0004",2,1,0,43,97.82608696,10,40,,,
"Nu: 0.5, Gamma: 0.005",2,1,0,43,97.82608696,10,40,,,
"Nu: 0.5, Gamma: 0.05",2,1,0,43,97.82608696,10,40,,,
"Nu: 0.5, Gamma: 0.0625",2,1,0,43,97.82608696,10,40,,,
"Nu: 0.5, Gamma: 0.1",2,1,0,43,97.82608696,10,40,,,
"Nu: 0.5, Gamma: 0.2",2,1,0,43,97.82608696,10,40,,,
"Nu: 0.5, Gamma: 0.5",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.5, Gamma: 0.7",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.5, Gamma: 0.9",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.5, Gamma: 0.99",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.0001",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.0002",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.0003",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.0004",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.005",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.05",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.0625",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.1",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.2",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.5",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.7",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.9",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.99",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.0001",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.0002",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.0003",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.0004",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.005",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.05",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.0625",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.1",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.2",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.5",1,2,0,43,95.65217391,10,40,,,
"Nu: 0.9, Gamma: 0.7",1,2,0,43,95.65217391,10,40,,,
