ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
57,3.0,10383.0,13.0,128.0,3.0,1033.0,15.0,104.0,3.0,3.0,129.0,1.0,8.0,1619.0,3.0,ferret
84,6.0,5359.0,15.0,117.0,7.0,1054.0,13.0,125.0,6.0,3.0,121.0,6.0,6.0,1612.0,6.0,ferret
86,2.0,1265.0,11.0,113.0,8.0,1011.0,17.0,148.0,3.0,6.0,138.0,4.0,6.0,1591.0,8.0,ferret
97,6.0,1267.0,17.0,203.0,4.0,1027.0,22.0,173.0,7.0,3.0,134.0,3.0,7.0,1651.0,6.0,ferret
304,142.0,1150.0,148.0,152.0,105.0,3382.0,81.0,117.0,140.0,26.0,53.0,99.0,107.0,235.0,124.0,ferret
79,6.0,1083.0,19.0,24.0,7.0,11563.0,17.0,21.0,19.0,5.0,20.0,7.0,5.0,46.0,7.0,ferret
27,3.0,1571.0,14.0,18.0,1.0,15636.0,2.0,15.0,16.0,3.0,18.0,1.0,1.0,36.0,4.0,ferret
73,6.0,4011.0,26.0,18.0,6.0,13393.0,14.0,18.0,20.0,4.0,19.0,4.0,6.0,61.0,6.0,ferret
83,7.0,5534.0,26.0,18.0,9.0,8783.0,11.0,19.0,33.0,8.0,19.0,9.0,9.0,65.0,9.0,ferret
61,6.0,5609.0,27.0,25.0,7.0,5474.0,17.0,26.0,23.0,6.0,18.0,6.0,7.0,55.0,9.0,ferret
23,0.0,3902.0,15.0,15.0,0.0,4025.0,10.0,15.0,18.0,2.0,13.0,1.0,1.0,38.0,2.0,ferret
47,4.0,1351.0,21.0,19.0,4.0,1368.0,5.0,19.0,18.0,2.0,13.0,5.0,3.0,40.0,6.0,ferret
69,3.0,1102.0,25.0,21.0,4.0,995.0,14.0,15.0,17.0,3.0,18.0,4.0,4.0,41.0,5.0,ferret
69,6.0,1943.0,25.0,29.0,3.0,1019.0,5.0,21.0,13.0,9.0,20.0,9.0,4.0,68.0,11.0,ferret
19,5.0,7266.0,21.0,20.0,4.0,900.0,11.0,17.0,20.0,1.0,14.0,4.0,2.0,60.0,5.0,ferret
26,1.0,13021.0,14.0,16.0,4.0,882.0,2.0,11.0,10.0,2.0,11.0,6.0,6.0,40.0,3.0,ferret
48,5.0,11704.0,23.0,17.0,4.0,937.0,7.0,15.0,24.0,3.0,20.0,4.0,7.0,62.0,6.0,ferret
60,8.0,6565.0,27.0,17.0,5.0,964.0,11.0,14.0,14.0,5.0,15.0,7.0,6.0,36.0,9.0,ferret
95,7.0,1067.0,47.0,25.0,6.0,889.0,11.0,19.0,64.0,6.0,17.0,9.0,7.0,81.0,11.0,ferret
64,6.0,1042.0,24.0,21.0,7.0,901.0,11.0,21.0,37.0,4.0,12.0,4.0,6.0,69.0,10.0,ferret
253,137.0,1497.0,106.0,86.0,80.0,4668.0,46.0,105.0,103.0,37.0,30.0,88.0,92.0,94.0,85.0,ferret
79,8.0,1509.0,15.0,7.0,5.0,10736.0,5.0,7.0,7.0,6.0,4.0,6.0,10.0,18.0,7.0,ferret
