Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.54014599,14
"Nu: 0.05, Gamma: 0.5",2,2,44,89,66.42335766,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,2,33,100,74.45255474,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,2,24,109,81.02189781,0,40,,,
"Nu: 0.05, Gamma: 0.99",2,2,23,110,81.75182482,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",0,4,2,131,95.62043796,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",0,4,2,131,95.62043796,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,1,61,72,54.74452555,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,1,61,72,54.74452555,0,40,,,
"Nu: 0.0625, Gamma: 0.005",3,1,61,72,54.74452555,0,40,,,
"Nu: 0.0625, Gamma: 0.05",3,1,59,74,56.20437956,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,1,57,76,57.66423358,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,1,55,78,59.12408759,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,54,79,59.8540146,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,44,89,66.42335766,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,33,100,74.45255474,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,2,24,109,81.02189781,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,2,23,110,81.75182482,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,43,90,67.88321168,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,53,80,60.58394161,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,53,80,60.58394161,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,1,53,80,60.58394161,0,40,,,
"Nu: 0.1, Gamma: 0.005",3,1,58,75,56.93430657,0,40,,,
"Nu: 0.1, Gamma: 0.05",3,1,56,77,58.39416058,0,40,,,
"Nu: 0.1, Gamma: 0.0625",3,1,55,78,59.12408759,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,54,79,59.8540146,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,1,54,79,59.8540146,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,44,89,66.42335766,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,33,100,74.45255474,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,24,109,81.02189781,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,2,23,110,81.75182482,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,37,96,72.26277372,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,39,94,70.80291971,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,54,79,59.8540146,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,54,79,59.8540146,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,54,79,59.8540146,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,53,80,60.58394161,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,53,80,60.58394161,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,53,80,60.58394161,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,54,79,59.8540146,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,43,90,67.15328467,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,2,33,100,74.45255474,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,2,24,109,81.02189781,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,23,110,81.75182482,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,1,44,89,67.15328467,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,1,34,99,74.45255474,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,34,99,74.45255474,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,34,99,74.45255474,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,34,99,74.45255474,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,32,101,75.18248175,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,31,102,75.91240876,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,29,104,77.37226277,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,18,115,85.40145985,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,15,118,87.59124088,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,15,118,87.59124088,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,15,118,87.59124088,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,14,119,88.32116788,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,8,125,91.24087591,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,4,9,124,90.51094891,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,4,8,125,91.24087591,0,40,,,
"Nu: 0.7, Gamma: 0.0004",0,4,14,119,86.86131387,0,40,,,
"Nu: 0.7, Gamma: 0.005",0,4,13,120,87.59124088,0,40,,,
"Nu: 0.7, Gamma: 0.05",0,4,13,120,87.59124088,0,40,,,
"Nu: 0.7, Gamma: 0.0625",0,4,13,120,87.59124088,0,40,,,
"Nu: 0.7, Gamma: 0.1",0,4,10,123,89.7810219,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,9,124,91.24087591,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,2,8,125,92.70072993,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,2,8,125,92.70072993,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,2,5,128,94.89051095,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,2,4,129,95.62043796,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,13,120,87.59124088,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,3,130,94.89051095,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,3,130,94.89051095,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,3,130,94.89051095,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,3,130,94.89051095,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,3,130,94.89051095,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,3,130,94.89051095,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,3,130,94.89051095,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,4,129,94.16058394,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,2,2,131,97.08029197,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,2,1,132,97.81021898,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,2,0,133,98.54014599,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,2,0,133,98.54014599,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,2,131,95.62043796,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,2,131,95.62043796,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,2,131,95.62043796,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,2,131,95.62043796,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,2,131,95.62043796,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,132,96.35036496,0,40,,,
