Features: 16,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.5",3,1,20,21,53.333333333333336,0,40,
"Nu: 0.05, Gamma: 0.7",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.05, Gamma: 0.9",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.05, Gamma: 0.99",3,1,18,23,57.77777777777777,0,40,
"Nu: 0.0625, Gamma: 0.0001",1,3,14,27,62.22222222222222,0,40,
"Nu: 0.0625, Gamma: 0.0002",2,2,17,24,57.77777777777777,0,40,
"Nu: 0.0625, Gamma: 0.0003",3,1,22,19,48.888888888888886,0,40,
"Nu: 0.0625, Gamma: 0.0004",2,2,22,19,46.666666666666664,0,40,
"Nu: 0.0625, Gamma: 0.005",2,2,29,12,31.11111111111111,0,40,
"Nu: 0.0625, Gamma: 0.05",2,2,29,12,31.11111111111111,0,40,
"Nu: 0.0625, Gamma: 0.0625",2,2,27,14,35.55555555555556,0,40,
"Nu: 0.0625, Gamma: 0.1",3,1,27,14,37.77777777777778,0,40,
"Nu: 0.0625, Gamma: 0.2",3,1,23,18,46.666666666666664,0,40,
"Nu: 0.0625, Gamma: 0.5",3,1,20,21,53.333333333333336,0,40,
"Nu: 0.0625, Gamma: 0.7",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.0625, Gamma: 0.9",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.0625, Gamma: 0.99",3,1,18,23,57.77777777777777,0,40,
"Nu: 0.1, Gamma: 0.0001",3,1,25,16,42.22222222222222,0,40,
"Nu: 0.1, Gamma: 0.0002",3,1,27,14,37.77777777777778,0,40,
"Nu: 0.1, Gamma: 0.0003",3,1,27,14,37.77777777777778,0,40,
"Nu: 0.1, Gamma: 0.0004",2,2,29,12,31.11111111111111,0,40,
"Nu: 0.1, Gamma: 0.005",2,2,29,12,31.11111111111111,0,40,
"Nu: 0.1, Gamma: 0.05",2,2,29,12,31.11111111111111,0,40,
