Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.52542373
"Nu: 0.05, Gamma: 0.9",2,3,38,16,30.50847458,0,40,,
"Nu: 0.05, Gamma: 0.99",2,3,32,22,40.6779661,0,40,,
"Nu: 0.0625, Gamma: 0.0001",5,0,53,1,10.16949153,0,40,,
"Nu: 0.0625, Gamma: 0.0002",5,0,53,1,10.16949153,0,40,,
"Nu: 0.0625, Gamma: 0.0003",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0625, Gamma: 0.0004",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0625, Gamma: 0.005",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0625, Gamma: 0.05",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0625, Gamma: 0.0625",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0625, Gamma: 0.1",5,0,54,0,8.474576271,0,40,,
"Nu: 0.0625, Gamma: 0.2",3,2,39,15,30.50847458,0,40,,
"Nu: 0.0625, Gamma: 0.5",2,3,33,21,38.98305085,0,40,,
"Nu: 0.0625, Gamma: 0.7",2,3,40,14,27.11864407,0,40,,
"Nu: 0.0625, Gamma: 0.9",2,3,37,17,32.20338983,0,40,,
"Nu: 0.0625, Gamma: 0.99",2,3,30,24,44.06779661,0,40,,
"Nu: 0.1, Gamma: 0.0001",4,1,49,5,15.25423729,0,40,,
"Nu: 0.1, Gamma: 0.0002",4,1,49,5,15.25423729,0,40,,
"Nu: 0.1, Gamma: 0.0003",5,0,50,4,15.25423729,0,40,,
"Nu: 0.1, Gamma: 0.0004",5,0,50,4,15.25423729,0,40,,
"Nu: 0.1, Gamma: 0.005",5,0,50,4,15.25423729,0,40,,
"Nu: 0.1, Gamma: 0.05",5,0,50,4,15.25423729,0,40,,
"Nu: 0.1, Gamma: 0.0625",5,0,50,4,15.25423729,0,40,,
"Nu: 0.1, Gamma: 0.1",5,0,50,4,15.25423729,0,40,,
"Nu: 0.1, Gamma: 0.2",3,2,37,17,33.89830508,0,40,,
"Nu: 0.1, Gamma: 0.5",2,3,34,20,37.28813559,0,40,,
"Nu: 0.1, Gamma: 0.7",2,3,38,16,30.50847458,0,40,,
"Nu: 0.1, Gamma: 0.9",2,3,38,16,30.50847458,0,40,,
"Nu: 0.1, Gamma: 0.99",2,3,29,25,45.76271186,0,40,,
"Nu: 0.2, Gamma: 0.0001",4,1,47,7,18.6440678,0,40,,
"Nu: 0.2, Gamma: 0.0002",4,1,47,7,18.6440678,0,40,,
"Nu: 0.2, Gamma: 0.0003",4,1,44,10,23.72881356,0,40,,
"Nu: 0.2, Gamma: 0.0004",4,1,44,10,23.72881356,0,40,,
"Nu: 0.2, Gamma: 0.005",4,1,44,10,23.72881356,0,40,,
"Nu: 0.2, Gamma: 0.05",4,1,44,10,23.72881356,0,40,,
"Nu: 0.2, Gamma: 0.0625",4,1,44,10,23.72881356,0,40,,
"Nu: 0.2, Gamma: 0.1",4,1,44,10,23.72881356,0,40,,
"Nu: 0.2, Gamma: 0.2",3,2,32,22,42.37288136,0,40,,
"Nu: 0.2, Gamma: 0.5",1,4,27,27,47.45762712,0,40,,
"Nu: 0.2, Gamma: 0.7",2,3,26,28,50.84745763,0,40,,
"Nu: 0.2, Gamma: 0.9",2,3,26,28,50.84745763,0,40,,
"Nu: 0.2, Gamma: 0.99",2,3,20,34,61.01694915,0,40,,
"Nu: 0.5, Gamma: 0.0001",3,2,24,30,55.93220339,0,40,,
"Nu: 0.5, Gamma: 0.0002",2,3,23,31,55.93220339,0,40,,
"Nu: 0.5, Gamma: 0.0003",2,3,23,31,55.93220339,0,40,,
"Nu: 0.5, Gamma: 0.0004",2,3,23,31,55.93220339,0,40,,
"Nu: 0.5, Gamma: 0.005",2,3,23,31,55.93220339,0,40,,
"Nu: 0.5, Gamma: 0.05",2,3,23,31,55.93220339,0,40,,
"Nu: 0.5, Gamma: 0.0625",2,3,23,31,55.93220339,0,40,,
"Nu: 0.5, Gamma: 0.1",2,3,24,30,54.23728814,0,40,,
"Nu: 0.5, Gamma: 0.2",2,3,24,30,54.23728814,0,40,,
"Nu: 0.5, Gamma: 0.5",1,4,5,49,84.74576271,0,40,,
"Nu: 0.5, Gamma: 0.7",1,4,1,53,91.52542373,0,40,,
"Nu: 0.5, Gamma: 0.9",1,4,4,50,86.44067797,0,40,,
"Nu: 0.5, Gamma: 0.99",1,4,8,46,79.66101695,0,40,,
"Nu: 0.7, Gamma: 0.0001",1,4,21,33,57.62711864,0,40,,
"Nu: 0.7, Gamma: 0.0002",1,4,21,33,57.62711864,0,40,,
"Nu: 0.7, Gamma: 0.0003",1,4,21,33,57.62711864,0,40,,
"Nu: 0.7, Gamma: 0.0004",1,4,21,33,57.62711864,0,40,,
"Nu: 0.7, Gamma: 0.005",1,4,21,33,57.62711864,0,40,,
"Nu: 0.7, Gamma: 0.05",2,3,21,33,59.3220339,0,40,,
"Nu: 0.7, Gamma: 0.0625",2,3,21,33,59.3220339,0,40,,
"Nu: 0.7, Gamma: 0.1",2,3,22,32,57.62711864,0,40,,
"Nu: 0.7, Gamma: 0.2",1,4,21,33,57.62711864,0,40,,
"Nu: 0.7, Gamma: 0.5",1,4,19,35,61.01694915,0,40,,
"Nu: 0.7, Gamma: 0.7",1,4,14,40,69.49152542,0,40,,
"Nu: 0.7, Gamma: 0.9",1,4,7,47,81.3559322,0,40,,
"Nu: 0.7, Gamma: 0.99",1,4,3,51,88.13559322,0,40,,
"Nu: 0.9, Gamma: 0.0001",0,5,14,40,67.79661017,0,40,,
"Nu: 0.9, Gamma: 0.0002",0,5,1,53,89.83050847,0,40,,
"Nu: 0.9, Gamma: 0.0003",0,5,1,53,89.83050847,0,40,,
"Nu: 0.9, Gamma: 0.0004",0,5,1,53,89.83050847,0,40,,
"Nu: 0.9, Gamma: 0.005",0,5,9,45,76.27118644,0,40,,
"Nu: 0.9, Gamma: 0.05",0,5,11,43,72.88135593,0,40,,
"Nu: 0.9, Gamma: 0.0625",0,5,11,43,72.88135593,0,40,,
"Nu: 0.9, Gamma: 0.1",0,5,9,45,76.27118644,0,40,,
"Nu: 0.9, Gamma: 0.2",0,5,6,48,81.3559322,0,40,,
