Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.85714286,328
"Nu: 0.05, Gamma: 0.5",3,3,40,5,15.68627451,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,4,36,9,21.56862745,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,4,32,13,29.41176471,0,40,,,
"Nu: 0.05, Gamma: 0.99",2,4,34,11,25.49019608,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,2,11,34,74.50980392,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",5,1,15,30,68.62745098,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,1,20,25,58.82352941,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,1,20,25,58.82352941,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,1,35,10,29.41176471,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,1,35,10,29.41176471,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,1,35,10,29.41176471,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,1,35,10,29.41176471,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,3,35,10,25.49019608,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,3,37,8,21.56862745,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,4,36,9,21.56862745,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,4,33,12,27.45098039,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,4,34,11,25.49019608,0,40,,,
"Nu: 0.1, Gamma: 0.0001",4,2,28,17,41.17647059,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,2,28,17,41.17647059,0,40,,,
"Nu: 0.1, Gamma: 0.0003",5,1,29,16,41.17647059,0,40,,,
"Nu: 0.1, Gamma: 0.0004",5,1,29,16,41.17647059,0,40,,,
"Nu: 0.1, Gamma: 0.005",5,1,29,16,41.17647059,0,40,,,
"Nu: 0.1, Gamma: 0.05",5,1,29,16,41.17647059,0,40,,,
"Nu: 0.1, Gamma: 0.0625",5,1,29,16,41.17647059,0,40,,,
"Nu: 0.1, Gamma: 0.1",5,1,29,16,41.17647059,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,3,29,16,37.25490196,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,3,33,12,29.41176471,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,4,30,15,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,4,29,16,35.29411765,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,4,29,16,35.29411765,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,2,20,25,56.8627451,0,40,,,
"Nu: 0.2, Gamma: 0.0002",4,2,20,25,56.8627451,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,2,20,25,56.8627451,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,2,20,25,56.8627451,0,40,,,
