Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.42857143,174
"Nu: 0.99, Gamma: 0.2",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,3,0,32,91.42857143,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.005",1,3,19,7,26.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.05",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0001, Gamma: 0.1",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,25,1,10,10,40,,,
"Nu: 0.0001, Gamma: 0.5",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",1,3,19,7,26.66666667,10,40,,,
"Nu: 0.0002, Gamma: 0.005",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.5",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.7",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.9",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.99",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",1,3,19,7,26.66666667,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",1,3,19,7,26.66666667,10,40,,,
"Nu: 0.0003, Gamma: 0.005",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.05",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.1",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.2",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.5",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.7",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.9",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.99",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",1,3,19,7,26.66666667,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",1,3,19,7,26.66666667,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",1,3,19,7,26.66666667,10,40,,,
"Nu: 0.0004, Gamma: 0.005",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.05",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.1",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.2",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.5",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.7",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.9",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.99",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.0001",3,1,24,2,16.66666667,10,40,,,
"Nu: 0.005, Gamma: 0.0002",2,2,25,1,10,10,40,,,
"Nu: 0.005, Gamma: 0.0003",2,2,25,1,10,10,40,,,
"Nu: 0.005, Gamma: 0.0004",2,2,25,1,10,10,40,,,
"Nu: 0.005, Gamma: 0.005",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.05",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.0625",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.1",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.2",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.5",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.7",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.9",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.99",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.0001",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.0002",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.0003",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.0004",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.005",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.05",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.0625",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.1",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.2",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.5",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.7",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.9",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.99",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.005",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.05",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.1",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.2",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.9",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.99",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,24,2,16.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,24,2,16.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,24,2,16.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.0004",3,1,24,2,16.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.005",3,1,24,2,16.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.05",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.0625",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,25,1,13.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.2",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.99",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.0001",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.0002",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.0003",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.0004",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.005",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.05",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.0625",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.1",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.2",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.7",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.9",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,24,2,13.33333333,10,40,,,
"Nu: 0.5, Gamma: 0.0001",0,4,12,14,46.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.0002",0,4,12,14,46.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.0003",0,4,12,14,46.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.0004",0,4,12,14,46.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.005",0,4,12,14,46.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.05",0,4,12,14,46.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.0625",0,4,12,14,46.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.1",0,4,10,16,53.33333333,10,40,,,
"Nu: 0.5, Gamma: 0.2",0,4,13,13,43.33333333,10,40,,,
"Nu: 0.5, Gamma: 0.5",1,3,22,4,16.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,22,4,16.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,23,3,16.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,21,5,23.33333333,10,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,8,18,60,10,40,,,
"Nu: 0.7, Gamma: 0.0002",0,4,8,18,60,10,40,,,
"Nu: 0.7, Gamma: 0.0003",0,4,7,19,63.33333333,10,40,,,
"Nu: 0.7, Gamma: 0.0004",0,4,8,18,60,10,40,,,
"Nu: 0.7, Gamma: 0.005",0,4,7,19,63.33333333,10,40,,,
"Nu: 0.7, Gamma: 0.05",0,4,6,20,66.66666667,10,40,,,
"Nu: 0.7, Gamma: 0.0625",0,4,6,20,66.66666667,10,40,,,
"Nu: 0.7, Gamma: 0.1",0,4,6,20,66.66666667,10,40,,,
"Nu: 0.7, Gamma: 0.2",0,4,5,21,70,10,40,,,
"Nu: 0.7, Gamma: 0.5",0,4,5,21,70,10,40,,,
"Nu: 0.7, Gamma: 0.7",0,4,3,23,76.66666667,10,40,,,
"Nu: 0.7, Gamma: 0.9",0,4,3,23,76.66666667,10,40,,,
"Nu: 0.7, Gamma: 0.99",0,4,3,23,76.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,2,24,80,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,2,24,80,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,2,24,80,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,2,24,80,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,2,24,80,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,2,24,80,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,3,23,76.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,4,22,73.33333333,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,4,22,73.33333333,10,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,1,25,83.33333333,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,1,25,83.33333333,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,1,25,83.33333333,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,1,25,83.33333333,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,1,25,83.33333333,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,25,83.33333333,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,25,83.33333333,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,1,25,83.33333333,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,2,24,80,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,26,86.66666667,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,26,86.66666667,10,40,,,
,,,,,,,,,,
Target Class: raytrace_Pipeline,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.005",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0001, Gamma: 0.05",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0001, Gamma: 0.1",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0001, Gamma: 0.2",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.5",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0001, Gamma: 0.7",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.9",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0001, Gamma: 0.99",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.005",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.05",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.1",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0002, Gamma: 0.2",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.0002, Gamma: 0.5",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.7",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.9",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.99",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.005",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0003, Gamma: 0.05",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0003, Gamma: 0.1",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0003, Gamma: 0.2",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0003, Gamma: 0.5",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.7",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.9",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.99",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.005",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0004, Gamma: 0.05",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.0004, Gamma: 0.1",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0004, Gamma: 0.2",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0004, Gamma: 0.5",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.7",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.9",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.99",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.0001",2,1,18,14,45.71428571,10,40,,,
"Nu: 0.005, Gamma: 0.0002",1,2,15,17,51.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.0003",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.005, Gamma: 0.0004",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.005, Gamma: 0.005",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.005, Gamma: 0.05",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.005, Gamma: 0.0625",2,1,25,7,25.71428571,10,40,,,
"Nu: 0.005, Gamma: 0.1",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.005, Gamma: 0.2",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.5",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.7",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.9",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.99",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.05, Gamma: 0.0001",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.0002",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.0003",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.0004",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.005",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.05",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.0625",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.05, Gamma: 0.1",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.05, Gamma: 0.2",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.05, Gamma: 0.5",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.05, Gamma: 0.7",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.05, Gamma: 0.9",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.05, Gamma: 0.99",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0625, Gamma: 0.005",2,1,24,8,28.57142857,10,40,,,
"Nu: 0.0625, Gamma: 0.05",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0625, Gamma: 0.1",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0625, Gamma: 0.2",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0625, Gamma: 0.5",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0625, Gamma: 0.7",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0625, Gamma: 0.9",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.0625, Gamma: 0.99",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.1, Gamma: 0.0001",2,1,21,11,37.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0002",2,1,21,11,37.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0003",2,1,21,11,37.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0004",2,1,21,11,37.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.005",2,1,21,11,37.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.05",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.1, Gamma: 0.0625",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.1, Gamma: 0.1",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.1, Gamma: 0.2",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.1, Gamma: 0.5",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.1, Gamma: 0.7",2,1,23,9,31.42857143,10,40,,,
"Nu: 0.1, Gamma: 0.9",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.1, Gamma: 0.99",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.2, Gamma: 0.0001",2,1,16,16,51.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.0002",2,1,16,16,51.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.0003",2,1,16,16,51.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.0004",2,1,16,16,51.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.005",2,1,16,16,51.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.05",2,1,16,16,51.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.0625",2,1,16,16,51.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.1",2,1,16,16,51.42857143,10,40,,,
"Nu: 0.2, Gamma: 0.2",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.2, Gamma: 0.5",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.2, Gamma: 0.7",2,1,22,10,34.28571429,10,40,,,
"Nu: 0.2, Gamma: 0.9",2,1,20,12,40,10,40,,,
"Nu: 0.2, Gamma: 0.99",2,1,20,12,40,10,40,,,
"Nu: 0.5, Gamma: 0.0001",0,3,8,24,68.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.0002",0,3,8,24,68.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.0003",0,3,8,24,68.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.0004",0,3,8,24,68.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.005",0,3,8,24,68.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.05",0,3,9,23,65.71428571,10,40,,,
"Nu: 0.5, Gamma: 0.0625",0,3,9,23,65.71428571,10,40,,,
"Nu: 0.5, Gamma: 0.1",1,2,9,23,68.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.2",2,1,10,22,68.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.5",2,1,12,20,62.85714286,10,40,,,
"Nu: 0.5, Gamma: 0.7",2,1,14,18,57.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.9",2,1,18,14,45.71428571,10,40,,,
"Nu: 0.5, Gamma: 0.99",2,1,19,13,42.85714286,10,40,,,
"Nu: 0.7, Gamma: 0.0001",0,3,7,25,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.0002",0,3,7,25,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.0003",0,3,7,25,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.0004",0,3,7,25,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.005",0,3,7,25,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.05",0,3,7,25,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.0625",0,3,7,25,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.1",0,3,7,25,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.2",0,3,7,25,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.5",1,2,5,27,80,10,40,,,
"Nu: 0.7, Gamma: 0.7",2,1,5,27,82.85714286,10,40,,,
"Nu: 0.7, Gamma: 0.9",2,1,6,26,80,10,40,,,
"Nu: 0.7, Gamma: 0.99",2,1,6,26,80,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,3,4,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,3,4,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,3,4,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,3,4,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,3,4,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,3,4,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,3,4,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.5",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.9, Gamma: 0.7",1,2,1,31,91.42857143,10,40,,,
"Nu: 0.9, Gamma: 0.9",1,2,1,31,91.42857143,10,40,,,
"Nu: 0.9, Gamma: 0.99",1,2,1,31,91.42857143,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,3,1,31,88.57142857,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,3,1,31,88.57142857,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,3,1,31,88.57142857,10,40,,,
