Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.42857143,174
"Nu: 0.05, Gamma: 0.99",3,1,19,7,33.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,24,2,20,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,24,2,20,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,24,2,20,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,24,2,20,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,24,2,20,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,24,2,20,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,24,2,20,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,24,2,20,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,23,3,20,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,20,6,26.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,22,4,20,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,2,21,5,23.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,19,7,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.005",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.05",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.0625",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,2,23,3,16.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,20,6,26.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,22,4,20,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,21,5,23.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,19,7,33.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,25,1,13.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,24,2,16.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,2,23,3,16.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.5",1,3,21,5,20,0,40,,,
"Nu: 0.2, Gamma: 0.7",1,3,21,5,20,0,40,,,
"Nu: 0.2, Gamma: 0.9",1,3,19,7,26.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,19,7,30,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,14,12,46.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,14,12,46.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,14,12,46.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,14,12,46.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,14,12,46.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,14,12,46.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,14,12,46.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,13,13,50,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,3,12,14,50,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,3,18,8,30,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,17,9,33.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,16,10,36.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,11,15,53.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,5,21,70,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,2,8,18,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,2,8,18,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,2,8,18,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,7,19,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,7,19,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,7,19,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,5,21,73.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,6,20,70,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,3,23,80,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,4,3,23,76.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,4,4,22,73.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,4,4,22,73.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,2,24,80,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,2,24,80,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,2,24,80,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,2,24,80,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,2,24,80,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,4,22,73.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,4,22,73.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,5,21,73.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,3,23,80,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,25,83.33333333,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,3,23,76.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,2,24,80,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,26,86.66666667,0,40,,,
,,,,,,,,,,
Target Class: raytrace_Pipeline,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.2",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.2",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.5",1,2,23,9,28.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.99",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.2",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.5",1,2,23,9,28.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.7",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.9",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.99",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.05",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.1",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.2",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.5",3,0,15,17,57.14285714,0,40,,,
"Nu: 0.0004, Gamma: 0.7",1,2,18,14,42.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.9",1,2,18,14,42.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.99",0,3,17,15,42.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.005",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.005, Gamma: 0.05",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.005, Gamma: 0.0625",3,0,32,0,8.571428571,0,40,,,
"Nu: 0.005, Gamma: 0.1",3,0,32,0,8.571428571,0,40,,,
