Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.95918367,27
"Nu: 0.9, Gamma: 0.7",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,5,0,39,88.63636364,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.0001, Gamma: 0.005",4,0,42,3,14.28571429,10,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0001, Gamma: 0.2",4,0,28,17,42.85714286,10,40,,,
"Nu: 0.0001, Gamma: 0.5",4,0,18,27,63.26530612,10,40,,,
"Nu: 0.0001, Gamma: 0.7",4,0,17,28,65.30612245,10,40,,,
"Nu: 0.0001, Gamma: 0.9",3,1,11,34,75.51020408,10,40,,,
"Nu: 0.0001, Gamma: 0.99",3,1,6,39,85.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",4,0,42,3,14.28571429,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",4,0,42,3,14.28571429,10,40,,,
"Nu: 0.0002, Gamma: 0.005",4,0,44,1,10.20408163,10,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0002, Gamma: 0.2",4,0,29,16,40.81632653,10,40,,,
"Nu: 0.0002, Gamma: 0.5",4,0,18,27,63.26530612,10,40,,,
"Nu: 0.0002, Gamma: 0.7",4,0,17,28,65.30612245,10,40,,,
"Nu: 0.0002, Gamma: 0.9",3,1,12,33,73.46938776,10,40,,,
"Nu: 0.0002, Gamma: 0.99",3,1,4,41,89.79591837,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",4,0,42,3,14.28571429,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",4,0,42,3,14.28571429,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",4,0,42,3,14.28571429,10,40,,,
"Nu: 0.0003, Gamma: 0.005",4,0,44,1,10.20408163,10,40,,,
"Nu: 0.0003, Gamma: 0.05",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0003, Gamma: 0.1",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0003, Gamma: 0.2",4,0,29,16,40.81632653,10,40,,,
"Nu: 0.0003, Gamma: 0.5",4,0,18,27,63.26530612,10,40,,,
"Nu: 0.0003, Gamma: 0.7",4,0,17,28,65.30612245,10,40,,,
"Nu: 0.0003, Gamma: 0.9",3,1,12,33,73.46938776,10,40,,,
"Nu: 0.0003, Gamma: 0.99",3,1,5,40,87.75510204,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",4,0,42,3,14.28571429,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",4,0,42,3,14.28571429,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",4,0,42,3,14.28571429,10,40,,,
"Nu: 0.0004, Gamma: 0.005",4,0,44,1,10.20408163,10,40,,,
"Nu: 0.0004, Gamma: 0.05",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0004, Gamma: 0.1",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0004, Gamma: 0.2",4,0,30,15,38.7755102,10,40,,,
"Nu: 0.0004, Gamma: 0.5",4,0,18,27,63.26530612,10,40,,,
"Nu: 0.0004, Gamma: 0.7",4,0,17,28,65.30612245,10,40,,,
"Nu: 0.0004, Gamma: 0.9",3,1,12,33,73.46938776,10,40,,,
"Nu: 0.0004, Gamma: 0.99",3,1,8,37,81.63265306,10,40,,,
"Nu: 0.005, Gamma: 0.0001",4,0,44,1,10.20408163,10,40,,,
"Nu: 0.005, Gamma: 0.0002",4,0,44,1,10.20408163,10,40,,,
"Nu: 0.005, Gamma: 0.0003",4,0,44,1,10.20408163,10,40,,,
"Nu: 0.005, Gamma: 0.0004",4,0,44,1,10.20408163,10,40,,,
"Nu: 0.005, Gamma: 0.005",4,0,44,1,10.20408163,10,40,,,
"Nu: 0.005, Gamma: 0.05",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.005, Gamma: 0.0625",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.005, Gamma: 0.1",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.005, Gamma: 0.2",4,0,29,16,40.81632653,10,40,,,
"Nu: 0.005, Gamma: 0.5",4,0,18,27,63.26530612,10,40,,,
"Nu: 0.005, Gamma: 0.7",4,0,17,28,65.30612245,10,40,,,
"Nu: 0.005, Gamma: 0.9",3,1,13,32,71.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.99",3,1,8,37,81.63265306,10,40,,,
"Nu: 0.05, Gamma: 0.0001",4,0,35,10,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.0002",4,0,35,10,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.0003",4,0,35,10,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.0004",4,0,35,10,28.57142857,10,40,,,
"Nu: 0.05, Gamma: 0.005",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.05, Gamma: 0.05",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.05, Gamma: 0.0625",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.05, Gamma: 0.1",4,0,32,13,34.69387755,10,40,,,
"Nu: 0.05, Gamma: 0.2",4,0,25,20,48.97959184,10,40,,,
"Nu: 0.05, Gamma: 0.5",4,0,17,28,65.30612245,10,40,,,
"Nu: 0.05, Gamma: 0.7",4,0,15,30,69.3877551,10,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,10,35,77.55102041,10,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,7,38,83.67346939,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,32,13,34.69387755,10,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,24,21,51.02040816,10,40,,,
"Nu: 0.0625, Gamma: 0.5",4,0,17,28,65.30612245,10,40,,,
"Nu: 0.0625, Gamma: 0.7",4,0,15,30,69.3877551,10,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,9,36,79.59183673,10,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,6,39,85.71428571,10,40,,,
"Nu: 0.1, Gamma: 0.0001",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.1, Gamma: 0.0002",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,31,14,36.73469388,10,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,24,21,51.02040816,10,40,,,
"Nu: 0.1, Gamma: 0.5",4,0,17,28,65.30612245,10,40,,,
"Nu: 0.1, Gamma: 0.7",4,0,15,30,69.3877551,10,40,,,
"Nu: 0.1, Gamma: 0.9",3,1,8,37,81.63265306,10,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,6,39,85.71428571,10,40,,,
"Nu: 0.2, Gamma: 0.0001",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.2, Gamma: 0.0002",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,34,11,30.6122449,10,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,33,12,32.65306122,10,40,,,
"Nu: 0.2, Gamma: 0.1",4,0,30,15,38.7755102,10,40,,,
"Nu: 0.2, Gamma: 0.2",4,0,23,22,53.06122449,10,40,,,
"Nu: 0.2, Gamma: 0.5",4,0,17,28,65.30612245,10,40,,,
"Nu: 0.2, Gamma: 0.7",4,0,12,33,75.51020408,10,40,,,
"Nu: 0.2, Gamma: 0.9",3,1,6,39,85.71428571,10,40,,,
"Nu: 0.2, Gamma: 0.99",3,1,2,43,93.87755102,10,40,,,
"Nu: 0.5, Gamma: 0.0001",3,1,26,19,44.89795918,10,40,,,
"Nu: 0.5, Gamma: 0.0002",3,1,26,19,44.89795918,10,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,26,19,44.89795918,10,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,26,19,44.89795918,10,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,26,19,44.89795918,10,40,,,
"Nu: 0.5, Gamma: 0.05",3,1,28,17,40.81632653,10,40,,,
"Nu: 0.5, Gamma: 0.0625",3,1,28,17,40.81632653,10,40,,,
"Nu: 0.5, Gamma: 0.1",3,1,28,17,40.81632653,10,40,,,
"Nu: 0.5, Gamma: 0.2",3,1,17,28,63.26530612,10,40,,,
"Nu: 0.5, Gamma: 0.5",4,0,11,34,77.55102041,10,40,,,
"Nu: 0.5, Gamma: 0.7",3,1,6,39,85.71428571,10,40,,,
"Nu: 0.5, Gamma: 0.9",3,1,0,45,97.95918367,10,40,,,
"Nu: 0.5, Gamma: 0.99",3,1,0,45,97.95918367,10,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,21,24,51.02040816,10,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,21,24,51.02040816,10,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,21,24,51.02040816,10,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,21,24,51.02040816,10,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,21,24,51.02040816,10,40,,,
"Nu: 0.7, Gamma: 0.05",2,2,21,24,53.06122449,10,40,,,
"Nu: 0.7, Gamma: 0.0625",2,2,20,25,55.10204082,10,40,,,
"Nu: 0.7, Gamma: 0.1",2,2,17,28,61.2244898,10,40,,,
"Nu: 0.7, Gamma: 0.2",3,1,9,36,79.59183673,10,40,,,
"Nu: 0.7, Gamma: 0.5",2,2,6,39,83.67346939,10,40,,,
"Nu: 0.7, Gamma: 0.7",3,1,0,45,97.95918367,10,40,,,
"Nu: 0.7, Gamma: 0.9",3,1,0,45,97.95918367,10,40,,,
"Nu: 0.7, Gamma: 0.99",3,1,0,45,97.95918367,10,40,,,
"Nu: 0.9, Gamma: 0.0001",1,3,14,31,65.30612245,10,40,,,
"Nu: 0.9, Gamma: 0.0002",1,3,14,31,65.30612245,10,40,,,
"Nu: 0.9, Gamma: 0.0003",1,3,14,31,65.30612245,10,40,,,
"Nu: 0.9, Gamma: 0.0004",1,3,14,31,65.30612245,10,40,,,
"Nu: 0.9, Gamma: 0.005",1,3,14,31,65.30612245,10,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,9,36,75.51020408,10,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,8,37,77.55102041,10,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,6,39,81.63265306,10,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,3,42,87.75510204,10,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,0,45,93.87755102,10,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,1,44,89.79591837,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,1,44,89.79591837,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,45,91.83673469,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,45,91.83673469,10,40,,,
,,,,,,,,,,
Target Class: bodytrack_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.005",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0001, Gamma: 0.05",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0001, Gamma: 0.1",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0001, Gamma: 0.2",5,0,28,11,36.36363636,10,40,,,
"Nu: 0.0001, Gamma: 0.5",4,1,13,26,68.18181818,10,40,,,
"Nu: 0.0001, Gamma: 0.7",4,1,8,31,79.54545455,10,40,,,
"Nu: 0.0001, Gamma: 0.9",3,2,5,34,84.09090909,10,40,,,
"Nu: 0.0001, Gamma: 0.99",3,2,4,35,86.36363636,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0002, Gamma: 0.005",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.05",5,0,36,3,18.18181818,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.1",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.2",5,0,30,9,31.81818182,10,40,,,
"Nu: 0.0002, Gamma: 0.5",4,1,10,29,75,10,40,,,
"Nu: 0.0002, Gamma: 0.7",4,1,9,30,77.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.9",3,2,5,34,84.09090909,10,40,,,
"Nu: 0.0002, Gamma: 0.99",3,2,4,35,86.36363636,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0003, Gamma: 0.005",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0003, Gamma: 0.05",5,0,36,3,18.18181818,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0003, Gamma: 0.1",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0003, Gamma: 0.2",5,0,30,9,31.81818182,10,40,,,
"Nu: 0.0003, Gamma: 0.5",4,1,10,29,75,10,40,,,
"Nu: 0.0003, Gamma: 0.7",4,1,9,30,77.27272727,10,40,,,
"Nu: 0.0003, Gamma: 0.9",3,2,5,34,84.09090909,10,40,,,
"Nu: 0.0003, Gamma: 0.99",3,2,4,35,86.36363636,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0004, Gamma: 0.005",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0004, Gamma: 0.05",5,0,36,3,18.18181818,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.1",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.2",5,0,30,9,31.81818182,10,40,,,
"Nu: 0.0004, Gamma: 0.5",4,1,10,29,75,10,40,,,
"Nu: 0.0004, Gamma: 0.7",4,1,9,30,77.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.9",3,2,5,34,84.09090909,10,40,,,
"Nu: 0.0004, Gamma: 0.99",3,2,4,35,86.36363636,10,40,,,
"Nu: 0.005, Gamma: 0.0001",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.0002",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.0003",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.0004",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.005",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.1",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.2",5,0,30,9,31.81818182,10,40,,,
"Nu: 0.005, Gamma: 0.5",4,1,9,30,77.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.7",4,1,9,30,77.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.9",3,2,5,34,84.09090909,10,40,,,
"Nu: 0.005, Gamma: 0.99",3,2,4,35,86.36363636,10,40,,,
"Nu: 0.05, Gamma: 0.0001",5,0,34,5,22.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.0002",5,0,34,5,22.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.0003",5,0,34,5,22.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.0004",5,0,34,5,22.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,33,6,25,10,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,29,10,34.09090909,10,40,,,
"Nu: 0.05, Gamma: 0.5",4,1,11,28,72.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.7",4,1,9,30,77.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.9",4,1,5,34,86.36363636,10,40,,,
"Nu: 0.05, Gamma: 0.99",3,2,4,35,86.36363636,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,24,15,45.45454545,10,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,29,10,34.09090909,10,40,,,
"Nu: 0.0625, Gamma: 0.5",4,1,11,28,72.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.7",4,1,8,31,79.54545455,10,40,,,
"Nu: 0.0625, Gamma: 0.9",4,1,5,34,86.36363636,10,40,,,
"Nu: 0.0625, Gamma: 0.99",3,2,4,35,86.36363636,10,40,,,
"Nu: 0.1, Gamma: 0.0001",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.0002",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.0003",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,25,14,43.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,24,15,45.45454545,10,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,24,15,45.45454545,10,40,,,
"Nu: 0.1, Gamma: 0.1",5,0,24,15,45.45454545,10,40,,,
"Nu: 0.1, Gamma: 0.2",5,0,21,18,52.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.5",4,1,11,28,72.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.7",4,1,8,31,79.54545455,10,40,,,
"Nu: 0.1, Gamma: 0.9",3,2,5,34,84.09090909,10,40,,,
"Nu: 0.1, Gamma: 0.99",3,2,4,35,86.36363636,10,40,,,
"Nu: 0.2, Gamma: 0.0001",5,0,24,15,45.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.0002",5,0,24,15,45.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.0003",5,0,24,15,45.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.0004",5,0,24,15,45.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.005",5,0,24,15,45.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.05",5,0,23,16,47.72727273,10,40,,,
"Nu: 0.2, Gamma: 0.0625",5,0,23,16,47.72727273,10,40,,,
"Nu: 0.2, Gamma: 0.1",5,0,23,16,47.72727273,10,40,,,
"Nu: 0.2, Gamma: 0.2",5,0,17,22,61.36363636,10,40,,,
"Nu: 0.2, Gamma: 0.5",4,1,6,33,84.09090909,10,40,,,
"Nu: 0.2, Gamma: 0.7",4,1,3,36,90.90909091,10,40,,,
"Nu: 0.2, Gamma: 0.9",3,2,1,38,93.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.99",3,2,1,38,93.18181818,10,40,,,
"Nu: 0.5, Gamma: 0.0001",4,1,22,17,47.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.0002",4,1,22,17,47.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.0003",4,1,22,17,47.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.0004",4,1,22,17,47.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.005",4,1,22,17,47.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.05",4,1,21,18,50,10,40,,,
"Nu: 0.5, Gamma: 0.0625",4,1,21,18,50,10,40,,,
"Nu: 0.5, Gamma: 0.1",4,1,21,18,50,10,40,,,
"Nu: 0.5, Gamma: 0.2",4,1,10,29,75,10,40,,,
"Nu: 0.5, Gamma: 0.5",3,2,3,36,88.63636364,10,40,,,
"Nu: 0.5, Gamma: 0.7",2,3,1,38,90.90909091,10,40,,,
"Nu: 0.5, Gamma: 0.9",2,3,0,39,93.18181818,10,40,,,
"Nu: 0.5, Gamma: 0.99",2,3,0,39,93.18181818,10,40,,,
"Nu: 0.7, Gamma: 0.0001",4,1,14,25,65.90909091,10,40,,,
"Nu: 0.7, Gamma: 0.0002",4,1,14,25,65.90909091,10,40,,,
"Nu: 0.7, Gamma: 0.0003",4,1,14,25,65.90909091,10,40,,,
"Nu: 0.7, Gamma: 0.0004",4,1,14,25,65.90909091,10,40,,,
"Nu: 0.7, Gamma: 0.005",4,1,13,26,68.18181818,10,40,,,
"Nu: 0.7, Gamma: 0.05",4,1,11,28,72.72727273,10,40,,,
"Nu: 0.7, Gamma: 0.0625",4,1,11,28,72.72727273,10,40,,,
"Nu: 0.7, Gamma: 0.1",4,1,9,30,77.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.2",4,1,6,33,84.09090909,10,40,,,
"Nu: 0.7, Gamma: 0.5",1,4,1,38,88.63636364,10,40,,,
"Nu: 0.7, Gamma: 0.7",2,3,0,39,93.18181818,10,40,,,
"Nu: 0.7, Gamma: 0.9",2,3,0,39,93.18181818,10,40,,,
"Nu: 0.7, Gamma: 0.99",2,3,0,39,93.18181818,10,40,,,
"Nu: 0.9, Gamma: 0.0001",3,2,2,37,90.90909091,10,40,,,
"Nu: 0.9, Gamma: 0.0002",3,2,2,37,90.90909091,10,40,,,
