Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.95918367,27
"Nu: 0.05, Gamma: 0.5",3,1,17,28,63.26530612,0,40,,,
"Nu: 0.05, Gamma: 0.7",3,1,14,31,69.3877551,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,10,35,77.55102041,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,9,36,79.59183673,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",1,3,13,32,67.34693878,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,2,23,22,48.97959184,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,1,27,18,42.85714286,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,2,27,18,40.81632653,0,40,,,
"Nu: 0.0625, Gamma: 0.005",2,2,33,12,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2,2,33,12,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,2,32,13,30.6122449,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,1,30,15,36.73469388,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,29,16,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,1,17,28,63.26530612,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,1,14,31,69.3877551,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,10,35,77.55102041,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,9,36,79.59183673,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,33,12,30.6122449,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,34,11,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,34,11,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,2,33,12,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,2,33,12,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,2,33,12,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,2,32,13,30.6122449,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,30,15,36.73469388,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,1,30,15,36.73469388,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,1,17,28,63.26530612,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,14,31,69.3877551,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,1,10,35,77.55102041,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,9,36,79.59183673,0,40,,,
"Nu: 0.2, Gamma: 0.0001",2,2,29,16,36.73469388,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,33,12,30.6122449,0,40,,,
"Nu: 0.2, Gamma: 0.0003",2,2,33,12,28.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,2,33,12,28.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,2,33,12,28.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,2,33,12,28.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,2,32,13,30.6122449,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,2,30,15,34.69387755,0,40,,,
