Features: 16,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 8e-05, Gamma: 8e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 9e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.0001",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.0002",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.0003",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.0004",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.005",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.05",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.0625",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.1",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.2",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 8e-05, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 1e-05",750,11,210,25,77.81124497991968,0,40,
"Nu: 9e-05, Gamma: 2e-05",748,11,212,25,77.61044176706827,0,40,
"Nu: 9e-05, Gamma: 3e-05",954,31,6,5,96.285140562249,0,40,
"Nu: 9e-05, Gamma: 4e-05",960,35,0,1,96.4859437751004,0,40,
"Nu: 9e-05, Gamma: 5e-05",960,35,0,1,96.4859437751004,0,40,
"Nu: 9e-05, Gamma: 6e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 7e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 8e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 9e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.0001",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.0002",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.0003",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.0004",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.005",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.05",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.0625",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.1",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.2",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 9e-05, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 1e-05",737,7,223,29,76.90763052208835,0,40,
"Nu: 0.0001, Gamma: 2e-05",748,11,212,25,77.61044176706827,0,40,
"Nu: 0.0001, Gamma: 3e-05",954,31,6,5,96.285140562249,0,40,
"Nu: 0.0001, Gamma: 4e-05",960,35,0,1,96.4859437751004,0,40,
"Nu: 0.0001, Gamma: 5e-05",960,35,0,1,96.4859437751004,0,40,
"Nu: 0.0001, Gamma: 6e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 7e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 8e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 9e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.0001",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.0002",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.0003",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.0004",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.005",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.05",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.0625",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.1",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.2",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0001, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 1e-05",958,30,2,6,96.78714859437751,0,40,
"Nu: 0.0002, Gamma: 2e-05",738,7,222,29,77.00803212851406,0,40,
"Nu: 0.0002, Gamma: 3e-05",956,35,4,1,96.08433734939759,0,40,
"Nu: 0.0002, Gamma: 4e-05",960,34,0,2,96.5863453815261,0,40,
"Nu: 0.0002, Gamma: 5e-05",960,35,0,1,96.4859437751004,0,40,
"Nu: 0.0002, Gamma: 6e-05",959,33,1,3,96.5863453815261,0,40,
"Nu: 0.0002, Gamma: 7e-05",893,22,67,14,91.06425702811245,0,40,
"Nu: 0.0002, Gamma: 8e-05",934,26,26,10,94.77911646586345,0,40,
"Nu: 0.0002, Gamma: 9e-05",805,11,155,25,83.33333333333334,0,40,
"Nu: 0.0002, Gamma: 0.0001",777,11,183,25,80.52208835341365,0,40,
"Nu: 0.0002, Gamma: 0.0002",949,34,11,2,95.48192771084338,0,40,
"Nu: 0.0002, Gamma: 0.0003",930,31,30,5,93.87550200803213,0,40,
"Nu: 0.0002, Gamma: 0.0004",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 0.005",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 0.05",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 0.0625",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 0.1",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 0.2",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0002, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0003, Gamma: 1e-05",738,5,222,31,77.20883534136547,0,40,
"Nu: 0.0003, Gamma: 2e-05",742,7,218,29,77.40963855421687,0,40,
"Nu: 0.0003, Gamma: 3e-05",953,31,7,5,96.18473895582329,0,40,
"Nu: 0.0003, Gamma: 4e-05",898,21,62,15,91.66666666666666,0,40,
"Nu: 0.0003, Gamma: 5e-05",756,9,204,27,78.6144578313253,0,40,
"Nu: 0.0003, Gamma: 6e-05",829,11,131,25,85.7429718875502,0,40,
"Nu: 0.0003, Gamma: 7e-05",901,23,59,13,91.76706827309236,0,40,
"Nu: 0.0003, Gamma: 8e-05",930,28,30,8,94.17670682730925,0,40,
"Nu: 0.0003, Gamma: 9e-05",773,11,187,25,80.12048192771084,0,40,
"Nu: 0.0003, Gamma: 0.0001",823,16,137,20,84.63855421686746,0,40,
"Nu: 0.0003, Gamma: 0.0002",903,26,57,10,91.66666666666666,0,40,
"Nu: 0.0003, Gamma: 0.0003",955,33,5,3,96.18473895582329,0,40,
"Nu: 0.0003, Gamma: 0.0004",960,35,0,1,96.4859437751004,0,40,
"Nu: 0.0003, Gamma: 0.005",931,31,29,5,93.97590361445783,0,40,
"Nu: 0.0003, Gamma: 0.05",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0003, Gamma: 0.0625",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0003, Gamma: 0.1",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0003, Gamma: 0.2",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0003, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0003, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0003, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0003, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0004, Gamma: 1e-05",737,5,223,31,77.10843373493977,0,40,
"Nu: 0.0004, Gamma: 2e-05",811,9,149,27,84.13654618473896,0,40,
"Nu: 0.0004, Gamma: 3e-05",881,23,79,13,89.7590361445783,0,40,
"Nu: 0.0004, Gamma: 4e-05",793,9,167,27,82.32931726907631,0,40,
"Nu: 0.0004, Gamma: 5e-05",862,16,98,20,88.55421686746988,0,40,
"Nu: 0.0004, Gamma: 6e-05",881,19,79,17,90.16064257028113,0,40,
"Nu: 0.0004, Gamma: 7e-05",906,22,54,14,92.3694779116466,0,40,
"Nu: 0.0004, Gamma: 8e-05",956,32,4,4,96.3855421686747,0,40,
"Nu: 0.0004, Gamma: 9e-05",955,32,5,4,96.285140562249,0,40,
"Nu: 0.0004, Gamma: 0.0001",815,12,145,24,84.23694779116467,0,40,
"Nu: 0.0004, Gamma: 0.0002",910,23,50,13,92.67068273092369,0,40,
