Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.75,154
"Nu: 0.0625, Gamma: 0.0001",2,0,10,4,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,0,10,4,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",2,0,10,4,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,0,10,4,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.005",2,0,10,4,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2,0,13,1,18.75,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,0,10,4,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.1",2,0,13,1,18.75,0,40,,,
"Nu: 0.0625, Gamma: 0.2",2,0,12,2,25,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,0,7,7,56.25,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,0,10,4,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,0,10,4,37.5,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,0,6,8,62.5,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,0,10,4,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.0002",2,0,10,4,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.0003",2,0,10,4,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,0,10,4,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,0,10,4,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,0,13,1,18.75,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,0,10,4,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.1",2,0,13,1,18.75,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,0,12,2,25,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,0,7,7,56.25,0,40,,,
