Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.75,154
"Nu: 0.99, Gamma: 0.5",0,2,1,19,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,2,0,20,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,2,1,19,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,2,1,19,86.36363636,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,2,0,14,87.5,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,14,87.5,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,2,0,14,87.5,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,2,0,14,87.5,10,40,,,
"Nu: 0.0001, Gamma: 0.005",0,2,6,8,50,10,40,,,
"Nu: 0.0001, Gamma: 0.05",2,0,14,0,12.5,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,0,11,3,31.25,10,40,,,
"Nu: 0.0001, Gamma: 0.1",2,0,14,0,12.5,10,40,,,
"Nu: 0.0001, Gamma: 0.2",2,0,10,4,37.5,10,40,,,
"Nu: 0.0001, Gamma: 0.5",2,0,12,2,25,10,40,,,
"Nu: 0.0001, Gamma: 0.7",2,0,8,6,50,10,40,,,
"Nu: 0.0001, Gamma: 0.9",2,0,10,4,37.5,10,40,,,
"Nu: 0.0001, Gamma: 0.99",2,0,7,7,56.25,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,2,0,14,87.5,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,2,0,14,87.5,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,2,0,14,87.5,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,2,0,14,87.5,10,40,,,
"Nu: 0.0002, Gamma: 0.005",2,0,11,3,31.25,10,40,,,
"Nu: 0.0002, Gamma: 0.05",2,0,14,0,12.5,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,0,14,0,12.5,10,40,,,
"Nu: 0.0002, Gamma: 0.1",2,0,14,0,12.5,10,40,,,
"Nu: 0.0002, Gamma: 0.2",2,0,13,1,18.75,10,40,,,
"Nu: 0.0002, Gamma: 0.5",2,0,12,2,25,10,40,,,
"Nu: 0.0002, Gamma: 0.7",2,0,8,6,50,10,40,,,
"Nu: 0.0002, Gamma: 0.9",2,0,11,3,31.25,10,40,,,
"Nu: 0.0002, Gamma: 0.99",1,1,7,7,50,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,2,0,14,87.5,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,2,0,14,87.5,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,2,0,14,87.5,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,2,6,8,50,10,40,,,
"Nu: 0.0003, Gamma: 0.005",2,0,11,3,31.25,10,40,,,
"Nu: 0.0003, Gamma: 0.05",2,0,14,0,12.5,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,0,14,0,12.5,10,40,,,
"Nu: 0.0003, Gamma: 0.1",2,0,11,3,31.25,10,40,,,
"Nu: 0.0003, Gamma: 0.2",2,0,13,1,18.75,10,40,,,
"Nu: 0.0003, Gamma: 0.5",2,0,12,2,25,10,40,,,
"Nu: 0.0003, Gamma: 0.7",2,0,11,3,31.25,10,40,,,
"Nu: 0.0003, Gamma: 0.9",2,0,8,6,50,10,40,,,
"Nu: 0.0003, Gamma: 0.99",2,0,7,7,56.25,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,2,0,14,87.5,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,2,0,14,87.5,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,2,6,8,50,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,2,6,8,50,10,40,,,
"Nu: 0.0004, Gamma: 0.005",2,0,11,3,31.25,10,40,,,
"Nu: 0.0004, Gamma: 0.05",2,0,14,0,12.5,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",2,0,14,0,12.5,10,40,,,
"Nu: 0.0004, Gamma: 0.1",2,0,11,3,31.25,10,40,,,
"Nu: 0.0004, Gamma: 0.2",2,0,13,1,18.75,10,40,,,
"Nu: 0.0004, Gamma: 0.5",2,0,12,2,25,10,40,,,
"Nu: 0.0004, Gamma: 0.7",2,0,11,3,31.25,10,40,,,
"Nu: 0.0004, Gamma: 0.9",2,0,8,6,50,10,40,,,
"Nu: 0.0004, Gamma: 0.99",2,0,10,4,37.5,10,40,,,
"Nu: 0.005, Gamma: 0.0001",0,2,6,8,50,10,40,,,
"Nu: 0.005, Gamma: 0.0002",1,1,11,3,25,10,40,,,
"Nu: 0.005, Gamma: 0.0003",1,1,11,3,25,10,40,,,
"Nu: 0.005, Gamma: 0.0004",1,1,11,3,25,10,40,,,
"Nu: 0.005, Gamma: 0.005",2,0,11,3,31.25,10,40,,,
"Nu: 0.005, Gamma: 0.05",2,0,14,0,12.5,10,40,,,
"Nu: 0.005, Gamma: 0.0625",2,0,11,3,31.25,10,40,,,
"Nu: 0.005, Gamma: 0.1",2,0,14,0,12.5,10,40,,,
"Nu: 0.005, Gamma: 0.2",2,0,13,1,18.75,10,40,,,
"Nu: 0.005, Gamma: 0.5",2,0,12,2,25,10,40,,,
"Nu: 0.005, Gamma: 0.7",2,0,8,6,50,10,40,,,
"Nu: 0.005, Gamma: 0.9",2,0,11,3,31.25,10,40,,,
"Nu: 0.005, Gamma: 0.99",2,0,7,7,56.25,10,40,,,
"Nu: 0.05, Gamma: 0.0001",2,0,13,1,18.75,10,40,,,
"Nu: 0.05, Gamma: 0.0002",2,0,13,1,18.75,10,40,,,
"Nu: 0.05, Gamma: 0.0003",2,0,13,1,18.75,10,40,,,
"Nu: 0.05, Gamma: 0.0004",2,0,13,1,18.75,10,40,,,
"Nu: 0.05, Gamma: 0.005",2,0,13,1,18.75,10,40,,,
"Nu: 0.05, Gamma: 0.05",2,0,13,1,18.75,10,40,,,
"Nu: 0.05, Gamma: 0.0625",2,0,13,1,18.75,10,40,,,
"Nu: 0.05, Gamma: 0.1",2,0,13,1,18.75,10,40,,,
"Nu: 0.05, Gamma: 0.2",2,0,13,1,18.75,10,40,,,
"Nu: 0.05, Gamma: 0.5",2,0,12,2,25,10,40,,,
"Nu: 0.05, Gamma: 0.7",2,0,11,3,31.25,10,40,,,
"Nu: 0.05, Gamma: 0.9",2,0,11,3,31.25,10,40,,,
"Nu: 0.05, Gamma: 0.99",2,0,10,4,37.5,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,0,10,4,37.5,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,0,13,1,18.75,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",2,0,13,1,18.75,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,0,10,4,37.5,10,40,,,
"Nu: 0.0625, Gamma: 0.005",2,0,10,4,37.5,10,40,,,
"Nu: 0.0625, Gamma: 0.05",2,0,13,1,18.75,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,0,13,1,18.75,10,40,,,
"Nu: 0.0625, Gamma: 0.1",2,0,13,1,18.75,10,40,,,
"Nu: 0.0625, Gamma: 0.2",2,0,9,5,43.75,10,40,,,
"Nu: 0.0625, Gamma: 0.5",2,0,9,5,43.75,10,40,,,
"Nu: 0.0625, Gamma: 0.7",2,0,8,6,50,10,40,,,
"Nu: 0.0625, Gamma: 0.9",2,0,11,3,31.25,10,40,,,
"Nu: 0.0625, Gamma: 0.99",2,0,7,7,56.25,10,40,,,
"Nu: 0.1, Gamma: 0.0001",2,0,13,1,18.75,10,40,,,
"Nu: 0.1, Gamma: 0.0002",2,0,13,1,18.75,10,40,,,
"Nu: 0.1, Gamma: 0.0003",2,0,13,1,18.75,10,40,,,
"Nu: 0.1, Gamma: 0.0004",2,0,10,4,37.5,10,40,,,
"Nu: 0.1, Gamma: 0.005",2,0,10,4,37.5,10,40,,,
"Nu: 0.1, Gamma: 0.05",2,0,13,1,18.75,10,40,,,
"Nu: 0.1, Gamma: 0.0625",2,0,10,4,37.5,10,40,,,
"Nu: 0.1, Gamma: 0.1",2,0,13,1,18.75,10,40,,,
"Nu: 0.1, Gamma: 0.2",2,0,9,5,43.75,10,40,,,
"Nu: 0.1, Gamma: 0.5",2,0,12,2,25,10,40,,,
"Nu: 0.1, Gamma: 0.7",2,0,11,3,31.25,10,40,,,
"Nu: 0.1, Gamma: 0.9",2,0,8,6,50,10,40,,,
"Nu: 0.1, Gamma: 0.99",2,0,10,4,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.0001",1,1,10,4,31.25,10,40,,,
"Nu: 0.2, Gamma: 0.0002",1,1,10,4,31.25,10,40,,,
"Nu: 0.2, Gamma: 0.0003",1,1,10,4,31.25,10,40,,,
"Nu: 0.2, Gamma: 0.0004",1,1,10,4,31.25,10,40,,,
"Nu: 0.2, Gamma: 0.005",1,1,10,4,31.25,10,40,,,
"Nu: 0.2, Gamma: 0.05",1,1,10,4,31.25,10,40,,,
"Nu: 0.2, Gamma: 0.0625",1,1,10,4,31.25,10,40,,,
"Nu: 0.2, Gamma: 0.1",1,1,9,5,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.2",1,1,9,5,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.5",2,0,8,6,50,10,40,,,
"Nu: 0.2, Gamma: 0.7",2,0,10,4,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.9",2,0,10,4,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.99",2,0,9,5,43.75,10,40,,,
"Nu: 0.5, Gamma: 0.0001",0,2,8,6,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.0002",0,2,8,6,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.0003",0,2,8,6,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.0004",0,2,8,6,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.005",0,2,8,6,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.05",0,2,8,6,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.0625",0,2,8,6,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.1",0,2,8,6,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.2",1,1,7,7,50,10,40,,,
"Nu: 0.5, Gamma: 0.5",1,1,5,9,62.5,10,40,,,
"Nu: 0.5, Gamma: 0.7",1,1,4,10,68.75,10,40,,,
"Nu: 0.5, Gamma: 0.9",1,1,4,10,68.75,10,40,,,
"Nu: 0.5, Gamma: 0.99",1,1,5,9,62.5,10,40,,,
"Nu: 0.7, Gamma: 0.0001",0,2,5,9,56.25,10,40,,,
"Nu: 0.7, Gamma: 0.0002",0,2,6,8,50,10,40,,,
"Nu: 0.7, Gamma: 0.0003",0,2,6,8,50,10,40,,,
"Nu: 0.7, Gamma: 0.0004",0,2,6,8,50,10,40,,,
"Nu: 0.7, Gamma: 0.005",0,2,6,8,50,10,40,,,
"Nu: 0.7, Gamma: 0.05",0,2,7,7,43.75,10,40,,,
"Nu: 0.7, Gamma: 0.0625",0,2,7,7,43.75,10,40,,,
"Nu: 0.7, Gamma: 0.1",0,2,7,7,43.75,10,40,,,
"Nu: 0.7, Gamma: 0.2",0,2,4,10,62.5,10,40,,,
"Nu: 0.7, Gamma: 0.5",0,2,1,13,81.25,10,40,,,
"Nu: 0.7, Gamma: 0.7",0,2,0,14,87.5,10,40,,,
"Nu: 0.7, Gamma: 0.9",0,2,0,14,87.5,10,40,,,
"Nu: 0.7, Gamma: 0.99",0,2,0,14,87.5,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,2,2,12,75,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,2,2,12,75,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,2,2,12,75,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,2,2,12,75,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,2,2,12,75,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,2,1,13,81.25,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,2,1,13,81.25,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,2,1,13,81.25,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,2,0,14,87.5,10,40,,,
"Nu: 0.9, Gamma: 0.5",0,2,0,14,87.5,10,40,,,
"Nu: 0.9, Gamma: 0.7",0,2,0,14,87.5,10,40,,,
"Nu: 0.9, Gamma: 0.9",0,2,0,14,87.5,10,40,,,
"Nu: 0.9, Gamma: 0.99",0,2,0,14,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,2,1,13,81.25,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,2,1,13,81.25,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,2,1,13,81.25,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,2,1,13,81.25,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,2,1,13,81.25,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,2,1,13,81.25,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,2,1,13,81.25,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,2,0,14,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,2,0,14,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,2,0,14,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,2,0,14,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,2,0,14,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,2,0,14,87.5,10,40,,,
,,,,,,,,,,
Target Class: blackscholes_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0001, Gamma: 0.005",1,1,5,15,72.72727273,10,40,,,
"Nu: 0.0001, Gamma: 0.05",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0001, Gamma: 0.1",2,0,19,1,13.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.2",1,1,12,8,40.90909091,10,40,,,
"Nu: 0.0001, Gamma: 0.5",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0001, Gamma: 0.7",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0001, Gamma: 0.9",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0001, Gamma: 0.99",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0002, Gamma: 0.005",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0002, Gamma: 0.05",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0002, Gamma: 0.1",1,1,17,3,18.18181818,10,40,,,
"Nu: 0.0002, Gamma: 0.2",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.5",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.7",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.9",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.99",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0003, Gamma: 0.005",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.05",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.1",1,1,17,3,18.18181818,10,40,,,
"Nu: 0.0003, Gamma: 0.2",1,1,13,7,36.36363636,10,40,,,
"Nu: 0.0003, Gamma: 0.5",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0003, Gamma: 0.7",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0003, Gamma: 0.9",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.0003, Gamma: 0.99",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.0004, Gamma: 0.005",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.05",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.1",1,1,17,3,18.18181818,10,40,,,
"Nu: 0.0004, Gamma: 0.2",2,0,16,4,27.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.5",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.7",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.9",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.99",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.0001",1,1,7,13,63.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.0002",1,1,8,12,59.09090909,10,40,,,
"Nu: 0.005, Gamma: 0.0003",1,1,8,12,59.09090909,10,40,,,
"Nu: 0.005, Gamma: 0.0004",1,1,8,12,59.09090909,10,40,,,
"Nu: 0.005, Gamma: 0.005",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.05",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.0625",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.1",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.2",2,0,16,4,27.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.5",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.7",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.9",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.99",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.0001",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.05, Gamma: 0.0002",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.05, Gamma: 0.0003",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.05, Gamma: 0.0004",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.05, Gamma: 0.005",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.05, Gamma: 0.05",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.05, Gamma: 0.0625",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.05, Gamma: 0.1",2,0,19,1,13.63636364,10,40,,,
"Nu: 0.05, Gamma: 0.2",2,0,16,4,27.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.5",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.7",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.9",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.99",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.0625, Gamma: 0.005",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0625, Gamma: 0.05",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,0,20,0,9.090909091,10,40,,,
"Nu: 0.0625, Gamma: 0.1",2,0,19,1,13.63636364,10,40,,,
"Nu: 0.0625, Gamma: 0.2",2,0,16,4,27.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.5",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.7",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.9",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.99",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.0001",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.1, Gamma: 0.0002",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.1, Gamma: 0.0003",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.1, Gamma: 0.0004",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.1, Gamma: 0.005",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.1, Gamma: 0.05",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.1, Gamma: 0.0625",1,1,19,1,9.090909091,10,40,,,
"Nu: 0.1, Gamma: 0.1",2,0,19,1,13.63636364,10,40,,,
"Nu: 0.1, Gamma: 0.2",2,0,16,4,27.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.5",1,1,15,5,27.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.7",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.9",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.99",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.0001",1,1,18,2,13.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.0002",2,0,19,1,13.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.0003",2,0,19,1,13.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.0004",2,0,19,1,13.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.005",1,1,18,2,13.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.05",1,1,18,2,13.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.0625",1,1,17,3,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.1",2,0,18,2,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.2",2,0,16,4,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.5",0,2,14,6,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.7",1,1,14,6,31.81818182,10,40,,,
"Nu: 0.2, Gamma: 0.9",1,1,14,6,31.81818182,10,40,,,
"Nu: 0.2, Gamma: 0.99",1,1,14,6,31.81818182,10,40,,,
"Nu: 0.5, Gamma: 0.0001",1,1,4,16,77.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.0002",1,1,4,16,77.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.0003",1,1,4,16,77.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.0004",1,1,4,16,77.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.005",1,1,4,16,77.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.05",0,2,3,17,77.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.0625",0,2,3,17,77.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.1",0,2,3,17,77.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.2",0,2,9,11,50,10,40,,,
"Nu: 0.5, Gamma: 0.5",0,2,11,9,40.90909091,10,40,,,
"Nu: 0.5, Gamma: 0.7",1,1,14,6,31.81818182,10,40,,,
"Nu: 0.5, Gamma: 0.9",1,1,14,6,31.81818182,10,40,,,
"Nu: 0.5, Gamma: 0.99",1,1,14,6,31.81818182,10,40,,,
"Nu: 0.7, Gamma: 0.0001",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.7, Gamma: 0.0002",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.7, Gamma: 0.0003",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.7, Gamma: 0.0004",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.7, Gamma: 0.005",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.7, Gamma: 0.05",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.7, Gamma: 0.0625",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.7, Gamma: 0.1",0,2,3,17,77.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.2",0,2,3,17,77.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.5",0,2,4,16,72.72727273,10,40,,,
"Nu: 0.7, Gamma: 0.7",0,2,3,17,77.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.9",0,2,4,16,72.72727273,10,40,,,
"Nu: 0.7, Gamma: 0.99",0,2,4,16,72.72727273,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,2,1,19,86.36363636,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,2,1,19,86.36363636,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,2,1,19,86.36363636,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,2,1,19,86.36363636,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,2,1,19,86.36363636,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.5",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.7",0,2,1,19,86.36363636,10,40,,,
"Nu: 0.9, Gamma: 0.9",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.99",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,2,0,20,90.90909091,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,2,1,19,86.36363636,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,2,2,18,81.81818182,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,2,1,19,86.36363636,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,2,1,19,86.36363636,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,2,1,19,86.36363636,10,40,,,
