Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.9, Gamma: 0.7",1,11,1,110,90.24390244,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,10,1,110,91.05691057,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,10,1,110,91.05691057,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,6,105,85.36585366,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,6,105,85.36585366,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,2,109,88.61788618,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,2,109,88.61788618,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,3,108,87.80487805,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,4,107,86.99186992,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,3,108,87.80487805,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,3,108,87.80487805,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,111,90.24390244,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,116,90.625,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0001, Gamma: 0.005",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,114,2,10.9375,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,107,9,16.40625,10,40,,,
"Nu: 0.0001, Gamma: 0.1",11,1,94,22,25.78125,10,40,,,
"Nu: 0.0001, Gamma: 0.2",11,1,91,25,28.125,10,40,,,
"Nu: 0.0001, Gamma: 0.5",11,1,92,24,27.34375,10,40,,,
"Nu: 0.0001, Gamma: 0.7",11,1,90,26,28.90625,10,40,,,
"Nu: 0.0001, Gamma: 0.9",11,1,88,28,30.46875,10,40,,,
"Nu: 0.0001, Gamma: 0.99",11,1,85,31,32.8125,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0002, Gamma: 0.005",12,0,114,2,10.9375,10,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,114,2,10.9375,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,107,9,16.40625,10,40,,,
"Nu: 0.0002, Gamma: 0.1",11,1,94,22,25.78125,10,40,,,
"Nu: 0.0002, Gamma: 0.2",11,1,91,25,28.125,10,40,,,
"Nu: 0.0002, Gamma: 0.5",11,1,91,25,28.125,10,40,,,
"Nu: 0.0002, Gamma: 0.7",11,1,90,26,28.90625,10,40,,,
"Nu: 0.0002, Gamma: 0.9",11,1,88,28,30.46875,10,40,,,
"Nu: 0.0002, Gamma: 0.99",11,1,87,29,31.25,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0003, Gamma: 0.005",12,0,114,2,10.9375,10,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,114,2,10.9375,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,111,5,13.28125,10,40,,,
"Nu: 0.0003, Gamma: 0.1",11,1,94,22,25.78125,10,40,,,
"Nu: 0.0003, Gamma: 0.2",11,1,91,25,28.125,10,40,,,
"Nu: 0.0003, Gamma: 0.5",11,1,91,25,28.125,10,40,,,
"Nu: 0.0003, Gamma: 0.7",11,1,90,26,28.90625,10,40,,,
"Nu: 0.0003, Gamma: 0.9",11,1,88,28,30.46875,10,40,,,
"Nu: 0.0003, Gamma: 0.99",11,1,86,30,32.03125,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",12,0,116,0,9.375,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",11,1,93,23,26.5625,10,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,114,2,10.9375,10,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,114,2,10.9375,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,107,9,16.40625,10,40,,,
"Nu: 0.0004, Gamma: 0.1",11,1,94,22,25.78125,10,40,,,
"Nu: 0.0004, Gamma: 0.2",11,1,91,25,28.125,10,40,,,
"Nu: 0.0004, Gamma: 0.5",11,1,91,25,28.125,10,40,,,
"Nu: 0.0004, Gamma: 0.7",11,1,90,26,28.90625,10,40,,,
"Nu: 0.0004, Gamma: 0.9",11,1,88,28,30.46875,10,40,,,
"Nu: 0.0004, Gamma: 0.99",11,1,87,29,31.25,10,40,,,
"Nu: 0.005, Gamma: 0.0001",12,0,95,21,25.78125,10,40,,,
"Nu: 0.005, Gamma: 0.0002",12,0,95,21,25.78125,10,40,,,
"Nu: 0.005, Gamma: 0.0003",12,0,112,4,12.5,10,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,114,2,10.9375,10,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,114,2,10.9375,10,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,114,2,10.9375,10,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,114,2,10.9375,10,40,,,
"Nu: 0.005, Gamma: 0.1",11,1,94,22,25.78125,10,40,,,
"Nu: 0.005, Gamma: 0.2",11,1,91,25,28.125,10,40,,,
"Nu: 0.005, Gamma: 0.5",11,1,91,25,28.125,10,40,,,
"Nu: 0.005, Gamma: 0.7",11,1,90,26,28.90625,10,40,,,
"Nu: 0.005, Gamma: 0.9",11,1,87,29,31.25,10,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,86,30,32.03125,10,40,,,
"Nu: 0.05, Gamma: 0.0001",11,1,92,24,27.34375,10,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,93,23,27.34375,10,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,109,7,14.84375,10,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,109,7,14.84375,10,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,102,14,20.3125,10,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,93,23,27.34375,10,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,93,23,27.34375,10,40,,,
"Nu: 0.05, Gamma: 0.1",11,1,93,23,26.5625,10,40,,,
"Nu: 0.05, Gamma: 0.2",11,1,91,25,28.125,10,40,,,
"Nu: 0.05, Gamma: 0.5",11,1,91,25,28.125,10,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,89,27,29.6875,10,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,85,31,32.8125,10,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,86,30,32.03125,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,92,24,28.125,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,92,24,28.125,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,92,24,28.125,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,92,24,28.125,10,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,92,24,28.125,10,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,91,25,28.90625,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,91,25,28.90625,10,40,,,
"Nu: 0.0625, Gamma: 0.1",11,1,91,25,28.125,10,40,,,
"Nu: 0.0625, Gamma: 0.2",11,1,91,25,28.125,10,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,91,25,28.125,10,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,89,27,29.6875,10,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,85,31,32.8125,10,40,,,
"Nu: 0.0625, Gamma: 0.99",11,1,85,31,32.8125,10,40,,,
"Nu: 0.1, Gamma: 0.0001",12,0,90,26,29.6875,10,40,,,
"Nu: 0.1, Gamma: 0.0002",12,0,90,26,29.6875,10,40,,,
"Nu: 0.1, Gamma: 0.0003",12,0,90,26,29.6875,10,40,,,
"Nu: 0.1, Gamma: 0.0004",12,0,90,26,29.6875,10,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,90,26,29.6875,10,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,91,25,28.90625,10,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,91,25,28.90625,10,40,,,
"Nu: 0.1, Gamma: 0.1",11,1,88,28,30.46875,10,40,,,
"Nu: 0.1, Gamma: 0.2",11,1,88,28,30.46875,10,40,,,
"Nu: 0.1, Gamma: 0.5",11,1,91,25,28.125,10,40,,,
"Nu: 0.1, Gamma: 0.7",11,1,89,27,29.6875,10,40,,,
"Nu: 0.1, Gamma: 0.9",11,1,85,31,32.8125,10,40,,,
"Nu: 0.1, Gamma: 0.99",11,1,84,32,33.59375,10,40,,,
"Nu: 0.2, Gamma: 0.0001",12,0,89,27,30.46875,10,40,,,
"Nu: 0.2, Gamma: 0.0002",12,0,89,27,30.46875,10,40,,,
"Nu: 0.2, Gamma: 0.0003",12,0,89,27,30.46875,10,40,,,
"Nu: 0.2, Gamma: 0.0004",12,0,89,27,30.46875,10,40,,,
"Nu: 0.2, Gamma: 0.005",12,0,89,27,30.46875,10,40,,,
"Nu: 0.2, Gamma: 0.05",12,0,89,27,30.46875,10,40,,,
"Nu: 0.2, Gamma: 0.0625",12,0,88,28,31.25,10,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,84,32,33.59375,10,40,,,
"Nu: 0.2, Gamma: 0.2",11,1,85,31,32.8125,10,40,,,
"Nu: 0.2, Gamma: 0.5",11,1,85,31,32.8125,10,40,,,
"Nu: 0.2, Gamma: 0.7",11,1,84,32,33.59375,10,40,,,
"Nu: 0.2, Gamma: 0.9",11,1,81,35,35.9375,10,40,,,
"Nu: 0.2, Gamma: 0.99",11,1,81,35,35.9375,10,40,,,
"Nu: 0.5, Gamma: 0.0001",8,4,72,44,40.625,10,40,,,
"Nu: 0.5, Gamma: 0.0002",8,4,72,44,40.625,10,40,,,
"Nu: 0.5, Gamma: 0.0003",8,4,72,44,40.625,10,40,,,
"Nu: 0.5, Gamma: 0.0004",8,4,72,44,40.625,10,40,,,
"Nu: 0.5, Gamma: 0.005",8,4,72,44,40.625,10,40,,,
"Nu: 0.5, Gamma: 0.05",8,4,72,44,40.625,10,40,,,
"Nu: 0.5, Gamma: 0.0625",8,4,72,44,40.625,10,40,,,
"Nu: 0.5, Gamma: 0.1",8,4,73,43,39.84375,10,40,,,
"Nu: 0.5, Gamma: 0.2",10,2,77,39,38.28125,10,40,,,
"Nu: 0.5, Gamma: 0.5",7,5,75,41,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.7",7,5,65,51,45.3125,10,40,,,
"Nu: 0.5, Gamma: 0.9",8,4,66,50,45.3125,10,40,,,
"Nu: 0.5, Gamma: 0.99",8,4,67,49,44.53125,10,40,,,
"Nu: 0.7, Gamma: 0.0001",6,6,55,61,52.34375,10,40,,,
"Nu: 0.7, Gamma: 0.0002",6,6,55,61,52.34375,10,40,,,
"Nu: 0.7, Gamma: 0.0003",6,6,55,61,52.34375,10,40,,,
"Nu: 0.7, Gamma: 0.0004",6,6,55,61,52.34375,10,40,,,
"Nu: 0.7, Gamma: 0.005",6,6,55,61,52.34375,10,40,,,
"Nu: 0.7, Gamma: 0.05",6,6,55,61,52.34375,10,40,,,
"Nu: 0.7, Gamma: 0.0625",6,6,54,62,53.125,10,40,,,
"Nu: 0.7, Gamma: 0.1",6,6,53,63,53.90625,10,40,,,
"Nu: 0.7, Gamma: 0.2",7,5,64,52,46.09375,10,40,,,
"Nu: 0.7, Gamma: 0.5",6,6,56,60,51.5625,10,40,,,
"Nu: 0.7, Gamma: 0.7",6,6,52,64,54.6875,10,40,,,
"Nu: 0.7, Gamma: 0.9",6,6,50,66,56.25,10,40,,,
"Nu: 0.7, Gamma: 0.99",6,6,51,65,55.46875,10,40,,,
"Nu: 0.9, Gamma: 0.0001",1,11,13,103,81.25,10,40,,,
"Nu: 0.9, Gamma: 0.0002",1,11,13,103,81.25,10,40,,,
"Nu: 0.9, Gamma: 0.0003",1,11,13,103,81.25,10,40,,,
"Nu: 0.9, Gamma: 0.0004",1,11,13,103,81.25,10,40,,,
"Nu: 0.9, Gamma: 0.005",1,11,13,103,81.25,10,40,,,
"Nu: 0.9, Gamma: 0.05",1,11,17,99,78.125,10,40,,,
"Nu: 0.9, Gamma: 0.0625",1,11,18,98,77.34375,10,40,,,
"Nu: 0.9, Gamma: 0.1",1,11,20,96,75.78125,10,40,,,
"Nu: 0.9, Gamma: 0.2",3,9,34,82,66.40625,10,40,,,
"Nu: 0.9, Gamma: 0.5",5,7,41,75,62.5,10,40,,,
"Nu: 0.9, Gamma: 0.7",6,6,41,75,63.28125,10,40,,,
"Nu: 0.9, Gamma: 0.9",6,6,43,73,61.71875,10,40,,,
"Nu: 0.9, Gamma: 0.99",6,6,44,72,60.9375,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,2,114,89.0625,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,2,114,89.0625,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,2,114,89.0625,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,2,114,89.0625,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,2,114,89.0625,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,3,113,88.28125,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,3,113,88.28125,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,3,113,88.28125,10,40,,,
"Nu: 0.99, Gamma: 0.2",1,11,12,104,82.03125,10,40,,,
"Nu: 0.99, Gamma: 0.5",3,9,25,91,73.4375,10,40,,,
"Nu: 0.99, Gamma: 0.7",4,8,25,91,74.21875,10,40,,,
"Nu: 0.99, Gamma: 0.9",4,8,26,90,73.4375,10,40,,,
"Nu: 0.99, Gamma: 0.99",3,9,27,89,71.875,10,40,,,
,,,,,,,,,,
Target Class: vips_IndirectBP,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,111,90.24390244,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0001, Gamma: 0.005",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0001, Gamma: 0.1",11,1,91,20,25.20325203,10,40,,,
"Nu: 0.0001, Gamma: 0.2",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0001, Gamma: 0.5",11,1,88,23,27.64227642,10,40,,,
"Nu: 0.0001, Gamma: 0.7",11,1,88,23,27.64227642,10,40,,,
"Nu: 0.0001, Gamma: 0.9",11,1,88,23,27.64227642,10,40,,,
"Nu: 0.0001, Gamma: 0.99",11,1,88,23,27.64227642,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0002, Gamma: 0.005",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0002, Gamma: 0.1",11,1,91,20,25.20325203,10,40,,,
"Nu: 0.0002, Gamma: 0.2",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0002, Gamma: 0.5",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0002, Gamma: 0.7",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0002, Gamma: 0.9",11,1,88,23,27.64227642,10,40,,,
"Nu: 0.0002, Gamma: 0.99",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0003, Gamma: 0.005",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0003, Gamma: 0.1",11,1,91,20,25.20325203,10,40,,,
"Nu: 0.0003, Gamma: 0.2",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0003, Gamma: 0.5",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0003, Gamma: 0.7",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0003, Gamma: 0.9",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0003, Gamma: 0.99",11,1,88,23,27.64227642,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",11,1,86,25,29.26829268,10,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.0004, Gamma: 0.1",11,1,91,20,25.20325203,10,40,,,
"Nu: 0.0004, Gamma: 0.2",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0004, Gamma: 0.5",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0004, Gamma: 0.7",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0004, Gamma: 0.9",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.0004, Gamma: 0.99",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.005, Gamma: 0.0001",12,0,109,2,11.38211382,10,40,,,
"Nu: 0.005, Gamma: 0.0002",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.005, Gamma: 0.0003",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,111,0,9.756097561,10,40,,,
"Nu: 0.005, Gamma: 0.1",11,1,91,20,25.20325203,10,40,,,
"Nu: 0.005, Gamma: 0.2",11,1,90,21,26.01626016,10,40,,,
"Nu: 0.005, Gamma: 0.5",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.005, Gamma: 0.7",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.005, Gamma: 0.9",11,1,88,23,27.64227642,10,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,88,23,27.64227642,10,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,108,3,12.19512195,10,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,108,3,12.19512195,10,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,108,3,12.19512195,10,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,108,3,12.19512195,10,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,108,3,12.19512195,10,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,89,22,27.64227642,10,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,89,22,27.64227642,10,40,,,
"Nu: 0.05, Gamma: 0.1",11,1,88,23,27.64227642,10,40,,,
"Nu: 0.05, Gamma: 0.2",11,1,89,22,26.82926829,10,40,,,
"Nu: 0.05, Gamma: 0.5",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,107,4,13.00813008,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,107,4,13.00813008,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,107,4,13.00813008,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,107,4,13.00813008,10,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,107,4,13.00813008,10,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,88,23,28.45528455,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,88,23,28.45528455,10,40,,,
"Nu: 0.0625, Gamma: 0.1",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.0625, Gamma: 0.2",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,85,26,30.08130081,10,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.0625, Gamma: 0.99",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.1, Gamma: 0.0001",12,0,85,26,30.89430894,10,40,,,
"Nu: 0.1, Gamma: 0.0002",12,0,85,26,30.89430894,10,40,,,
"Nu: 0.1, Gamma: 0.0003",12,0,85,26,30.89430894,10,40,,,
"Nu: 0.1, Gamma: 0.0004",12,0,85,26,30.89430894,10,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,85,26,30.89430894,10,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,85,26,30.89430894,10,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,86,25,30.08130081,10,40,,,
"Nu: 0.1, Gamma: 0.1",11,1,84,27,30.89430894,10,40,,,
"Nu: 0.1, Gamma: 0.2",11,1,84,27,30.89430894,10,40,,,
"Nu: 0.1, Gamma: 0.5",11,1,85,26,30.08130081,10,40,,,
"Nu: 0.1, Gamma: 0.7",11,1,85,26,30.08130081,10,40,,,
"Nu: 0.1, Gamma: 0.9",11,1,85,26,30.08130081,10,40,,,
"Nu: 0.1, Gamma: 0.99",11,1,87,24,28.45528455,10,40,,,
"Nu: 0.2, Gamma: 0.0001",10,2,70,41,41.46341463,10,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,70,41,41.46341463,10,40,,,
"Nu: 0.2, Gamma: 0.0003",10,2,70,41,41.46341463,10,40,,,
"Nu: 0.2, Gamma: 0.0004",10,2,70,41,41.46341463,10,40,,,
"Nu: 0.2, Gamma: 0.005",10,2,70,41,41.46341463,10,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,71,40,41.46341463,10,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,71,40,41.46341463,10,40,,,
"Nu: 0.2, Gamma: 0.1",10,2,72,39,39.83739837,10,40,,,
"Nu: 0.2, Gamma: 0.2",11,1,79,32,34.95934959,10,40,,,
"Nu: 0.2, Gamma: 0.5",11,1,81,30,33.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.7",11,1,80,31,34.14634146,10,40,,,
"Nu: 0.2, Gamma: 0.9",11,1,78,33,35.77235772,10,40,,,
"Nu: 0.2, Gamma: 0.99",11,1,78,33,35.77235772,10,40,,,
"Nu: 0.5, Gamma: 0.0001",6,6,43,68,60.16260163,10,40,,,
"Nu: 0.5, Gamma: 0.0002",6,6,43,68,60.16260163,10,40,,,
"Nu: 0.5, Gamma: 0.0003",6,6,43,68,60.16260163,10,40,,,
"Nu: 0.5, Gamma: 0.0004",6,6,43,68,60.16260163,10,40,,,
"Nu: 0.5, Gamma: 0.005",6,6,43,68,60.16260163,10,40,,,
"Nu: 0.5, Gamma: 0.05",7,5,45,66,59.3495935,10,40,,,
"Nu: 0.5, Gamma: 0.0625",7,5,44,67,60.16260163,10,40,,,
"Nu: 0.5, Gamma: 0.1",7,5,45,66,59.3495935,10,40,,,
"Nu: 0.5, Gamma: 0.2",8,4,54,57,52.84552846,10,40,,,
"Nu: 0.5, Gamma: 0.5",10,2,54,57,54.47154472,10,40,,,
"Nu: 0.5, Gamma: 0.7",11,1,63,48,47.96747967,10,40,,,
"Nu: 0.5, Gamma: 0.9",11,1,65,46,46.34146341,10,40,,,
"Nu: 0.5, Gamma: 0.99",11,1,66,45,45.52845528,10,40,,,
"Nu: 0.7, Gamma: 0.0001",1,11,25,86,70.73170732,10,40,,,
"Nu: 0.7, Gamma: 0.0002",1,11,25,86,70.73170732,10,40,,,
"Nu: 0.7, Gamma: 0.0003",1,11,25,86,70.73170732,10,40,,,
"Nu: 0.7, Gamma: 0.0004",1,11,25,86,70.73170732,10,40,,,
"Nu: 0.7, Gamma: 0.005",1,11,25,86,70.73170732,10,40,,,
"Nu: 0.7, Gamma: 0.05",1,11,25,86,70.73170732,10,40,,,
"Nu: 0.7, Gamma: 0.0625",1,11,25,86,70.73170732,10,40,,,
"Nu: 0.7, Gamma: 0.1",2,10,28,83,69.10569106,10,40,,,
"Nu: 0.7, Gamma: 0.2",5,7,35,76,65.85365854,10,40,,,
"Nu: 0.7, Gamma: 0.5",9,3,40,71,65.04065041,10,40,,,
"Nu: 0.7, Gamma: 0.7",9,3,40,71,65.04065041,10,40,,,
"Nu: 0.7, Gamma: 0.9",9,3,43,68,62.60162602,10,40,,,
"Nu: 0.7, Gamma: 0.99",9,3,42,69,63.41463415,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,12,15,96,78.04878049,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,12,15,96,78.04878049,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,15,96,78.04878049,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,15,96,78.04878049,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,15,96,78.04878049,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,12,14,97,78.86178862,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,12,14,97,78.86178862,10,40,,,
