Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.05, Gamma: 0.99",12,0,73,43,42.96875,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,112,4,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,89,27,30.46875,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,89,27,30.46875,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,89,27,30.46875,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,90,26,29.6875,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,90,26,29.6875,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,90,26,29.6875,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,90,26,29.6875,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,88,28,31.25,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,87,29,32.03125,0,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,81,35,36.71875,0,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,74,42,42.1875,0,40,,,
"Nu: 0.0625, Gamma: 0.99",12,0,71,45,44.53125,0,40,,,
"Nu: 0.1, Gamma: 0.0001",7,5,71,45,40.625,0,40,,,
"Nu: 0.1, Gamma: 0.0002",12,0,109,7,14.84375,0,40,,,
"Nu: 0.1, Gamma: 0.0003",12,0,109,7,14.84375,0,40,,,
"Nu: 0.1, Gamma: 0.0004",12,0,109,7,14.84375,0,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,89,27,30.46875,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,89,27,30.46875,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,89,27,30.46875,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,86,30,32.8125,0,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,87,29,32.03125,0,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,83,33,35.15625,0,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,77,39,39.84375,0,40,,,
"Nu: 0.1, Gamma: 0.9",12,0,73,43,42.96875,0,40,,,
"Nu: 0.1, Gamma: 0.99",12,0,70,46,45.3125,0,40,,,
"Nu: 0.2, Gamma: 0.0001",11,1,87,29,31.25,0,40,,,
"Nu: 0.2, Gamma: 0.0002",11,1,87,29,31.25,0,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,87,29,31.25,0,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,87,29,31.25,0,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,87,29,31.25,0,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,86,30,32.03125,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,86,30,32.03125,0,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,84,32,33.59375,0,40,,,
"Nu: 0.2, Gamma: 0.2",10,2,78,38,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.5",10,2,69,47,44.53125,0,40,,,
"Nu: 0.2, Gamma: 0.7",11,1,65,51,48.4375,0,40,,,
"Nu: 0.2, Gamma: 0.9",11,1,55,61,56.25,0,40,,,
"Nu: 0.2, Gamma: 0.99",10,2,49,67,60.15625,0,40,,,
"Nu: 0.5, Gamma: 0.0001",7,5,68,48,42.96875,0,40,,,
"Nu: 0.5, Gamma: 0.0002",7,5,68,48,42.96875,0,40,,,
"Nu: 0.5, Gamma: 0.0003",7,5,71,45,40.625,0,40,,,
"Nu: 0.5, Gamma: 0.0004",7,5,71,45,40.625,0,40,,,
"Nu: 0.5, Gamma: 0.005",7,5,71,45,40.625,0,40,,,
"Nu: 0.5, Gamma: 0.05",8,4,70,46,42.1875,0,40,,,
"Nu: 0.5, Gamma: 0.0625",8,4,70,46,42.1875,0,40,,,
"Nu: 0.5, Gamma: 0.1",7,5,69,47,42.1875,0,40,,,
"Nu: 0.5, Gamma: 0.2",8,4,68,48,43.75,0,40,,,
"Nu: 0.5, Gamma: 0.5",6,6,57,59,50.78125,0,40,,,
"Nu: 0.5, Gamma: 0.7",5,7,45,71,59.375,0,40,,,
"Nu: 0.5, Gamma: 0.9",6,6,37,79,66.40625,0,40,,,
"Nu: 0.5, Gamma: 0.99",6,6,34,82,68.75,0,40,,,
"Nu: 0.7, Gamma: 0.0001",5,7,43,73,60.9375,0,40,,,
"Nu: 0.7, Gamma: 0.0002",5,7,43,73,60.9375,0,40,,,
"Nu: 0.7, Gamma: 0.0003",5,7,43,73,60.9375,0,40,,,
"Nu: 0.7, Gamma: 0.0004",5,7,43,73,60.9375,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,7,43,73,60.9375,0,40,,,
"Nu: 0.7, Gamma: 0.05",5,7,40,76,63.28125,0,40,,,
"Nu: 0.7, Gamma: 0.0625",5,7,40,76,63.28125,0,40,,,
"Nu: 0.7, Gamma: 0.1",5,7,47,69,57.8125,0,40,,,
"Nu: 0.7, Gamma: 0.2",4,8,53,63,52.34375,0,40,,,
"Nu: 0.7, Gamma: 0.5",4,8,30,86,70.3125,0,40,,,
"Nu: 0.7, Gamma: 0.7",4,8,28,88,71.875,0,40,,,
