Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.6719826,303
"Nu: 0.9, Gamma: 0.0004",234,268,134,4882,92.71475172,0,40,,,
"Nu: 0.9, Gamma: 0.005",93,409,4,5012,92.51540413,0,40,,,
"Nu: 0.9, Gamma: 0.05",51,451,1,5015,91.80862631,0,40,,,
"Nu: 0.9, Gamma: 0.0625",35,467,0,5016,91.53678869,0,40,,,
"Nu: 0.9, Gamma: 0.1",35,467,0,5016,91.53678869,0,40,,,
"Nu: 0.9, Gamma: 0.2",38,464,0,5016,91.59115622,0,40,,,
"Nu: 0.9, Gamma: 0.5",38,464,0,5016,91.59115622,0,40,,,
"Nu: 0.9, Gamma: 0.7",40,462,0,5016,91.62740123,0,40,,,
"Nu: 0.9, Gamma: 0.9",42,460,0,5016,91.66364625,0,40,,,
"Nu: 0.9, Gamma: 0.99",44,458,0,5016,91.69989126,0,40,,,
"Nu: 0.99, Gamma: 0.0001",20,482,0,5016,91.26495107,0,40,,,
"Nu: 0.99, Gamma: 0.0002",149,353,20,4996,93.24030446,0,40,,,
"Nu: 0.99, Gamma: 0.0003",205,297,74,4942,93.27654947,0,40,,,
"Nu: 0.99, Gamma: 0.0004",242,260,132,4884,92.8959768,0,40,,,
"Nu: 0.99, Gamma: 0.005",94,408,3,5013,92.55164915,0,40,,,
"Nu: 0.99, Gamma: 0.05",5,497,0,5016,90.99311345,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,501,0,5016,90.92062341,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,501,0,5016,90.92062341,0,40,,,
"Nu: 0.99, Gamma: 0.2",1,501,0,5016,90.92062341,0,40,,,
"Nu: 0.99, Gamma: 0.5",2,500,0,5016,90.93874592,0,40,,,
"Nu: 0.99, Gamma: 0.7",2,500,0,5016,90.93874592,0,40,,,
"Nu: 0.99, Gamma: 0.9",1,501,0,5016,90.92062341,0,40,,,
"Nu: 0.99, Gamma: 0.99",3,499,0,5016,90.95686843,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",502,0,5015,1,9.115621602,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",502,0,5015,1,9.115621602,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",502,0,5015,1,9.115621602,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",502,0,5015,1,9.115621602,10,40,,,
"Nu: 0.0001, Gamma: 0.005",306,196,3594,1422,31.31569409,10,40,,,
"Nu: 0.0001, Gamma: 0.05",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0001, Gamma: 0.1",502,0,5013,3,9.151866618,10,40,,,
"Nu: 0.0001, Gamma: 0.2",502,0,5012,4,9.169989126,10,40,,,
"Nu: 0.0001, Gamma: 0.5",502,0,5006,10,9.278724175,10,40,,,
"Nu: 0.0001, Gamma: 0.7",502,0,5004,12,9.314969192,10,40,,,
"Nu: 0.0001, Gamma: 0.9",502,0,5001,15,9.369336716,10,40,,,
"Nu: 0.0001, Gamma: 0.99",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",320,182,3705,1311,29.5578108,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",320,182,3705,1311,29.5578108,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",318,184,3686,1330,29.86589344,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",319,183,3690,1326,29.81152592,10,40,,,
"Nu: 0.0002, Gamma: 0.005",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0002, Gamma: 0.05",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0002, Gamma: 0.1",502,0,5013,3,9.151866618,10,40,,,
"Nu: 0.0002, Gamma: 0.2",502,0,5012,4,9.169989126,10,40,,,
"Nu: 0.0002, Gamma: 0.5",502,0,5006,10,9.278724175,10,40,,,
"Nu: 0.0002, Gamma: 0.7",502,0,5004,12,9.314969192,10,40,,,
"Nu: 0.0002, Gamma: 0.9",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.0002, Gamma: 0.99",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",301,201,3533,1483,32.33055455,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",301,201,3540,1476,32.20369699,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",301,201,3540,1476,32.20369699,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",301,201,3540,1476,32.20369699,10,40,,,
"Nu: 0.0003, Gamma: 0.005",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0003, Gamma: 0.05",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",502,0,5013,3,9.151866618,10,40,,,
"Nu: 0.0003, Gamma: 0.1",502,0,5013,3,9.151866618,10,40,,,
"Nu: 0.0003, Gamma: 0.2",502,0,5012,4,9.169989126,10,40,,,
"Nu: 0.0003, Gamma: 0.5",502,0,5006,10,9.278724175,10,40,,,
"Nu: 0.0003, Gamma: 0.7",502,0,5004,12,9.314969192,10,40,,,
"Nu: 0.0003, Gamma: 0.9",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.0003, Gamma: 0.99",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",292,210,3448,1568,33.70786517,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",292,210,3451,1565,33.65349764,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",292,210,3451,1565,33.65349764,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",300,202,3536,1480,32.25806452,10,40,,,
"Nu: 0.0004, Gamma: 0.005",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0004, Gamma: 0.05",502,0,5013,3,9.151866618,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",502,0,5013,3,9.151866618,10,40,,,
"Nu: 0.0004, Gamma: 0.1",502,0,5013,3,9.151866618,10,40,,,
"Nu: 0.0004, Gamma: 0.2",502,0,5012,4,9.169989126,10,40,,,
"Nu: 0.0004, Gamma: 0.5",502,0,5006,10,9.278724175,10,40,,,
"Nu: 0.0004, Gamma: 0.7",502,0,5004,12,9.314969192,10,40,,,
"Nu: 0.0004, Gamma: 0.9",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.0004, Gamma: 0.99",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.005, Gamma: 0.0001",502,0,5002,14,9.351214208,10,40,,,
"Nu: 0.005, Gamma: 0.0002",480,22,4860,156,11.52591519,10,40,,,
"Nu: 0.005, Gamma: 0.0003",481,21,4881,135,11.16346502,10,40,,,
"Nu: 0.005, Gamma: 0.0004",494,8,4975,41,9.695541863,10,40,,,
"Nu: 0.005, Gamma: 0.005",502,0,5002,14,9.351214208,10,40,,,
"Nu: 0.005, Gamma: 0.05",502,0,5001,15,9.369336716,10,40,,,
"Nu: 0.005, Gamma: 0.0625",502,0,5001,15,9.369336716,10,40,,,
"Nu: 0.005, Gamma: 0.1",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.005, Gamma: 0.2",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.005, Gamma: 0.5",502,0,4999,17,9.405581733,10,40,,,
"Nu: 0.005, Gamma: 0.7",502,0,4999,17,9.405581733,10,40,,,
"Nu: 0.005, Gamma: 0.9",502,0,4999,17,9.405581733,10,40,,,
"Nu: 0.005, Gamma: 0.99",502,0,4996,20,9.459949257,10,40,,,
"Nu: 0.05, Gamma: 0.0001",485,17,4823,193,12.28706053,10,40,,,
"Nu: 0.05, Gamma: 0.0002",485,17,4823,193,12.28706053,10,40,,,
"Nu: 0.05, Gamma: 0.0003",485,17,4823,193,12.28706053,10,40,,,
"Nu: 0.05, Gamma: 0.0004",485,17,4823,193,12.28706053,10,40,,,
"Nu: 0.05, Gamma: 0.005",486,16,4842,174,11.96085538,10,40,,,
"Nu: 0.05, Gamma: 0.05",486,16,4815,201,12.4501631,10,40,,,
"Nu: 0.05, Gamma: 0.0625",486,16,4810,206,12.54077564,10,40,,,
"Nu: 0.05, Gamma: 0.1",486,16,4798,218,12.75824574,10,40,,,
"Nu: 0.05, Gamma: 0.2",487,15,4729,287,14.02682131,10,40,,,
"Nu: 0.05, Gamma: 0.5",487,15,3932,1084,28.47046031,10,40,,,
"Nu: 0.05, Gamma: 0.7",488,14,3368,1648,38.70967742,10,40,,,
"Nu: 0.05, Gamma: 0.9",490,12,3240,1776,41.06560348,10,40,,,
"Nu: 0.05, Gamma: 0.99",490,12,3251,1765,40.86625589,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",479,23,4743,273,13.62812613,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",479,23,4743,273,13.62812613,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",479,23,4743,273,13.62812613,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",479,23,4743,273,13.62812613,10,40,,,
"Nu: 0.0625, Gamma: 0.005",481,21,4770,246,13.17506343,10,40,,,
"Nu: 0.0625, Gamma: 0.05",480,22,4735,281,13.79122871,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",482,20,4732,284,13.88184125,10,40,,,
"Nu: 0.0625, Gamma: 0.1",482,20,4697,319,14.51612903,10,40,,,
"Nu: 0.0625, Gamma: 0.2",483,19,4618,398,15.96592968,10,40,,,
"Nu: 0.0625, Gamma: 0.5",485,17,3504,1512,36.19064879,10,40,,,
"Nu: 0.0625, Gamma: 0.7",482,20,3200,1816,41.64552374,10,40,,,
"Nu: 0.0625, Gamma: 0.9",486,16,3217,1799,41.40993113,10,40,,,
"Nu: 0.0625, Gamma: 0.99",484,18,3272,1744,40.37694817,10,40,,,
"Nu: 0.1, Gamma: 0.0001",463,39,4458,558,18.50308083,10,40,,,
"Nu: 0.1, Gamma: 0.0002",462,40,4456,560,18.52120333,10,40,,,
"Nu: 0.1, Gamma: 0.0003",462,40,4454,562,18.55744835,10,40,,,
"Nu: 0.1, Gamma: 0.0004",462,40,4454,562,18.55744835,10,40,,,
"Nu: 0.1, Gamma: 0.005",468,34,4533,483,17.23450526,10,40,,,
"Nu: 0.1, Gamma: 0.05",469,33,4470,546,18.39434578,10,40,,,
"Nu: 0.1, Gamma: 0.0625",468,34,4445,571,18.82928597,10,40,,,
"Nu: 0.1, Gamma: 0.1",468,34,4344,672,20.6596593,10,40,,,
"Nu: 0.1, Gamma: 0.2",469,33,3819,1197,30.19209859,10,40,,,
"Nu: 0.1, Gamma: 0.5",469,33,3001,2015,45.01631026,10,40,,,
"Nu: 0.1, Gamma: 0.7",461,41,3059,1957,43.82022472,10,40,,,
"Nu: 0.1, Gamma: 0.9",454,48,3228,1788,40.63066328,10,40,,,
"Nu: 0.1, Gamma: 0.99",453,49,3320,1696,38.94527003,10,40,,,
"Nu: 0.2, Gamma: 0.0001",285,217,2262,2754,55.07430228,10,40,,,
"Nu: 0.2, Gamma: 0.0002",406,96,3187,1829,40.50380573,10,40,,,
"Nu: 0.2, Gamma: 0.0003",235,267,1707,3309,64.2261689,10,40,,,
"Nu: 0.2, Gamma: 0.0004",387,115,3074,1942,42.20732149,10,40,,,
"Nu: 0.2, Gamma: 0.005",418,84,3398,1618,36.8974266,10,40,,,
"Nu: 0.2, Gamma: 0.05",420,82,3070,1946,42.8778543,10,40,,,
"Nu: 0.2, Gamma: 0.0625",427,75,2978,2038,44.6719826,10,40,,,
"Nu: 0.2, Gamma: 0.1",428,74,2716,2300,49.43820225,10,40,,,
"Nu: 0.2, Gamma: 0.2",425,77,2460,2556,54.02319681,10,40,,,
"Nu: 0.2, Gamma: 0.5",394,108,2467,2549,53.3345415,10,40,,,
"Nu: 0.2, Gamma: 0.7",393,109,2481,2535,53.06270388,10,40,,,
"Nu: 0.2, Gamma: 0.9",387,115,2515,2501,52.33780355,10,40,,,
"Nu: 0.2, Gamma: 0.99",386,116,2528,2488,52.08408844,10,40,,,
"Nu: 0.5, Gamma: 0.0001",48,454,213,4803,87.91228706,10,40,,,
"Nu: 0.5, Gamma: 0.0002",171,331,820,4196,79.14099311,10,40,,,
"Nu: 0.5, Gamma: 0.0003",149,353,695,4321,81.00761145,10,40,,,
"Nu: 0.5, Gamma: 0.0004",152,350,750,4266,80.06524103,10,40,,,
"Nu: 0.5, Gamma: 0.005",245,257,1208,3808,73.45052555,10,40,,,
"Nu: 0.5, Gamma: 0.05",247,255,1074,3942,75.91518666,10,40,,,
"Nu: 0.5, Gamma: 0.0625",251,251,1025,3991,76.87567959,10,40,,,
"Nu: 0.5, Gamma: 0.1",255,247,885,4131,79.48532077,10,40,,,
"Nu: 0.5, Gamma: 0.2",256,246,570,4446,85.21203335,10,40,,,
"Nu: 0.5, Gamma: 0.5",263,239,255,4761,91.04748097,10,40,,,
"Nu: 0.5, Gamma: 0.7",265,237,196,4820,92.15295397,10,40,,,
"Nu: 0.5, Gamma: 0.9",267,235,168,4848,92.69662921,10,40,,,
"Nu: 0.5, Gamma: 0.99",269,233,160,4856,92.8778543,10,40,,,
"Nu: 0.7, Gamma: 0.0001",112,390,305,4711,87.40485683,10,40,,,
"Nu: 0.7, Gamma: 0.0002",10,492,12,5004,90.86625589,10,40,,,
"Nu: 0.7, Gamma: 0.0003",110,392,307,4709,87.3323668,10,40,,,
"Nu: 0.7, Gamma: 0.0004",27,475,57,4959,90.35882566,10,40,,,
"Nu: 0.7, Gamma: 0.005",142,360,424,4592,85.79195361,10,40,,,
"Nu: 0.7, Gamma: 0.05",150,352,302,4714,88.14787967,10,40,,,
"Nu: 0.7, Gamma: 0.0625",149,353,276,4740,88.60094237,10,40,,,
"Nu: 0.7, Gamma: 0.1",148,354,199,4817,89.97825299,10,40,,,
"Nu: 0.7, Gamma: 0.2",154,348,102,4914,91.84487133,10,40,,,
"Nu: 0.7, Gamma: 0.5",159,343,25,4991,93.330917,10,40,,,
"Nu: 0.7, Gamma: 0.7",162,340,14,5002,93.58463211,10,40,,,
"Nu: 0.7, Gamma: 0.9",162,340,12,5004,93.62087713,10,40,,,
"Nu: 0.7, Gamma: 0.99",162,340,11,5005,93.63899964,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,502,0,5016,90.90250091,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,502,0,5016,90.90250091,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,502,0,5016,90.90250091,10,40,,,
"Nu: 0.9, Gamma: 0.0004",3,499,0,5016,90.95686843,10,40,,,
"Nu: 0.9, Gamma: 0.005",41,461,31,4985,91.08372599,10,40,,,
"Nu: 0.9, Gamma: 0.05",50,452,20,4996,91.44617615,10,40,,,
"Nu: 0.9, Gamma: 0.0625",49,453,16,5000,91.50054368,10,40,,,
"Nu: 0.9, Gamma: 0.1",53,449,11,5005,91.66364625,10,40,,,
"Nu: 0.9, Gamma: 0.2",51,451,5,5011,91.73613628,10,40,,,
"Nu: 0.9, Gamma: 0.5",62,440,0,5016,92.02609641,10,40,,,
"Nu: 0.9, Gamma: 0.7",61,441,0,5016,92.0079739,10,40,,,
"Nu: 0.9, Gamma: 0.9",61,441,0,5016,92.0079739,10,40,,,
"Nu: 0.9, Gamma: 0.99",62,440,0,5016,92.02609641,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,502,0,5016,90.90250091,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,502,0,5016,90.90250091,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,502,0,5016,90.90250091,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,502,0,5016,90.90250091,10,40,,,
"Nu: 0.99, Gamma: 0.005",3,499,0,5016,90.95686843,10,40,,,
"Nu: 0.99, Gamma: 0.05",3,499,0,5016,90.95686843,10,40,,,
"Nu: 0.99, Gamma: 0.0625",3,499,0,5016,90.95686843,10,40,,,
"Nu: 0.99, Gamma: 0.1",2,500,0,5016,90.93874592,10,40,,,
"Nu: 0.99, Gamma: 0.2",4,498,0,5016,90.97499094,10,40,,,
"Nu: 0.99, Gamma: 0.5",7,495,0,5016,91.02935846,10,40,,,
"Nu: 0.99, Gamma: 0.7",6,496,0,5016,91.01123596,10,40,,,
"Nu: 0.99, Gamma: 0.9",6,496,0,5016,91.01123596,10,40,,,
"Nu: 0.99, Gamma: 0.99",5,497,0,5016,90.99311345,10,40,,,
,,,,,,,,,,
Target Class: x264_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",474,28,3331,1685,39.12649511,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",360,142,1813,3203,64.57049656,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",360,142,1812,3204,64.58861906,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",360,142,1814,3202,64.55237405,10,40,,,
"Nu: 0.0001, Gamma: 0.005",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0001, Gamma: 0.05",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0001, Gamma: 0.1",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0001, Gamma: 0.2",502,0,5013,3,9.151866618,10,40,,,
"Nu: 0.0001, Gamma: 0.5",502,0,5006,10,9.278724175,10,40,,,
"Nu: 0.0001, Gamma: 0.7",502,0,5003,13,9.3330917,10,40,,,
"Nu: 0.0001, Gamma: 0.9",502,0,5002,14,9.351214208,10,40,,,
"Nu: 0.0001, Gamma: 0.99",502,0,5001,15,9.369336716,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",352,150,1744,3272,65.67596955,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",351,151,1743,3273,65.67596955,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",350,152,1739,3277,65.73033708,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",350,152,1740,3276,65.71221457,10,40,,,
"Nu: 0.0002, Gamma: 0.005",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0002, Gamma: 0.05",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0002, Gamma: 0.1",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0002, Gamma: 0.2",502,0,5012,4,9.169989126,10,40,,,
"Nu: 0.0002, Gamma: 0.5",502,0,5006,10,9.278724175,10,40,,,
"Nu: 0.0002, Gamma: 0.7",502,0,5003,13,9.3330917,10,40,,,
"Nu: 0.0002, Gamma: 0.9",502,0,5002,14,9.351214208,10,40,,,
"Nu: 0.0002, Gamma: 0.99",502,0,5000,16,9.387459224,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",348,154,1733,3283,65.80282711,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",348,154,1730,3286,65.85719464,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",348,154,1726,3290,65.92968467,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",348,154,1727,3289,65.91156216,10,40,,,
"Nu: 0.0003, Gamma: 0.005",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0003, Gamma: 0.05",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0003, Gamma: 0.1",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0003, Gamma: 0.2",502,0,5012,4,9.169989126,10,40,,,
"Nu: 0.0003, Gamma: 0.5",502,0,5004,12,9.314969192,10,40,,,
"Nu: 0.0003, Gamma: 0.7",502,0,5003,13,9.3330917,10,40,,,
"Nu: 0.0003, Gamma: 0.9",502,0,5002,14,9.351214208,10,40,,,
"Nu: 0.0003, Gamma: 0.99",502,0,4999,17,9.405581733,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",316,186,1457,3559,70.2247191,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",325,177,1507,3509,69.48169627,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",324,178,1504,3512,69.51794128,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",473,29,3335,1681,39.03588257,10,40,,,
"Nu: 0.0004, Gamma: 0.005",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0004, Gamma: 0.05",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0004, Gamma: 0.1",502,0,5014,2,9.13374411,10,40,,,
"Nu: 0.0004, Gamma: 0.2",502,0,5011,5,9.188111635,10,40,,,
"Nu: 0.0004, Gamma: 0.5",502,0,5003,13,9.3330917,10,40,,,
"Nu: 0.0004, Gamma: 0.7",502,0,5003,13,9.3330917,10,40,,,
"Nu: 0.0004, Gamma: 0.9",502,0,5002,14,9.351214208,10,40,,,
"Nu: 0.0004, Gamma: 0.99",502,0,4999,17,9.405581733,10,40,,,
"Nu: 0.005, Gamma: 0.0001",497,5,4070,946,26.15077927,10,40,,,
"Nu: 0.005, Gamma: 0.0002",497,5,4067,949,26.20514679,10,40,,,
"Nu: 0.005, Gamma: 0.0003",441,61,2983,2033,44.83508518,10,40,,,
"Nu: 0.005, Gamma: 0.0004",493,9,3955,1061,28.16237767,10,40,,,
"Nu: 0.005, Gamma: 0.005",501,1,4609,407,16.4552374,10,40,,,
"Nu: 0.005, Gamma: 0.05",502,0,4672,344,15.3316419,10,40,,,
"Nu: 0.005, Gamma: 0.0625",502,0,4674,342,15.29539688,10,40,,,
"Nu: 0.005, Gamma: 0.1",502,0,4707,309,14.69735411,10,40,,,
"Nu: 0.005, Gamma: 0.2",502,0,4738,278,14.13555636,10,40,,,
"Nu: 0.005, Gamma: 0.5",502,0,4793,223,13.13881841,10,40,,,
"Nu: 0.005, Gamma: 0.7",502,0,4812,204,12.79449076,10,40,,,
"Nu: 0.005, Gamma: 0.9",501,1,4825,191,12.54077564,10,40,,,
"Nu: 0.005, Gamma: 0.99",501,1,4827,189,12.50453063,10,40,,,
"Nu: 0.05, Gamma: 0.0001",485,17,3663,1353,33.30916999,10,40,,,
"Nu: 0.05, Gamma: 0.0002",485,17,3661,1355,33.34541501,10,40,,,
"Nu: 0.05, Gamma: 0.0003",486,16,3668,1348,33.23667996,10,40,,,
"Nu: 0.05, Gamma: 0.0004",486,16,3666,1350,33.27292497,10,40,,,
"Nu: 0.05, Gamma: 0.005",486,16,3705,1311,32.56614715,10,40,,,
"Nu: 0.05, Gamma: 0.05",486,16,3706,1310,32.54802465,10,40,,,
"Nu: 0.05, Gamma: 0.0625",486,16,3705,1311,32.56614715,10,40,,,
"Nu: 0.05, Gamma: 0.1",486,16,3689,1327,32.85610729,10,40,,,
"Nu: 0.05, Gamma: 0.2",487,15,3636,1380,33.83472273,10,40,,,
"Nu: 0.05, Gamma: 0.5",491,11,3111,1905,43.42152954,10,40,,,
"Nu: 0.05, Gamma: 0.7",493,9,2602,2414,52.68213121,10,40,,,
"Nu: 0.05, Gamma: 0.9",495,7,2198,2818,60.03986952,10,40,,,
"Nu: 0.05, Gamma: 0.99",494,8,2123,2893,61.38093512,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",479,23,3495,1521,36.24501631,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",479,23,3494,1522,36.26313882,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",479,23,3495,1521,36.24501631,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",479,23,3495,1521,36.24501631,10,40,,,
"Nu: 0.0625, Gamma: 0.005",481,21,3528,1488,35.68321856,10,40,,,
"Nu: 0.0625, Gamma: 0.05",481,21,3503,1513,36.13628126,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",482,20,3509,1507,36.04566872,10,40,,,
"Nu: 0.0625, Gamma: 0.1",482,20,3493,1523,36.33562885,10,40,,,
"Nu: 0.0625, Gamma: 0.2",482,20,3389,1627,38.2203697,10,40,,,
"Nu: 0.0625, Gamma: 0.5",485,17,2635,2381,51.93910837,10,40,,,
"Nu: 0.0625, Gamma: 0.7",488,14,2079,2937,62.06959043,10,40,,,
"Nu: 0.0625, Gamma: 0.9",491,11,1904,3112,65.29539688,10,40,,,
"Nu: 0.0625, Gamma: 0.99",490,12,1896,3120,65.42225444,10,40,,,
"Nu: 0.1, Gamma: 0.0001",457,45,2915,2101,46.35737586,10,40,,,
"Nu: 0.1, Gamma: 0.0002",456,46,2911,2105,46.41174339,10,40,,,
"Nu: 0.1, Gamma: 0.0003",457,45,2916,2100,46.33925335,10,40,,,
"Nu: 0.1, Gamma: 0.0004",457,45,2915,2101,46.35737586,10,40,,,
"Nu: 0.1, Gamma: 0.005",461,41,3003,2013,44.83508518,10,40,,,
"Nu: 0.1, Gamma: 0.05",462,40,2948,2068,45.84994563,10,40,,,
"Nu: 0.1, Gamma: 0.0625",462,40,2927,2089,46.2305183,10,40,,,
"Nu: 0.1, Gamma: 0.1",462,40,2832,2184,47.95215658,10,40,,,
"Nu: 0.1, Gamma: 0.2",461,41,2554,2462,52.97209134,10,40,,,
"Nu: 0.1, Gamma: 0.5",478,24,1618,3398,70.24284161,10,40,,,
"Nu: 0.1, Gamma: 0.7",474,28,1552,3464,71.36643711,10,40,,,
"Nu: 0.1, Gamma: 0.9",468,34,1645,3371,69.57230881,10,40,,,
"Nu: 0.1, Gamma: 0.99",464,38,1700,3316,68.50308083,10,40,,,
"Nu: 0.2, Gamma: 0.0001",418,84,1853,3163,64.8967017,10,40,,,
"Nu: 0.2, Gamma: 0.0002",397,105,1677,3339,67.70569047,10,40,,,
"Nu: 0.2, Gamma: 0.0003",295,207,876,4140,80.37332367,10,40,,,
"Nu: 0.2, Gamma: 0.0004",319,183,1021,3995,78.18050018,10,40,,,
"Nu: 0.2, Gamma: 0.005",415,87,1819,3197,65.45849946,10,40,,,
"Nu: 0.2, Gamma: 0.05",418,84,1648,3368,68.61181588,10,40,,,
"Nu: 0.2, Gamma: 0.0625",419,83,1584,3432,69.78977891,10,40,,,
"Nu: 0.2, Gamma: 0.1",418,84,1401,3615,73.08807539,10,40,,,
"Nu: 0.2, Gamma: 0.2",428,74,1093,3923,78.85103298,10,40,,,
"Nu: 0.2, Gamma: 0.5",409,93,991,4025,80.35520116,10,40,,,
"Nu: 0.2, Gamma: 0.7",399,103,1056,3960,78.99601305,10,40,,,
"Nu: 0.2, Gamma: 0.9",397,105,1151,3865,77.23812976,10,40,,,
"Nu: 0.2, Gamma: 0.99",398,104,1197,3819,76.42261689,10,40,,,
"Nu: 0.5, Gamma: 0.0001",105,397,62,4954,91.68176876,10,40,,,
"Nu: 0.5, Gamma: 0.0002",215,287,206,4810,91.06560348,10,40,,,
"Nu: 0.5, Gamma: 0.0003",208,294,163,4853,91.71801377,10,40,,,
"Nu: 0.5, Gamma: 0.0004",211,291,180,4836,91.46429866,10,40,,,
"Nu: 0.5, Gamma: 0.005",247,255,265,4751,90.57629576,10,40,,,
"Nu: 0.5, Gamma: 0.05",252,250,238,4778,91.15621602,10,40,,,
"Nu: 0.5, Gamma: 0.0625",248,254,217,4799,91.46429866,10,40,,,
"Nu: 0.5, Gamma: 0.1",251,251,192,4824,91.97172889,10,40,,,
"Nu: 0.5, Gamma: 0.2",254,248,133,4883,93.09532439,10,40,,,
"Nu: 0.5, Gamma: 0.5",247,255,70,4946,94.11018485,10,40,,,
"Nu: 0.5, Gamma: 0.7",249,253,57,4959,94.38202247,10,40,,,
