Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.6719826,303
"Nu: 0.05, Gamma: 0.0625",465,37,4545,471,16.96266763,0,40,,,
"Nu: 0.05, Gamma: 0.1",465,37,4488,528,17.9956506,0,40,,,
"Nu: 0.05, Gamma: 0.2",464,38,4150,866,24.10293585,0,40,,,
"Nu: 0.05, Gamma: 0.5",464,38,2634,2382,51.57665821,0,40,,,
"Nu: 0.05, Gamma: 0.7",467,35,2687,2329,50.6705328,0,40,,,
"Nu: 0.05, Gamma: 0.9",466,36,2784,2232,48.894527,0,40,,,
"Nu: 0.05, Gamma: 0.99",467,35,2857,2159,47.58970642,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",416,86,3966,1050,26.56759696,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",426,76,4155,861,23.323668,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",426,76,4150,866,23.41428054,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",426,76,4140,876,23.59550562,0,40,,,
"Nu: 0.0625, Gamma: 0.005",460,42,4565,451,16.50960493,0,40,,,
"Nu: 0.0625, Gamma: 0.05",456,46,4426,590,18.95614353,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",456,46,4401,615,19.40920623,0,40,,,
"Nu: 0.0625, Gamma: 0.1",445,57,4050,966,25.57085901,0,40,,,
"Nu: 0.0625, Gamma: 0.2",444,58,3341,1675,38.40159478,0,40,,,
"Nu: 0.0625, Gamma: 0.5",457,45,2605,2411,51.97535339,0,40,,,
"Nu: 0.0625, Gamma: 0.7",461,41,2728,2288,49.81877492,0,40,,,
"Nu: 0.0625, Gamma: 0.9",458,44,3011,2005,44.63573759,0,40,,,
"Nu: 0.0625, Gamma: 0.99",460,42,3102,1914,43.02283436,0,40,,,
"Nu: 0.1, Gamma: 0.0001",52,450,318,4698,86.08191374,0,40,,,
"Nu: 0.1, Gamma: 0.0002",94,408,710,4306,79.73903588,0,40,,,
"Nu: 0.1, Gamma: 0.0003",76,426,532,4484,82.63863719,0,40,,,
"Nu: 0.1, Gamma: 0.0004",94,408,659,4357,80.6632838,0,40,,,
"Nu: 0.1, Gamma: 0.005",95,407,669,4347,80.50018123,0,40,,,
"Nu: 0.1, Gamma: 0.05",447,55,3902,1114,28.28923523,0,40,,,
"Nu: 0.1, Gamma: 0.0625",397,105,3058,1958,42.67850671,0,40,,,
"Nu: 0.1, Gamma: 0.1",445,57,3407,1609,37.22363175,0,40,,,
"Nu: 0.1, Gamma: 0.2",440,62,2578,2438,52.15657847,0,40,,,
"Nu: 0.1, Gamma: 0.5",441,61,2673,2343,50.4530627,0,40,,,
"Nu: 0.1, Gamma: 0.7",438,64,2903,2113,46.2305183,0,40,,,
"Nu: 0.1, Gamma: 0.9",443,59,3455,1561,36.31750634,0,40,,,
"Nu: 0.1, Gamma: 0.99",443,59,3566,1450,34.30590794,0,40,,,
"Nu: 0.2, Gamma: 0.0001",75,427,318,4698,86.49873142,0,40,,,
"Nu: 0.2, Gamma: 0.0002",99,403,455,4561,84.450888,0,40,,,
"Nu: 0.2, Gamma: 0.0003",118,384,525,4491,83.52664009,0,40,,,
"Nu: 0.2, Gamma: 0.0004",116,386,524,4492,83.50851758,0,40,,,
"Nu: 0.2, Gamma: 0.005",185,317,870,4146,78.48858282,0,40,,,
"Nu: 0.2, Gamma: 0.05",387,115,2045,2971,60.85538238,0,40,,,
"Nu: 0.2, Gamma: 0.0625",402,100,2148,2868,59.26060167,0,40,,,
"Nu: 0.2, Gamma: 0.1",398,104,2121,2895,59.67741935,0,40,,,
"Nu: 0.2, Gamma: 0.2",396,106,2098,2918,60.05799203,0,40,,,
