Features: 16,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.99, Gamma: 0.0001",2,97,10,220,67.47720364741642,0,40,
"Nu: 0.99, Gamma: 0.0002",2,97,10,220,67.47720364741642,0,40,
"Nu: 0.99, Gamma: 0.0003",2,97,10,220,67.47720364741642,0,40,
"Nu: 0.99, Gamma: 0.0004",2,97,10,220,67.47720364741642,0,40,
"Nu: 0.99, Gamma: 0.005",2,97,10,220,67.47720364741642,0,40,
"Nu: 0.99, Gamma: 0.05",2,97,10,220,67.47720364741642,0,40,
"Nu: 0.99, Gamma: 0.0625",2,97,10,220,67.47720364741642,0,40,
"Nu: 0.99, Gamma: 0.1",2,97,10,220,67.47720364741642,0,40,
"Nu: 0.99, Gamma: 0.2",1,98,0,230,70.2127659574468,0,40,
"Nu: 0.99, Gamma: 0.5",1,98,0,230,70.2127659574468,0,40,
"Nu: 0.99, Gamma: 0.7",1,98,0,230,70.2127659574468,0,40,
"Nu: 0.99, Gamma: 0.9",1,98,0,230,70.2127659574468,0,40,
"Nu: 0.99, Gamma: 0.99",2,97,0,230,70.51671732522796,0,40,
,,,,,,,,
Features: 16,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",13,10,703,283,29.33597621407334,10,40,
"Nu: 0.0001, Gamma: 0.0002",13,10,703,283,29.33597621407334,10,40,
"Nu: 0.0001, Gamma: 0.0003",13,10,703,283,29.33597621407334,10,40,
"Nu: 0.0001, Gamma: 0.0004",13,10,703,283,29.33597621407334,10,40,
"Nu: 0.0001, Gamma: 0.005",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0001, Gamma: 0.05",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0001, Gamma: 0.0625",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0001, Gamma: 0.1",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0001, Gamma: 0.2",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0001, Gamma: 0.5",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0001, Gamma: 0.7",23,0,838,148,16.94747274529237,10,40,
"Nu: 0.0001, Gamma: 0.9",23,0,805,181,20.218037661050545,10,40,
"Nu: 0.0001, Gamma: 0.99",23,0,802,184,20.515361744301288,10,40,
"Nu: 0.0002, Gamma: 0.0001",16,7,703,283,29.633300297324084,10,40,
"Nu: 0.0002, Gamma: 0.0002",16,7,703,283,29.633300297324084,10,40,
"Nu: 0.0002, Gamma: 0.0003",16,7,703,283,29.633300297324084,10,40,
"Nu: 0.0002, Gamma: 0.0004",23,0,903,83,10.505450941526263,10,40,
"Nu: 0.0002, Gamma: 0.005",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0002, Gamma: 0.05",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0002, Gamma: 0.0625",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0002, Gamma: 0.1",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0002, Gamma: 0.2",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0002, Gamma: 0.5",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0002, Gamma: 0.7",23,0,837,149,17.046580773042617,10,40,
"Nu: 0.0002, Gamma: 0.9",23,0,801,185,20.614469772051535,10,40,
"Nu: 0.0002, Gamma: 0.99",23,0,804,182,20.317145688800792,10,40,
"Nu: 0.0003, Gamma: 0.0001",13,10,282,704,71.06045589692765,10,40,
"Nu: 0.0003, Gamma: 0.0002",13,10,703,283,29.33597621407334,10,40,
"Nu: 0.0003, Gamma: 0.0003",23,0,962,24,4.658077304261645,10,40,
"Nu: 0.0003, Gamma: 0.0004",23,0,962,24,4.658077304261645,10,40,
"Nu: 0.0003, Gamma: 0.005",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0003, Gamma: 0.05",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0003, Gamma: 0.0625",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0003, Gamma: 0.1",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0003, Gamma: 0.2",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0003, Gamma: 0.5",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0003, Gamma: 0.7",23,0,838,148,16.94747274529237,10,40,
"Nu: 0.0003, Gamma: 0.9",23,0,801,185,20.614469772051535,10,40,
"Nu: 0.0003, Gamma: 0.99",23,0,804,182,20.317145688800792,10,40,
"Nu: 0.0004, Gamma: 0.0001",23,0,986,0,2.2794846382556986,10,40,
"Nu: 0.0004, Gamma: 0.0002",23,0,962,24,4.658077304261645,10,40,
"Nu: 0.0004, Gamma: 0.0003",23,0,962,24,4.658077304261645,10,40,
"Nu: 0.0004, Gamma: 0.0004",23,0,962,24,4.658077304261645,10,40,
"Nu: 0.0004, Gamma: 0.005",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0004, Gamma: 0.05",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0004, Gamma: 0.0625",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0004, Gamma: 0.1",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0004, Gamma: 0.2",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0004, Gamma: 0.5",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.0004, Gamma: 0.7",23,0,838,148,16.94747274529237,10,40,
"Nu: 0.0004, Gamma: 0.9",23,0,804,182,20.317145688800792,10,40,
"Nu: 0.0004, Gamma: 0.99",23,0,803,183,20.41625371655104,10,40,
"Nu: 0.005, Gamma: 0.0001",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.0002",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.0003",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.0004",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.005",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.05",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.0625",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.1",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.2",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.5",23,0,985,1,2.3785926660059467,10,40,
"Nu: 0.005, Gamma: 0.7",23,0,837,149,17.046580773042617,10,40,
"Nu: 0.005, Gamma: 0.9",23,0,803,183,20.41625371655104,10,40,
"Nu: 0.005, Gamma: 0.99",23,0,805,181,20.218037661050545,10,40,
"Nu: 0.05, Gamma: 0.0001",23,0,347,639,65.60951437066403,10,40,
"Nu: 0.05, Gamma: 0.0002",23,0,347,639,65.60951437066403,10,40,
"Nu: 0.05, Gamma: 0.0003",23,0,347,639,65.60951437066403,10,40,
"Nu: 0.05, Gamma: 0.0004",23,0,347,639,65.60951437066403,10,40,
"Nu: 0.05, Gamma: 0.005",23,0,348,638,65.51040634291377,10,40,
"Nu: 0.05, Gamma: 0.05",23,0,350,636,65.31219028741329,10,40,
"Nu: 0.05, Gamma: 0.0625",23,0,350,636,65.31219028741329,10,40,
"Nu: 0.05, Gamma: 0.1",23,0,351,635,65.21308225966304,10,40,
"Nu: 0.05, Gamma: 0.2",23,0,354,632,64.91575817641228,10,40,
"Nu: 0.05, Gamma: 0.5",23,0,330,656,67.29435084241824,10,40,
"Nu: 0.05, Gamma: 0.7",23,0,14,972,98.61248761149653,10,40,
"Nu: 0.05, Gamma: 0.9",23,0,149,837,85.23290386521309,10,40,
"Nu: 0.05, Gamma: 0.99",23,0,187,799,81.46679881070366,10,40,
"Nu: 0.0625, Gamma: 0.0001",22,1,321,665,68.08721506442022,10,40,
"Nu: 0.0625, Gamma: 0.0002",22,1,321,665,68.08721506442022,10,40,
"Nu: 0.0625, Gamma: 0.0003",22,1,321,665,68.08721506442022,10,40,
"Nu: 0.0625, Gamma: 0.0004",22,1,321,665,68.08721506442022,10,40,
"Nu: 0.0625, Gamma: 0.005",22,1,321,665,68.08721506442022,10,40,
"Nu: 0.0625, Gamma: 0.05",22,1,326,660,67.59167492566898,10,40,
"Nu: 0.0625, Gamma: 0.0625",22,1,327,659,67.49256689791872,10,40,
"Nu: 0.0625, Gamma: 0.1",23,0,343,643,66.005946481665,10,40,
"Nu: 0.0625, Gamma: 0.2",23,0,345,641,65.80773042616453,10,40,
"Nu: 0.0625, Gamma: 0.5",23,0,312,674,69.0782953419227,10,40,
"Nu: 0.0625, Gamma: 0.7",23,0,8,978,99.20713577799802,10,40,
"Nu: 0.0625, Gamma: 0.9",23,0,8,978,99.20713577799802,10,40,
"Nu: 0.0625, Gamma: 0.99",23,0,8,978,99.20713577799802,10,40,
"Nu: 0.1, Gamma: 0.0001",22,1,304,682,69.77205153617443,10,40,
"Nu: 0.1, Gamma: 0.0002",22,1,304,682,69.77205153617443,10,40,
"Nu: 0.1, Gamma: 0.0003",22,1,304,682,69.77205153617443,10,40,
"Nu: 0.1, Gamma: 0.0004",22,1,304,682,69.77205153617443,10,40,
"Nu: 0.1, Gamma: 0.005",22,1,304,682,69.77205153617443,10,40,
"Nu: 0.1, Gamma: 0.05",22,1,304,682,69.77205153617443,10,40,
"Nu: 0.1, Gamma: 0.0625",22,1,304,682,69.77205153617443,10,40,
"Nu: 0.1, Gamma: 0.1",22,1,304,682,69.77205153617443,10,40,
"Nu: 0.1, Gamma: 0.2",22,1,302,684,69.97026759167493,10,40,
"Nu: 0.1, Gamma: 0.5",22,1,163,823,83.74628344895937,10,40,
"Nu: 0.1, Gamma: 0.7",22,1,3,983,99.60356788899901,10,40,
"Nu: 0.1, Gamma: 0.9",22,1,3,983,99.60356788899901,10,40,
"Nu: 0.1, Gamma: 0.99",23,0,4,982,99.60356788899901,10,40,
"Nu: 0.2, Gamma: 0.0001",20,3,158,828,84.0436075322101,10,40,
"Nu: 0.2, Gamma: 0.0002",20,3,158,828,84.0436075322101,10,40,
"Nu: 0.2, Gamma: 0.0003",20,3,158,828,84.0436075322101,10,40,
"Nu: 0.2, Gamma: 0.0004",20,3,158,828,84.0436075322101,10,40,
"Nu: 0.2, Gamma: 0.005",20,3,158,828,84.0436075322101,10,40,
"Nu: 0.2, Gamma: 0.05",20,3,154,832,84.4400396432111,10,40,
"Nu: 0.2, Gamma: 0.0625",20,3,146,840,85.23290386521309,10,40,
"Nu: 0.2, Gamma: 0.1",20,3,31,955,96.63032705649157,10,40,
"Nu: 0.2, Gamma: 0.2",20,3,21,965,97.62140733399404,10,40,
"Nu: 0.2, Gamma: 0.5",21,2,0,986,99.8017839444995,10,40,
"Nu: 0.2, Gamma: 0.7",21,2,0,986,99.8017839444995,10,40,
"Nu: 0.2, Gamma: 0.9",22,1,0,986,99.90089197224975,10,40,
"Nu: 0.2, Gamma: 0.99",22,1,0,986,99.90089197224975,10,40,
"Nu: 0.5, Gamma: 0.0001",14,9,5,981,98.61248761149653,10,40,
"Nu: 0.5, Gamma: 0.0002",14,9,5,981,98.61248761149653,10,40,
"Nu: 0.5, Gamma: 0.0003",14,9,6,980,98.51337958374629,10,40,
"Nu: 0.5, Gamma: 0.0004",14,9,5,981,98.61248761149653,10,40,
"Nu: 0.5, Gamma: 0.005",14,9,5,981,98.61248761149653,10,40,
"Nu: 0.5, Gamma: 0.05",14,9,0,986,99.10802775024777,10,40,
"Nu: 0.5, Gamma: 0.0625",15,8,0,986,99.20713577799802,10,40,
"Nu: 0.5, Gamma: 0.1",15,8,0,986,99.20713577799802,10,40,
"Nu: 0.5, Gamma: 0.2",16,7,0,986,99.30624380574827,10,40,
"Nu: 0.5, Gamma: 0.5",19,4,0,986,99.60356788899901,10,40,
"Nu: 0.5, Gamma: 0.7",20,3,0,986,99.70267591674926,10,40,
"Nu: 0.5, Gamma: 0.9",20,3,0,986,99.70267591674926,10,40,
"Nu: 0.5, Gamma: 0.99",20,3,0,986,99.70267591674926,10,40,
"Nu: 0.7, Gamma: 0.0001",13,10,0,986,99.00891972249752,10,40,
"Nu: 0.7, Gamma: 0.0002",13,10,0,986,99.00891972249752,10,40,
"Nu: 0.7, Gamma: 0.0003",13,10,0,986,99.00891972249752,10,40,
"Nu: 0.7, Gamma: 0.0004",13,10,0,986,99.00891972249752,10,40,
"Nu: 0.7, Gamma: 0.005",13,10,0,986,99.00891972249752,10,40,
"Nu: 0.7, Gamma: 0.05",14,9,0,986,99.10802775024777,10,40,
"Nu: 0.7, Gamma: 0.0625",14,9,0,986,99.10802775024777,10,40,
"Nu: 0.7, Gamma: 0.1",14,9,0,986,99.10802775024777,10,40,
"Nu: 0.7, Gamma: 0.2",14,9,0,986,99.10802775024777,10,40,
"Nu: 0.7, Gamma: 0.5",16,7,0,986,99.30624380574827,10,40,
"Nu: 0.7, Gamma: 0.7",17,6,0,986,99.40535183349851,10,40,
"Nu: 0.7, Gamma: 0.9",17,6,0,986,99.40535183349851,10,40,
"Nu: 0.7, Gamma: 0.99",17,6,0,986,99.40535183349851,10,40,
"Nu: 0.9, Gamma: 0.0001",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.9, Gamma: 0.0002",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.9, Gamma: 0.0003",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.9, Gamma: 0.0004",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.9, Gamma: 0.005",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.9, Gamma: 0.05",1,22,0,986,97.81962338949455,10,40,
"Nu: 0.9, Gamma: 0.0625",1,22,0,986,97.81962338949455,10,40,
"Nu: 0.9, Gamma: 0.1",3,20,0,986,98.01783944499505,10,40,
"Nu: 0.9, Gamma: 0.2",6,17,0,986,98.31516352824579,10,40,
"Nu: 0.9, Gamma: 0.5",3,20,0,986,98.01783944499505,10,40,
"Nu: 0.9, Gamma: 0.7",3,20,0,986,98.01783944499505,10,40,
"Nu: 0.9, Gamma: 0.9",3,20,0,986,98.01783944499505,10,40,
"Nu: 0.9, Gamma: 0.99",3,20,0,986,98.01783944499505,10,40,
"Nu: 0.99, Gamma: 0.0001",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.99, Gamma: 0.0002",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.99, Gamma: 0.0003",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.99, Gamma: 0.0004",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.99, Gamma: 0.005",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.99, Gamma: 0.05",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.99, Gamma: 0.0625",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.99, Gamma: 0.1",0,23,0,986,97.7205153617443,10,40,
"Nu: 0.99, Gamma: 0.2",2,21,0,986,97.9187314172448,10,40,
"Nu: 0.99, Gamma: 0.5",2,21,0,986,97.9187314172448,10,40,
"Nu: 0.99, Gamma: 0.7",2,21,0,986,97.9187314172448,10,40,
"Nu: 0.99, Gamma: 0.9",1,22,0,986,97.81962338949455,10,40,
"Nu: 0.99, Gamma: 0.99",1,22,0,986,97.81962338949455,10,40,
,,,,,,,,
Target Class: facesim_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",93,6,227,3,29.17933130699088,10,40,
"Nu: 0.0001, Gamma: 0.0002",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0001, Gamma: 0.0003",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0001, Gamma: 0.0004",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0001, Gamma: 0.005",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0001, Gamma: 0.05",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0001, Gamma: 0.0625",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0001, Gamma: 0.1",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0001, Gamma: 0.2",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0001, Gamma: 0.5",99,0,226,4,31.30699088145897,10,40,
"Nu: 0.0001, Gamma: 0.7",99,0,204,26,37.99392097264438,10,40,
"Nu: 0.0001, Gamma: 0.9",99,0,203,27,38.297872340425535,10,40,
"Nu: 0.0001, Gamma: 0.99",99,0,199,31,39.51367781155015,10,40,
"Nu: 0.0002, Gamma: 0.0001",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0002, Gamma: 0.0002",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0002, Gamma: 0.0003",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0002, Gamma: 0.0004",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0002, Gamma: 0.005",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0002, Gamma: 0.05",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0002, Gamma: 0.0625",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0002, Gamma: 0.1",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0002, Gamma: 0.2",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0002, Gamma: 0.5",99,0,226,4,31.30699088145897,10,40,
"Nu: 0.0002, Gamma: 0.7",99,0,205,25,37.68996960486322,10,40,
"Nu: 0.0002, Gamma: 0.9",99,0,203,27,38.297872340425535,10,40,
"Nu: 0.0002, Gamma: 0.99",99,0,199,31,39.51367781155015,10,40,
"Nu: 0.0003, Gamma: 0.0001",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0003, Gamma: 0.0002",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0003, Gamma: 0.0003",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0003, Gamma: 0.0004",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0003, Gamma: 0.005",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0003, Gamma: 0.05",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0003, Gamma: 0.0625",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0003, Gamma: 0.1",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0003, Gamma: 0.2",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0003, Gamma: 0.5",99,0,226,4,31.30699088145897,10,40,
"Nu: 0.0003, Gamma: 0.7",99,0,205,25,37.68996960486322,10,40,
"Nu: 0.0003, Gamma: 0.9",99,0,203,27,38.297872340425535,10,40,
"Nu: 0.0003, Gamma: 0.99",99,0,199,31,39.51367781155015,10,40,
"Nu: 0.0004, Gamma: 0.0001",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0004, Gamma: 0.0002",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0004, Gamma: 0.0003",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0004, Gamma: 0.0004",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0004, Gamma: 0.005",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0004, Gamma: 0.05",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0004, Gamma: 0.0625",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0004, Gamma: 0.1",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0004, Gamma: 0.2",99,0,230,0,30.091185410334347,10,40,
"Nu: 0.0004, Gamma: 0.5",99,0,226,4,31.30699088145897,10,40,
"Nu: 0.0004, Gamma: 0.7",99,0,204,26,37.99392097264438,10,40,
"Nu: 0.0004, Gamma: 0.9",99,0,203,27,38.297872340425535,10,40,
"Nu: 0.0004, Gamma: 0.99",99,0,199,31,39.51367781155015,10,40,
"Nu: 0.005, Gamma: 0.0001",99,0,229,1,30.3951367781155,10,40,
"Nu: 0.005, Gamma: 0.0002",99,0,229,1,30.3951367781155,10,40,
"Nu: 0.005, Gamma: 0.0003",99,0,229,1,30.3951367781155,10,40,
"Nu: 0.005, Gamma: 0.0004",99,0,229,1,30.3951367781155,10,40,
"Nu: 0.005, Gamma: 0.005",99,0,229,1,30.3951367781155,10,40,
"Nu: 0.005, Gamma: 0.05",99,0,229,1,30.3951367781155,10,40,
"Nu: 0.005, Gamma: 0.0625",99,0,229,1,30.3951367781155,10,40,
"Nu: 0.005, Gamma: 0.1",99,0,228,2,30.69908814589666,10,40,
"Nu: 0.005, Gamma: 0.2",99,0,227,3,31.00303951367781,10,40,
"Nu: 0.005, Gamma: 0.5",99,0,204,26,37.99392097264438,10,40,
"Nu: 0.005, Gamma: 0.7",99,0,201,29,38.90577507598784,10,40,
"Nu: 0.005, Gamma: 0.9",99,0,201,29,38.90577507598784,10,40,
"Nu: 0.005, Gamma: 0.99",99,0,197,33,40.121580547112465,10,40,
"Nu: 0.05, Gamma: 0.0001",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.05, Gamma: 0.0002",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.05, Gamma: 0.0003",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.05, Gamma: 0.0004",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.05, Gamma: 0.005",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.05, Gamma: 0.05",98,1,227,3,30.69908814589666,10,40,
"Nu: 0.05, Gamma: 0.0625",98,1,227,3,30.69908814589666,10,40,
"Nu: 0.05, Gamma: 0.1",98,1,228,2,30.3951367781155,10,40,
"Nu: 0.05, Gamma: 0.2",98,1,226,4,31.00303951367781,10,40,
"Nu: 0.05, Gamma: 0.5",98,1,202,28,38.297872340425535,10,40,
"Nu: 0.05, Gamma: 0.7",98,1,202,28,38.297872340425535,10,40,
"Nu: 0.05, Gamma: 0.9",98,1,194,36,40.72948328267477,10,40,
"Nu: 0.05, Gamma: 0.99",99,0,191,39,41.94528875379939,10,40,
"Nu: 0.0625, Gamma: 0.0001",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.0625, Gamma: 0.0002",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.0625, Gamma: 0.0003",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.0625, Gamma: 0.0004",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.0625, Gamma: 0.005",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.0625, Gamma: 0.05",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.0625, Gamma: 0.0625",97,2,227,3,30.3951367781155,10,40,
"Nu: 0.0625, Gamma: 0.1",98,1,227,3,30.69908814589666,10,40,
"Nu: 0.0625, Gamma: 0.2",98,1,226,4,31.00303951367781,10,40,
"Nu: 0.0625, Gamma: 0.5",98,1,199,31,39.209726443769,10,40,
"Nu: 0.0625, Gamma: 0.7",98,1,202,28,38.297872340425535,10,40,
"Nu: 0.0625, Gamma: 0.9",98,1,193,37,41.03343465045592,10,40,
"Nu: 0.0625, Gamma: 0.99",98,1,191,39,41.641337386018236,10,40,
"Nu: 0.1, Gamma: 0.0001",93,6,227,3,29.17933130699088,10,40,
"Nu: 0.1, Gamma: 0.0002",93,6,227,3,29.17933130699088,10,40,
"Nu: 0.1, Gamma: 0.0003",93,6,227,3,29.17933130699088,10,40,
"Nu: 0.1, Gamma: 0.0004",93,6,227,3,29.17933130699088,10,40,
"Nu: 0.1, Gamma: 0.005",93,6,227,3,29.17933130699088,10,40,
"Nu: 0.1, Gamma: 0.05",94,5,227,3,29.48328267477204,10,40,
"Nu: 0.1, Gamma: 0.0625",94,5,227,3,29.48328267477204,10,40,
"Nu: 0.1, Gamma: 0.1",96,3,227,3,30.091185410334347,10,40,
"Nu: 0.1, Gamma: 0.2",97,2,225,5,31.00303951367781,10,40,
"Nu: 0.1, Gamma: 0.5",98,1,205,25,37.38601823708207,10,40,
"Nu: 0.1, Gamma: 0.7",98,1,194,36,40.72948328267477,10,40,
"Nu: 0.1, Gamma: 0.9",98,1,189,41,42.24924012158054,10,40,
"Nu: 0.1, Gamma: 0.99",98,1,185,45,43.46504559270517,10,40,
"Nu: 0.2, Gamma: 0.0001",82,17,222,8,27.35562310030395,10,40,
"Nu: 0.2, Gamma: 0.0002",82,17,222,8,27.35562310030395,10,40,
"Nu: 0.2, Gamma: 0.0003",82,17,222,8,27.35562310030395,10,40,
"Nu: 0.2, Gamma: 0.0004",82,17,222,8,27.35562310030395,10,40,
"Nu: 0.2, Gamma: 0.005",82,17,222,8,27.35562310030395,10,40,
"Nu: 0.2, Gamma: 0.05",83,16,220,10,28.267477203647417,10,40,
"Nu: 0.2, Gamma: 0.0625",83,16,219,11,28.57142857142857,10,40,
"Nu: 0.2, Gamma: 0.1",83,16,198,32,34.954407294832826,10,40,
"Nu: 0.2, Gamma: 0.2",88,11,185,45,40.42553191489361,10,40,
"Nu: 0.2, Gamma: 0.5",96,3,190,40,41.33738601823708,10,40,
"Nu: 0.2, Gamma: 0.7",96,3,191,39,41.03343465045592,10,40,
"Nu: 0.2, Gamma: 0.9",96,3,186,44,42.5531914893617,10,40,
"Nu: 0.2, Gamma: 0.99",96,3,182,48,43.76899696048632,10,40,
"Nu: 0.5, Gamma: 0.0001",48,51,191,39,26.443768996960486,10,40,
"Nu: 0.5, Gamma: 0.0002",48,51,191,39,26.443768996960486,10,40,
"Nu: 0.5, Gamma: 0.0003",48,51,191,39,26.443768996960486,10,40,
"Nu: 0.5, Gamma: 0.0004",48,51,191,39,26.443768996960486,10,40,
"Nu: 0.5, Gamma: 0.005",48,51,191,39,26.443768996960486,10,40,
"Nu: 0.5, Gamma: 0.05",49,50,188,42,27.659574468085108,10,40,
"Nu: 0.5, Gamma: 0.0625",50,49,188,42,27.96352583586626,10,40,
"Nu: 0.5, Gamma: 0.1",52,47,188,42,28.57142857142857,10,40,
"Nu: 0.5, Gamma: 0.2",65,34,166,64,39.209726443769,10,40,
"Nu: 0.5, Gamma: 0.5",72,27,167,63,41.03343465045592,10,40,
"Nu: 0.5, Gamma: 0.7",66,33,167,63,39.209726443769,10,40,
"Nu: 0.5, Gamma: 0.9",66,33,164,66,40.121580547112465,10,40,
"Nu: 0.5, Gamma: 0.99",66,33,161,69,41.03343465045592,10,40,
"Nu: 0.7, Gamma: 0.0001",32,67,10,220,76.59574468085107,10,40,
"Nu: 0.7, Gamma: 0.0002",32,67,10,220,76.59574468085107,10,40,
"Nu: 0.7, Gamma: 0.0003",32,67,10,220,76.59574468085107,10,40,
"Nu: 0.7, Gamma: 0.0004",32,67,10,220,76.59574468085107,10,40,
"Nu: 0.7, Gamma: 0.005",32,67,10,220,76.59574468085107,10,40,
"Nu: 0.7, Gamma: 0.05",34,65,10,220,77.20364741641338,10,40,
"Nu: 0.7, Gamma: 0.0625",35,64,10,220,77.50759878419453,10,40,
"Nu: 0.7, Gamma: 0.1",36,63,10,220,77.81155015197568,10,40,
"Nu: 0.7, Gamma: 0.2",45,54,10,220,80.54711246200608,10,40,
"Nu: 0.7, Gamma: 0.5",53,46,158,72,37.99392097264438,10,40,
"Nu: 0.7, Gamma: 0.7",54,45,150,80,40.72948328267477,10,40,
"Nu: 0.7, Gamma: 0.9",57,42,148,82,42.24924012158054,10,40,
"Nu: 0.7, Gamma: 0.99",57,42,148,82,42.24924012158054,10,40,
"Nu: 0.9, Gamma: 0.0001",8,91,10,220,69.30091185410335,10,40,
"Nu: 0.9, Gamma: 0.0002",8,91,10,220,69.30091185410335,10,40,
"Nu: 0.9, Gamma: 0.0003",8,91,10,220,69.30091185410335,10,40,
"Nu: 0.9, Gamma: 0.0004",8,91,10,220,69.30091185410335,10,40,
"Nu: 0.9, Gamma: 0.005",8,91,10,220,69.30091185410335,10,40,
