Features: 16,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.5",23,0,205,781,79.68285431119921,0,40,
"Nu: 0.05, Gamma: 0.7",22,1,3,983,99.60356788899901,0,40,
"Nu: 0.05, Gamma: 0.9",22,1,5,981,99.40535183349851,0,40,
"Nu: 0.05, Gamma: 0.99",22,1,161,825,83.94449950445986,0,40,
"Nu: 0.0625, Gamma: 0.0001",23,0,444,542,55.99603567888999,0,40,
"Nu: 0.0625, Gamma: 0.0002",16,7,161,825,83.34985133795837,0,40,
"Nu: 0.0625, Gamma: 0.0003",23,0,348,638,65.51040634291377,0,40,
"Nu: 0.0625, Gamma: 0.0004",23,0,348,638,65.51040634291377,0,40,
"Nu: 0.0625, Gamma: 0.005",23,0,322,664,68.08721506442022,0,40,
"Nu: 0.0625, Gamma: 0.05",23,0,325,661,67.78989098116948,0,40,
"Nu: 0.0625, Gamma: 0.0625",23,0,326,660,67.69078295341923,0,40,
"Nu: 0.0625, Gamma: 0.1",23,0,346,640,65.70862239841428,0,40,
"Nu: 0.0625, Gamma: 0.2",23,0,341,645,66.20416253716552,0,40,
"Nu: 0.0625, Gamma: 0.5",23,0,167,819,83.44895936570862,0,40,
"Nu: 0.0625, Gamma: 0.7",22,1,1,985,99.8017839444995,0,40,
"Nu: 0.0625, Gamma: 0.9",22,1,2,984,99.70267591674926,0,40,
"Nu: 0.0625, Gamma: 0.99",22,1,2,984,99.70267591674926,0,40,
"Nu: 0.1, Gamma: 0.0001",20,3,165,821,83.34985133795837,0,40,
"Nu: 0.1, Gamma: 0.0002",21,2,165,821,83.44895936570862,0,40,
"Nu: 0.1, Gamma: 0.0003",23,0,304,682,69.87115956392468,0,40,
"Nu: 0.1, Gamma: 0.0004",21,2,164,822,83.54806739345887,0,40,
"Nu: 0.1, Gamma: 0.005",23,0,295,691,70.7631318136769,0,40,
"Nu: 0.1, Gamma: 0.05",22,1,301,685,70.06937561942517,0,40,
"Nu: 0.1, Gamma: 0.0625",22,1,301,685,70.06937561942517,0,40,
"Nu: 0.1, Gamma: 0.1",22,1,301,685,70.06937561942517,0,40,
