Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,152
"Nu: 0.05, Gamma: 0.9",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.05, Gamma: 0.99",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.005",2,0,10,3,33.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2,0,12,1,20,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,0,12,1,20,0,40,,,
"Nu: 0.0625, Gamma: 0.1",2,0,12,1,20,0,40,,,
"Nu: 0.0625, Gamma: 0.2",2,0,10,3,33.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,0,9,4,40,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,0,9,4,40,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.0001",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.0002",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.0003",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,0,12,1,20,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,0,12,1,20,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,0,12,1,20,0,40,,,
"Nu: 0.1, Gamma: 0.1",2,0,12,1,20,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,0,10,3,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,0,9,4,40,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,0,9,4,40,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,0,8,5,46.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,0,8,5,46.66666667,0,40,,,
