Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.38709677,155
"Nu: 0.05, Gamma: 0.5",3,1,163,19,11.82795699,0,40,,,
"Nu: 0.05, Gamma: 0.7",3,1,161,21,12.90322581,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,156,26,15.59139785,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,147,35,20.43010753,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,179,3,3.76344086,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,179,3,3.76344086,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,179,3,3.76344086,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,2,45,137,74.7311828,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,176,6,5.376344086,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,177,5,4.838709677,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,177,5,4.838709677,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,176,6,5.376344086,0,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,164,18,11.82795699,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,1,163,19,11.82795699,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,1,161,21,12.90322581,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,156,26,15.59139785,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,146,36,20.96774194,0,40,,,
"Nu: 0.1, Gamma: 0.0001",4,0,172,10,7.52688172,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,72,110,60.75268817,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,149,33,19.89247312,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,149,33,19.89247312,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,177,5,4.838709677,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,177,5,4.838709677,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,177,5,4.838709677,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,176,6,5.376344086,0,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,164,18,11.82795699,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,1,163,19,11.82795699,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,161,21,12.90322581,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,1,156,26,15.59139785,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,151,31,18.27956989,0,40,,,
"Nu: 0.2, Gamma: 0.0001",1,3,31,151,81.72043011,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,63,119,65.59139785,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,169,13,9.139784946,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,169,13,9.139784946,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,169,13,9.139784946,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,171,11,8.064516129,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,171,11,8.064516129,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,0,162,20,12.90322581,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,162,20,12.3655914,0,40,,,
"Nu: 0.2, Gamma: 0.5",3,1,161,21,12.90322581,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,1,160,22,13.44086022,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,1,156,26,15.59139785,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,1,142,40,23.11827957,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,0,156,26,16.12903226,0,40,,,
"Nu: 0.5, Gamma: 0.0002",1,3,32,150,81.1827957,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,65,117,64.51612903,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,65,117,64.51612903,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,65,117,64.51612903,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,64,118,64.51612903,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,1,68,114,62.90322581,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,1,70,112,61.82795699,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,1,69,113,62.3655914,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,43,139,75.80645161,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,42,140,76.34408602,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,42,140,76.34408602,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,40,142,77.41935484,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,31,151,81.72043011,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,1,64,118,65.05376344,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,28,154,83.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,28,154,83.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,32,150,81.1827957,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,30,152,82.25806452,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,30,152,82.25806452,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,24,158,85.48387097,0,40,,,
"Nu: 0.7, Gamma: 0.2",0,4,23,159,85.48387097,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,26,156,84.40860215,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,2,32,150,81.72043011,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,2,26,156,84.94623656,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,2,29,153,83.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.0001",4,0,69,113,62.90322581,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,3,26,156,84.40860215,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,3,26,156,84.40860215,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,3,19,163,88.17204301,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,3,26,156,84.40860215,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,20,162,87.6344086,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,18,164,88.70967742,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,16,166,89.24731183,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,3,179,96.23655914,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,0,182,98.38709677,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,0,182,98.38709677,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,1,181,97.84946237,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,1,181,97.84946237,0,40,,,
"Nu: 0.99, Gamma: 0.0001",3,1,61,121,66.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,3,12,170,91.93548387,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,3,12,170,91.93548387,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,3,12,170,91.93548387,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,3,11,171,92.47311828,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,8,174,93.5483871,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,7,175,94.08602151,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,3,179,96.23655914,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.99, Gamma: 0.7",1,3,0,182,98.38709677,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,182,97.84946237,0,40,,,
,,,,,,,,,,
Target Class: freqmine_pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,19,0,31,62,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,19,0,31,62,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,19,0,31,62,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,19,0,31,62,0,40,,,
"Nu: 0.0001, Gamma: 0.005",18,1,31,0,36,0,40,,,
"Nu: 0.0001, Gamma: 0.05",18,1,31,0,36,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",18,1,30,1,38,0,40,,,
"Nu: 0.0001, Gamma: 0.1",15,4,29,2,34,0,40,,,
"Nu: 0.0001, Gamma: 0.2",12,7,22,9,42,0,40,,,
"Nu: 0.0001, Gamma: 0.5",13,6,24,7,40,0,40,,,
"Nu: 0.0001, Gamma: 0.7",15,4,19,12,54,0,40,,,
"Nu: 0.0001, Gamma: 0.9",7,12,17,14,42,0,40,,,
"Nu: 0.0001, Gamma: 0.99",16,3,22,9,50,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,19,0,31,62,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,19,0,31,62,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,19,0,31,62,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,19,0,31,62,0,40,,,
"Nu: 0.0002, Gamma: 0.005",18,1,31,0,36,0,40,,,
"Nu: 0.0002, Gamma: 0.05",18,1,31,0,36,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",18,1,31,0,36,0,40,,,
"Nu: 0.0002, Gamma: 0.1",15,4,30,1,32,0,40,,,
"Nu: 0.0002, Gamma: 0.2",14,5,24,7,42,0,40,,,
"Nu: 0.0002, Gamma: 0.5",13,6,24,7,40,0,40,,,
"Nu: 0.0002, Gamma: 0.7",18,1,23,8,52,0,40,,,
"Nu: 0.0002, Gamma: 0.9",8,11,16,15,46,0,40,,,
"Nu: 0.0002, Gamma: 0.99",18,1,22,9,54,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,19,0,31,62,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,19,0,31,62,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,19,0,31,62,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,19,0,31,62,0,40,,,
"Nu: 0.0003, Gamma: 0.005",18,1,31,0,36,0,40,,,
"Nu: 0.0003, Gamma: 0.05",18,1,31,0,36,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",18,1,31,0,36,0,40,,,
"Nu: 0.0003, Gamma: 0.1",15,4,30,1,32,0,40,,,
"Nu: 0.0003, Gamma: 0.2",7,12,19,12,38,0,40,,,
"Nu: 0.0003, Gamma: 0.5",13,6,24,7,40,0,40,,,
"Nu: 0.0003, Gamma: 0.7",18,1,23,8,52,0,40,,,
"Nu: 0.0003, Gamma: 0.9",18,1,23,8,52,0,40,,,
"Nu: 0.0003, Gamma: 0.99",18,1,22,9,54,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,19,0,31,62,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,19,0,31,62,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,19,0,31,62,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,19,0,31,62,0,40,,,
"Nu: 0.0004, Gamma: 0.005",18,1,31,0,36,0,40,,,
"Nu: 0.0004, Gamma: 0.05",18,1,31,0,36,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",18,1,31,0,36,0,40,,,
"Nu: 0.0004, Gamma: 0.1",15,4,30,1,32,0,40,,,
"Nu: 0.0004, Gamma: 0.2",19,0,25,6,50,0,40,,,
"Nu: 0.0004, Gamma: 0.5",18,1,23,8,52,0,40,,,
"Nu: 0.0004, Gamma: 0.7",18,1,23,8,52,0,40,,,
"Nu: 0.0004, Gamma: 0.9",18,1,22,9,54,0,40,,,
"Nu: 0.0004, Gamma: 0.99",17,2,23,8,50,0,40,,,
"Nu: 0.005, Gamma: 0.0001",18,1,31,0,36,0,40,,,
"Nu: 0.005, Gamma: 0.0002",18,1,31,0,36,0,40,,,
"Nu: 0.005, Gamma: 0.0003",18,1,31,0,36,0,40,,,
"Nu: 0.005, Gamma: 0.0004",18,1,31,0,36,0,40,,,
"Nu: 0.005, Gamma: 0.005",18,1,31,0,36,0,40,,,
"Nu: 0.005, Gamma: 0.05",18,1,31,0,36,0,40,,,
"Nu: 0.005, Gamma: 0.0625",18,1,31,0,36,0,40,,,
"Nu: 0.005, Gamma: 0.1",18,1,30,1,38,0,40,,,
"Nu: 0.005, Gamma: 0.2",17,2,24,7,48,0,40,,,
"Nu: 0.005, Gamma: 0.5",17,2,21,10,54,0,40,,,
"Nu: 0.005, Gamma: 0.7",17,2,19,12,58,0,40,,,
"Nu: 0.005, Gamma: 0.9",18,1,19,12,60,0,40,,,
"Nu: 0.005, Gamma: 0.99",18,1,19,12,60,0,40,,,
"Nu: 0.05, Gamma: 0.0001",6,13,14,17,46,0,40,,,
"Nu: 0.05, Gamma: 0.0002",18,1,25,6,48,0,40,,,
"Nu: 0.05, Gamma: 0.0003",18,1,25,6,48,0,40,,,
"Nu: 0.05, Gamma: 0.0004",18,1,25,6,48,0,40,,,
"Nu: 0.05, Gamma: 0.005",18,1,24,7,50,0,40,,,
"Nu: 0.05, Gamma: 0.05",18,1,24,7,50,0,40,,,
"Nu: 0.05, Gamma: 0.0625",18,1,23,8,52,0,40,,,
"Nu: 0.05, Gamma: 0.1",18,1,23,8,52,0,40,,,
"Nu: 0.05, Gamma: 0.2",18,1,21,10,56,0,40,,,
"Nu: 0.05, Gamma: 0.5",17,2,21,10,54,0,40,,,
"Nu: 0.05, Gamma: 0.7",17,2,21,10,54,0,40,,,
"Nu: 0.05, Gamma: 0.9",17,2,20,11,56,0,40,,,
"Nu: 0.05, Gamma: 0.99",17,2,20,11,56,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",15,4,23,8,46,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",15,4,23,8,46,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",15,4,23,8,46,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",15,4,23,8,46,0,40,,,
"Nu: 0.0625, Gamma: 0.005",18,1,24,7,50,0,40,,,
"Nu: 0.0625, Gamma: 0.05",18,1,23,8,52,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",18,1,23,8,52,0,40,,,
"Nu: 0.0625, Gamma: 0.1",18,1,22,9,54,0,40,,,
"Nu: 0.0625, Gamma: 0.2",18,1,21,10,56,0,40,,,
"Nu: 0.0625, Gamma: 0.5",17,2,19,12,58,0,40,,,
"Nu: 0.0625, Gamma: 0.7",17,2,19,12,58,0,40,,,
"Nu: 0.0625, Gamma: 0.9",17,2,20,11,56,0,40,,,
"Nu: 0.0625, Gamma: 0.99",17,2,19,12,58,0,40,,,
"Nu: 0.1, Gamma: 0.0001",18,1,25,6,48,0,40,,,
"Nu: 0.1, Gamma: 0.0002",15,4,23,8,46,0,40,,,
"Nu: 0.1, Gamma: 0.0003",11,8,23,8,38,0,40,,,
"Nu: 0.1, Gamma: 0.0004",8,11,22,9,34,0,40,,,
"Nu: 0.1, Gamma: 0.005",18,1,24,7,50,0,40,,,
"Nu: 0.1, Gamma: 0.05",18,1,22,9,54,0,40,,,
"Nu: 0.1, Gamma: 0.0625",18,1,22,9,54,0,40,,,
"Nu: 0.1, Gamma: 0.1",18,1,21,10,56,0,40,,,
"Nu: 0.1, Gamma: 0.2",17,2,20,11,56,0,40,,,
"Nu: 0.1, Gamma: 0.5",16,3,19,12,56,0,40,,,
"Nu: 0.1, Gamma: 0.7",17,2,19,12,58,0,40,,,
"Nu: 0.1, Gamma: 0.9",17,2,19,12,58,0,40,,,
"Nu: 0.1, Gamma: 0.99",17,2,19,12,58,0,40,,,
"Nu: 0.2, Gamma: 0.0001",15,4,22,9,48,0,40,,,
"Nu: 0.2, Gamma: 0.0002",11,8,21,10,42,0,40,,,
"Nu: 0.2, Gamma: 0.0003",18,1,22,9,54,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,11,21,10,36,0,40,,,
"Nu: 0.2, Gamma: 0.005",18,1,22,9,54,0,40,,,
"Nu: 0.2, Gamma: 0.05",18,1,20,11,58,0,40,,,
"Nu: 0.2, Gamma: 0.0625",18,1,20,11,58,0,40,,,
"Nu: 0.2, Gamma: 0.1",15,4,20,11,52,0,40,,,
"Nu: 0.2, Gamma: 0.2",15,4,20,11,52,0,40,,,
"Nu: 0.2, Gamma: 0.5",14,5,18,13,54,0,40,,,
"Nu: 0.2, Gamma: 0.7",15,4,19,12,54,0,40,,,
"Nu: 0.2, Gamma: 0.9",15,4,19,12,54,0,40,,,
"Nu: 0.2, Gamma: 0.99",15,4,19,12,54,0,40,,,
"Nu: 0.5, Gamma: 0.0001",9,10,18,13,44,0,40,,,
"Nu: 0.5, Gamma: 0.0002",9,10,18,13,44,0,40,,,
"Nu: 0.5, Gamma: 0.0003",9,10,18,13,44,0,40,,,
"Nu: 0.5, Gamma: 0.0004",9,10,18,13,44,0,40,,,
"Nu: 0.5, Gamma: 0.005",9,10,17,14,46,0,40,,,
"Nu: 0.5, Gamma: 0.05",9,10,17,14,46,0,40,,,
"Nu: 0.5, Gamma: 0.0625",8,11,17,14,44,0,40,,,
"Nu: 0.5, Gamma: 0.1",8,11,17,14,44,0,40,,,
"Nu: 0.5, Gamma: 0.2",8,11,17,14,44,0,40,,,
"Nu: 0.5, Gamma: 0.5",10,9,16,15,50,0,40,,,
"Nu: 0.5, Gamma: 0.7",10,9,14,17,54,0,40,,,
"Nu: 0.5, Gamma: 0.9",9,10,10,21,60,0,40,,,
"Nu: 0.5, Gamma: 0.99",9,10,9,22,62,0,40,,,
"Nu: 0.7, Gamma: 0.0001",5,14,15,16,42,0,40,,,
