Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.54098361,28
"Nu: 0.05, Gamma: 0.5",2,2,62,56,47.54098361,0,40,,,
"Nu: 0.05, Gamma: 0.7",1,3,49,69,57.37704918,0,40,,,
"Nu: 0.05, Gamma: 0.9",1,3,44,74,61.47540984,0,40,,,
"Nu: 0.05, Gamma: 0.99",1,3,44,74,61.47540984,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,111,7,9.016393443,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,111,7,9.016393443,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,70,48,42.62295082,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,70,48,42.62295082,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,76,42,37.70491803,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,73,45,40.16393443,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,73,45,40.16393443,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,70,48,42.62295082,0,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,68,50,44.26229508,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,60,58,49.18032787,0,40,,,
"Nu: 0.0625, Gamma: 0.7",1,3,49,69,57.37704918,0,40,,,
"Nu: 0.0625, Gamma: 0.9",1,3,45,73,60.6557377,0,40,,,
"Nu: 0.0625, Gamma: 0.99",1,3,44,74,61.47540984,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,57,61,52.45901639,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,0,67,51,45.08196721,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,67,51,45.08196721,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,67,51,45.08196721,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,69,49,43.44262295,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,68,50,44.26229508,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,67,51,45.08196721,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,68,50,44.26229508,0,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,69,49,43.44262295,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,61,57,48.36065574,0,40,,,
"Nu: 0.1, Gamma: 0.7",1,3,49,69,57.37704918,0,40,,,
"Nu: 0.1, Gamma: 0.9",1,3,45,73,60.6557377,0,40,,,
"Nu: 0.1, Gamma: 0.99",1,3,44,74,61.47540984,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,50,68,58.19672131,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,50,68,58.19672131,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,66,52,45.90163934,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,66,52,45.90163934,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,65,53,46.72131148,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,66,52,45.90163934,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,66,52,45.90163934,0,40,,,
