Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.44444444,314
"Nu: 0.0625, Gamma: 0.0003",4,0,33,3,17.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,33,3,17.5,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,33,3,17.5,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,33,3,17.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,33,3,17.5,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,33,3,17.5,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,31,5,20,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,29,7,22.5,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,29,7,22.5,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,2,27,9,27.5,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,25,11,35,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,32,4,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,32,4,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,32,4,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,1,32,4,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.005",3,1,32,4,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.05",3,1,32,4,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.0625",3,1,32,4,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,32,4,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,2,29,7,22.5,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,29,7,22.5,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,29,7,22.5,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,27,9,27.5,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,24,12,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,34,2,12.5,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,32,4,17.5,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,32,4,17.5,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,32,4,17.5,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,32,4,17.5,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,32,4,17.5,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,32,4,17.5,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,32,4,17.5,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,2,29,7,22.5,0,40,,,
"Nu: 0.2, Gamma: 0.5",1,3,28,8,22.5,0,40,,,
"Nu: 0.2, Gamma: 0.7",1,3,27,9,25,0,40,,,
"Nu: 0.2, Gamma: 0.9",1,3,26,10,27.5,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,24,12,35,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,25,11,32.5,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,25,11,32.5,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,25,11,32.5,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,25,11,32.5,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,24,12,35,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,24,12,35,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,24,12,35,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,25,11,32.5,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,3,24,12,32.5,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,3,25,11,30,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,23,13,35,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,18,18,47.5,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,9,27,70,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,15,21,52.5,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,2,22,14,40,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,2,22,14,40,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,2,22,14,40,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,22,14,37.5,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,21,15,40,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,21,15,40,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,20,16,42.5,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,19,17,45,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,3,33,85,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,4,3,33,82.5,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,4,3,33,82.5,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,4,3,33,82.5,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,2,34,85,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,2,34,85,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,2,34,85,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,2,34,85,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,2,34,85,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,14,22,55,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,14,22,55,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,17,19,50,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,14,22,57.5,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,36,90,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,36,90,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,36,90,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,2,34,85,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,2,34,85,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,13,23,57.5,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,36,90,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,36,90,0,40,,,
,,,,,,,,,,
Target Class: raytrace_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,3,15,17,50,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,3,6,26,75,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,3,6,26,75,0,40,,,
"Nu: 0.0001, Gamma: 0.9",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.0001, Gamma: 0.99",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,31,1,13.88888889,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,31,1,13.88888889,0,40,,,
