Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.44444444,314
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,36,90,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,36,90,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,36,90,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,36,90,10,40,,,
"Nu: 0.0001, Gamma: 0.005",4,0,34,2,15,10,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,34,2,15,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,34,2,15,10,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,34,2,15,10,40,,,
"Nu: 0.0001, Gamma: 0.2",3,1,34,2,12.5,10,40,,,
"Nu: 0.0001, Gamma: 0.5",3,1,33,3,15,10,40,,,
"Nu: 0.0001, Gamma: 0.7",3,1,33,3,15,10,40,,,
"Nu: 0.0001, Gamma: 0.9",3,1,30,6,22.5,10,40,,,
"Nu: 0.0001, Gamma: 0.99",3,1,32,4,17.5,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,36,90,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,36,90,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,36,90,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,36,90,10,40,,,
"Nu: 0.0002, Gamma: 0.005",4,0,34,2,15,10,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,36,0,10,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,34,2,15,10,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,34,2,15,10,40,,,
"Nu: 0.0002, Gamma: 0.2",3,1,34,2,12.5,10,40,,,
"Nu: 0.0002, Gamma: 0.5",3,1,33,3,15,10,40,,,
"Nu: 0.0002, Gamma: 0.7",3,1,33,3,15,10,40,,,
"Nu: 0.0002, Gamma: 0.9",3,1,25,11,35,10,40,,,
"Nu: 0.0002, Gamma: 0.99",3,1,29,7,25,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,36,90,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,36,90,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,36,90,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",1,3,11,25,65,10,40,,,
"Nu: 0.0003, Gamma: 0.005",4,0,34,2,15,10,40,,,
"Nu: 0.0003, Gamma: 0.05",4,0,34,2,15,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,0,34,2,15,10,40,,,
"Nu: 0.0003, Gamma: 0.1",4,0,34,2,15,10,40,,,
"Nu: 0.0003, Gamma: 0.2",4,0,34,2,15,10,40,,,
"Nu: 0.0003, Gamma: 0.5",3,1,33,3,15,10,40,,,
"Nu: 0.0003, Gamma: 0.7",3,1,33,3,15,10,40,,,
"Nu: 0.0003, Gamma: 0.9",3,1,32,4,17.5,10,40,,,
"Nu: 0.0003, Gamma: 0.99",3,1,29,7,25,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,36,90,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,36,90,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",1,3,11,25,65,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",4,0,34,2,15,10,40,,,
"Nu: 0.0004, Gamma: 0.005",4,0,34,2,15,10,40,,,
"Nu: 0.0004, Gamma: 0.05",4,0,34,2,15,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,0,34,2,15,10,40,,,
"Nu: 0.0004, Gamma: 0.1",4,0,34,2,15,10,40,,,
"Nu: 0.0004, Gamma: 0.2",3,1,34,2,12.5,10,40,,,
"Nu: 0.0004, Gamma: 0.5",3,1,33,3,15,10,40,,,
"Nu: 0.0004, Gamma: 0.7",3,1,33,3,15,10,40,,,
"Nu: 0.0004, Gamma: 0.9",3,1,32,4,17.5,10,40,,,
"Nu: 0.0004, Gamma: 0.99",3,1,25,11,35,10,40,,,
"Nu: 0.005, Gamma: 0.0001",4,0,34,2,15,10,40,,,
"Nu: 0.005, Gamma: 0.0002",4,0,34,2,15,10,40,,,
"Nu: 0.005, Gamma: 0.0003",4,0,34,2,15,10,40,,,
"Nu: 0.005, Gamma: 0.0004",4,0,34,2,15,10,40,,,
"Nu: 0.005, Gamma: 0.005",4,0,34,2,15,10,40,,,
"Nu: 0.005, Gamma: 0.05",4,0,34,2,15,10,40,,,
"Nu: 0.005, Gamma: 0.0625",4,0,34,2,15,10,40,,,
"Nu: 0.005, Gamma: 0.1",4,0,34,2,15,10,40,,,
"Nu: 0.005, Gamma: 0.2",3,1,34,2,12.5,10,40,,,
"Nu: 0.005, Gamma: 0.5",3,1,33,3,15,10,40,,,
"Nu: 0.005, Gamma: 0.7",3,1,33,3,15,10,40,,,
"Nu: 0.005, Gamma: 0.9",3,1,32,4,17.5,10,40,,,
"Nu: 0.005, Gamma: 0.99",3,1,24,12,37.5,10,40,,,
"Nu: 0.05, Gamma: 0.0001",4,0,34,2,15,10,40,,,
"Nu: 0.05, Gamma: 0.0002",4,0,34,2,15,10,40,,,
"Nu: 0.05, Gamma: 0.0003",4,0,34,2,15,10,40,,,
"Nu: 0.05, Gamma: 0.0004",4,0,34,2,15,10,40,,,
"Nu: 0.05, Gamma: 0.005",4,0,34,2,15,10,40,,,
"Nu: 0.05, Gamma: 0.05",4,0,34,2,15,10,40,,,
"Nu: 0.05, Gamma: 0.0625",4,0,34,2,15,10,40,,,
"Nu: 0.05, Gamma: 0.1",4,0,34,2,15,10,40,,,
"Nu: 0.05, Gamma: 0.2",3,1,34,2,12.5,10,40,,,
"Nu: 0.05, Gamma: 0.5",3,1,33,3,15,10,40,,,
"Nu: 0.05, Gamma: 0.7",3,1,33,3,15,10,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,31,5,20,10,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,29,7,25,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,34,2,15,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,34,2,15,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,34,2,15,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,34,2,15,10,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,34,2,15,10,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,34,2,15,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,34,2,15,10,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,34,2,15,10,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,34,2,12.5,10,40,,,
"Nu: 0.0625, Gamma: 0.5",3,1,33,3,15,10,40,,,
"Nu: 0.0625, Gamma: 0.7",3,1,33,3,15,10,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,31,5,20,10,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,29,7,25,10,40,,,
"Nu: 0.1, Gamma: 0.0001",4,0,33,3,17.5,10,40,,,
"Nu: 0.1, Gamma: 0.0002",4,0,33,3,17.5,10,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,33,3,17.5,10,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,33,3,17.5,10,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,33,3,17.5,10,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,34,2,15,10,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,34,2,15,10,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,34,2,15,10,40,,,
"Nu: 0.1, Gamma: 0.2",3,1,34,2,12.5,10,40,,,
"Nu: 0.1, Gamma: 0.5",3,1,33,3,15,10,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,33,3,15,10,40,,,
"Nu: 0.1, Gamma: 0.9",3,1,31,5,20,10,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,29,7,25,10,40,,,
"Nu: 0.2, Gamma: 0.0001",4,0,32,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.0002",4,0,32,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,32,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,32,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,32,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,33,3,17.5,10,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,33,3,17.5,10,40,,,
"Nu: 0.2, Gamma: 0.1",4,0,34,2,15,10,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,34,2,12.5,10,40,,,
"Nu: 0.2, Gamma: 0.5",3,1,33,3,15,10,40,,,
"Nu: 0.2, Gamma: 0.7",3,1,31,5,20,10,40,,,
"Nu: 0.2, Gamma: 0.9",3,1,30,6,22.5,10,40,,,
"Nu: 0.2, Gamma: 0.99",3,1,24,12,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,24,12,35,10,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,24,12,35,10,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,24,12,35,10,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,24,12,35,10,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,24,12,35,10,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,24,12,35,10,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,24,12,35,10,40,,,
"Nu: 0.5, Gamma: 0.1",1,3,24,12,32.5,10,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,26,10,30,10,40,,,
"Nu: 0.5, Gamma: 0.5",3,1,30,6,22.5,10,40,,,
"Nu: 0.5, Gamma: 0.7",3,1,29,7,25,10,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,22,14,40,10,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,14,22,60,10,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,21,15,37.5,10,40,,,
"Nu: 0.7, Gamma: 0.0002",0,4,21,15,37.5,10,40,,,
"Nu: 0.7, Gamma: 0.0003",0,4,21,15,37.5,10,40,,,
"Nu: 0.7, Gamma: 0.0004",0,4,21,15,37.5,10,40,,,
"Nu: 0.7, Gamma: 0.005",0,4,21,15,37.5,10,40,,,
"Nu: 0.7, Gamma: 0.05",0,4,20,16,40,10,40,,,
"Nu: 0.7, Gamma: 0.0625",0,4,20,16,40,10,40,,,
"Nu: 0.7, Gamma: 0.1",0,4,19,17,42.5,10,40,,,
"Nu: 0.7, Gamma: 0.2",0,4,18,18,45,10,40,,,
"Nu: 0.7, Gamma: 0.5",0,4,4,32,80,10,40,,,
"Nu: 0.7, Gamma: 0.7",0,4,3,33,82.5,10,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,3,33,85,10,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,4,32,82.5,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,2,34,85,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,2,34,85,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,2,34,85,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,2,34,85,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,2,34,85,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,4,32,80,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,10,26,65,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,14,22,55,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,15,21,52.5,10,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,1,35,87.5,10,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,36,90,10,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,36,90,10,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,36,90,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,0,36,90,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,0,36,90,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,0,36,90,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,0,36,90,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,0,36,90,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,2,34,85,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,5,31,77.5,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,36,90,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,36,90,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,36,90,10,40,,,
,,,,,,,,,,
Target Class: raytrace_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.0001, Gamma: 0.005",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0001, Gamma: 0.2",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0001, Gamma: 0.5",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0001, Gamma: 0.7",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0001, Gamma: 0.9",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0001, Gamma: 0.99",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",4,0,15,17,58.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",4,0,15,17,58.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.005",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0002, Gamma: 0.2",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.5",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.7",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.9",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.99",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",4,0,15,17,58.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",4,0,15,17,58.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",4,0,15,17,58.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.005",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0003, Gamma: 0.05",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0003, Gamma: 0.1",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0003, Gamma: 0.2",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.5",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.7",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.9",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.99",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",4,0,15,17,58.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",4,0,15,17,58.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",4,0,15,17,58.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.005",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0004, Gamma: 0.05",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0004, Gamma: 0.1",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0004, Gamma: 0.2",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0004, Gamma: 0.5",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0004, Gamma: 0.7",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0004, Gamma: 0.9",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0004, Gamma: 0.99",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.005, Gamma: 0.0001",4,0,24,8,33.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.0002",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.005, Gamma: 0.0003",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.005, Gamma: 0.0004",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.005, Gamma: 0.005",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.005, Gamma: 0.05",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.005, Gamma: 0.0625",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.005, Gamma: 0.1",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.005, Gamma: 0.2",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.005, Gamma: 0.5",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.005, Gamma: 0.7",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.005, Gamma: 0.9",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.005, Gamma: 0.99",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.05, Gamma: 0.0001",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.0002",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.0003",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.0004",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.005",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.05",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.0625",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.1",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.2",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.05, Gamma: 0.5",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.05, Gamma: 0.7",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.05, Gamma: 0.9",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.05, Gamma: 0.99",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.5",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.7",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.9",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.99",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.1, Gamma: 0.0001",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.1, Gamma: 0.0002",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,32,0,11.11111111,10,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.1, Gamma: 0.5",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.1, Gamma: 0.7",4,0,31,1,13.88888889,10,40,,,
"Nu: 0.1, Gamma: 0.9",4,0,30,2,16.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.99",4,0,30,2,16.66666667,10,40,,,
"Nu: 0.2, Gamma: 0.0001",4,0,20,12,44.44444444,10,40,,,
"Nu: 0.2, Gamma: 0.0002",4,0,20,12,44.44444444,10,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,20,12,44.44444444,10,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,20,12,44.44444444,10,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,20,12,44.44444444,10,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,19,13,47.22222222,10,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,19,13,47.22222222,10,40,,,
"Nu: 0.2, Gamma: 0.1",4,0,20,12,44.44444444,10,40,,,
"Nu: 0.2, Gamma: 0.2",4,0,24,8,33.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.5",4,0,30,2,16.66666667,10,40,,,
"Nu: 0.2, Gamma: 0.7",4,0,30,2,16.66666667,10,40,,,
"Nu: 0.2, Gamma: 0.9",4,0,30,2,16.66666667,10,40,,,
"Nu: 0.2, Gamma: 0.99",4,0,30,2,16.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,8,24,72.22222222,10,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,8,24,72.22222222,10,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,8,24,72.22222222,10,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,8,24,72.22222222,10,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,7,25,75,10,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,6,26,77.77777778,10,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,6,26,77.77777778,10,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,7,25,75,10,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,6,26,77.77777778,10,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,9,23,69.44444444,10,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,9,23,69.44444444,10,40,,,
"Nu: 0.5, Gamma: 0.9",3,1,10,22,69.44444444,10,40,,,
"Nu: 0.5, Gamma: 0.99",3,1,10,22,69.44444444,10,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,4,28,80.55555556,10,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,4,28,80.55555556,10,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,4,28,80.55555556,10,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,4,28,80.55555556,10,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,4,28,80.55555556,10,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,3,29,83.33333333,10,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,3,29,83.33333333,10,40,,,
"Nu: 0.7, Gamma: 0.1",2,2,3,29,86.11111111,10,40,,,
"Nu: 0.7, Gamma: 0.2",2,2,0,32,94.44444444,10,40,,,
"Nu: 0.7, Gamma: 0.5",2,2,1,31,91.66666667,10,40,,,
"Nu: 0.7, Gamma: 0.7",2,2,2,30,88.88888889,10,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,2,30,86.11111111,10,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,3,29,83.33333333,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,3,29,80.55555556,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,3,29,80.55555556,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,3,29,80.55555556,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,3,29,80.55555556,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,3,29,80.55555556,10,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,3,29,83.33333333,10,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,3,29,83.33333333,10,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,1,31,88.88888889,10,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,0,32,91.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,0,32,91.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,0,32,91.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,1,31,88.88888889,10,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,1,31,88.88888889,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,1,31,86.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,1,31,86.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,1,31,86.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,1,31,86.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,1,31,86.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,31,86.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.99, Gamma: 0.2",1,3,0,32,91.66666667,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,32,88.88888889,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,32,88.88888889,10,40,,,
