Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.78601997,103
"Nu: 0.0001, Gamma: 0.0001",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,1389,1,0.92724679,0,40,,,
"Nu: 0.0001, Gamma: 0.2",7,5,584,806,57.98858773,0,40,,,
"Nu: 0.0001, Gamma: 0.5",5,7,3,1387,99.28673324,0,40,,,
"Nu: 0.0001, Gamma: 0.7",6,6,73,1317,94.36519258,0,40,,,
"Nu: 0.0001, Gamma: 0.9",11,1,46,1344,96.64764622,0,40,,,
"Nu: 0.0001, Gamma: 0.99",11,1,46,1344,96.64764622,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,12,0,1390,99.14407989,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,1390,0,0.855920114,0,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,1389,1,0.92724679,0,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,174,1216,87.58915835,0,40,,,
"Nu: 0.0002, Gamma: 0.5",11,1,64,1326,95.36376605,0,40,,,
