Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.67611336,687
"Nu: 0.0004, Gamma: 0.0625",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.0004, Gamma: 0.1",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.0004, Gamma: 0.2",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.0004, Gamma: 0.5",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.0004, Gamma: 0.7",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.0004, Gamma: 0.9",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.0004, Gamma: 0.99",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.005, Gamma: 1e-05",230,86,1,36,75.35410765,0,40,,,
"Nu: 0.005, Gamma: 2e-05",231,97,0,25,72.52124646,0,40,,,
"Nu: 0.005, Gamma: 3e-05",231,101,0,21,71.38810198,0,40,,,
"Nu: 0.005, Gamma: 4e-05",230,108,1,14,69.12181303,0,40,,,
"Nu: 0.005, Gamma: 5e-05",231,107,0,15,69.68838527,0,40,,,
"Nu: 0.005, Gamma: 6e-05",230,107,1,15,69.40509915,0,40,,,
"Nu: 0.005, Gamma: 7e-05",230,108,1,14,69.12181303,0,40,,,
"Nu: 0.005, Gamma: 8e-05",230,111,1,11,68.27195467,0,40,,,
"Nu: 0.005, Gamma: 9e-05",230,110,1,12,68.55524079,0,40,,,
"Nu: 0.005, Gamma: 0.0001",230,111,1,11,68.27195467,0,40,,,
"Nu: 0.005, Gamma: 0.0002",230,111,1,11,68.27195467,0,40,,,
"Nu: 0.005, Gamma: 0.0003",230,114,1,8,67.42209632,0,40,,,
"Nu: 0.005, Gamma: 0.0004",230,115,1,7,67.1388102,0,40,,,
"Nu: 0.005, Gamma: 0.005",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.005, Gamma: 0.05",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.005, Gamma: 0.0625",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.005, Gamma: 0.1",230,122,1,0,65.15580737,0,40,,,
"Nu: 0.005, Gamma: 0.2",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.005, Gamma: 0.5",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.005, Gamma: 0.7",231,122,0,0,65.43909348,0,40,,,
"Nu: 0.005, Gamma: 0.9",231,122,0,0,65.43909348,0,40,,,
