Features: 16,,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,302
"Nu: 0.05, Gamma: 0.5",2,3,42,4,11.76470588,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,3,39,7,17.64705882,0,40,,,
"Nu: 0.05, Gamma: 0.9",2,3,39,7,17.64705882,0,40,,,
"Nu: 0.05, Gamma: 0.99",2,3,37,9,21.56862745,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",5,0,45,1,11.76470588,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",5,0,45,1,11.76470588,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,46,0,9.803921569,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,46,0,9.803921569,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,46,0,9.803921569,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,46,0,9.803921569,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,46,0,9.803921569,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,46,0,9.803921569,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,2,44,2,9.803921569,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,3,42,4,11.76470588,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,3,38,8,19.60784314,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,3,38,8,19.60784314,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,3,37,9,21.56862745,0,40,,,
"Nu: 0.1, Gamma: 0.0001",4,1,41,5,17.64705882,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,1,41,5,17.64705882,0,40,,,
"Nu: 0.1, Gamma: 0.0003",5,0,41,5,19.60784314,0,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,41,5,19.60784314,0,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,41,5,19.60784314,0,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,41,5,19.60784314,0,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,41,5,19.60784314,0,40,,,
