Features: 16,,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,302
"Nu: 0.9, Gamma: 0.9",2,3,1,49,92.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,3,1,49,92.72727273,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,5,6,44,80,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,5,6,44,80,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,5,6,44,80,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,5,6,44,80,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,5,3,47,85.45454545,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,5,5,45,81.81818182,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,5,0,50,90.90909091,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,46,90.19607843,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,46,90.19607843,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,46,90.19607843,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0001, Gamma: 0.005",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0001, Gamma: 0.05",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0001, Gamma: 0.1",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0001, Gamma: 0.2",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0001, Gamma: 0.5",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0001, Gamma: 0.7",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0001, Gamma: 0.9",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0001, Gamma: 0.99",5,0,43,3,15.68627451,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,46,90.19607843,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0002, Gamma: 0.005",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0002, Gamma: 0.05",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0002, Gamma: 0.1",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0002, Gamma: 0.2",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0002, Gamma: 0.5",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0002, Gamma: 0.7",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0002, Gamma: 0.9",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0002, Gamma: 0.99",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,46,90.19607843,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0003, Gamma: 0.005",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0003, Gamma: 0.05",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0003, Gamma: 0.1",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.0003, Gamma: 0.2",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0003, Gamma: 0.5",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0003, Gamma: 0.7",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0003, Gamma: 0.9",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.0003, Gamma: 0.99",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0004, Gamma: 0.005",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0004, Gamma: 0.05",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0004, Gamma: 0.1",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.0004, Gamma: 0.2",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0004, Gamma: 0.5",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.0004, Gamma: 0.7",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0004, Gamma: 0.9",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0004, Gamma: 0.99",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.005, Gamma: 0.0001",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.005, Gamma: 0.0002",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.005, Gamma: 0.0003",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.005, Gamma: 0.0004",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.005, Gamma: 0.005",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.005, Gamma: 0.1",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.005, Gamma: 0.2",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.005, Gamma: 0.5",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.005, Gamma: 0.7",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.005, Gamma: 0.9",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.005, Gamma: 0.99",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.05, Gamma: 0.0001",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.05, Gamma: 0.0002",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.05, Gamma: 0.0003",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.05, Gamma: 0.0004",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.05, Gamma: 0.5",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.05, Gamma: 0.7",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.05, Gamma: 0.9",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.05, Gamma: 0.99",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0625, Gamma: 0.5",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0625, Gamma: 0.7",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.0625, Gamma: 0.9",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.0625, Gamma: 0.99",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.1, Gamma: 0.0001",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.1, Gamma: 0.0002",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.1, Gamma: 0.0003",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.1, Gamma: 0.1",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.1, Gamma: 0.2",5,0,46,0,9.803921569,10,40,,,
"Nu: 0.1, Gamma: 0.5",4,1,45,1,9.803921569,10,40,,,
"Nu: 0.1, Gamma: 0.7",4,1,46,0,7.843137255,10,40,,,
"Nu: 0.1, Gamma: 0.9",5,0,45,1,11.76470588,10,40,,,
"Nu: 0.1, Gamma: 0.99",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.2, Gamma: 0.0001",5,0,28,18,45.09803922,10,40,,,
"Nu: 0.2, Gamma: 0.0002",5,0,28,18,45.09803922,10,40,,,
"Nu: 0.2, Gamma: 0.0003",5,0,27,19,47.05882353,10,40,,,
"Nu: 0.2, Gamma: 0.0004",5,0,27,19,47.05882353,10,40,,,
"Nu: 0.2, Gamma: 0.005",5,0,27,19,47.05882353,10,40,,,
"Nu: 0.2, Gamma: 0.05",5,0,29,17,43.1372549,10,40,,,
"Nu: 0.2, Gamma: 0.0625",5,0,29,17,43.1372549,10,40,,,
"Nu: 0.2, Gamma: 0.1",5,0,40,6,21.56862745,10,40,,,
"Nu: 0.2, Gamma: 0.2",5,0,44,2,13.7254902,10,40,,,
"Nu: 0.2, Gamma: 0.5",4,1,44,2,11.76470588,10,40,,,
"Nu: 0.2, Gamma: 0.7",4,1,44,2,11.76470588,10,40,,,
"Nu: 0.2, Gamma: 0.9",4,1,42,4,15.68627451,10,40,,,
"Nu: 0.2, Gamma: 0.99",4,1,41,5,17.64705882,10,40,,,
"Nu: 0.5, Gamma: 0.0001",4,1,5,41,88.23529412,10,40,,,
"Nu: 0.5, Gamma: 0.0002",4,1,5,41,88.23529412,10,40,,,
"Nu: 0.5, Gamma: 0.0003",4,1,5,41,88.23529412,10,40,,,
"Nu: 0.5, Gamma: 0.0004",4,1,5,41,88.23529412,10,40,,,
"Nu: 0.5, Gamma: 0.005",4,1,5,41,88.23529412,10,40,,,
"Nu: 0.5, Gamma: 0.05",3,2,5,41,86.2745098,10,40,,,
"Nu: 0.5, Gamma: 0.0625",3,2,5,41,86.2745098,10,40,,,
"Nu: 0.5, Gamma: 0.1",3,2,5,41,86.2745098,10,40,,,
"Nu: 0.5, Gamma: 0.2",2,3,6,40,82.35294118,10,40,,,
"Nu: 0.5, Gamma: 0.5",4,1,11,35,76.47058824,10,40,,,
"Nu: 0.5, Gamma: 0.7",4,1,12,34,74.50980392,10,40,,,
"Nu: 0.5, Gamma: 0.9",3,2,14,32,68.62745098,10,40,,,
"Nu: 0.5, Gamma: 0.99",3,2,15,31,66.66666667,10,40,,,
"Nu: 0.7, Gamma: 0.0001",1,4,3,43,86.2745098,10,40,,,
"Nu: 0.7, Gamma: 0.0002",1,4,3,43,86.2745098,10,40,,,
"Nu: 0.7, Gamma: 0.0003",1,4,3,43,86.2745098,10,40,,,
"Nu: 0.7, Gamma: 0.0004",1,4,3,43,86.2745098,10,40,,,
"Nu: 0.7, Gamma: 0.005",1,4,3,43,86.2745098,10,40,,,
"Nu: 0.7, Gamma: 0.05",1,4,4,42,84.31372549,10,40,,,
"Nu: 0.7, Gamma: 0.0625",1,4,4,42,84.31372549,10,40,,,
"Nu: 0.7, Gamma: 0.1",1,4,4,42,84.31372549,10,40,,,
"Nu: 0.7, Gamma: 0.2",2,3,4,42,86.2745098,10,40,,,
"Nu: 0.7, Gamma: 0.5",2,3,6,40,82.35294118,10,40,,,
"Nu: 0.7, Gamma: 0.7",3,2,6,40,84.31372549,10,40,,,
"Nu: 0.7, Gamma: 0.9",3,2,5,41,86.2745098,10,40,,,
"Nu: 0.7, Gamma: 0.99",3,2,5,41,86.2745098,10,40,,,
"Nu: 0.9, Gamma: 0.0001",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.0002",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.0003",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.0004",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.005",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.05",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.0625",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.1",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.2",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.5",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.7",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.9",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.9, Gamma: 0.99",1,4,1,45,90.19607843,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,5,1,45,88.23529412,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,5,1,45,88.23529412,10,40,,,
,,,,,,,,,,
Target Class: canneal_halfcache,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,50,90.90909091,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,50,90.90909091,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,50,90.90909091,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,50,90.90909091,10,40,,,
"Nu: 0.0001, Gamma: 0.005",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0001, Gamma: 0.05",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0001, Gamma: 0.1",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0001, Gamma: 0.2",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0001, Gamma: 0.5",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0001, Gamma: 0.7",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0001, Gamma: 0.9",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0001, Gamma: 0.99",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,50,90.90909091,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,50,90.90909091,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.0002, Gamma: 0.005",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0002, Gamma: 0.05",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0002, Gamma: 0.1",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0002, Gamma: 0.2",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0002, Gamma: 0.5",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0002, Gamma: 0.7",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0002, Gamma: 0.9",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0002, Gamma: 0.99",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,50,90.90909091,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.0003, Gamma: 0.005",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.05",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.1",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.2",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.5",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0003, Gamma: 0.7",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.9",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0003, Gamma: 0.99",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,50,90.90909091,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.0004, Gamma: 0.005",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.05",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.1",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.2",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.5",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0004, Gamma: 0.7",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.9",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.0004, Gamma: 0.99",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.005, Gamma: 0.0001",3,2,46,4,12.72727273,10,40,,,
"Nu: 0.005, Gamma: 0.0002",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.0003",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.005, Gamma: 0.0004",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.005, Gamma: 0.005",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.1",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.2",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.005, Gamma: 0.5",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.7",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.005, Gamma: 0.9",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.005, Gamma: 0.99",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.0001",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.0002",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.0003",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.0004",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,50,0,9.090909091,10,40,,,
"Nu: 0.05, Gamma: 0.5",4,1,49,1,9.090909091,10,40,,,
"Nu: 0.05, Gamma: 0.7",5,0,49,1,10.90909091,10,40,,,
"Nu: 0.05, Gamma: 0.9",5,0,47,3,14.54545455,10,40,,,
"Nu: 0.05, Gamma: 0.99",5,0,49,1,10.90909091,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.5",4,1,49,1,9.090909091,10,40,,,
"Nu: 0.0625, Gamma: 0.7",5,0,49,1,10.90909091,10,40,,,
"Nu: 0.0625, Gamma: 0.9",5,0,49,1,10.90909091,10,40,,,
"Nu: 0.0625, Gamma: 0.99",5,0,49,1,10.90909091,10,40,,,
"Nu: 0.1, Gamma: 0.0001",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.0002",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.0003",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.1",5,0,48,2,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.2",4,1,47,3,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.5",4,1,47,3,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.7",4,1,47,3,12.72727273,10,40,,,
"Nu: 0.1, Gamma: 0.9",5,0,47,3,14.54545455,10,40,,,
"Nu: 0.1, Gamma: 0.99",4,1,49,1,9.090909091,10,40,,,
"Nu: 0.2, Gamma: 0.0001",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.0002",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.0003",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.0004",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.005",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.05",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.0625",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.1",5,0,45,5,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.2",5,0,42,8,23.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.5",4,1,43,7,20,10,40,,,
"Nu: 0.2, Gamma: 0.7",4,1,45,5,16.36363636,10,40,,,
"Nu: 0.2, Gamma: 0.9",4,1,47,3,12.72727273,10,40,,,
"Nu: 0.2, Gamma: 0.99",4,1,47,3,12.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.0001",4,1,38,12,29.09090909,10,40,,,
"Nu: 0.5, Gamma: 0.0002",4,1,38,12,29.09090909,10,40,,,
"Nu: 0.5, Gamma: 0.0003",4,1,38,12,29.09090909,10,40,,,
"Nu: 0.5, Gamma: 0.0004",4,1,38,12,29.09090909,10,40,,,
"Nu: 0.5, Gamma: 0.005",4,1,38,12,29.09090909,10,40,,,
"Nu: 0.5, Gamma: 0.05",4,1,40,10,25.45454545,10,40,,,
"Nu: 0.5, Gamma: 0.0625",4,1,40,10,25.45454545,10,40,,,
"Nu: 0.5, Gamma: 0.1",4,1,42,8,21.81818182,10,40,,,
"Nu: 0.5, Gamma: 0.2",4,1,41,9,23.63636364,10,40,,,
"Nu: 0.5, Gamma: 0.5",4,1,18,32,65.45454545,10,40,,,
"Nu: 0.5, Gamma: 0.7",3,2,17,33,65.45454545,10,40,,,
"Nu: 0.5, Gamma: 0.9",3,2,14,36,70.90909091,10,40,,,
"Nu: 0.5, Gamma: 0.99",3,2,14,36,70.90909091,10,40,,,
"Nu: 0.7, Gamma: 0.0001",2,3,32,18,36.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.0002",2,3,32,18,36.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.0003",2,3,32,18,36.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.0004",2,3,32,18,36.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.005",2,3,30,20,40,10,40,,,
"Nu: 0.7, Gamma: 0.05",3,2,26,24,49.09090909,10,40,,,
"Nu: 0.7, Gamma: 0.0625",4,1,25,25,52.72727273,10,40,,,
"Nu: 0.7, Gamma: 0.1",3,2,19,31,61.81818182,10,40,,,
"Nu: 0.7, Gamma: 0.2",3,2,20,30,60,10,40,,,
"Nu: 0.7, Gamma: 0.5",3,2,11,39,76.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.7",3,2,6,44,85.45454545,10,40,,,
"Nu: 0.7, Gamma: 0.9",3,2,6,44,85.45454545,10,40,,,
"Nu: 0.7, Gamma: 0.99",3,2,6,44,85.45454545,10,40,,,
"Nu: 0.9, Gamma: 0.0001",1,4,16,34,63.63636364,10,40,,,
"Nu: 0.9, Gamma: 0.0002",1,4,16,34,63.63636364,10,40,,,
"Nu: 0.9, Gamma: 0.0003",1,4,16,34,63.63636364,10,40,,,
"Nu: 0.9, Gamma: 0.0004",1,4,16,34,63.63636364,10,40,,,
