Features: 16,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percentage,Upsampling,
"Nu: 0.0625, Gamma: 0.0003",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.0004",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.005",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.05",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.0625",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.1",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.2",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.5",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.7",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.9",12,0,0,0,100.0,0,40,
"Nu: 0.0625, Gamma: 0.99",12,0,0,0,100.0,0,40,
"Nu: 0.1, Gamma: 0.0001",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.1, Gamma: 0.0002",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.1, Gamma: 0.0003",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.1, Gamma: 0.0004",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.1, Gamma: 0.005",12,0,0,0,100.0,0,40,
"Nu: 0.1, Gamma: 0.05",12,0,0,0,100.0,0,40,
"Nu: 0.1, Gamma: 0.0625",12,0,0,0,100.0,0,40,
"Nu: 0.1, Gamma: 0.1",12,0,0,0,100.0,0,40,
"Nu: 0.1, Gamma: 0.2",12,0,0,0,100.0,0,40,
"Nu: 0.1, Gamma: 0.5",12,0,0,0,100.0,0,40,
"Nu: 0.1, Gamma: 0.7",12,0,0,0,100.0,0,40,
"Nu: 0.1, Gamma: 0.9",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.1, Gamma: 0.99",11,1,0,0,91.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.0001",12,0,0,0,100.0,0,40,
"Nu: 0.2, Gamma: 0.0002",10,2,0,0,83.33333333333334,0,40,
