Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.98266297,117
"Nu: 0.9, Gamma: 0.05",227,2080,0,96,13.44153142,0,40,,,
"Nu: 0.9, Gamma: 0.0625",210,2097,0,96,12.7340824,0,40,,,
"Nu: 0.9, Gamma: 0.1",206,2101,0,96,12.5676238,0,40,,,
"Nu: 0.9, Gamma: 0.2",246,2061,0,96,14.23220974,0,40,,,
"Nu: 0.9, Gamma: 0.5",235,2072,0,96,13.77444861,0,40,,,
"Nu: 0.9, Gamma: 0.7",240,2067,0,96,13.98252185,0,40,,,
"Nu: 0.9, Gamma: 0.9",238,2069,0,96,13.89929255,0,40,,,
"Nu: 0.9, Gamma: 0.99",239,2068,0,96,13.9409072,0,40,,,
"Nu: 0.99, Gamma: 0.0001",12,2295,0,96,4.494382022,0,40,,,
"Nu: 0.99, Gamma: 0.0002",7,2300,0,96,4.286308781,0,40,,,
"Nu: 0.99, Gamma: 0.0003",11,2296,0,96,4.452767374,0,40,,,
"Nu: 0.99, Gamma: 0.0004",419,1888,0,96,21.4315439,0,40,,,
"Nu: 0.99, Gamma: 0.005",11,2296,0,96,4.452767374,0,40,,,
"Nu: 0.99, Gamma: 0.05",15,2292,0,96,4.619225968,0,40,,,
"Nu: 0.99, Gamma: 0.0625",20,2287,0,96,4.827299209,0,40,,,
"Nu: 0.99, Gamma: 0.1",22,2285,0,96,4.910528506,0,40,,,
"Nu: 0.99, Gamma: 0.2",21,2286,0,96,4.868913858,0,40,,,
"Nu: 0.99, Gamma: 0.5",20,2287,0,96,4.827299209,0,40,,,
"Nu: 0.99, Gamma: 0.7",19,2288,0,96,4.785684561,0,40,,,
"Nu: 0.99, Gamma: 0.9",18,2289,0,96,4.744069913,0,40,,,
"Nu: 0.99, Gamma: 0.99",17,2290,0,96,4.702455264,0,40,,,
