Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.98266297,117
"Nu: 0.05, Gamma: 0.1",9,1,152,22910,99.33685853,0,40,,,
"Nu: 0.05, Gamma: 0.2",9,1,101,22961,99.55790569,0,40,,,
"Nu: 0.05, Gamma: 0.5",8,2,25,23037,99.88297503,0,40,,,
"Nu: 0.05, Gamma: 0.7",8,2,22906,156,0.710818308,0,40,,,
"Nu: 0.05, Gamma: 0.9",9,1,22905,157,0.719486824,0,40,,,
"Nu: 0.05, Gamma: 0.99",8,2,22905,157,0.715152566,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",8,2,157,22905,99.31085298,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",8,2,158,22904,99.30651872,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",8,2,158,22904,99.30651872,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",8,2,158,22904,99.30651872,0,40,,,
"Nu: 0.0625, Gamma: 0.005",8,2,158,22904,99.30651872,0,40,,,
"Nu: 0.0625, Gamma: 0.05",8,2,156,22906,99.31518724,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",8,2,155,22907,99.3195215,0,40,,,
"Nu: 0.0625, Gamma: 0.1",8,2,150,22912,99.34119279,0,40,,,
"Nu: 0.0625, Gamma: 0.2",9,1,93,22969,99.59257975,0,40,,,
"Nu: 0.0625, Gamma: 0.5",8,2,25,23037,99.88297503,0,40,,,
"Nu: 0.0625, Gamma: 0.7",8,2,21,23041,99.90031207,0,40,,,
"Nu: 0.0625, Gamma: 0.9",8,2,24,23038,99.88730929,0,40,,,
"Nu: 0.0625, Gamma: 0.99",8,2,22905,157,0.715152566,0,40,,,
"Nu: 0.1, Gamma: 0.0001",7,3,42,23020,99.80495839,0,40,,,
"Nu: 0.1, Gamma: 0.0002",8,2,132,22930,99.41920943,0,40,,,
"Nu: 0.1, Gamma: 0.0003",8,2,143,22919,99.37153259,0,40,,,
