Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92,155
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,113,90.4,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",9,3,89,24,26.4,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",9,3,89,24,26.4,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",9,3,89,24,26.4,10,40,,,
"Nu: 0.0001, Gamma: 0.005",12,0,113,0,9.6,10,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,112,1,10.4,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,113,0,9.6,10,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,94,19,24.8,10,40,,,
"Nu: 0.0001, Gamma: 0.2",12,0,93,20,25.6,10,40,,,
"Nu: 0.0001, Gamma: 0.5",12,0,93,20,25.6,10,40,,,
"Nu: 0.0001, Gamma: 0.7",12,0,93,20,25.6,10,40,,,
"Nu: 0.0001, Gamma: 0.9",12,0,93,20,25.6,10,40,,,
"Nu: 0.0001, Gamma: 0.99",12,0,92,21,26.4,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",9,3,89,24,26.4,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",9,3,89,24,26.4,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",9,3,89,24,26.4,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",9,3,89,24,26.4,10,40,,,
"Nu: 0.0002, Gamma: 0.005",12,0,113,0,9.6,10,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,112,1,10.4,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,113,0,9.6,10,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,94,19,24.8,10,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,92,21,26.4,10,40,,,
"Nu: 0.0002, Gamma: 0.5",12,0,92,21,26.4,10,40,,,
"Nu: 0.0002, Gamma: 0.7",12,0,93,20,25.6,10,40,,,
"Nu: 0.0002, Gamma: 0.9",12,0,92,21,26.4,10,40,,,
"Nu: 0.0002, Gamma: 0.99",12,0,91,22,27.2,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",9,3,89,24,26.4,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",9,3,89,24,26.4,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",9,3,89,24,26.4,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",9,3,89,24,26.4,10,40,,,
"Nu: 0.0003, Gamma: 0.005",12,0,112,1,10.4,10,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,112,1,10.4,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,113,0,9.6,10,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,94,19,24.8,10,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,93,20,25.6,10,40,,,
"Nu: 0.0003, Gamma: 0.5",12,0,93,20,25.6,10,40,,,
"Nu: 0.0003, Gamma: 0.7",12,0,93,20,25.6,10,40,,,
"Nu: 0.0003, Gamma: 0.9",12,0,92,21,26.4,10,40,,,
"Nu: 0.0003, Gamma: 0.99",12,0,92,21,26.4,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",9,3,89,24,26.4,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",9,3,89,24,26.4,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",9,3,89,24,26.4,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",9,3,89,24,26.4,10,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,112,1,10.4,10,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,112,1,10.4,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,113,0,9.6,10,40,,,
"Nu: 0.0004, Gamma: 0.1",12,0,94,19,24.8,10,40,,,
"Nu: 0.0004, Gamma: 0.2",12,0,92,21,26.4,10,40,,,
"Nu: 0.0004, Gamma: 0.5",12,0,92,21,26.4,10,40,,,
"Nu: 0.0004, Gamma: 0.7",12,0,93,20,25.6,10,40,,,
"Nu: 0.0004, Gamma: 0.9",12,0,91,22,27.2,10,40,,,
"Nu: 0.0004, Gamma: 0.99",12,0,92,21,26.4,10,40,,,
"Nu: 0.005, Gamma: 0.0001",12,0,113,0,9.6,10,40,,,
"Nu: 0.005, Gamma: 0.0002",12,0,113,0,9.6,10,40,,,
"Nu: 0.005, Gamma: 0.0003",12,0,113,0,9.6,10,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,112,1,10.4,10,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,113,0,9.6,10,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,113,0,9.6,10,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,113,0,9.6,10,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,94,19,24.8,10,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,92,21,26.4,10,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,91,22,27.2,10,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,92,21,26.4,10,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,91,22,27.2,10,40,,,
"Nu: 0.005, Gamma: 0.99",12,0,91,22,27.2,10,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,112,1,10.4,10,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,112,1,10.4,10,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,111,2,11.2,10,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,111,2,11.2,10,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,112,1,10.4,10,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,111,2,11.2,10,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,112,1,10.4,10,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,93,20,25.6,10,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,91,22,27.2,10,40,,,
"Nu: 0.05, Gamma: 0.5",12,0,92,21,26.4,10,40,,,
"Nu: 0.05, Gamma: 0.7",12,0,92,21,26.4,10,40,,,
"Nu: 0.05, Gamma: 0.9",12,0,91,22,27.2,10,40,,,
"Nu: 0.05, Gamma: 0.99",12,0,92,21,26.4,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,108,5,13.6,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",11,1,108,5,12.8,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,108,5,13.6,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",11,1,108,5,12.8,10,40,,,
"Nu: 0.0625, Gamma: 0.005",11,1,108,5,12.8,10,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,109,4,12.8,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,111,2,11.2,10,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,95,18,24,10,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,91,22,27.2,10,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,92,21,26.4,10,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,91,22,27.2,10,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,92,21,26.4,10,40,,,
"Nu: 0.0625, Gamma: 0.99",11,1,92,21,25.6,10,40,,,
"Nu: 0.1, Gamma: 0.0001",11,1,84,29,32,10,40,,,
"Nu: 0.1, Gamma: 0.0002",11,1,84,29,32,10,40,,,
"Nu: 0.1, Gamma: 0.0003",11,1,84,29,32,10,40,,,
"Nu: 0.1, Gamma: 0.0004",11,1,84,29,32,10,40,,,
"Nu: 0.1, Gamma: 0.005",11,1,84,29,32,10,40,,,
"Nu: 0.1, Gamma: 0.05",11,1,84,29,32,10,40,,,
"Nu: 0.1, Gamma: 0.0625",11,1,84,29,32,10,40,,,
"Nu: 0.1, Gamma: 0.1",11,1,85,28,31.2,10,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,91,22,27.2,10,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,91,22,27.2,10,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,91,22,27.2,10,40,,,
"Nu: 0.1, Gamma: 0.9",12,0,92,21,26.4,10,40,,,
"Nu: 0.1, Gamma: 0.99",11,1,89,24,28,10,40,,,
"Nu: 0.2, Gamma: 0.0001",11,1,73,40,40.8,10,40,,,
"Nu: 0.2, Gamma: 0.0002",11,1,73,40,40.8,10,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,73,40,40.8,10,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,73,40,40.8,10,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,73,40,40.8,10,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,72,41,41.6,10,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,72,41,41.6,10,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,75,38,39.2,10,40,,,
"Nu: 0.2, Gamma: 0.2",11,1,80,33,35.2,10,40,,,
"Nu: 0.2, Gamma: 0.5",12,0,87,26,30.4,10,40,,,
"Nu: 0.2, Gamma: 0.7",12,0,89,24,28.8,10,40,,,
"Nu: 0.2, Gamma: 0.9",11,1,88,25,28.8,10,40,,,
"Nu: 0.2, Gamma: 0.99",11,1,90,23,27.2,10,40,,,
"Nu: 0.5, Gamma: 0.0001",7,5,50,63,56,10,40,,,
"Nu: 0.5, Gamma: 0.0002",7,5,50,63,56,10,40,,,
"Nu: 0.5, Gamma: 0.0003",7,5,50,63,56,10,40,,,
"Nu: 0.5, Gamma: 0.0004",7,5,50,63,56,10,40,,,
"Nu: 0.5, Gamma: 0.005",7,5,50,63,56,10,40,,,
"Nu: 0.5, Gamma: 0.05",7,5,51,62,55.2,10,40,,,
"Nu: 0.5, Gamma: 0.0625",7,5,51,62,55.2,10,40,,,
"Nu: 0.5, Gamma: 0.1",7,5,52,61,54.4,10,40,,,
"Nu: 0.5, Gamma: 0.2",7,5,56,57,51.2,10,40,,,
"Nu: 0.5, Gamma: 0.5",7,5,54,59,52.8,10,40,,,
"Nu: 0.5, Gamma: 0.7",7,5,55,58,52,10,40,,,
"Nu: 0.5, Gamma: 0.9",7,5,58,55,49.6,10,40,,,
"Nu: 0.5, Gamma: 0.99",8,4,59,54,49.6,10,40,,,
"Nu: 0.7, Gamma: 0.0001",4,8,28,85,71.2,10,40,,,
"Nu: 0.7, Gamma: 0.0002",4,8,28,85,71.2,10,40,,,
"Nu: 0.7, Gamma: 0.0003",4,8,28,85,71.2,10,40,,,
"Nu: 0.7, Gamma: 0.0004",4,8,28,85,71.2,10,40,,,
"Nu: 0.7, Gamma: 0.005",4,8,28,85,71.2,10,40,,,
"Nu: 0.7, Gamma: 0.05",4,8,28,85,71.2,10,40,,,
"Nu: 0.7, Gamma: 0.0625",4,8,28,85,71.2,10,40,,,
"Nu: 0.7, Gamma: 0.1",4,8,31,82,68.8,10,40,,,
"Nu: 0.7, Gamma: 0.2",5,7,35,78,66.4,10,40,,,
"Nu: 0.7, Gamma: 0.5",7,5,39,74,64.8,10,40,,,
"Nu: 0.7, Gamma: 0.7",5,7,41,72,61.6,10,40,,,
"Nu: 0.7, Gamma: 0.9",5,7,40,73,62.4,10,40,,,
"Nu: 0.7, Gamma: 0.99",5,7,41,72,61.6,10,40,,,
"Nu: 0.9, Gamma: 0.0001",2,10,15,98,80,10,40,,,
"Nu: 0.9, Gamma: 0.0002",2,10,15,98,80,10,40,,,
"Nu: 0.9, Gamma: 0.0003",2,10,15,98,80,10,40,,,
"Nu: 0.9, Gamma: 0.0004",2,10,15,98,80,10,40,,,
"Nu: 0.9, Gamma: 0.005",2,10,15,98,80,10,40,,,
"Nu: 0.9, Gamma: 0.05",2,10,15,98,80,10,40,,,
"Nu: 0.9, Gamma: 0.0625",2,10,15,98,80,10,40,,,
"Nu: 0.9, Gamma: 0.1",2,10,16,97,79.2,10,40,,,
"Nu: 0.9, Gamma: 0.2",3,9,15,98,80.8,10,40,,,
"Nu: 0.9, Gamma: 0.5",4,8,24,89,74.4,10,40,,,
"Nu: 0.9, Gamma: 0.7",5,7,29,84,71.2,10,40,,,
"Nu: 0.9, Gamma: 0.9",4,8,32,81,68,10,40,,,
"Nu: 0.9, Gamma: 0.99",4,8,31,82,68.8,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,3,110,88,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,3,110,88,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,3,110,88,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,3,110,88,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,3,110,88,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,3,110,88,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,3,110,88,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,4,109,87.2,10,40,,,
"Nu: 0.99, Gamma: 0.2",2,10,2,111,90.4,10,40,,,
"Nu: 0.99, Gamma: 0.5",2,10,4,109,88.8,10,40,,,
"Nu: 0.99, Gamma: 0.7",2,10,5,108,88,10,40,,,
"Nu: 0.99, Gamma: 0.9",3,9,5,108,88.8,10,40,,,
"Nu: 0.99, Gamma: 0.99",3,9,6,107,88,10,40,,,
,,,,,,,,,,
Target Class: vips_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,118,90.76923077,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,118,90.76923077,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,118,90.76923077,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,118,90.76923077,10,40,,,
"Nu: 0.0001, Gamma: 0.005",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,99,19,23.84615385,10,40,,,
"Nu: 0.0001, Gamma: 0.2",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0001, Gamma: 0.5",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0001, Gamma: 0.7",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0001, Gamma: 0.9",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0001, Gamma: 0.99",12,0,94,24,27.69230769,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,118,90.76923077,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,118,90.76923077,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",12,0,118,0,9.230769231,10,40,,,
"Nu: 0.0002, Gamma: 0.005",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,96,22,26.15384615,10,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0002, Gamma: 0.5",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0002, Gamma: 0.7",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0002, Gamma: 0.9",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0002, Gamma: 0.99",12,0,97,21,25.38461538,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,118,90.76923077,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0003, Gamma: 0.005",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,118,0,9.230769231,10,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,96,22,26.15384615,10,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0003, Gamma: 0.5",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0003, Gamma: 0.7",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0003, Gamma: 0.9",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0003, Gamma: 0.99",12,0,94,24,27.69230769,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,118,90.76923077,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,118,0,9.230769231,10,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,118,0,9.230769231,10,40,,,
"Nu: 0.0004, Gamma: 0.1",12,0,99,19,23.84615385,10,40,,,
"Nu: 0.0004, Gamma: 0.2",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0004, Gamma: 0.5",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0004, Gamma: 0.7",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.0004, Gamma: 0.9",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0004, Gamma: 0.99",12,0,94,24,27.69230769,10,40,,,
"Nu: 0.005, Gamma: 0.0001",12,0,113,5,13.07692308,10,40,,,
"Nu: 0.005, Gamma: 0.0002",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.0003",12,0,118,0,9.230769231,10,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,115,3,11.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,96,22,26.15384615,10,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,98,20,24.61538462,10,40,,,
"Nu: 0.005, Gamma: 0.99",12,0,97,21,25.38461538,10,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,113,5,13.07692308,10,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,113,5,13.07692308,10,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,113,5,13.07692308,10,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,113,5,13.07692308,10,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,113,5,13.07692308,10,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,114,4,12.30769231,10,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,96,22,26.15384615,10,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,94,24,27.69230769,10,40,,,
"Nu: 0.05, Gamma: 0.5",12,0,97,21,25.38461538,10,40,,,
"Nu: 0.05, Gamma: 0.7",12,0,97,21,25.38461538,10,40,,,
"Nu: 0.05, Gamma: 0.9",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.05, Gamma: 0.99",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",11,1,100,18,22.30769231,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,111,7,14.61538462,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,111,7,14.61538462,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,111,7,14.61538462,10,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,111,7,14.61538462,10,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,111,7,14.61538462,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,94,24,27.69230769,10,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,97,21,25.38461538,10,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,93,25,28.46153846,10,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,95,23,26.92307692,10,40,,,
"Nu: 0.0625, Gamma: 0.99",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.1, Gamma: 0.0001",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.1, Gamma: 0.0002",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.1, Gamma: 0.0003",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.1, Gamma: 0.0004",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,91,27,30,10,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,92,26,29.23076923,10,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,91,27,30,10,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,90,28,30.76923077,10,40,,,
"Nu: 0.1, Gamma: 0.9",12,0,90,28,30.76923077,10,40,,,
"Nu: 0.1, Gamma: 0.99",12,0,90,28,30.76923077,10,40,,,
"Nu: 0.2, Gamma: 0.0001",11,1,88,30,31.53846154,10,40,,,
"Nu: 0.2, Gamma: 0.0002",11,1,88,30,31.53846154,10,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,88,30,31.53846154,10,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,88,30,31.53846154,10,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,88,30,31.53846154,10,40,,,
"Nu: 0.2, Gamma: 0.05",10,2,87,31,31.53846154,10,40,,,
"Nu: 0.2, Gamma: 0.0625",10,2,87,31,31.53846154,10,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,86,32,33.07692308,10,40,,,
"Nu: 0.2, Gamma: 0.2",11,1,84,34,34.61538462,10,40,,,
"Nu: 0.2, Gamma: 0.5",12,0,89,29,31.53846154,10,40,,,
"Nu: 0.2, Gamma: 0.7",12,0,87,31,33.07692308,10,40,,,
"Nu: 0.2, Gamma: 0.9",12,0,82,36,36.92307692,10,40,,,
"Nu: 0.2, Gamma: 0.99",11,1,81,37,36.92307692,10,40,,,
"Nu: 0.5, Gamma: 0.0001",6,6,66,52,44.61538462,10,40,,,
"Nu: 0.5, Gamma: 0.0002",6,6,66,52,44.61538462,10,40,,,
"Nu: 0.5, Gamma: 0.0003",6,6,66,52,44.61538462,10,40,,,
"Nu: 0.5, Gamma: 0.0004",6,6,66,52,44.61538462,10,40,,,
"Nu: 0.5, Gamma: 0.005",6,6,66,52,44.61538462,10,40,,,
"Nu: 0.5, Gamma: 0.05",6,6,66,52,44.61538462,10,40,,,
"Nu: 0.5, Gamma: 0.0625",6,6,67,51,43.84615385,10,40,,,
"Nu: 0.5, Gamma: 0.1",6,6,68,50,43.07692308,10,40,,,
"Nu: 0.5, Gamma: 0.2",10,2,75,43,40.76923077,10,40,,,
"Nu: 0.5, Gamma: 0.5",9,3,74,44,40.76923077,10,40,,,
"Nu: 0.5, Gamma: 0.7",9,3,73,45,41.53846154,10,40,,,
"Nu: 0.5, Gamma: 0.9",8,4,66,52,46.15384615,10,40,,,
"Nu: 0.5, Gamma: 0.99",8,4,62,56,49.23076923,10,40,,,
"Nu: 0.7, Gamma: 0.0001",5,7,47,71,58.46153846,10,40,,,
"Nu: 0.7, Gamma: 0.0002",5,7,47,71,58.46153846,10,40,,,
"Nu: 0.7, Gamma: 0.0003",5,7,47,71,58.46153846,10,40,,,
"Nu: 0.7, Gamma: 0.0004",5,7,47,71,58.46153846,10,40,,,
"Nu: 0.7, Gamma: 0.005",5,7,47,71,58.46153846,10,40,,,
"Nu: 0.7, Gamma: 0.05",5,7,48,70,57.69230769,10,40,,,
"Nu: 0.7, Gamma: 0.0625",5,7,50,68,56.15384615,10,40,,,
"Nu: 0.7, Gamma: 0.1",5,7,50,68,56.15384615,10,40,,,
"Nu: 0.7, Gamma: 0.2",6,6,55,63,53.07692308,10,40,,,
"Nu: 0.7, Gamma: 0.5",6,6,55,63,53.07692308,10,40,,,
"Nu: 0.7, Gamma: 0.7",6,6,52,66,55.38461538,10,40,,,
"Nu: 0.7, Gamma: 0.9",6,6,50,68,56.92307692,10,40,,,
"Nu: 0.7, Gamma: 0.99",6,6,49,69,57.69230769,10,40,,,
"Nu: 0.9, Gamma: 0.0001",2,10,10,108,84.61538462,10,40,,,
"Nu: 0.9, Gamma: 0.0002",2,10,10,108,84.61538462,10,40,,,
"Nu: 0.9, Gamma: 0.0003",2,10,10,108,84.61538462,10,40,,,
"Nu: 0.9, Gamma: 0.0004",2,10,10,108,84.61538462,10,40,,,
"Nu: 0.9, Gamma: 0.005",2,10,11,107,83.84615385,10,40,,,
"Nu: 0.9, Gamma: 0.05",2,10,11,107,83.84615385,10,40,,,
"Nu: 0.9, Gamma: 0.0625",2,10,12,106,83.07692308,10,40,,,
"Nu: 0.9, Gamma: 0.1",2,10,17,101,79.23076923,10,40,,,
"Nu: 0.9, Gamma: 0.2",3,9,31,87,69.23076923,10,40,,,
"Nu: 0.9, Gamma: 0.5",4,8,37,81,65.38461538,10,40,,,
"Nu: 0.9, Gamma: 0.7",5,7,40,78,63.84615385,10,40,,,
"Nu: 0.9, Gamma: 0.9",5,7,38,80,65.38461538,10,40,,,
"Nu: 0.9, Gamma: 0.99",5,7,38,80,65.38461538,10,40,,,
"Nu: 0.99, Gamma: 0.0001",2,10,3,115,90,10,40,,,
"Nu: 0.99, Gamma: 0.0002",2,10,3,115,90,10,40,,,
"Nu: 0.99, Gamma: 0.0003",2,10,3,115,90,10,40,,,
"Nu: 0.99, Gamma: 0.0004",2,10,3,115,90,10,40,,,
"Nu: 0.99, Gamma: 0.005",2,10,3,115,90,10,40,,,
"Nu: 0.99, Gamma: 0.05",2,10,3,115,90,10,40,,,
"Nu: 0.99, Gamma: 0.0625",2,10,3,115,90,10,40,,,
"Nu: 0.99, Gamma: 0.1",2,10,4,114,89.23076923,10,40,,,
"Nu: 0.99, Gamma: 0.2",1,11,11,107,83.07692308,10,40,,,
"Nu: 0.99, Gamma: 0.5",2,10,18,100,78.46153846,10,40,,,
"Nu: 0.99, Gamma: 0.7",2,10,16,102,80,10,40,,,
"Nu: 0.99, Gamma: 0.9",1,11,13,105,81.53846154,10,40,,,
"Nu: 0.99, Gamma: 0.99",1,11,12,106,82.30769231,10,40,,,
