Features: 16,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.5",3,1,12,26,69.04761904761905,0,40,
"Nu: 0.05, Gamma: 0.7",3,1,7,31,80.95238095238095,0,40,
"Nu: 0.05, Gamma: 0.9",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.05, Gamma: 0.99",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.0625, Gamma: 0.0001",1,3,14,24,59.523809523809526,0,40,
"Nu: 0.0625, Gamma: 0.0002",2,2,15,23,59.523809523809526,0,40,
"Nu: 0.0625, Gamma: 0.0003",3,1,19,19,52.38095238095239,0,40,
"Nu: 0.0625, Gamma: 0.0004",2,2,19,19,50.0,0,40,
"Nu: 0.0625, Gamma: 0.005",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.0625, Gamma: 0.05",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.0625, Gamma: 0.0625",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.0625, Gamma: 0.1",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.0625, Gamma: 0.2",3,1,24,14,40.476190476190474,0,40,
"Nu: 0.0625, Gamma: 0.5",3,1,12,26,69.04761904761905,0,40,
"Nu: 0.0625, Gamma: 0.7",3,1,7,31,80.95238095238095,0,40,
"Nu: 0.0625, Gamma: 0.9",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.0625, Gamma: 0.99",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.1, Gamma: 0.0001",3,1,21,17,47.61904761904761,0,40,
"Nu: 0.1, Gamma: 0.0002",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.1, Gamma: 0.0003",3,1,26,12,35.714285714285715,0,40,
"Nu: 0.1, Gamma: 0.0004",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.1, Gamma: 0.005",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.1, Gamma: 0.05",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.1, Gamma: 0.0625",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.1, Gamma: 0.1",3,1,25,13,38.095238095238095,0,40,
"Nu: 0.1, Gamma: 0.2",3,1,24,14,40.476190476190474,0,40,
"Nu: 0.1, Gamma: 0.5",3,1,12,26,69.04761904761905,0,40,
"Nu: 0.1, Gamma: 0.7",3,1,7,31,80.95238095238095,0,40,
"Nu: 0.1, Gamma: 0.9",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.1, Gamma: 0.99",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.2, Gamma: 0.0001",2,2,20,18,47.61904761904761,0,40,
"Nu: 0.2, Gamma: 0.0002",3,1,25,13,38.095238095238095,0,40,
"Nu: 0.2, Gamma: 0.0003",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.2, Gamma: 0.0004",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.2, Gamma: 0.005",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.2, Gamma: 0.05",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.2, Gamma: 0.0625",2,2,26,12,33.33333333333333,0,40,
"Nu: 0.2, Gamma: 0.1",2,2,25,13,35.714285714285715,0,40,
"Nu: 0.2, Gamma: 0.2",3,1,24,14,40.476190476190474,0,40,
"Nu: 0.2, Gamma: 0.5",3,1,11,27,71.42857142857143,0,40,
"Nu: 0.2, Gamma: 0.7",3,1,6,32,83.33333333333334,0,40,
"Nu: 0.2, Gamma: 0.9",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.2, Gamma: 0.99",3,1,4,34,88.09523809523809,0,40,
"Nu: 0.5, Gamma: 0.0001",2,2,17,21,54.761904761904766,0,40,
"Nu: 0.5, Gamma: 0.0002",2,2,19,19,50.0,0,40,
"Nu: 0.5, Gamma: 0.0003",2,2,19,19,50.0,0,40,
"Nu: 0.5, Gamma: 0.0004",2,2,19,19,50.0,0,40,
"Nu: 0.5, Gamma: 0.005",2,2,19,19,50.0,0,40,
"Nu: 0.5, Gamma: 0.05",2,2,19,19,50.0,0,40,
"Nu: 0.5, Gamma: 0.0625",2,2,19,19,50.0,0,40,
"Nu: 0.5, Gamma: 0.1",2,2,18,20,52.38095238095239,0,40,
"Nu: 0.5, Gamma: 0.2",2,2,16,22,57.14285714285714,0,40,
"Nu: 0.5, Gamma: 0.5",2,2,6,32,80.95238095238095,0,40,
"Nu: 0.5, Gamma: 0.7",1,3,3,35,85.71428571428571,0,40,
"Nu: 0.5, Gamma: 0.9",1,3,2,36,88.09523809523809,0,40,
"Nu: 0.5, Gamma: 0.99",1,3,2,36,88.09523809523809,0,40,
"Nu: 0.7, Gamma: 0.0001",1,3,17,21,52.38095238095239,0,40,
"Nu: 0.7, Gamma: 0.0002",1,3,17,21,52.38095238095239,0,40,
"Nu: 0.7, Gamma: 0.0003",1,3,17,21,52.38095238095239,0,40,
"Nu: 0.7, Gamma: 0.0004",1,3,17,21,52.38095238095239,0,40,
"Nu: 0.7, Gamma: 0.005",1,3,17,21,52.38095238095239,0,40,
"Nu: 0.7, Gamma: 0.05",1,3,17,21,52.38095238095239,0,40,
"Nu: 0.7, Gamma: 0.0625",1,3,17,21,52.38095238095239,0,40,
"Nu: 0.7, Gamma: 0.1",1,3,17,21,52.38095238095239,0,40,
"Nu: 0.7, Gamma: 0.2",1,3,14,24,59.523809523809526,0,40,
"Nu: 0.7, Gamma: 0.5",1,3,3,35,85.71428571428571,0,40,
"Nu: 0.7, Gamma: 0.7",1,3,2,36,88.09523809523809,0,40,
"Nu: 0.7, Gamma: 0.9",1,3,2,36,88.09523809523809,0,40,
"Nu: 0.7, Gamma: 0.99",1,3,1,37,90.47619047619048,0,40,
"Nu: 0.9, Gamma: 0.0001",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.9, Gamma: 0.0002",1,3,11,27,66.66666666666666,0,40,
"Nu: 0.9, Gamma: 0.0003",1,3,11,27,66.66666666666666,0,40,
"Nu: 0.9, Gamma: 0.0004",0,4,10,28,66.66666666666666,0,40,
"Nu: 0.9, Gamma: 0.005",0,4,10,28,66.66666666666666,0,40,
"Nu: 0.9, Gamma: 0.05",1,3,7,31,76.19047619047619,0,40,
"Nu: 0.9, Gamma: 0.0625",1,3,7,31,76.19047619047619,0,40,
"Nu: 0.9, Gamma: 0.1",1,3,4,34,83.33333333333334,0,40,
"Nu: 0.9, Gamma: 0.2",1,3,3,35,85.71428571428571,0,40,
"Nu: 0.9, Gamma: 0.5",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.9, Gamma: 0.7",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.9, Gamma: 0.9",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.9, Gamma: 0.99",0,4,0,38,90.47619047619048,0,40,
"Nu: 0.99, Gamma: 0.0001",0,4,11,27,64.28571428571429,0,40,
"Nu: 0.99, Gamma: 0.0002",0,4,1,37,88.09523809523809,0,40,
"Nu: 0.99, Gamma: 0.0003",0,4,1,37,88.09523809523809,0,40,
"Nu: 0.99, Gamma: 0.0004",0,4,1,37,88.09523809523809,0,40,
