Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.79296066,475
"Nu: 0.0001, Gamma: 0.0001",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,950,4,1.6563147,0,40,,,
"Nu: 0.0001, Gamma: 0.2",7,5,794,160,17.28778468,0,40,,,
"Nu: 0.0001, Gamma: 0.5",5,7,23,931,96.89440994,0,40,,,
"Nu: 0.0001, Gamma: 0.7",6,6,47,907,94.51345756,0,40,,,
"Nu: 0.0001, Gamma: 0.9",11,1,40,914,95.75569358,0,40,,,
"Nu: 0.0001, Gamma: 0.99",11,1,40,914,95.75569358,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,950,4,1.6563147,0,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,793,161,17.90890269,0,40,,,
"Nu: 0.0002, Gamma: 0.5",11,1,59,895,93.78881988,0,40,,,
"Nu: 0.0002, Gamma: 0.7",9,3,44,910,95.13457557,0,40,,,
"Nu: 0.0002, Gamma: 0.9",11,1,40,914,95.75569358,0,40,,,
"Nu: 0.0002, Gamma: 0.99",11,1,40,914,95.75569358,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,953,1,1.345755694,0,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,951,3,1.552795031,0,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,793,161,17.90890269,0,40,,,
"Nu: 0.0003, Gamma: 0.5",11,1,68,886,92.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.7",9,3,44,910,95.13457557,0,40,,,
"Nu: 0.0003, Gamma: 0.9",12,0,64,890,93.3747412,0,40,,,
"Nu: 0.0003, Gamma: 0.99",12,0,60,894,93.78881988,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,954,98.75776398,0,40,,,
"Nu: 0.0004, Gamma: 0.005",9,3,892,62,7.34989648,0,40,,,
