Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.44444444,312
"Nu: 0.05, Gamma: 0.5",2,2,29,8,24.3902439,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,2,29,8,24.3902439,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,27,10,31.70731707,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,25,12,36.58536585,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,33,4,19.51219512,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,31,6,21.95121951,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,29,8,24.3902439,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,29,8,24.3902439,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,2,27,10,29.26829268,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,25,12,36.58536585,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.1, Gamma: 0.005",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.1, Gamma: 0.05",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.1, Gamma: 0.0625",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,32,5,19.51219512,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,2,29,8,24.3902439,0,40,,,
