Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.9263623,116
"Nu: 0.9, Gamma: 0.5",10,124,135,95,28.84615385,0,40,,,
"Nu: 0.9, Gamma: 0.7",7,127,133,97,28.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.9",10,124,131,99,29.94505495,0,40,,,
"Nu: 0.9, Gamma: 0.99",10,124,96,134,39.56043956,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,132,0,230,63.73626374,0,40,,,
"Nu: 0.99, Gamma: 0.0002",2,132,0,230,63.73626374,0,40,,,
"Nu: 0.99, Gamma: 0.0003",2,132,0,230,63.73626374,0,40,,,
"Nu: 0.99, Gamma: 0.0004",2,132,0,230,63.73626374,0,40,,,
"Nu: 0.99, Gamma: 0.005",2,132,0,230,63.73626374,0,40,,,
"Nu: 0.99, Gamma: 0.05",3,131,0,230,64.01098901,0,40,,,
"Nu: 0.99, Gamma: 0.0625",3,131,0,230,64.01098901,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,133,0,230,63.46153846,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.99, Gamma: 0.7",1,133,0,230,63.46153846,0,40,,,
"Nu: 0.99, Gamma: 0.9",2,132,0,230,63.73626374,0,40,,,
"Nu: 0.99, Gamma: 0.99",2,132,0,230,63.73626374,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",23,0,1141,194,15.97938144,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",23,0,1141,194,15.97938144,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",23,0,1141,194,15.97938144,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",23,0,1141,194,15.97938144,10,40,,,
"Nu: 0.0001, Gamma: 0.005",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0001, Gamma: 0.05",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0001, Gamma: 0.1",23,0,1331,4,1.988217968,10,40,,,
"Nu: 0.0001, Gamma: 0.2",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0001, Gamma: 0.5",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0001, Gamma: 0.7",23,0,1115,220,17.89396171,10,40,,,
"Nu: 0.0001, Gamma: 0.9",23,0,901,434,33.65243004,10,40,,,
"Nu: 0.0001, Gamma: 0.99",23,0,897,438,33.94698085,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",23,0,1335,0,1.693667158,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",23,0,1335,0,1.693667158,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",23,0,1133,202,16.56848306,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",23,0,1133,202,16.56848306,10,40,,,
"Nu: 0.0002, Gamma: 0.005",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0002, Gamma: 0.05",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0002, Gamma: 0.1",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0002, Gamma: 0.2",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0002, Gamma: 0.5",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0002, Gamma: 0.7",23,0,1115,220,17.89396171,10,40,,,
"Nu: 0.0002, Gamma: 0.9",23,0,891,444,34.38880707,10,40,,,
"Nu: 0.0002, Gamma: 0.99",23,0,893,442,34.24153166,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",13,10,819,516,38.95434462,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",13,10,819,516,38.95434462,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",23,0,1186,149,12.66568483,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",23,0,1186,149,12.66568483,10,40,,,
"Nu: 0.0003, Gamma: 0.005",23,0,1331,4,1.988217968,10,40,,,
"Nu: 0.0003, Gamma: 0.05",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0003, Gamma: 0.1",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0003, Gamma: 0.2",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0003, Gamma: 0.5",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0003, Gamma: 0.7",23,0,1116,219,17.82032401,10,40,,,
"Nu: 0.0003, Gamma: 0.9",23,0,891,444,34.38880707,10,40,,,
"Nu: 0.0003, Gamma: 0.99",23,0,892,443,34.31516937,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",9,14,819,516,38.65979381,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",23,0,1254,81,7.65832106,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",23,0,1171,164,13.77025037,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",23,0,1289,46,5.081001473,10,40,,,
"Nu: 0.0004, Gamma: 0.005",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0004, Gamma: 0.05",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0004, Gamma: 0.1",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0004, Gamma: 0.2",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0004, Gamma: 0.5",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.0004, Gamma: 0.7",23,0,1115,220,17.89396171,10,40,,,
"Nu: 0.0004, Gamma: 0.9",23,0,891,444,34.38880707,10,40,,,
"Nu: 0.0004, Gamma: 0.99",23,0,890,445,34.46244477,10,40,,,
"Nu: 0.005, Gamma: 0.0001",23,0,1329,6,2.135493373,10,40,,,
"Nu: 0.005, Gamma: 0.0002",23,0,1329,6,2.135493373,10,40,,,
"Nu: 0.005, Gamma: 0.0003",23,0,1329,6,2.135493373,10,40,,,
"Nu: 0.005, Gamma: 0.0004",23,0,1329,6,2.135493373,10,40,,,
"Nu: 0.005, Gamma: 0.005",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.005, Gamma: 0.05",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.005, Gamma: 0.0625",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.005, Gamma: 0.1",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.005, Gamma: 0.2",23,0,1330,5,2.06185567,10,40,,,
"Nu: 0.005, Gamma: 0.5",23,0,1329,6,2.135493373,10,40,,,
"Nu: 0.005, Gamma: 0.7",23,0,1111,224,18.18851252,10,40,,,
"Nu: 0.005, Gamma: 0.9",23,0,889,446,34.53608247,10,40,,,
"Nu: 0.005, Gamma: 0.99",23,0,891,444,34.38880707,10,40,,,
"Nu: 0.05, Gamma: 0.0001",23,0,607,728,55.30191458,10,40,,,
"Nu: 0.05, Gamma: 0.0002",23,0,613,722,54.86008837,10,40,,,
"Nu: 0.05, Gamma: 0.0003",23,0,613,722,54.86008837,10,40,,,
"Nu: 0.05, Gamma: 0.0004",23,0,613,722,54.86008837,10,40,,,
"Nu: 0.05, Gamma: 0.005",23,0,613,722,54.86008837,10,40,,,
"Nu: 0.05, Gamma: 0.05",23,0,615,720,54.71281296,10,40,,,
"Nu: 0.05, Gamma: 0.0625",23,0,618,717,54.49189985,10,40,,,
"Nu: 0.05, Gamma: 0.1",23,0,621,714,54.27098675,10,40,,,
"Nu: 0.05, Gamma: 0.2",23,0,626,709,53.90279823,10,40,,,
"Nu: 0.05, Gamma: 0.5",23,0,494,841,63.62297496,10,40,,,
"Nu: 0.05, Gamma: 0.7",23,0,61,1274,95.50810015,10,40,,,
"Nu: 0.05, Gamma: 0.9",23,0,201,1134,85.1988218,10,40,,,
"Nu: 0.05, Gamma: 0.99",23,0,236,1099,82.62150221,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",23,0,600,735,55.8173785,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",23,0,600,735,55.8173785,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",23,0,600,735,55.8173785,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",23,0,600,735,55.8173785,10,40,,,
"Nu: 0.0625, Gamma: 0.005",23,0,600,735,55.8173785,10,40,,,
"Nu: 0.0625, Gamma: 0.05",23,0,601,734,55.7437408,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",23,0,601,734,55.7437408,10,40,,,
"Nu: 0.0625, Gamma: 0.1",23,0,602,733,55.67010309,10,40,,,
"Nu: 0.0625, Gamma: 0.2",23,0,602,733,55.67010309,10,40,,,
"Nu: 0.0625, Gamma: 0.5",23,0,583,752,57.06921944,10,40,,,
"Nu: 0.0625, Gamma: 0.7",23,0,42,1293,96.90721649,10,40,,,
"Nu: 0.0625, Gamma: 0.9",23,0,41,1294,96.9808542,10,40,,,
"Nu: 0.0625, Gamma: 0.99",23,0,41,1294,96.9808542,10,40,,,
"Nu: 0.1, Gamma: 0.0001",22,1,572,763,57.80559647,10,40,,,
"Nu: 0.1, Gamma: 0.0002",22,1,572,763,57.80559647,10,40,,,
"Nu: 0.1, Gamma: 0.0003",22,1,572,763,57.80559647,10,40,,,
"Nu: 0.1, Gamma: 0.0004",22,1,572,763,57.80559647,10,40,,,
"Nu: 0.1, Gamma: 0.005",22,1,572,763,57.80559647,10,40,,,
"Nu: 0.1, Gamma: 0.05",22,1,572,763,57.80559647,10,40,,,
"Nu: 0.1, Gamma: 0.0625",22,1,572,763,57.80559647,10,40,,,
"Nu: 0.1, Gamma: 0.1",22,1,569,766,58.02650957,10,40,,,
"Nu: 0.1, Gamma: 0.2",22,1,567,768,58.17378498,10,40,,,
"Nu: 0.1, Gamma: 0.5",22,1,409,926,69.80854197,10,40,,,
"Nu: 0.1, Gamma: 0.7",22,1,2,1333,99.77908689,10,40,,,
"Nu: 0.1, Gamma: 0.9",22,1,2,1333,99.77908689,10,40,,,
"Nu: 0.1, Gamma: 0.99",22,1,2,1333,99.77908689,10,40,,,
"Nu: 0.2, Gamma: 0.0001",19,4,369,966,72.53313697,10,40,,,
"Nu: 0.2, Gamma: 0.0002",19,4,369,966,72.53313697,10,40,,,
"Nu: 0.2, Gamma: 0.0003",19,4,369,966,72.53313697,10,40,,,
"Nu: 0.2, Gamma: 0.0004",19,4,369,966,72.53313697,10,40,,,
"Nu: 0.2, Gamma: 0.005",19,4,368,967,72.60677467,10,40,,,
"Nu: 0.2, Gamma: 0.05",19,4,274,1061,79.5287187,10,40,,,
"Nu: 0.2, Gamma: 0.0625",19,4,237,1098,82.2533137,10,40,,,
"Nu: 0.2, Gamma: 0.1",19,4,217,1118,83.72606775,10,40,,,
"Nu: 0.2, Gamma: 0.2",19,4,12,1323,98.82179676,10,40,,,
"Nu: 0.2, Gamma: 0.5",20,3,2,1333,99.63181149,10,40,,,
"Nu: 0.2, Gamma: 0.7",22,1,2,1333,99.77908689,10,40,,,
"Nu: 0.2, Gamma: 0.9",22,1,2,1333,99.77908689,10,40,,,
"Nu: 0.2, Gamma: 0.99",22,1,2,1333,99.77908689,10,40,,,
"Nu: 0.5, Gamma: 0.0001",14,9,0,1335,99.33726068,10,40,,,
"Nu: 0.5, Gamma: 0.0002",14,9,0,1335,99.33726068,10,40,,,
"Nu: 0.5, Gamma: 0.0003",14,9,0,1335,99.33726068,10,40,,,
"Nu: 0.5, Gamma: 0.0004",14,9,0,1335,99.33726068,10,40,,,
"Nu: 0.5, Gamma: 0.005",14,9,0,1335,99.33726068,10,40,,,
"Nu: 0.5, Gamma: 0.05",17,6,0,1335,99.55817378,10,40,,,
"Nu: 0.5, Gamma: 0.0625",17,6,0,1335,99.55817378,10,40,,,
"Nu: 0.5, Gamma: 0.1",17,6,0,1335,99.55817378,10,40,,,
"Nu: 0.5, Gamma: 0.2",18,5,0,1335,99.63181149,10,40,,,
"Nu: 0.5, Gamma: 0.5",18,5,2,1333,99.48453608,10,40,,,
"Nu: 0.5, Gamma: 0.7",18,5,2,1333,99.48453608,10,40,,,
"Nu: 0.5, Gamma: 0.9",18,5,2,1333,99.48453608,10,40,,,
"Nu: 0.5, Gamma: 0.99",17,6,2,1333,99.41089838,10,40,,,
"Nu: 0.7, Gamma: 0.0001",12,11,0,1335,99.18998527,10,40,,,
"Nu: 0.7, Gamma: 0.0002",13,10,0,1335,99.26362297,10,40,,,
"Nu: 0.7, Gamma: 0.0003",13,10,0,1335,99.26362297,10,40,,,
"Nu: 0.7, Gamma: 0.0004",13,10,0,1335,99.26362297,10,40,,,
"Nu: 0.7, Gamma: 0.005",13,10,0,1335,99.26362297,10,40,,,
"Nu: 0.7, Gamma: 0.05",14,9,0,1335,99.33726068,10,40,,,
"Nu: 0.7, Gamma: 0.0625",14,9,0,1335,99.33726068,10,40,,,
"Nu: 0.7, Gamma: 0.1",14,9,0,1335,99.33726068,10,40,,,
"Nu: 0.7, Gamma: 0.2",17,6,0,1335,99.55817378,10,40,,,
"Nu: 0.7, Gamma: 0.5",17,6,2,1333,99.41089838,10,40,,,
"Nu: 0.7, Gamma: 0.7",17,6,2,1333,99.41089838,10,40,,,
"Nu: 0.7, Gamma: 0.9",17,6,2,1333,99.41089838,10,40,,,
"Nu: 0.7, Gamma: 0.99",17,6,2,1333,99.41089838,10,40,,,
"Nu: 0.9, Gamma: 0.0001",5,18,0,1335,98.67452135,10,40,,,
"Nu: 0.9, Gamma: 0.0002",5,18,0,1335,98.67452135,10,40,,,
"Nu: 0.9, Gamma: 0.0003",5,18,0,1335,98.67452135,10,40,,,
"Nu: 0.9, Gamma: 0.0004",5,18,0,1335,98.67452135,10,40,,,
"Nu: 0.9, Gamma: 0.005",5,18,0,1335,98.67452135,10,40,,,
"Nu: 0.9, Gamma: 0.05",6,17,0,1335,98.74815906,10,40,,,
"Nu: 0.9, Gamma: 0.0625",6,17,0,1335,98.74815906,10,40,,,
"Nu: 0.9, Gamma: 0.1",8,15,0,1335,98.89543446,10,40,,,
"Nu: 0.9, Gamma: 0.2",10,13,0,1335,99.04270987,10,40,,,
"Nu: 0.9, Gamma: 0.5",5,18,0,1335,98.67452135,10,40,,,
"Nu: 0.9, Gamma: 0.7",6,17,0,1335,98.74815906,10,40,,,
"Nu: 0.9, Gamma: 0.9",6,17,0,1335,98.74815906,10,40,,,
"Nu: 0.9, Gamma: 0.99",6,17,0,1335,98.74815906,10,40,,,
"Nu: 0.99, Gamma: 0.0001",1,22,0,1335,98.37997054,10,40,,,
"Nu: 0.99, Gamma: 0.0002",1,22,0,1335,98.37997054,10,40,,,
"Nu: 0.99, Gamma: 0.0003",1,22,0,1335,98.37997054,10,40,,,
"Nu: 0.99, Gamma: 0.0004",1,22,0,1335,98.37997054,10,40,,,
"Nu: 0.99, Gamma: 0.005",1,22,0,1335,98.37997054,10,40,,,
"Nu: 0.99, Gamma: 0.05",1,22,0,1335,98.37997054,10,40,,,
"Nu: 0.99, Gamma: 0.0625",1,22,0,1335,98.37997054,10,40,,,
"Nu: 0.99, Gamma: 0.1",1,22,0,1335,98.37997054,10,40,,,
"Nu: 0.99, Gamma: 0.2",2,21,0,1335,98.45360825,10,40,,,
"Nu: 0.99, Gamma: 0.5",3,20,0,1335,98.52724595,10,40,,,
"Nu: 0.99, Gamma: 0.7",3,20,0,1335,98.52724595,10,40,,,
"Nu: 0.99, Gamma: 0.9",3,20,0,1335,98.52724595,10,40,,,
"Nu: 0.99, Gamma: 0.99",3,20,0,1335,98.52724595,10,40,,,
,,,,,,,,,,
Target Class: facesim_cachehalf,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",91,43,161,69,43.95604396,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",123,11,225,5,35.16483516,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",131,3,228,2,36.53846154,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",131,3,228,2,36.53846154,10,40,,,
"Nu: 0.0001, Gamma: 0.005",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0001, Gamma: 0.05",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0001, Gamma: 0.1",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0001, Gamma: 0.2",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0001, Gamma: 0.5",134,0,226,4,37.91208791,10,40,,,
"Nu: 0.0001, Gamma: 0.7",134,0,226,4,37.91208791,10,40,,,
"Nu: 0.0001, Gamma: 0.9",134,0,204,26,43.95604396,10,40,,,
"Nu: 0.0001, Gamma: 0.99",134,0,204,26,43.95604396,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",112,22,207,23,37.08791209,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0002, Gamma: 0.005",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0002, Gamma: 0.05",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0002, Gamma: 0.1",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0002, Gamma: 0.2",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0002, Gamma: 0.5",134,0,226,4,37.91208791,10,40,,,
"Nu: 0.0002, Gamma: 0.7",134,0,226,4,37.91208791,10,40,,,
"Nu: 0.0002, Gamma: 0.9",134,0,204,26,43.95604396,10,40,,,
"Nu: 0.0002, Gamma: 0.99",134,0,203,27,44.23076923,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0003, Gamma: 0.005",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0003, Gamma: 0.05",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0003, Gamma: 0.1",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0003, Gamma: 0.2",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0003, Gamma: 0.5",134,0,226,4,37.91208791,10,40,,,
"Nu: 0.0003, Gamma: 0.7",134,0,226,4,37.91208791,10,40,,,
"Nu: 0.0003, Gamma: 0.9",134,0,204,26,43.95604396,10,40,,,
"Nu: 0.0003, Gamma: 0.99",134,0,204,26,43.95604396,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0004, Gamma: 0.005",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0004, Gamma: 0.05",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0004, Gamma: 0.1",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0004, Gamma: 0.2",134,0,230,0,36.81318681,10,40,,,
"Nu: 0.0004, Gamma: 0.5",134,0,226,4,37.91208791,10,40,,,
"Nu: 0.0004, Gamma: 0.7",134,0,226,4,37.91208791,10,40,,,
"Nu: 0.0004, Gamma: 0.9",134,0,204,26,43.95604396,10,40,,,
"Nu: 0.0004, Gamma: 0.99",134,0,204,26,43.95604396,10,40,,,
"Nu: 0.005, Gamma: 0.0001",133,1,230,0,36.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.0002",133,1,230,0,36.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.0003",133,1,230,0,36.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.0004",133,1,230,0,36.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.005",133,1,230,0,36.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.05",133,1,230,0,36.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.0625",133,1,230,0,36.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.1",133,1,230,0,36.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.2",133,1,230,0,36.53846154,10,40,,,
"Nu: 0.005, Gamma: 0.5",133,1,226,4,37.63736264,10,40,,,
"Nu: 0.005, Gamma: 0.7",133,1,204,26,43.68131868,10,40,,,
"Nu: 0.005, Gamma: 0.9",133,1,199,31,45.05494505,10,40,,,
"Nu: 0.005, Gamma: 0.99",133,1,195,35,46.15384615,10,40,,,
"Nu: 0.05, Gamma: 0.0001",129,5,227,3,36.26373626,10,40,,,
"Nu: 0.05, Gamma: 0.0002",129,5,227,3,36.26373626,10,40,,,
"Nu: 0.05, Gamma: 0.0003",129,5,227,3,36.26373626,10,40,,,
"Nu: 0.05, Gamma: 0.0004",129,5,227,3,36.26373626,10,40,,,
"Nu: 0.05, Gamma: 0.005",129,5,227,3,36.26373626,10,40,,,
"Nu: 0.05, Gamma: 0.05",129,5,227,3,36.26373626,10,40,,,
"Nu: 0.05, Gamma: 0.0625",129,5,227,3,36.26373626,10,40,,,
"Nu: 0.05, Gamma: 0.1",130,4,227,3,36.53846154,10,40,,,
"Nu: 0.05, Gamma: 0.2",130,4,226,4,36.81318681,10,40,,,
"Nu: 0.05, Gamma: 0.5",131,3,203,27,43.40659341,10,40,,,
"Nu: 0.05, Gamma: 0.7",132,2,196,34,45.6043956,10,40,,,
"Nu: 0.05, Gamma: 0.9",132,2,191,39,46.97802198,10,40,,,
"Nu: 0.05, Gamma: 0.99",132,2,191,39,46.97802198,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",128,6,227,3,35.98901099,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",128,6,227,3,35.98901099,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",128,6,227,3,35.98901099,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",128,6,227,3,35.98901099,10,40,,,
"Nu: 0.0625, Gamma: 0.005",128,6,227,3,35.98901099,10,40,,,
"Nu: 0.0625, Gamma: 0.05",128,6,227,3,35.98901099,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",128,6,227,3,35.98901099,10,40,,,
"Nu: 0.0625, Gamma: 0.1",128,6,227,3,35.98901099,10,40,,,
"Nu: 0.0625, Gamma: 0.2",129,5,226,4,36.53846154,10,40,,,
"Nu: 0.0625, Gamma: 0.5",131,3,203,27,43.40659341,10,40,,,
"Nu: 0.0625, Gamma: 0.7",131,3,195,35,45.6043956,10,40,,,
"Nu: 0.0625, Gamma: 0.9",132,2,191,39,46.97802198,10,40,,,
"Nu: 0.0625, Gamma: 0.99",132,2,191,39,46.97802198,10,40,,,
"Nu: 0.1, Gamma: 0.0001",124,10,227,3,34.89010989,10,40,,,
"Nu: 0.1, Gamma: 0.0002",124,10,227,3,34.89010989,10,40,,,
"Nu: 0.1, Gamma: 0.0003",124,10,227,3,34.89010989,10,40,,,
"Nu: 0.1, Gamma: 0.0004",124,10,227,3,34.89010989,10,40,,,
"Nu: 0.1, Gamma: 0.005",124,10,227,3,34.89010989,10,40,,,
"Nu: 0.1, Gamma: 0.05",124,10,227,3,34.89010989,10,40,,,
"Nu: 0.1, Gamma: 0.0625",124,10,227,3,34.89010989,10,40,,,
"Nu: 0.1, Gamma: 0.1",125,9,227,3,35.16483516,10,40,,,
"Nu: 0.1, Gamma: 0.2",127,7,223,7,36.81318681,10,40,,,
"Nu: 0.1, Gamma: 0.5",129,5,202,28,43.13186813,10,40,,,
"Nu: 0.1, Gamma: 0.7",129,5,193,37,45.6043956,10,40,,,
"Nu: 0.1, Gamma: 0.9",129,5,191,39,46.15384615,10,40,,,
"Nu: 0.1, Gamma: 0.99",130,4,190,40,46.7032967,10,40,,,
"Nu: 0.2, Gamma: 0.0001",109,25,223,7,31.86813187,10,40,,,
"Nu: 0.2, Gamma: 0.0002",108,26,223,7,31.59340659,10,40,,,
"Nu: 0.2, Gamma: 0.0003",108,26,223,7,31.59340659,10,40,,,
"Nu: 0.2, Gamma: 0.0004",108,26,223,7,31.59340659,10,40,,,
"Nu: 0.2, Gamma: 0.005",109,25,223,7,31.86813187,10,40,,,
"Nu: 0.2, Gamma: 0.05",109,25,223,7,31.86813187,10,40,,,
"Nu: 0.2, Gamma: 0.0625",110,24,222,8,32.41758242,10,40,,,
"Nu: 0.2, Gamma: 0.1",115,19,222,8,33.79120879,10,40,,,
"Nu: 0.2, Gamma: 0.2",119,15,189,41,43.95604396,10,40,,,
"Nu: 0.2, Gamma: 0.5",124,10,190,40,45.05494505,10,40,,,
"Nu: 0.2, Gamma: 0.7",126,8,190,40,45.6043956,10,40,,,
"Nu: 0.2, Gamma: 0.9",127,7,190,40,45.87912088,10,40,,,
"Nu: 0.2, Gamma: 0.99",127,7,188,42,46.42857143,10,40,,,
"Nu: 0.5, Gamma: 0.0001",66,68,159,71,37.63736264,10,40,,,
"Nu: 0.5, Gamma: 0.0002",66,68,159,71,37.63736264,10,40,,,
"Nu: 0.5, Gamma: 0.0003",66,68,159,71,37.63736264,10,40,,,
"Nu: 0.5, Gamma: 0.0004",66,68,159,71,37.63736264,10,40,,,
"Nu: 0.5, Gamma: 0.005",66,68,159,71,37.63736264,10,40,,,
"Nu: 0.5, Gamma: 0.05",66,68,159,71,37.63736264,10,40,,,
"Nu: 0.5, Gamma: 0.0625",66,68,159,71,37.63736264,10,40,,,
"Nu: 0.5, Gamma: 0.1",66,68,159,71,37.63736264,10,40,,,
"Nu: 0.5, Gamma: 0.2",68,66,161,69,37.63736264,10,40,,,
"Nu: 0.5, Gamma: 0.5",92,42,149,81,47.52747253,10,40,,,
"Nu: 0.5, Gamma: 0.7",102,32,151,79,49.72527473,10,40,,,
"Nu: 0.5, Gamma: 0.9",106,28,154,76,50,10,40,,,
"Nu: 0.5, Gamma: 0.99",106,28,153,77,50.27472527,10,40,,,
"Nu: 0.7, Gamma: 0.0001",42,92,10,220,71.97802198,10,40,,,
"Nu: 0.7, Gamma: 0.0002",42,92,10,220,71.97802198,10,40,,,
"Nu: 0.7, Gamma: 0.0003",42,92,10,220,71.97802198,10,40,,,
"Nu: 0.7, Gamma: 0.0004",42,92,10,220,71.97802198,10,40,,,
"Nu: 0.7, Gamma: 0.005",42,92,10,220,71.97802198,10,40,,,
"Nu: 0.7, Gamma: 0.05",42,92,10,220,71.97802198,10,40,,,
"Nu: 0.7, Gamma: 0.0625",42,92,70,160,55.49450549,10,40,,,
"Nu: 0.7, Gamma: 0.1",42,92,147,83,34.34065934,10,40,,,
"Nu: 0.7, Gamma: 0.2",43,91,148,82,34.34065934,10,40,,,
"Nu: 0.7, Gamma: 0.5",60,74,148,82,39.01098901,10,40,,,
"Nu: 0.7, Gamma: 0.7",59,75,149,81,38.46153846,10,40,,,
