Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.9263623,116
"Nu: 0.05, Gamma: 0.2",23,0,625,710,53.97643594,0,40,,,
"Nu: 0.05, Gamma: 0.5",23,0,395,940,70.91310751,0,40,,,
"Nu: 0.05, Gamma: 0.7",22,1,8,1327,99.33726068,0,40,,,
"Nu: 0.05, Gamma: 0.9",22,1,12,1323,99.04270987,0,40,,,
"Nu: 0.05, Gamma: 0.99",22,1,169,1166,87.48159057,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",23,0,765,570,43.66715758,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",16,7,244,1091,81.51693667,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",23,0,620,715,54.34462445,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",23,0,620,715,54.34462445,0,40,,,
"Nu: 0.0625, Gamma: 0.005",23,0,599,736,55.8910162,0,40,,,
"Nu: 0.0625, Gamma: 0.05",23,0,600,735,55.8173785,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",23,0,600,735,55.8173785,0,40,,,
"Nu: 0.0625, Gamma: 0.1",23,0,607,728,55.30191458,0,40,,,
"Nu: 0.0625, Gamma: 0.2",23,0,599,736,55.8910162,0,40,,,
"Nu: 0.0625, Gamma: 0.5",23,0,352,983,74.07952872,0,40,,,
"Nu: 0.0625, Gamma: 0.7",22,1,4,1331,99.63181149,0,40,,,
"Nu: 0.0625, Gamma: 0.9",22,1,5,1330,99.55817378,0,40,,,
"Nu: 0.0625, Gamma: 0.99",22,1,5,1330,99.55817378,0,40,,,
"Nu: 0.1, Gamma: 0.0001",20,3,552,783,59.13107511,0,40,,,
"Nu: 0.1, Gamma: 0.0002",21,2,560,775,58.61561119,0,40,,,
"Nu: 0.1, Gamma: 0.0003",23,0,577,758,57.51104566,0,40,,,
"Nu: 0.1, Gamma: 0.0004",21,2,492,843,63.62297496,0,40,,,
"Nu: 0.1, Gamma: 0.005",23,0,567,768,58.24742268,0,40,,,
"Nu: 0.1, Gamma: 0.05",22,1,569,766,58.02650957,0,40,,,
"Nu: 0.1, Gamma: 0.0625",22,1,568,767,58.10014728,0,40,,,
"Nu: 0.1, Gamma: 0.1",22,1,566,769,58.24742268,0,40,,,
"Nu: 0.1, Gamma: 0.2",22,1,562,773,58.54197349,0,40,,,
"Nu: 0.1, Gamma: 0.5",22,1,415,920,69.36671576,0,40,,,
"Nu: 0.1, Gamma: 0.7",22,1,2,1333,99.77908689,0,40,,,
"Nu: 0.1, Gamma: 0.9",22,1,2,1333,99.77908689,0,40,,,
"Nu: 0.1, Gamma: 0.99",22,1,2,1333,99.77908689,0,40,,,
"Nu: 0.2, Gamma: 0.0001",22,1,526,809,61.19293078,0,40,,,
"Nu: 0.2, Gamma: 0.0002",20,3,370,965,72.53313697,0,40,,,
"Nu: 0.2, Gamma: 0.0003",20,3,370,965,72.53313697,0,40,,,
"Nu: 0.2, Gamma: 0.0004",20,3,370,965,72.53313697,0,40,,,
"Nu: 0.2, Gamma: 0.005",20,3,368,967,72.68041237,0,40,,,
"Nu: 0.2, Gamma: 0.05",20,3,283,1052,78.93961708,0,40,,,
"Nu: 0.2, Gamma: 0.0625",20,3,240,1095,82.10603829,0,40,,,
"Nu: 0.2, Gamma: 0.1",20,3,216,1119,83.87334315,0,40,,,
"Nu: 0.2, Gamma: 0.2",20,3,15,1320,98.67452135,0,40,,,
"Nu: 0.2, Gamma: 0.5",22,1,0,1335,99.9263623,0,40,,,
"Nu: 0.2, Gamma: 0.7",22,1,2,1333,99.77908689,0,40,,,
"Nu: 0.2, Gamma: 0.9",22,1,2,1333,99.77908689,0,40,,,
"Nu: 0.2, Gamma: 0.99",22,1,2,1333,99.77908689,0,40,,,
