Features: 16,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.54929577
"Nu: 0.99, Gamma: 0.99",0,13,0,119,90.15151515,0,40,,
,,,,,,,,,
Features: 16,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,130,91.54929577,10,40,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,130,91.54929577,10,40,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,130,91.54929577,10,40,,
"Nu: 0.0001, Gamma: 0.0004",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0001, Gamma: 0.005",11,1,128,2,9.154929577,10,40,,
"Nu: 0.0001, Gamma: 0.05",11,1,128,2,9.154929577,10,40,,
"Nu: 0.0001, Gamma: 0.0625",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0001, Gamma: 0.1",11,1,110,20,21.83098592,10,40,,
"Nu: 0.0001, Gamma: 0.2",11,1,108,22,23.23943662,10,40,,
"Nu: 0.0001, Gamma: 0.5",11,1,108,22,23.23943662,10,40,,
"Nu: 0.0001, Gamma: 0.7",12,0,110,20,22.53521127,10,40,,
"Nu: 0.0001, Gamma: 0.9",12,0,108,22,23.94366197,10,40,,
"Nu: 0.0001, Gamma: 0.99",12,0,108,22,23.94366197,10,40,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,130,91.54929577,10,40,,
"Nu: 0.0002, Gamma: 0.0002",11,1,128,2,9.154929577,10,40,,
"Nu: 0.0002, Gamma: 0.0003",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0002, Gamma: 0.0004",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0002, Gamma: 0.005",11,1,128,2,9.154929577,10,40,,
"Nu: 0.0002, Gamma: 0.05",11,1,128,2,9.154929577,10,40,,
"Nu: 0.0002, Gamma: 0.0625",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0002, Gamma: 0.1",12,0,127,3,10.56338028,10,40,,
"Nu: 0.0002, Gamma: 0.2",12,0,110,20,22.53521127,10,40,,
"Nu: 0.0002, Gamma: 0.5",11,1,108,22,23.23943662,10,40,,
"Nu: 0.0002, Gamma: 0.7",12,0,110,20,22.53521127,10,40,,
"Nu: 0.0002, Gamma: 0.9",12,0,109,21,23.23943662,10,40,,
"Nu: 0.0002, Gamma: 0.99",12,0,108,22,23.94366197,10,40,,
"Nu: 0.0003, Gamma: 0.0001",3,9,70,60,44.36619718,10,40,,
"Nu: 0.0003, Gamma: 0.0002",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0003, Gamma: 0.0003",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0003, Gamma: 0.0004",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0003, Gamma: 0.005",11,1,128,2,9.154929577,10,40,,
"Nu: 0.0003, Gamma: 0.05",11,1,128,2,9.154929577,10,40,,
"Nu: 0.0003, Gamma: 0.0625",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0003, Gamma: 0.1",12,0,125,5,11.97183099,10,40,,
"Nu: 0.0003, Gamma: 0.2",11,1,108,22,23.23943662,10,40,,
"Nu: 0.0003, Gamma: 0.5",12,0,110,20,22.53521127,10,40,,
"Nu: 0.0003, Gamma: 0.7",11,1,108,22,23.23943662,10,40,,
"Nu: 0.0003, Gamma: 0.9",11,1,107,23,23.94366197,10,40,,
"Nu: 0.0003, Gamma: 0.99",11,1,106,24,24.64788732,10,40,,
"Nu: 0.0004, Gamma: 0.0001",10,2,98,32,29.57746479,10,40,,
"Nu: 0.0004, Gamma: 0.0002",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0004, Gamma: 0.0003",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0004, Gamma: 0.0004",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0004, Gamma: 0.005",11,1,128,2,9.154929577,10,40,,
"Nu: 0.0004, Gamma: 0.05",11,1,128,2,9.154929577,10,40,,
"Nu: 0.0004, Gamma: 0.0625",12,0,130,0,8.450704225,10,40,,
"Nu: 0.0004, Gamma: 0.1",11,1,121,9,14.08450704,10,40,,
"Nu: 0.0004, Gamma: 0.2",12,0,110,20,22.53521127,10,40,,
"Nu: 0.0004, Gamma: 0.5",12,0,110,20,22.53521127,10,40,,
"Nu: 0.0004, Gamma: 0.7",12,0,110,20,22.53521127,10,40,,
"Nu: 0.0004, Gamma: 0.9",12,0,109,21,23.23943662,10,40,,
"Nu: 0.0004, Gamma: 0.99",11,1,106,24,24.64788732,10,40,,
"Nu: 0.005, Gamma: 0.0001",11,1,128,2,9.154929577,10,40,,
"Nu: 0.005, Gamma: 0.0002",12,0,130,0,8.450704225,10,40,,
"Nu: 0.005, Gamma: 0.0003",12,0,130,0,8.450704225,10,40,,
"Nu: 0.005, Gamma: 0.0004",12,0,130,0,8.450704225,10,40,,
"Nu: 0.005, Gamma: 0.005",12,0,130,0,8.450704225,10,40,,
"Nu: 0.005, Gamma: 0.05",12,0,130,0,8.450704225,10,40,,
"Nu: 0.005, Gamma: 0.0625",12,0,130,0,8.450704225,10,40,,
"Nu: 0.005, Gamma: 0.1",12,0,124,6,12.67605634,10,40,,
"Nu: 0.005, Gamma: 0.2",12,0,110,20,22.53521127,10,40,,
"Nu: 0.005, Gamma: 0.5",11,1,108,22,23.23943662,10,40,,
"Nu: 0.005, Gamma: 0.7",12,0,109,21,23.23943662,10,40,,
"Nu: 0.005, Gamma: 0.9",12,0,109,21,23.23943662,10,40,,
"Nu: 0.005, Gamma: 0.99",12,0,107,23,24.64788732,10,40,,
"Nu: 0.05, Gamma: 0.0001",12,0,128,2,9.85915493,10,40,,
"Nu: 0.05, Gamma: 0.0002",11,1,126,4,10.56338028,10,40,,
"Nu: 0.05, Gamma: 0.0003",12,0,128,2,9.85915493,10,40,,
"Nu: 0.05, Gamma: 0.0004",12,0,128,2,9.85915493,10,40,,
"Nu: 0.05, Gamma: 0.005",11,1,126,4,10.56338028,10,40,,
"Nu: 0.05, Gamma: 0.05",12,0,128,2,9.85915493,10,40,,
"Nu: 0.05, Gamma: 0.0625",12,0,128,2,9.85915493,10,40,,
"Nu: 0.05, Gamma: 0.1",11,1,125,5,11.26760563,10,40,,
"Nu: 0.05, Gamma: 0.2",12,0,109,21,23.23943662,10,40,,
"Nu: 0.05, Gamma: 0.5",12,0,109,21,23.23943662,10,40,,
"Nu: 0.05, Gamma: 0.7",12,0,108,22,23.94366197,10,40,,
"Nu: 0.05, Gamma: 0.9",12,0,104,26,26.76056338,10,40,,
"Nu: 0.05, Gamma: 0.99",12,0,103,27,27.46478873,10,40,,
"Nu: 0.0625, Gamma: 0.0001",11,1,125,5,11.26760563,10,40,,
"Nu: 0.0625, Gamma: 0.0002",11,1,125,5,11.26760563,10,40,,
"Nu: 0.0625, Gamma: 0.0003",11,1,125,5,11.26760563,10,40,,
"Nu: 0.0625, Gamma: 0.0004",11,1,125,5,11.26760563,10,40,,
"Nu: 0.0625, Gamma: 0.005",11,1,125,5,11.26760563,10,40,,
"Nu: 0.0625, Gamma: 0.05",11,1,125,5,11.26760563,10,40,,
"Nu: 0.0625, Gamma: 0.0625",11,1,126,4,10.56338028,10,40,,
"Nu: 0.0625, Gamma: 0.1",11,1,124,6,11.97183099,10,40,,
"Nu: 0.0625, Gamma: 0.2",12,0,109,21,23.23943662,10,40,,
"Nu: 0.0625, Gamma: 0.5",11,1,107,23,23.94366197,10,40,,
"Nu: 0.0625, Gamma: 0.7",12,0,108,22,23.94366197,10,40,,
"Nu: 0.0625, Gamma: 0.9",11,1,102,28,27.46478873,10,40,,
"Nu: 0.0625, Gamma: 0.99",11,1,100,30,28.87323944,10,40,,
"Nu: 0.1, Gamma: 0.0001",11,1,120,10,14.78873239,10,40,,
"Nu: 0.1, Gamma: 0.0002",11,1,121,9,14.08450704,10,40,,
"Nu: 0.1, Gamma: 0.0003",11,1,121,9,14.08450704,10,40,,
"Nu: 0.1, Gamma: 0.0004",11,1,121,9,14.08450704,10,40,,
"Nu: 0.1, Gamma: 0.005",11,1,121,9,14.08450704,10,40,,
"Nu: 0.1, Gamma: 0.05",11,1,121,9,14.08450704,10,40,,
"Nu: 0.1, Gamma: 0.0625",11,1,116,14,17.6056338,10,40,,
"Nu: 0.1, Gamma: 0.1",11,1,102,28,27.46478873,10,40,,
"Nu: 0.1, Gamma: 0.2",12,0,108,22,23.94366197,10,40,,
"Nu: 0.1, Gamma: 0.5",11,1,107,23,23.94366197,10,40,,
"Nu: 0.1, Gamma: 0.7",12,0,104,26,26.76056338,10,40,,
"Nu: 0.1, Gamma: 0.9",12,0,102,28,28.16901408,10,40,,
"Nu: 0.1, Gamma: 0.99",12,0,100,30,29.57746479,10,40,,
"Nu: 0.2, Gamma: 0.0001",11,1,91,39,35.21126761,10,40,,
"Nu: 0.2, Gamma: 0.0002",11,1,91,39,35.21126761,10,40,,
"Nu: 0.2, Gamma: 0.0003",11,1,91,39,35.21126761,10,40,,
"Nu: 0.2, Gamma: 0.0004",11,1,91,39,35.21126761,10,40,,
"Nu: 0.2, Gamma: 0.005",11,1,91,39,35.21126761,10,40,,
"Nu: 0.2, Gamma: 0.05",11,1,91,39,35.21126761,10,40,,
"Nu: 0.2, Gamma: 0.0625",11,1,91,39,35.21126761,10,40,,
"Nu: 0.2, Gamma: 0.1",11,1,91,39,35.21126761,10,40,,
"Nu: 0.2, Gamma: 0.2",11,1,93,37,33.8028169,10,40,,
"Nu: 0.2, Gamma: 0.5",11,1,95,35,32.3943662,10,40,,
"Nu: 0.2, Gamma: 0.7",11,1,97,33,30.98591549,10,40,,
"Nu: 0.2, Gamma: 0.9",11,1,95,35,32.3943662,10,40,,
"Nu: 0.2, Gamma: 0.99",12,0,96,34,32.3943662,10,40,,
"Nu: 0.5, Gamma: 0.0001",9,3,65,65,52.11267606,10,40,,
"Nu: 0.5, Gamma: 0.0002",9,3,65,65,52.11267606,10,40,,
"Nu: 0.5, Gamma: 0.0003",9,3,65,65,52.11267606,10,40,,
"Nu: 0.5, Gamma: 0.0004",9,3,65,65,52.11267606,10,40,,
"Nu: 0.5, Gamma: 0.005",9,3,65,65,52.11267606,10,40,,
"Nu: 0.5, Gamma: 0.05",9,3,63,67,53.52112676,10,40,,
"Nu: 0.5, Gamma: 0.0625",9,3,63,67,53.52112676,10,40,,
"Nu: 0.5, Gamma: 0.1",9,3,64,66,52.81690141,10,40,,
"Nu: 0.5, Gamma: 0.2",10,2,73,57,47.18309859,10,40,,
"Nu: 0.5, Gamma: 0.5",10,2,69,61,50,10,40,,
"Nu: 0.5, Gamma: 0.7",11,1,70,60,50,10,40,,
"Nu: 0.5, Gamma: 0.9",11,1,73,57,47.88732394,10,40,,
"Nu: 0.5, Gamma: 0.99",11,1,72,58,48.5915493,10,40,,
"Nu: 0.7, Gamma: 0.0001",2,10,38,92,66.1971831,10,40,,
"Nu: 0.7, Gamma: 0.0002",2,10,38,92,66.1971831,10,40,,
"Nu: 0.7, Gamma: 0.0003",2,10,38,92,66.1971831,10,40,,
"Nu: 0.7, Gamma: 0.0004",2,10,38,92,66.1971831,10,40,,
"Nu: 0.7, Gamma: 0.005",2,10,38,92,66.1971831,10,40,,
"Nu: 0.7, Gamma: 0.05",2,10,39,91,65.49295775,10,40,,
"Nu: 0.7, Gamma: 0.0625",2,10,40,90,64.78873239,10,40,,
"Nu: 0.7, Gamma: 0.1",2,10,41,89,64.08450704,10,40,,
"Nu: 0.7, Gamma: 0.2",5,7,46,84,62.67605634,10,40,,
"Nu: 0.7, Gamma: 0.5",10,2,54,76,60.56338028,10,40,,
"Nu: 0.7, Gamma: 0.7",10,2,56,74,59.15492958,10,40,,
"Nu: 0.7, Gamma: 0.9",10,2,55,75,59.85915493,10,40,,
"Nu: 0.7, Gamma: 0.99",10,2,52,78,61.97183099,10,40,,
"Nu: 0.9, Gamma: 0.0001",0,12,12,118,83.09859155,10,40,,
"Nu: 0.9, Gamma: 0.0002",0,12,12,118,83.09859155,10,40,,
"Nu: 0.9, Gamma: 0.0003",0,12,12,118,83.09859155,10,40,,
"Nu: 0.9, Gamma: 0.0004",0,12,12,118,83.09859155,10,40,,
"Nu: 0.9, Gamma: 0.005",0,12,12,118,83.09859155,10,40,,
"Nu: 0.9, Gamma: 0.05",0,12,12,118,83.09859155,10,40,,
"Nu: 0.9, Gamma: 0.0625",0,12,11,119,83.8028169,10,40,,
"Nu: 0.9, Gamma: 0.1",0,12,10,120,84.50704225,10,40,,
"Nu: 0.9, Gamma: 0.2",0,12,14,116,81.69014085,10,40,,
"Nu: 0.9, Gamma: 0.5",9,3,33,97,74.64788732,10,40,,
"Nu: 0.9, Gamma: 0.7",9,3,34,96,73.94366197,10,40,,
"Nu: 0.9, Gamma: 0.9",9,3,35,95,73.23943662,10,40,,
"Nu: 0.9, Gamma: 0.99",9,3,33,97,74.64788732,10,40,,
"Nu: 0.99, Gamma: 0.0001",0,12,1,129,90.84507042,10,40,,
"Nu: 0.99, Gamma: 0.0002",0,12,1,129,90.84507042,10,40,,
"Nu: 0.99, Gamma: 0.0003",0,12,1,129,90.84507042,10,40,,
"Nu: 0.99, Gamma: 0.0004",0,12,1,129,90.84507042,10,40,,
"Nu: 0.99, Gamma: 0.005",0,12,1,129,90.84507042,10,40,,
"Nu: 0.99, Gamma: 0.05",0,12,1,129,90.84507042,10,40,,
"Nu: 0.99, Gamma: 0.0625",0,12,1,129,90.84507042,10,40,,
"Nu: 0.99, Gamma: 0.1",0,12,1,129,90.84507042,10,40,,
"Nu: 0.99, Gamma: 0.2",0,12,5,125,88.02816901,10,40,,
"Nu: 0.99, Gamma: 0.5",5,7,12,118,86.61971831,10,40,,
"Nu: 0.99, Gamma: 0.7",7,5,8,122,90.84507042,10,40,,
"Nu: 0.99, Gamma: 0.9",8,4,8,122,91.54929577,10,40,,
"Nu: 0.99, Gamma: 0.99",8,4,8,122,91.54929577,10,40,,
,,,,,,,,,
Target Class: vips_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,
"Nu: 0.0001, Gamma: 0.0001",0,13,0,119,90.15151515,10,40,,
"Nu: 0.0001, Gamma: 0.0002",0,13,0,119,90.15151515,10,40,,
"Nu: 0.0001, Gamma: 0.0003",9,4,74,45,40.90909091,10,40,,
"Nu: 0.0001, Gamma: 0.0004",13,0,119,0,9.848484848,10,40,,
"Nu: 0.0001, Gamma: 0.005",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0001, Gamma: 0.05",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0001, Gamma: 0.0625",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0001, Gamma: 0.1",13,0,96,23,27.27272727,10,40,,
"Nu: 0.0001, Gamma: 0.2",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0001, Gamma: 0.5",13,0,94,25,28.78787879,10,40,,
"Nu: 0.0001, Gamma: 0.7",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0001, Gamma: 0.9",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0001, Gamma: 0.99",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0002, Gamma: 0.0001",0,13,0,119,90.15151515,10,40,,
"Nu: 0.0002, Gamma: 0.0002",13,0,119,0,9.848484848,10,40,,
"Nu: 0.0002, Gamma: 0.0003",13,0,119,0,9.848484848,10,40,,
"Nu: 0.0002, Gamma: 0.0004",13,0,119,0,9.848484848,10,40,,
"Nu: 0.0002, Gamma: 0.005",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0002, Gamma: 0.05",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0002, Gamma: 0.0625",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0002, Gamma: 0.1",13,0,96,23,27.27272727,10,40,,
"Nu: 0.0002, Gamma: 0.2",13,0,94,25,28.78787879,10,40,,
"Nu: 0.0002, Gamma: 0.5",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0002, Gamma: 0.7",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0002, Gamma: 0.9",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0002, Gamma: 0.99",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0003, Gamma: 0.0001",11,2,79,40,38.63636364,10,40,,
"Nu: 0.0003, Gamma: 0.0002",13,0,119,0,9.848484848,10,40,,
"Nu: 0.0003, Gamma: 0.0003",13,0,119,0,9.848484848,10,40,,
"Nu: 0.0003, Gamma: 0.0004",13,0,119,0,9.848484848,10,40,,
"Nu: 0.0003, Gamma: 0.005",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0003, Gamma: 0.05",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0003, Gamma: 0.0625",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0003, Gamma: 0.1",13,0,96,23,27.27272727,10,40,,
"Nu: 0.0003, Gamma: 0.2",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0003, Gamma: 0.5",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0003, Gamma: 0.7",13,0,94,25,28.78787879,10,40,,
"Nu: 0.0003, Gamma: 0.9",13,0,94,25,28.78787879,10,40,,
"Nu: 0.0003, Gamma: 0.99",13,0,94,25,28.78787879,10,40,,
"Nu: 0.0004, Gamma: 0.0001",11,2,91,28,29.54545455,10,40,,
"Nu: 0.0004, Gamma: 0.0002",11,2,91,28,29.54545455,10,40,,
"Nu: 0.0004, Gamma: 0.0003",11,2,91,28,29.54545455,10,40,,
"Nu: 0.0004, Gamma: 0.0004",11,2,91,28,29.54545455,10,40,,
"Nu: 0.0004, Gamma: 0.005",13,0,119,0,9.848484848,10,40,,
"Nu: 0.0004, Gamma: 0.05",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0004, Gamma: 0.0625",13,0,115,4,12.87878788,10,40,,
"Nu: 0.0004, Gamma: 0.1",13,0,96,23,27.27272727,10,40,,
"Nu: 0.0004, Gamma: 0.2",13,0,94,25,28.78787879,10,40,,
"Nu: 0.0004, Gamma: 0.5",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0004, Gamma: 0.7",13,0,98,21,25.75757576,10,40,,
"Nu: 0.0004, Gamma: 0.9",13,0,94,25,28.78787879,10,40,,
"Nu: 0.0004, Gamma: 0.99",13,0,94,25,28.78787879,10,40,,
"Nu: 0.005, Gamma: 0.0001",13,0,119,0,9.848484848,10,40,,
"Nu: 0.005, Gamma: 0.0002",13,0,119,0,9.848484848,10,40,,
"Nu: 0.005, Gamma: 0.0003",13,0,115,4,12.87878788,10,40,,
"Nu: 0.005, Gamma: 0.0004",13,0,115,4,12.87878788,10,40,,
"Nu: 0.005, Gamma: 0.005",13,0,119,0,9.848484848,10,40,,
"Nu: 0.005, Gamma: 0.05",13,0,119,0,9.848484848,10,40,,
"Nu: 0.005, Gamma: 0.0625",13,0,119,0,9.848484848,10,40,,
"Nu: 0.005, Gamma: 0.1",13,0,96,23,27.27272727,10,40,,
"Nu: 0.005, Gamma: 0.2",13,0,98,21,25.75757576,10,40,,
"Nu: 0.005, Gamma: 0.5",13,0,98,21,25.75757576,10,40,,
"Nu: 0.005, Gamma: 0.7",13,0,94,25,28.78787879,10,40,,
"Nu: 0.005, Gamma: 0.9",13,0,98,21,25.75757576,10,40,,
"Nu: 0.005, Gamma: 0.99",13,0,94,25,28.78787879,10,40,,
"Nu: 0.05, Gamma: 0.0001",13,0,113,6,14.39393939,10,40,,
"Nu: 0.05, Gamma: 0.0002",13,0,111,8,15.90909091,10,40,,
"Nu: 0.05, Gamma: 0.0003",13,0,111,8,15.90909091,10,40,,
"Nu: 0.05, Gamma: 0.0004",13,0,111,8,15.90909091,10,40,,
"Nu: 0.05, Gamma: 0.005",13,0,111,8,15.90909091,10,40,,
"Nu: 0.05, Gamma: 0.05",13,0,92,27,30.3030303,10,40,,
"Nu: 0.05, Gamma: 0.0625",13,0,92,27,30.3030303,10,40,,
"Nu: 0.05, Gamma: 0.1",13,0,92,27,30.3030303,10,40,,
"Nu: 0.05, Gamma: 0.2",13,0,98,21,25.75757576,10,40,,
"Nu: 0.05, Gamma: 0.5",13,0,93,26,29.54545455,10,40,,
"Nu: 0.05, Gamma: 0.7",13,0,92,27,30.3030303,10,40,,
"Nu: 0.05, Gamma: 0.9",12,1,92,27,29.54545455,10,40,,
"Nu: 0.05, Gamma: 0.99",12,1,96,23,26.51515152,10,40,,
"Nu: 0.0625, Gamma: 0.0001",13,0,111,8,15.90909091,10,40,,
"Nu: 0.0625, Gamma: 0.0002",13,0,111,8,15.90909091,10,40,,
"Nu: 0.0625, Gamma: 0.0003",13,0,111,8,15.90909091,10,40,,
"Nu: 0.0625, Gamma: 0.0004",13,0,111,8,15.90909091,10,40,,
"Nu: 0.0625, Gamma: 0.005",13,0,111,8,15.90909091,10,40,,
"Nu: 0.0625, Gamma: 0.05",13,0,92,27,30.3030303,10,40,,
"Nu: 0.0625, Gamma: 0.0625",13,0,92,27,30.3030303,10,40,,
"Nu: 0.0625, Gamma: 0.1",13,0,91,28,31.06060606,10,40,,
"Nu: 0.0625, Gamma: 0.2",13,0,94,25,28.78787879,10,40,,
"Nu: 0.0625, Gamma: 0.5",13,0,96,23,27.27272727,10,40,,
"Nu: 0.0625, Gamma: 0.7",12,1,96,23,26.51515152,10,40,,
"Nu: 0.0625, Gamma: 0.9",12,1,95,24,27.27272727,10,40,,
"Nu: 0.0625, Gamma: 0.99",12,1,95,24,27.27272727,10,40,,
"Nu: 0.1, Gamma: 0.0001",12,1,91,28,30.3030303,10,40,,
"Nu: 0.1, Gamma: 0.0002",12,1,91,28,30.3030303,10,40,,
"Nu: 0.1, Gamma: 0.0003",12,1,91,28,30.3030303,10,40,,
"Nu: 0.1, Gamma: 0.0004",12,1,91,28,30.3030303,10,40,,
"Nu: 0.1, Gamma: 0.005",12,1,91,28,30.3030303,10,40,,
"Nu: 0.1, Gamma: 0.05",12,1,91,28,30.3030303,10,40,,
"Nu: 0.1, Gamma: 0.0625",12,1,90,29,31.06060606,10,40,,
"Nu: 0.1, Gamma: 0.1",13,0,89,30,32.57575758,10,40,,
"Nu: 0.1, Gamma: 0.2",13,0,91,28,31.06060606,10,40,,
"Nu: 0.1, Gamma: 0.5",13,0,96,23,27.27272727,10,40,,
"Nu: 0.1, Gamma: 0.7",12,1,90,29,31.06060606,10,40,,
"Nu: 0.1, Gamma: 0.9",12,1,91,28,30.3030303,10,40,,
"Nu: 0.1, Gamma: 0.99",12,1,95,24,27.27272727,10,40,,
"Nu: 0.2, Gamma: 0.0001",10,3,86,33,32.57575758,10,40,,
"Nu: 0.2, Gamma: 0.0002",10,3,86,33,32.57575758,10,40,,
"Nu: 0.2, Gamma: 0.0003",10,3,86,33,32.57575758,10,40,,
"Nu: 0.2, Gamma: 0.0004",10,3,86,33,32.57575758,10,40,,
"Nu: 0.2, Gamma: 0.005",10,3,86,33,32.57575758,10,40,,
"Nu: 0.2, Gamma: 0.05",10,3,85,34,33.33333333,10,40,,
"Nu: 0.2, Gamma: 0.0625",10,3,85,34,33.33333333,10,40,,
"Nu: 0.2, Gamma: 0.1",11,2,84,35,34.84848485,10,40,,
"Nu: 0.2, Gamma: 0.2",12,1,84,35,35.60606061,10,40,,
"Nu: 0.2, Gamma: 0.5",12,1,83,36,36.36363636,10,40,,
"Nu: 0.2, Gamma: 0.7",12,1,85,34,34.84848485,10,40,,
"Nu: 0.2, Gamma: 0.9",12,1,83,36,36.36363636,10,40,,
"Nu: 0.2, Gamma: 0.99",12,1,82,37,37.12121212,10,40,,
"Nu: 0.5, Gamma: 0.0001",9,4,63,56,49.24242424,10,40,,
"Nu: 0.5, Gamma: 0.0002",9,4,63,56,49.24242424,10,40,,
"Nu: 0.5, Gamma: 0.0003",9,4,63,56,49.24242424,10,40,,
"Nu: 0.5, Gamma: 0.0004",9,4,63,56,49.24242424,10,40,,
"Nu: 0.5, Gamma: 0.005",9,4,63,56,49.24242424,10,40,,
"Nu: 0.5, Gamma: 0.05",9,4,63,56,49.24242424,10,40,,
"Nu: 0.5, Gamma: 0.0625",9,4,64,55,48.48484848,10,40,,
"Nu: 0.5, Gamma: 0.1",9,4,65,54,47.72727273,10,40,,
"Nu: 0.5, Gamma: 0.2",8,5,66,53,46.21212121,10,40,,
"Nu: 0.5, Gamma: 0.5",8,5,61,58,50,10,40,,
"Nu: 0.5, Gamma: 0.7",9,4,60,59,51.51515152,10,40,,
"Nu: 0.5, Gamma: 0.9",9,4,59,60,52.27272727,10,40,,
"Nu: 0.5, Gamma: 0.99",9,4,58,61,53.03030303,10,40,,
"Nu: 0.7, Gamma: 0.0001",8,5,39,80,66.66666667,10,40,,
"Nu: 0.7, Gamma: 0.0002",8,5,39,80,66.66666667,10,40,,
"Nu: 0.7, Gamma: 0.0003",8,5,39,80,66.66666667,10,40,,
"Nu: 0.7, Gamma: 0.0004",8,5,39,80,66.66666667,10,40,,
"Nu: 0.7, Gamma: 0.005",8,5,39,80,66.66666667,10,40,,
"Nu: 0.7, Gamma: 0.05",8,5,40,79,65.90909091,10,40,,
"Nu: 0.7, Gamma: 0.0625",8,5,41,78,65.15151515,10,40,,
"Nu: 0.7, Gamma: 0.1",8,5,41,78,65.15151515,10,40,,
"Nu: 0.7, Gamma: 0.2",7,6,50,69,57.57575758,10,40,,
"Nu: 0.7, Gamma: 0.5",6,7,45,74,60.60606061,10,40,,
"Nu: 0.7, Gamma: 0.7",6,7,48,71,58.33333333,10,40,,
"Nu: 0.7, Gamma: 0.9",7,6,47,72,59.84848485,10,40,,
"Nu: 0.7, Gamma: 0.99",7,6,46,73,60.60606061,10,40,,
"Nu: 0.9, Gamma: 0.0001",2,11,16,103,79.54545455,10,40,,
"Nu: 0.9, Gamma: 0.0002",2,11,16,103,79.54545455,10,40,,
"Nu: 0.9, Gamma: 0.0003",2,11,16,103,79.54545455,10,40,,
"Nu: 0.9, Gamma: 0.0004",2,11,16,103,79.54545455,10,40,,
"Nu: 0.9, Gamma: 0.005",2,11,16,103,79.54545455,10,40,,
"Nu: 0.9, Gamma: 0.05",2,11,16,103,79.54545455,10,40,,
"Nu: 0.9, Gamma: 0.0625",2,11,16,103,79.54545455,10,40,,
"Nu: 0.9, Gamma: 0.1",2,11,15,104,80.3030303,10,40,,
"Nu: 0.9, Gamma: 0.2",4,9,17,102,80.3030303,10,40,,
"Nu: 0.9, Gamma: 0.5",5,8,30,89,71.21212121,10,40,,
"Nu: 0.9, Gamma: 0.7",4,9,32,87,68.93939394,10,40,,
"Nu: 0.9, Gamma: 0.9",4,9,30,89,70.45454545,10,40,,
"Nu: 0.9, Gamma: 0.99",4,9,32,87,68.93939394,10,40,,
"Nu: 0.99, Gamma: 0.0001",0,13,1,118,89.39393939,10,40,,
"Nu: 0.99, Gamma: 0.0002",0,13,1,118,89.39393939,10,40,,
"Nu: 0.99, Gamma: 0.0003",0,13,1,118,89.39393939,10,40,,
"Nu: 0.99, Gamma: 0.0004",0,13,1,118,89.39393939,10,40,,
"Nu: 0.99, Gamma: 0.005",0,13,1,118,89.39393939,10,40,,
"Nu: 0.99, Gamma: 0.05",0,13,1,118,89.39393939,10,40,,
"Nu: 0.99, Gamma: 0.0625",0,13,1,118,89.39393939,10,40,,
"Nu: 0.99, Gamma: 0.1",0,13,1,118,89.39393939,10,40,,
"Nu: 0.99, Gamma: 0.2",1,12,3,116,88.63636364,10,40,,
"Nu: 0.99, Gamma: 0.5",3,10,12,107,83.33333333,10,40,,
"Nu: 0.99, Gamma: 0.7",3,10,11,108,84.09090909,10,40,,
"Nu: 0.99, Gamma: 0.9",3,10,10,109,84.84848485,10,40,,
"Nu: 0.99, Gamma: 0.99",3,10,10,109,84.84848485,10,40,,
