Features: 16,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.54929577
"Nu: 0.05, Gamma: 0.9",10,2,71,59,48.5915493,0,40,,
"Nu: 0.05, Gamma: 0.99",10,2,65,65,52.81690141,0,40,,
"Nu: 0.0625, Gamma: 0.0001",9,3,110,20,20.42253521,0,40,,
"Nu: 0.0625, Gamma: 0.0002",12,0,125,5,11.97183099,0,40,,
"Nu: 0.0625, Gamma: 0.0003",12,0,125,5,11.97183099,0,40,,
"Nu: 0.0625, Gamma: 0.0004",12,0,123,7,13.38028169,0,40,,
"Nu: 0.0625, Gamma: 0.005",12,0,125,5,11.97183099,0,40,,
"Nu: 0.0625, Gamma: 0.05",12,0,125,5,11.97183099,0,40,,
"Nu: 0.0625, Gamma: 0.0625",12,0,123,7,13.38028169,0,40,,
"Nu: 0.0625, Gamma: 0.1",12,0,122,8,14.08450704,0,40,,
"Nu: 0.0625, Gamma: 0.2",11,1,99,31,29.57746479,0,40,,
"Nu: 0.0625, Gamma: 0.5",11,1,96,34,31.69014085,0,40,,
"Nu: 0.0625, Gamma: 0.7",11,1,79,51,43.66197183,0,40,,
"Nu: 0.0625, Gamma: 0.9",10,2,67,63,51.4084507,0,40,,
"Nu: 0.0625, Gamma: 0.99",10,2,65,65,52.81690141,0,40,,
"Nu: 0.1, Gamma: 0.0001",9,3,100,30,27.46478873,0,40,,
"Nu: 0.1, Gamma: 0.0002",11,1,118,12,16.1971831,0,40,,
"Nu: 0.1, Gamma: 0.0003",11,1,118,12,16.1971831,0,40,,
"Nu: 0.1, Gamma: 0.0004",11,1,118,12,16.1971831,0,40,,
"Nu: 0.1, Gamma: 0.005",12,0,120,10,15.49295775,0,40,,
"Nu: 0.1, Gamma: 0.05",12,0,119,11,16.1971831,0,40,,
"Nu: 0.1, Gamma: 0.0625",12,0,115,15,19.01408451,0,40,,
"Nu: 0.1, Gamma: 0.1",12,0,99,31,30.28169014,0,40,,
"Nu: 0.1, Gamma: 0.2",11,1,99,31,29.57746479,0,40,,
"Nu: 0.1, Gamma: 0.5",11,1,88,42,37.32394366,0,40,,
"Nu: 0.1, Gamma: 0.7",11,1,62,68,55.63380282,0,40,,
"Nu: 0.1, Gamma: 0.9",11,1,60,70,57.04225352,0,40,,
"Nu: 0.1, Gamma: 0.99",10,2,56,74,59.15492958,0,40,,
"Nu: 0.2, Gamma: 0.0001",11,1,88,42,37.32394366,0,40,,
"Nu: 0.2, Gamma: 0.0002",9,3,106,24,23.23943662,0,40,,
"Nu: 0.2, Gamma: 0.0003",10,2,86,44,38.02816901,0,40,,
"Nu: 0.2, Gamma: 0.0004",10,2,86,44,38.02816901,0,40,,
"Nu: 0.2, Gamma: 0.005",10,2,86,44,38.02816901,0,40,,
"Nu: 0.2, Gamma: 0.05",10,2,86,44,38.02816901,0,40,,
"Nu: 0.2, Gamma: 0.0625",10,2,86,44,38.02816901,0,40,,
"Nu: 0.2, Gamma: 0.1",9,3,85,45,38.02816901,0,40,,
"Nu: 0.2, Gamma: 0.2",10,2,72,58,47.88732394,0,40,,
"Nu: 0.2, Gamma: 0.5",11,1,70,60,50,0,40,,
"Nu: 0.2, Gamma: 0.7",11,1,60,70,57.04225352,0,40,,
"Nu: 0.2, Gamma: 0.9",10,2,44,86,67.6056338,0,40,,
"Nu: 0.2, Gamma: 0.99",10,2,42,88,69.01408451,0,40,,
"Nu: 0.5, Gamma: 0.0001",7,5,60,70,54.22535211,0,40,,
"Nu: 0.5, Gamma: 0.0002",7,5,62,68,52.81690141,0,40,,
"Nu: 0.5, Gamma: 0.0003",7,5,62,68,52.81690141,0,40,,
"Nu: 0.5, Gamma: 0.0004",7,5,62,68,52.81690141,0,40,,
"Nu: 0.5, Gamma: 0.005",7,5,62,68,52.81690141,0,40,,
"Nu: 0.5, Gamma: 0.05",7,5,61,69,53.52112676,0,40,,
"Nu: 0.5, Gamma: 0.0625",7,5,60,70,54.22535211,0,40,,
"Nu: 0.5, Gamma: 0.1",6,6,59,71,54.22535211,0,40,,
"Nu: 0.5, Gamma: 0.2",6,6,49,81,61.26760563,0,40,,
"Nu: 0.5, Gamma: 0.5",6,6,42,88,66.1971831,0,40,,
"Nu: 0.5, Gamma: 0.7",6,6,37,93,69.71830986,0,40,,
"Nu: 0.5, Gamma: 0.9",5,7,14,116,85.21126761,0,40,,
"Nu: 0.5, Gamma: 0.99",5,7,13,117,85.91549296,0,40,,
"Nu: 0.7, Gamma: 0.0001",4,8,42,88,64.78873239,0,40,,
"Nu: 0.7, Gamma: 0.0002",3,9,40,90,65.49295775,0,40,,
"Nu: 0.7, Gamma: 0.0003",4,8,42,88,64.78873239,0,40,,
"Nu: 0.7, Gamma: 0.0004",4,8,42,88,64.78873239,0,40,,
"Nu: 0.7, Gamma: 0.005",4,8,42,88,64.78873239,0,40,,
"Nu: 0.7, Gamma: 0.05",4,8,42,88,64.78873239,0,40,,
"Nu: 0.7, Gamma: 0.0625",4,8,42,88,64.78873239,0,40,,
"Nu: 0.7, Gamma: 0.1",4,8,42,88,64.78873239,0,40,,
"Nu: 0.7, Gamma: 0.2",3,9,32,98,71.12676056,0,40,,
"Nu: 0.7, Gamma: 0.5",5,7,25,105,77.46478873,0,40,,
"Nu: 0.7, Gamma: 0.7",5,7,11,119,87.32394366,0,40,,
"Nu: 0.7, Gamma: 0.9",4,8,5,125,90.84507042,0,40,,
"Nu: 0.7, Gamma: 0.99",4,8,5,125,90.84507042,0,40,,
"Nu: 0.9, Gamma: 0.0001",0,12,10,120,84.50704225,0,40,,
"Nu: 0.9, Gamma: 0.0002",0,12,10,120,84.50704225,0,40,,
"Nu: 0.9, Gamma: 0.0003",0,12,10,120,84.50704225,0,40,,
"Nu: 0.9, Gamma: 0.0004",0,12,10,120,84.50704225,0,40,,
"Nu: 0.9, Gamma: 0.005",0,12,10,120,84.50704225,0,40,,
"Nu: 0.9, Gamma: 0.05",0,12,10,120,84.50704225,0,40,,
"Nu: 0.9, Gamma: 0.0625",0,12,10,120,84.50704225,0,40,,
"Nu: 0.9, Gamma: 0.1",0,12,10,120,84.50704225,0,40,,
"Nu: 0.9, Gamma: 0.2",0,12,8,122,85.91549296,0,40,,
"Nu: 0.9, Gamma: 0.5",2,10,2,128,91.54929577,0,40,,
"Nu: 0.9, Gamma: 0.7",0,12,0,130,91.54929577,0,40,,
"Nu: 0.9, Gamma: 0.9",0,12,0,130,91.54929577,0,40,,
"Nu: 0.9, Gamma: 0.99",0,12,0,130,91.54929577,0,40,,
"Nu: 0.99, Gamma: 0.0001",0,12,2,128,90.14084507,0,40,,
"Nu: 0.99, Gamma: 0.0002",0,12,2,128,90.14084507,0,40,,
"Nu: 0.99, Gamma: 0.0003",0,12,2,128,90.14084507,0,40,,
"Nu: 0.99, Gamma: 0.0004",0,12,1,129,90.84507042,0,40,,
"Nu: 0.99, Gamma: 0.005",0,12,1,129,90.84507042,0,40,,
"Nu: 0.99, Gamma: 0.05",0,12,1,129,90.84507042,0,40,,
"Nu: 0.99, Gamma: 0.0625",0,12,1,129,90.84507042,0,40,,
"Nu: 0.99, Gamma: 0.1",0,12,1,129,90.84507042,0,40,,
"Nu: 0.99, Gamma: 0.2",0,12,1,129,90.84507042,0,40,,
"Nu: 0.99, Gamma: 0.5",0,12,0,130,91.54929577,0,40,,
"Nu: 0.99, Gamma: 0.7",0,12,0,130,91.54929577,0,40,,
"Nu: 0.99, Gamma: 0.9",0,12,0,130,91.54929577,0,40,,
"Nu: 0.99, Gamma: 0.99",0,12,0,130,91.54929577,0,40,,
,,,,,,,,,
Target Class: vips_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,
"Nu: 0.0001, Gamma: 0.0001",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0001, Gamma: 0.0004",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0001, Gamma: 0.005",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0001, Gamma: 0.05",10,3,92,27,28.03030303,0,40,,
"Nu: 0.0001, Gamma: 0.0625",10,3,88,31,31.06060606,0,40,,
"Nu: 0.0001, Gamma: 0.1",10,3,70,49,44.6969697,0,40,,
"Nu: 0.0001, Gamma: 0.2",6,7,62,57,47.72727273,0,40,,
"Nu: 0.0001, Gamma: 0.5",7,6,69,50,43.18181818,0,40,,
"Nu: 0.0001, Gamma: 0.7",6,7,62,57,47.72727273,0,40,,
"Nu: 0.0001, Gamma: 0.9",5,8,53,66,53.78787879,0,40,,
"Nu: 0.0001, Gamma: 0.99",5,8,49,70,56.81818182,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0002, Gamma: 0.0002",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0002, Gamma: 0.0003",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0002, Gamma: 0.0004",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0002, Gamma: 0.005",10,3,92,27,28.03030303,0,40,,
"Nu: 0.0002, Gamma: 0.05",13,0,113,6,14.39393939,0,40,,
"Nu: 0.0002, Gamma: 0.0625",13,0,117,2,11.36363636,0,40,,
"Nu: 0.0002, Gamma: 0.1",11,2,99,20,23.48484848,0,40,,
"Nu: 0.0002, Gamma: 0.2",8,5,77,42,37.87878788,0,40,,
"Nu: 0.0002, Gamma: 0.5",11,2,39,80,68.93939394,0,40,,
"Nu: 0.0002, Gamma: 0.7",11,2,65,54,49.24242424,0,40,,
"Nu: 0.0002, Gamma: 0.9",9,4,76,43,39.39393939,0,40,,
"Nu: 0.0002, Gamma: 0.99",9,4,71,48,43.18181818,0,40,,
"Nu: 0.0003, Gamma: 0.0001",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0003, Gamma: 0.0002",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0003, Gamma: 0.0003",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0003, Gamma: 0.0004",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0003, Gamma: 0.005",10,3,92,27,28.03030303,0,40,,
"Nu: 0.0003, Gamma: 0.05",13,0,113,6,14.39393939,0,40,,
"Nu: 0.0003, Gamma: 0.0625",13,0,117,2,11.36363636,0,40,,
"Nu: 0.0003, Gamma: 0.1",11,2,99,20,23.48484848,0,40,,
"Nu: 0.0003, Gamma: 0.2",8,5,86,33,31.06060606,0,40,,
"Nu: 0.0003, Gamma: 0.5",9,4,81,38,35.60606061,0,40,,
"Nu: 0.0003, Gamma: 0.7",9,4,78,41,37.87878788,0,40,,
"Nu: 0.0003, Gamma: 0.9",13,0,69,50,47.72727273,0,40,,
"Nu: 0.0003, Gamma: 0.99",9,4,71,48,43.18181818,0,40,,
"Nu: 0.0004, Gamma: 0.0001",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0004, Gamma: 0.0002",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0004, Gamma: 0.0003",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0004, Gamma: 0.0004",0,13,0,119,90.15151515,0,40,,
"Nu: 0.0004, Gamma: 0.005",10,3,92,27,28.03030303,0,40,,
"Nu: 0.0004, Gamma: 0.05",13,0,113,6,14.39393939,0,40,,
"Nu: 0.0004, Gamma: 0.0625",13,0,117,2,11.36363636,0,40,,
"Nu: 0.0004, Gamma: 0.1",11,2,99,20,23.48484848,0,40,,
"Nu: 0.0004, Gamma: 0.2",9,4,85,34,32.57575758,0,40,,
"Nu: 0.0004, Gamma: 0.5",9,4,81,38,35.60606061,0,40,,
"Nu: 0.0004, Gamma: 0.7",9,4,80,39,36.36363636,0,40,,
"Nu: 0.0004, Gamma: 0.9",13,0,69,50,47.72727273,0,40,,
"Nu: 0.0004, Gamma: 0.99",9,4,63,56,49.24242424,0,40,,
"Nu: 0.005, Gamma: 0.0001",0,13,0,119,90.15151515,0,40,,
"Nu: 0.005, Gamma: 0.0002",10,3,89,30,30.3030303,0,40,,
"Nu: 0.005, Gamma: 0.0003",10,3,93,26,27.27272727,0,40,,
"Nu: 0.005, Gamma: 0.0004",10,3,89,30,30.3030303,0,40,,
"Nu: 0.005, Gamma: 0.005",13,0,117,2,11.36363636,0,40,,
"Nu: 0.005, Gamma: 0.05",13,0,113,6,14.39393939,0,40,,
"Nu: 0.005, Gamma: 0.0625",13,0,117,2,11.36363636,0,40,,
"Nu: 0.005, Gamma: 0.1",11,2,98,21,24.24242424,0,40,,
"Nu: 0.005, Gamma: 0.2",13,0,90,29,31.81818182,0,40,,
"Nu: 0.005, Gamma: 0.5",10,3,80,39,37.12121212,0,40,,
"Nu: 0.005, Gamma: 0.7",13,0,83,36,37.12121212,0,40,,
"Nu: 0.005, Gamma: 0.9",13,0,81,38,38.63636364,0,40,,
"Nu: 0.005, Gamma: 0.99",13,0,79,40,40.15151515,0,40,,
"Nu: 0.05, Gamma: 0.0001",13,0,117,2,11.36363636,0,40,,
"Nu: 0.05, Gamma: 0.0002",13,0,117,2,11.36363636,0,40,,
"Nu: 0.05, Gamma: 0.0003",13,0,117,2,11.36363636,0,40,,
"Nu: 0.05, Gamma: 0.0004",13,0,117,2,11.36363636,0,40,,
"Nu: 0.05, Gamma: 0.005",13,0,112,7,15.15151515,0,40,,
"Nu: 0.05, Gamma: 0.05",13,0,92,27,30.3030303,0,40,,
"Nu: 0.05, Gamma: 0.0625",13,0,92,27,30.3030303,0,40,,
"Nu: 0.05, Gamma: 0.1",13,0,91,28,31.06060606,0,40,,
"Nu: 0.05, Gamma: 0.2",13,0,91,28,31.06060606,0,40,,
"Nu: 0.05, Gamma: 0.5",13,0,84,35,36.36363636,0,40,,
"Nu: 0.05, Gamma: 0.7",13,0,79,40,40.15151515,0,40,,
"Nu: 0.05, Gamma: 0.9",13,0,82,37,37.87878788,0,40,,
"Nu: 0.05, Gamma: 0.99",13,0,77,42,41.66666667,0,40,,
"Nu: 0.0625, Gamma: 0.0001",13,0,116,3,12.12121212,0,40,,
"Nu: 0.0625, Gamma: 0.0002",13,0,110,9,16.66666667,0,40,,
"Nu: 0.0625, Gamma: 0.0003",13,0,110,9,16.66666667,0,40,,
"Nu: 0.0625, Gamma: 0.0004",13,0,110,9,16.66666667,0,40,,
"Nu: 0.0625, Gamma: 0.005",13,0,110,9,16.66666667,0,40,,
"Nu: 0.0625, Gamma: 0.05",13,0,91,28,31.06060606,0,40,,
"Nu: 0.0625, Gamma: 0.0625",11,2,91,28,29.54545455,0,40,,
"Nu: 0.0625, Gamma: 0.1",13,0,89,30,32.57575758,0,40,,
"Nu: 0.0625, Gamma: 0.2",13,0,90,29,31.81818182,0,40,,
