Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,96.875,599
"Nu: 0.0003, Gamma: 5e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 6e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 7e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 8e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 9e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.005",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.1",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.2",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.5",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.7",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.9",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0003, Gamma: 0.99",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 1e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 2e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 3e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 4e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 5e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 6e-05",155,20,0,1,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 7e-05",155,20,0,1,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 8e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 9e-05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.005",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.05",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.1",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.2",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.5",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.7",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.9",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.0004, Gamma: 0.99",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.005, Gamma: 1e-05",155,17,0,4,90.34090909,0,40,,,
"Nu: 0.005, Gamma: 2e-05",154,17,1,4,89.77272727,0,40,,,
"Nu: 0.005, Gamma: 3e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 4e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 5e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 6e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 7e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 8e-05",155,17,0,4,90.34090909,0,40,,,
"Nu: 0.005, Gamma: 9e-05",154,17,1,4,89.77272727,0,40,,,
"Nu: 0.005, Gamma: 0.0001",154,18,1,3,89.20454545,0,40,,,
"Nu: 0.005, Gamma: 0.0002",155,19,0,2,89.20454545,0,40,,,
"Nu: 0.005, Gamma: 0.0003",154,20,1,1,88.06818182,0,40,,,
"Nu: 0.005, Gamma: 0.0004",154,20,1,1,88.06818182,0,40,,,
"Nu: 0.005, Gamma: 0.005",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.005, Gamma: 0.05",154,21,1,0,87.5,0,40,,,
"Nu: 0.005, Gamma: 0.0625",154,21,1,0,87.5,0,40,,,
"Nu: 0.005, Gamma: 0.1",154,21,1,0,87.5,0,40,,,
"Nu: 0.005, Gamma: 0.2",154,21,1,0,87.5,0,40,,,
"Nu: 0.005, Gamma: 0.5",154,21,1,0,87.5,0,40,,,
"Nu: 0.005, Gamma: 0.7",154,21,1,0,87.5,0,40,,,
"Nu: 0.005, Gamma: 0.9",154,21,1,0,87.5,0,40,,,
"Nu: 0.005, Gamma: 0.99",154,21,1,0,87.5,0,40,,,
"Nu: 0.05, Gamma: 1e-05",154,16,1,5,90.34090909,0,40,,,
"Nu: 0.05, Gamma: 2e-05",154,16,1,5,90.34090909,0,40,,,
"Nu: 0.05, Gamma: 3e-05",154,16,1,5,90.34090909,0,40,,,
"Nu: 0.05, Gamma: 4e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.05, Gamma: 5e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.05, Gamma: 6e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.05, Gamma: 7e-05",154,18,1,3,89.20454545,0,40,,,
"Nu: 0.05, Gamma: 8e-05",154,17,1,4,89.77272727,0,40,,,
"Nu: 0.05, Gamma: 9e-05",154,17,1,4,89.77272727,0,40,,,
"Nu: 0.05, Gamma: 0.0001",154,18,1,3,89.20454545,0,40,,,
"Nu: 0.05, Gamma: 0.0002",154,19,1,2,88.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.0003",154,20,1,1,88.06818182,0,40,,,
"Nu: 0.05, Gamma: 0.0004",155,20,0,1,88.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.005",155,21,0,0,88.06818182,0,40,,,
"Nu: 0.05, Gamma: 0.05",154,21,1,0,87.5,0,40,,,
"Nu: 0.05, Gamma: 0.0625",154,21,1,0,87.5,0,40,,,
"Nu: 0.05, Gamma: 0.1",154,21,1,0,87.5,0,40,,,
"Nu: 0.05, Gamma: 0.2",154,21,1,0,87.5,0,40,,,
"Nu: 0.05, Gamma: 0.5",154,21,1,0,87.5,0,40,,,
"Nu: 0.05, Gamma: 0.7",154,21,1,0,87.5,0,40,,,
"Nu: 0.05, Gamma: 0.9",154,21,1,0,87.5,0,40,,,
"Nu: 0.05, Gamma: 0.99",154,21,1,0,87.5,0,40,,,
"Nu: 0.0625, Gamma: 1e-05",153,16,2,5,89.77272727,0,40,,,
"Nu: 0.0625, Gamma: 2e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.0625, Gamma: 3e-05",154,16,1,5,90.34090909,0,40,,,
"Nu: 0.0625, Gamma: 4e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.0625, Gamma: 5e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.0625, Gamma: 6e-05",155,16,0,5,90.90909091,0,40,,,
"Nu: 0.0625, Gamma: 7e-05",154,17,1,4,89.77272727,0,40,,,
"Nu: 0.0625, Gamma: 8e-05",154,17,1,4,89.77272727,0,40,,,
"Nu: 0.0625, Gamma: 9e-05",154,17,1,4,89.77272727,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",155,18,0,3,89.77272727,0,40,,,
