Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,90.90909091
"Nu: 0.05, Gamma: 0.9",2,3,27,23,45.45454545,0,40,,
"Nu: 0.05, Gamma: 0.99",2,3,25,25,49.09090909,0,40,,
"Nu: 0.0625, Gamma: 0.0001",5,0,49,1,10.90909091,0,40,,
"Nu: 0.0625, Gamma: 0.0002",5,0,49,1,10.90909091,0,40,,
"Nu: 0.0625, Gamma: 0.0003",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0625, Gamma: 0.0004",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0625, Gamma: 0.005",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0625, Gamma: 0.05",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0625, Gamma: 0.0625",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0625, Gamma: 0.1",5,0,50,0,9.090909091,0,40,,
"Nu: 0.0625, Gamma: 0.2",3,2,35,15,32.72727273,0,40,,
"Nu: 0.0625, Gamma: 0.5",2,3,29,21,41.81818182,0,40,,
"Nu: 0.0625, Gamma: 0.7",2,3,31,19,38.18181818,0,40,,
"Nu: 0.0625, Gamma: 0.9",2,3,27,23,45.45454545,0,40,,
"Nu: 0.0625, Gamma: 0.99",2,3,26,24,47.27272727,0,40,,
"Nu: 0.1, Gamma: 0.0001",4,1,48,2,10.90909091,0,40,,
"Nu: 0.1, Gamma: 0.0002",4,1,48,2,10.90909091,0,40,,
"Nu: 0.1, Gamma: 0.0003",5,0,48,2,12.72727273,0,40,,
"Nu: 0.1, Gamma: 0.0004",5,0,48,2,12.72727273,0,40,,
"Nu: 0.1, Gamma: 0.005",5,0,48,2,12.72727273,0,40,,
"Nu: 0.1, Gamma: 0.05",5,0,48,2,12.72727273,0,40,,
"Nu: 0.1, Gamma: 0.0625",5,0,48,2,12.72727273,0,40,,
"Nu: 0.1, Gamma: 0.1",5,0,48,2,12.72727273,0,40,,
"Nu: 0.1, Gamma: 0.2",3,2,34,16,34.54545455,0,40,,
"Nu: 0.1, Gamma: 0.5",2,3,29,21,41.81818182,0,40,,
"Nu: 0.1, Gamma: 0.7",2,3,32,18,36.36363636,0,40,,
"Nu: 0.1, Gamma: 0.9",2,3,28,22,43.63636364,0,40,,
"Nu: 0.1, Gamma: 0.99",2,3,24,26,50.90909091,0,40,,
"Nu: 0.2, Gamma: 0.0001",4,1,43,7,20,0,40,,
"Nu: 0.2, Gamma: 0.0002",4,1,43,7,20,0,40,,
"Nu: 0.2, Gamma: 0.0003",4,1,40,10,25.45454545,0,40,,
"Nu: 0.2, Gamma: 0.0004",4,1,40,10,25.45454545,0,40,,
"Nu: 0.2, Gamma: 0.005",4,1,40,10,25.45454545,0,40,,
"Nu: 0.2, Gamma: 0.05",4,1,40,10,25.45454545,0,40,,
"Nu: 0.2, Gamma: 0.0625",4,1,40,10,25.45454545,0,40,,
"Nu: 0.2, Gamma: 0.1",4,1,40,10,25.45454545,0,40,,
"Nu: 0.2, Gamma: 0.2",3,2,29,21,43.63636364,0,40,,
"Nu: 0.2, Gamma: 0.5",1,4,26,24,45.45454545,0,40,,
"Nu: 0.2, Gamma: 0.7",2,3,28,22,43.63636364,0,40,,
"Nu: 0.2, Gamma: 0.9",2,3,26,24,47.27272727,0,40,,
"Nu: 0.2, Gamma: 0.99",2,3,19,31,60,0,40,,
"Nu: 0.5, Gamma: 0.0001",3,2,23,27,54.54545455,0,40,,
"Nu: 0.5, Gamma: 0.0002",2,3,23,27,52.72727273,0,40,,
"Nu: 0.5, Gamma: 0.0003",2,3,23,27,52.72727273,0,40,,
"Nu: 0.5, Gamma: 0.0004",2,3,23,27,52.72727273,0,40,,
"Nu: 0.5, Gamma: 0.005",2,3,23,27,52.72727273,0,40,,
"Nu: 0.5, Gamma: 0.05",2,3,23,27,52.72727273,0,40,,
"Nu: 0.5, Gamma: 0.0625",2,3,23,27,52.72727273,0,40,,
"Nu: 0.5, Gamma: 0.1",2,3,25,25,49.09090909,0,40,,
"Nu: 0.5, Gamma: 0.2",2,3,25,25,49.09090909,0,40,,
"Nu: 0.5, Gamma: 0.5",1,4,6,44,81.81818182,0,40,,
"Nu: 0.5, Gamma: 0.7",1,4,3,47,87.27272727,0,40,,
"Nu: 0.5, Gamma: 0.9",1,4,6,44,81.81818182,0,40,,
"Nu: 0.5, Gamma: 0.99",1,4,6,44,81.81818182,0,40,,
"Nu: 0.7, Gamma: 0.0001",1,4,21,29,54.54545455,0,40,,
"Nu: 0.7, Gamma: 0.0002",1,4,21,29,54.54545455,0,40,,
"Nu: 0.7, Gamma: 0.0003",1,4,21,29,54.54545455,0,40,,
"Nu: 0.7, Gamma: 0.0004",1,4,21,29,54.54545455,0,40,,
"Nu: 0.7, Gamma: 0.005",1,4,21,29,54.54545455,0,40,,
"Nu: 0.7, Gamma: 0.05",2,3,21,29,56.36363636,0,40,,
"Nu: 0.7, Gamma: 0.0625",2,3,21,29,56.36363636,0,40,,
"Nu: 0.7, Gamma: 0.1",2,3,21,29,56.36363636,0,40,,
"Nu: 0.7, Gamma: 0.2",1,4,19,31,58.18181818,0,40,,
"Nu: 0.7, Gamma: 0.5",1,4,17,33,61.81818182,0,40,,
"Nu: 0.7, Gamma: 0.7",1,4,12,38,70.90909091,0,40,,
"Nu: 0.7, Gamma: 0.9",1,4,1,49,90.90909091,0,40,,
"Nu: 0.7, Gamma: 0.99",1,4,1,49,90.90909091,0,40,,
"Nu: 0.9, Gamma: 0.0001",0,5,10,40,72.72727273,0,40,,
"Nu: 0.9, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.9, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.9, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.9, Gamma: 0.005",0,5,9,41,74.54545455,0,40,,
