Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.29078014,290
"Nu: 0.05, Gamma: 0.5",12,0,95,136,60.90534979,0,40,,,
"Nu: 0.05, Gamma: 0.7",12,0,85,146,65.02057613,0,40,,,
"Nu: 0.05, Gamma: 0.9",12,0,69,162,71.60493827,0,40,,,
"Nu: 0.05, Gamma: 0.99",12,0,61,170,74.89711934,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,136,95,44.03292181,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,136,95,44.03292181,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,135,96,44.44444444,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,135,96,44.44444444,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,131,100,46.09053498,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,102,129,58.02469136,0,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,88,143,63.78600823,0,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,72,159,70.37037037,0,40,,,
"Nu: 0.0625, Gamma: 0.99",12,0,63,168,74.07407407,0,40,,,
"Nu: 0.1, Gamma: 0.0001",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.1, Gamma: 0.0002",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.1, Gamma: 0.0003",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.1, Gamma: 0.0004",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,134,97,44.85596708,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,132,99,45.67901235,0,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,130,101,46.50205761,0,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,104,127,57.20164609,0,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,84,147,65.43209877,0,40,,,
"Nu: 0.1, Gamma: 0.9",12,0,60,171,75.30864198,0,40,,,
"Nu: 0.1, Gamma: 0.99",12,0,53,178,78.18930041,0,40,,,
"Nu: 0.2, Gamma: 0.0001",12,0,93,138,61.72839506,0,40,,,
"Nu: 0.2, Gamma: 0.0002",11,1,87,144,63.78600823,0,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,87,144,63.78600823,0,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,87,144,63.78600823,0,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,87,144,63.78600823,0,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,83,148,65.43209877,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,81,150,66.25514403,0,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,80,151,66.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.2",11,1,79,152,67.0781893,0,40,,,
"Nu: 0.2, Gamma: 0.5",12,0,33,198,86.41975309,0,40,,,
"Nu: 0.2, Gamma: 0.7",12,0,5,226,97.94238683,0,40,,,
"Nu: 0.2, Gamma: 0.9",12,0,14,217,94.23868313,0,40,,,
"Nu: 0.2, Gamma: 0.99",12,0,10,221,95.88477366,0,40,,,
"Nu: 0.5, Gamma: 0.0001",6,6,2,229,96.70781893,0,40,,,
"Nu: 0.5, Gamma: 0.0002",6,6,2,229,96.70781893,0,40,,,
"Nu: 0.5, Gamma: 0.0003",6,6,2,229,96.70781893,0,40,,,
"Nu: 0.5, Gamma: 0.0004",6,6,2,229,96.70781893,0,40,,,
"Nu: 0.5, Gamma: 0.005",6,6,2,229,96.70781893,0,40,,,
"Nu: 0.5, Gamma: 0.05",6,6,2,229,96.70781893,0,40,,,
"Nu: 0.5, Gamma: 0.0625",6,6,2,229,96.70781893,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,6,0,231,97.5308642,0,40,,,
"Nu: 0.5, Gamma: 0.2",6,6,0,231,97.5308642,0,40,,,
"Nu: 0.5, Gamma: 0.5",6,6,0,231,97.5308642,0,40,,,
"Nu: 0.5, Gamma: 0.7",6,6,0,231,97.5308642,0,40,,,
"Nu: 0.5, Gamma: 0.9",7,5,0,231,97.94238683,0,40,,,
"Nu: 0.5, Gamma: 0.99",7,5,0,231,97.94238683,0,40,,,
"Nu: 0.7, Gamma: 0.0001",4,8,0,231,96.70781893,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.7, Gamma: 0.0004",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.7, Gamma: 0.005",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.7, Gamma: 0.05",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.7, Gamma: 0.0625",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.7, Gamma: 0.1",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.7, Gamma: 0.5",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.7, Gamma: 0.7",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.7, Gamma: 0.9",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.7, Gamma: 0.99",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.9, Gamma: 0.0001",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.0001",3,9,0,231,96.2962963,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.2",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.5",1,11,0,231,95.47325103,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,231,95.0617284,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,231,95.0617284,0,40,,,
,,,,,,,,,,
Target Class: streamcluster_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0001, Gamma: 0.05",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.0001, Gamma: 0.1",24,0,106,11,24.82269504,0,40,,,
"Nu: 0.0001, Gamma: 0.2",24,0,20,97,85.81560284,0,40,,,
"Nu: 0.0001, Gamma: 0.5",24,0,19,98,86.5248227,0,40,,,
"Nu: 0.0001, Gamma: 0.7",24,0,18,99,87.23404255,0,40,,,
"Nu: 0.0001, Gamma: 0.9",24,0,13,104,90.78014184,0,40,,,
"Nu: 0.0001, Gamma: 0.99",24,0,8,109,94.32624113,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0002, Gamma: 0.005",10,14,76,41,36.17021277,0,40,,,
"Nu: 0.0002, Gamma: 0.05",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.0002, Gamma: 0.1",24,0,106,11,24.82269504,0,40,,,
"Nu: 0.0002, Gamma: 0.2",24,0,26,91,81.56028369,0,40,,,
"Nu: 0.0002, Gamma: 0.5",24,0,21,96,85.10638298,0,40,,,
"Nu: 0.0002, Gamma: 0.7",24,0,22,95,84.39716312,0,40,,,
"Nu: 0.0002, Gamma: 0.9",22,2,18,99,85.81560284,0,40,,,
"Nu: 0.0002, Gamma: 0.99",24,0,16,101,88.65248227,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0003, Gamma: 0.005",24,0,114,3,19.14893617,0,40,,,
"Nu: 0.0003, Gamma: 0.05",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.0003, Gamma: 0.1",24,0,106,11,24.82269504,0,40,,,
"Nu: 0.0003, Gamma: 0.2",24,0,26,91,81.56028369,0,40,,,
"Nu: 0.0003, Gamma: 0.5",24,0,21,96,85.10638298,0,40,,,
"Nu: 0.0003, Gamma: 0.7",24,0,22,95,84.39716312,0,40,,,
"Nu: 0.0003, Gamma: 0.9",24,0,18,99,87.23404255,0,40,,,
"Nu: 0.0003, Gamma: 0.99",24,0,16,101,88.65248227,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,24,0,117,82.9787234,0,40,,,
"Nu: 0.0004, Gamma: 0.005",24,0,114,3,19.14893617,0,40,,,
"Nu: 0.0004, Gamma: 0.05",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.0004, Gamma: 0.1",24,0,106,11,24.82269504,0,40,,,
"Nu: 0.0004, Gamma: 0.2",24,0,26,91,81.56028369,0,40,,,
"Nu: 0.0004, Gamma: 0.5",24,0,25,92,82.26950355,0,40,,,
"Nu: 0.0004, Gamma: 0.7",24,0,22,95,84.39716312,0,40,,,
"Nu: 0.0004, Gamma: 0.9",23,1,20,97,85.10638298,0,40,,,
"Nu: 0.0004, Gamma: 0.99",24,0,17,100,87.94326241,0,40,,,
"Nu: 0.005, Gamma: 0.0001",3,21,0,117,85.10638298,0,40,,,
