Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.92614476,91
"Nu: 0.0001, Gamma: 0.0001",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0001, Gamma: 0.05",23,0,1328,3,1.920236337,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.0001, Gamma: 0.1",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.0001, Gamma: 0.2",22,1,1301,30,3.840472674,0,40,,,
"Nu: 0.0001, Gamma: 0.5",22,1,1020,311,24.59379616,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,22,408,923,68.2422452,0,40,,,
"Nu: 0.0001, Gamma: 0.9",1,22,177,1154,85.3028065,0,40,,,
"Nu: 0.0001, Gamma: 0.99",1,22,94,1237,91.43279173,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0002, Gamma: 0.05",23,0,1328,3,1.920236337,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.0002, Gamma: 0.1",23,0,1327,4,1.994091581,0,40,,,
"Nu: 0.0002, Gamma: 0.2",22,1,1301,30,3.840472674,0,40,,,
"Nu: 0.0002, Gamma: 0.5",21,2,1091,240,19.27621861,0,40,,,
"Nu: 0.0002, Gamma: 0.7",23,0,598,733,55.83456425,0,40,,,
"Nu: 0.0002, Gamma: 0.9",23,0,372,959,72.52584934,0,40,,,
"Nu: 0.0002, Gamma: 0.99",14,9,336,995,74.51994092,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,23,0,1331,98.30132939,0,40,,,
"Nu: 0.0003, Gamma: 0.005",23,0,1328,3,1.920236337,0,40,,,
