Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.81021898,156
"Nu: 0.05, Gamma: 0.5",2,2,81,52,39.41605839,0,40,,,
"Nu: 0.05, Gamma: 0.7",1,3,64,69,51.09489051,0,40,,,
"Nu: 0.05, Gamma: 0.9",1,3,55,78,57.66423358,0,40,,,
"Nu: 0.05, Gamma: 0.99",1,3,49,84,62.04379562,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,127,6,7.299270073,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,127,6,7.299270073,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,83,50,39.41605839,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,83,50,39.41605839,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,99,34,27.73722628,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,96,37,29.9270073,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,93,40,32.11678832,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,91,42,33.57664234,0,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,86,47,37.22627737,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,81,52,39.41605839,0,40,,,
"Nu: 0.0625, Gamma: 0.7",1,3,65,68,50.3649635,0,40,,,
"Nu: 0.0625, Gamma: 0.9",1,3,55,78,57.66423358,0,40,,,
"Nu: 0.0625, Gamma: 0.99",1,3,49,84,62.04379562,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,82,51,39.41605839,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,0,79,54,42.33576642,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,79,54,42.33576642,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,79,54,42.33576642,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,93,40,32.11678832,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,90,43,34.30656934,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,90,43,34.30656934,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,90,43,34.30656934,0,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,86,47,37.22627737,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,81,52,39.41605839,0,40,,,
"Nu: 0.1, Gamma: 0.7",1,3,65,68,50.3649635,0,40,,,
"Nu: 0.1, Gamma: 0.9",1,3,55,78,57.66423358,0,40,,,
"Nu: 0.1, Gamma: 0.99",1,3,49,84,62.04379562,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,64,69,52.55474453,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,64,69,52.55474453,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,82,51,40.1459854,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,82,51,40.1459854,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,83,50,39.41605839,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,86,47,37.22627737,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,86,47,37.22627737,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,0,89,44,35.03649635,0,40,,,
"Nu: 0.2, Gamma: 0.2",4,0,86,47,37.22627737,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,81,52,39.41605839,0,40,,,
"Nu: 0.2, Gamma: 0.7",1,3,65,68,50.3649635,0,40,,,
"Nu: 0.2, Gamma: 0.9",1,3,55,78,57.66423358,0,40,,,
"Nu: 0.2, Gamma: 0.99",1,3,49,84,62.04379562,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,1,50,83,62.77372263,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,1,50,83,62.77372263,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,50,83,62.77372263,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,52,81,61.31386861,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,54,79,59.8540146,0,40,,,
