Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,212
"Nu: 0.99, Gamma: 0.005",0,5,1,38,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,5,4,35,79.54545455,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,5,4,35,79.54545455,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,5,2,37,84.09090909,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.99, Gamma: 0.9",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.99",1,4,0,39,90.90909091,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.0001, Gamma: 0.005",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0001, Gamma: 0.05",3,1,33,8,24.44444444,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.1",3,1,30,11,31.11111111,10,40,,,
"Nu: 0.0001, Gamma: 0.2",3,1,25,16,42.22222222,10,40,,,
"Nu: 0.0001, Gamma: 0.5",3,1,18,23,57.77777778,10,40,,,
"Nu: 0.0001, Gamma: 0.7",3,1,17,24,60,10,40,,,
"Nu: 0.0001, Gamma: 0.9",3,1,14,27,66.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.99",3,1,10,31,75.55555556,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0002, Gamma: 0.005",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,30,11,31.11111111,10,40,,,
"Nu: 0.0002, Gamma: 0.2",3,1,26,15,40,10,40,,,
"Nu: 0.0002, Gamma: 0.5",3,1,22,19,48.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.7",3,1,17,24,60,10,40,,,
"Nu: 0.0002, Gamma: 0.9",3,1,13,28,68.88888889,10,40,,,
"Nu: 0.0002, Gamma: 0.99",3,1,10,31,75.55555556,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0003, Gamma: 0.005",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0003, Gamma: 0.05",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.1",3,1,30,11,31.11111111,10,40,,,
"Nu: 0.0003, Gamma: 0.2",3,1,26,15,40,10,40,,,
"Nu: 0.0003, Gamma: 0.5",3,1,22,19,48.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.7",3,1,17,24,60,10,40,,,
"Nu: 0.0003, Gamma: 0.9",3,1,13,28,68.88888889,10,40,,,
"Nu: 0.0003, Gamma: 0.99",3,1,10,31,75.55555556,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0004, Gamma: 0.005",2,2,32,9,24.44444444,10,40,,,
"Nu: 0.0004, Gamma: 0.05",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0004, Gamma: 0.1",3,1,30,11,31.11111111,10,40,,,
"Nu: 0.0004, Gamma: 0.2",3,1,26,15,40,10,40,,,
"Nu: 0.0004, Gamma: 0.5",3,1,22,19,48.88888889,10,40,,,
"Nu: 0.0004, Gamma: 0.7",3,1,17,24,60,10,40,,,
"Nu: 0.0004, Gamma: 0.9",3,1,14,27,66.66666667,10,40,,,
"Nu: 0.0004, Gamma: 0.99",3,1,10,31,75.55555556,10,40,,,
"Nu: 0.005, Gamma: 0.0001",3,1,32,9,26.66666667,10,40,,,
"Nu: 0.005, Gamma: 0.0002",3,1,32,9,26.66666667,10,40,,,
"Nu: 0.005, Gamma: 0.0003",3,1,32,9,26.66666667,10,40,,,
"Nu: 0.005, Gamma: 0.0004",3,1,32,9,26.66666667,10,40,,,
"Nu: 0.005, Gamma: 0.005",3,1,32,9,26.66666667,10,40,,,
"Nu: 0.005, Gamma: 0.05",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.005, Gamma: 0.0625",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.005, Gamma: 0.1",3,1,30,11,31.11111111,10,40,,,
"Nu: 0.005, Gamma: 0.2",3,1,23,18,46.66666667,10,40,,,
"Nu: 0.005, Gamma: 0.5",3,1,22,19,48.88888889,10,40,,,
"Nu: 0.005, Gamma: 0.7",3,1,16,25,62.22222222,10,40,,,
"Nu: 0.005, Gamma: 0.9",3,1,13,28,68.88888889,10,40,,,
"Nu: 0.005, Gamma: 0.99",3,1,10,31,75.55555556,10,40,,,
"Nu: 0.05, Gamma: 0.0001",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.05, Gamma: 0.0002",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.05, Gamma: 0.0003",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.05, Gamma: 0.0004",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.05, Gamma: 0.005",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.05, Gamma: 0.05",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.05, Gamma: 0.0625",3,1,30,11,31.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.1",3,1,30,11,31.11111111,10,40,,,
"Nu: 0.05, Gamma: 0.2",2,2,19,22,53.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.5",2,2,13,28,66.66666667,10,40,,,
"Nu: 0.05, Gamma: 0.7",3,1,10,31,75.55555556,10,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,9,32,77.77777778,10,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,9,32,77.77777778,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.005",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.05",3,1,31,10,28.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,1,30,11,31.11111111,10,40,,,
"Nu: 0.0625, Gamma: 0.1",2,2,30,11,28.88888889,10,40,,,
"Nu: 0.0625, Gamma: 0.2",2,2,19,22,53.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,13,28,66.66666667,10,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,10,31,73.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,9,32,77.77777778,10,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,8,33,80,10,40,,,
"Nu: 0.1, Gamma: 0.0001",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.0002",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.0003",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.0004",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.005",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.05",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.1, Gamma: 0.0625",2,2,30,11,28.88888889,10,40,,,
"Nu: 0.1, Gamma: 0.1",2,2,29,12,31.11111111,10,40,,,
"Nu: 0.1, Gamma: 0.2",2,2,19,22,53.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,11,30,71.11111111,10,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,10,31,73.33333333,10,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,9,32,75.55555556,10,40,,,
"Nu: 0.1, Gamma: 0.99",2,2,8,33,77.77777778,10,40,,,
"Nu: 0.2, Gamma: 0.0001",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.2, Gamma: 0.0002",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.2, Gamma: 0.0003",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.2, Gamma: 0.0004",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.2, Gamma: 0.005",2,2,31,10,26.66666667,10,40,,,
"Nu: 0.2, Gamma: 0.05",2,2,30,11,28.88888889,10,40,,,
"Nu: 0.2, Gamma: 0.0625",2,2,30,11,28.88888889,10,40,,,
"Nu: 0.2, Gamma: 0.1",2,2,29,12,31.11111111,10,40,,,
"Nu: 0.2, Gamma: 0.2",2,2,18,23,55.55555556,10,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,10,31,73.33333333,10,40,,,
"Nu: 0.2, Gamma: 0.7",2,2,9,32,75.55555556,10,40,,,
"Nu: 0.2, Gamma: 0.9",2,2,7,34,80,10,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,4,37,86.66666667,10,40,,,
"Nu: 0.5, Gamma: 0.0001",1,3,19,22,51.11111111,10,40,,,
"Nu: 0.5, Gamma: 0.0002",1,3,19,22,51.11111111,10,40,,,
"Nu: 0.5, Gamma: 0.0003",1,3,19,22,51.11111111,10,40,,,
"Nu: 0.5, Gamma: 0.0004",1,3,19,22,51.11111111,10,40,,,
"Nu: 0.5, Gamma: 0.005",1,3,19,22,51.11111111,10,40,,,
"Nu: 0.5, Gamma: 0.05",1,3,19,22,51.11111111,10,40,,,
"Nu: 0.5, Gamma: 0.0625",1,3,19,22,51.11111111,10,40,,,
"Nu: 0.5, Gamma: 0.1",1,3,16,25,57.77777778,10,40,,,
"Nu: 0.5, Gamma: 0.2",1,3,8,33,75.55555556,10,40,,,
"Nu: 0.5, Gamma: 0.5",1,3,7,34,77.77777778,10,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,2,39,91.11111111,10,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,2,39,91.11111111,10,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,2,39,91.11111111,10,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,14,27,60,10,40,,,
"Nu: 0.7, Gamma: 0.0002",0,4,14,27,60,10,40,,,
"Nu: 0.7, Gamma: 0.0003",0,4,14,27,60,10,40,,,
"Nu: 0.7, Gamma: 0.0004",0,4,14,27,60,10,40,,,
"Nu: 0.7, Gamma: 0.005",0,4,14,27,60,10,40,,,
"Nu: 0.7, Gamma: 0.05",0,4,13,28,62.22222222,10,40,,,
"Nu: 0.7, Gamma: 0.0625",0,4,13,28,62.22222222,10,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,9,32,73.33333333,10,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,5,36,82.22222222,10,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,2,39,88.88888889,10,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,2,39,88.88888889,10,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,1,40,91.11111111,10,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,1,40,91.11111111,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,3,38,84.44444444,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,3,38,84.44444444,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,2,39,86.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,2,39,86.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,2,39,86.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,1,40,88.88888889,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,1,40,88.88888889,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,1,40,88.88888889,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,41,91.11111111,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,41,91.11111111,10,40,,,
,,,,,,,,,,
Target Class: bodytrack_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.005",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.05",4,1,38,1,11.36363636,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,1,37,2,13.63636364,10,40,,,
"Nu: 0.0001, Gamma: 0.1",4,1,32,7,25,10,40,,,
"Nu: 0.0001, Gamma: 0.2",5,0,30,9,31.81818182,10,40,,,
"Nu: 0.0001, Gamma: 0.5",4,1,13,26,68.18181818,10,40,,,
"Nu: 0.0001, Gamma: 0.7",5,0,12,27,72.72727273,10,40,,,
"Nu: 0.0001, Gamma: 0.9",5,0,7,32,84.09090909,10,40,,,
"Nu: 0.0001, Gamma: 0.99",5,0,4,35,90.90909091,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",2,3,21,18,45.45454545,10,40,,,
"Nu: 0.0002, Gamma: 0.005",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.05",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,1,37,2,13.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.1",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.2",5,0,30,9,31.81818182,10,40,,,
"Nu: 0.0002, Gamma: 0.5",4,1,13,26,68.18181818,10,40,,,
"Nu: 0.0002, Gamma: 0.7",4,1,10,29,75,10,40,,,
"Nu: 0.0002, Gamma: 0.9",5,0,7,32,84.09090909,10,40,,,
"Nu: 0.0002, Gamma: 0.99",5,0,4,35,90.90909091,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",2,3,21,18,45.45454545,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",2,3,21,18,45.45454545,10,40,,,
"Nu: 0.0003, Gamma: 0.005",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0003, Gamma: 0.05",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,1,37,2,13.63636364,10,40,,,
"Nu: 0.0003, Gamma: 0.1",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0003, Gamma: 0.2",5,0,30,9,31.81818182,10,40,,,
"Nu: 0.0003, Gamma: 0.5",5,0,15,24,65.90909091,10,40,,,
"Nu: 0.0003, Gamma: 0.7",4,1,10,29,75,10,40,,,
"Nu: 0.0003, Gamma: 0.9",4,1,7,32,81.81818182,10,40,,,
"Nu: 0.0003, Gamma: 0.99",5,0,4,35,90.90909091,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,39,88.63636364,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",2,3,21,18,45.45454545,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",2,3,21,18,45.45454545,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",2,3,21,18,45.45454545,10,40,,,
"Nu: 0.0004, Gamma: 0.005",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0004, Gamma: 0.05",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,1,37,2,13.63636364,10,40,,,
"Nu: 0.0004, Gamma: 0.1",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.2",4,1,30,9,29.54545455,10,40,,,
"Nu: 0.0004, Gamma: 0.5",5,0,15,24,65.90909091,10,40,,,
"Nu: 0.0004, Gamma: 0.7",5,0,10,29,77.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.9",4,1,7,32,81.81818182,10,40,,,
"Nu: 0.0004, Gamma: 0.99",5,0,4,35,90.90909091,10,40,,,
"Nu: 0.005, Gamma: 0.0001",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.0002",4,1,38,1,11.36363636,10,40,,,
"Nu: 0.005, Gamma: 0.0003",4,1,38,1,11.36363636,10,40,,,
"Nu: 0.005, Gamma: 0.0004",4,1,38,1,11.36363636,10,40,,,
"Nu: 0.005, Gamma: 0.005",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.0625",4,1,37,2,13.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.1",4,1,32,7,25,10,40,,,
"Nu: 0.005, Gamma: 0.2",4,1,30,9,29.54545455,10,40,,,
"Nu: 0.005, Gamma: 0.5",5,0,15,24,65.90909091,10,40,,,
"Nu: 0.005, Gamma: 0.7",5,0,10,29,77.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.9",5,0,7,32,84.09090909,10,40,,,
"Nu: 0.005, Gamma: 0.99",5,0,4,35,90.90909091,10,40,,,
"Nu: 0.05, Gamma: 0.0001",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.05, Gamma: 0.0002",5,0,38,1,13.63636364,10,40,,,
"Nu: 0.05, Gamma: 0.0003",4,1,38,1,11.36363636,10,40,,,
"Nu: 0.05, Gamma: 0.0004",4,1,38,1,11.36363636,10,40,,,
"Nu: 0.05, Gamma: 0.005",4,1,38,1,11.36363636,10,40,,,
"Nu: 0.05, Gamma: 0.05",4,1,32,7,25,10,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,32,7,27.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,30,9,31.81818182,10,40,,,
"Nu: 0.05, Gamma: 0.5",4,1,14,25,65.90909091,10,40,,,
"Nu: 0.05, Gamma: 0.7",5,0,9,30,79.54545455,10,40,,,
"Nu: 0.05, Gamma: 0.9",4,1,6,33,84.09090909,10,40,,,
"Nu: 0.05, Gamma: 0.99",4,1,4,35,88.63636364,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,1,32,7,25,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,1,32,7,25,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,1,32,7,25,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,1,33,6,22.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.005",4,1,33,6,22.72727273,10,40,,,
"Nu: 0.0625, Gamma: 0.05",4,1,27,12,36.36363636,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,1,27,12,36.36363636,10,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,31,8,29.54545455,10,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,30,9,31.81818182,10,40,,,
"Nu: 0.0625, Gamma: 0.5",5,0,14,25,68.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.7",5,0,9,30,79.54545455,10,40,,,
"Nu: 0.0625, Gamma: 0.9",5,0,6,33,86.36363636,10,40,,,
"Nu: 0.0625, Gamma: 0.99",4,1,5,34,86.36363636,10,40,,,
"Nu: 0.1, Gamma: 0.0001",4,1,27,12,36.36363636,10,40,,,
"Nu: 0.1, Gamma: 0.0002",4,1,28,11,34.09090909,10,40,,,
"Nu: 0.1, Gamma: 0.0003",4,1,28,11,34.09090909,10,40,,,
"Nu: 0.1, Gamma: 0.0004",4,1,28,11,34.09090909,10,40,,,
"Nu: 0.1, Gamma: 0.005",4,1,27,12,36.36363636,10,40,,,
"Nu: 0.1, Gamma: 0.05",4,1,26,13,38.63636364,10,40,,,
"Nu: 0.1, Gamma: 0.0625",4,1,26,13,38.63636364,10,40,,,
"Nu: 0.1, Gamma: 0.1",4,1,25,14,40.90909091,10,40,,,
"Nu: 0.1, Gamma: 0.2",4,1,21,18,50,10,40,,,
"Nu: 0.1, Gamma: 0.5",5,0,14,25,68.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.7",4,1,9,30,77.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.9",4,1,6,33,84.09090909,10,40,,,
"Nu: 0.1, Gamma: 0.99",4,1,4,35,88.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.0001",4,1,26,13,38.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.0002",4,1,26,13,38.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.0003",4,1,26,13,38.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.0004",4,1,26,13,38.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.005",4,1,26,13,38.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.05",4,1,25,14,40.90909091,10,40,,,
"Nu: 0.2, Gamma: 0.0625",4,1,25,14,40.90909091,10,40,,,
"Nu: 0.2, Gamma: 0.1",4,1,25,14,40.90909091,10,40,,,
"Nu: 0.2, Gamma: 0.2",4,1,20,19,52.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.5",4,1,10,29,75,10,40,,,
"Nu: 0.2, Gamma: 0.7",4,1,6,33,84.09090909,10,40,,,
"Nu: 0.2, Gamma: 0.9",4,1,4,35,88.63636364,10,40,,,
"Nu: 0.2, Gamma: 0.99",4,1,1,38,95.45454545,10,40,,,
"Nu: 0.5, Gamma: 0.0001",2,3,19,20,50,10,40,,,
"Nu: 0.5, Gamma: 0.0002",2,3,19,20,50,10,40,,,
"Nu: 0.5, Gamma: 0.0003",2,3,19,20,50,10,40,,,
"Nu: 0.5, Gamma: 0.0004",2,3,19,20,50,10,40,,,
"Nu: 0.5, Gamma: 0.005",2,3,19,20,50,10,40,,,
"Nu: 0.5, Gamma: 0.05",2,3,18,21,52.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.0625",2,3,18,21,52.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.1",2,3,19,20,50,10,40,,,
"Nu: 0.5, Gamma: 0.2",2,3,13,26,63.63636364,10,40,,,
"Nu: 0.5, Gamma: 0.5",3,2,7,32,79.54545455,10,40,,,
"Nu: 0.5, Gamma: 0.7",4,1,3,36,90.90909091,10,40,,,
"Nu: 0.5, Gamma: 0.9",4,1,1,38,95.45454545,10,40,,,
"Nu: 0.5, Gamma: 0.99",4,1,1,38,95.45454545,10,40,,,
"Nu: 0.7, Gamma: 0.0001",1,4,13,26,61.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.0002",1,4,13,26,61.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.0003",1,4,13,26,61.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.0004",1,4,13,26,61.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.005",1,4,13,26,61.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.05",1,4,11,28,65.90909091,10,40,,,
"Nu: 0.7, Gamma: 0.0625",1,4,11,28,65.90909091,10,40,,,
"Nu: 0.7, Gamma: 0.1",2,3,10,29,70.45454545,10,40,,,
"Nu: 0.7, Gamma: 0.2",2,3,7,32,77.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.5",2,3,3,36,86.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.7",2,3,3,36,86.36363636,10,40,,,
"Nu: 0.7, Gamma: 0.9",2,3,1,38,90.90909091,10,40,,,
"Nu: 0.7, Gamma: 0.99",2,3,1,38,90.90909091,10,40,,,
"Nu: 0.9, Gamma: 0.0001",1,4,8,31,72.72727273,10,40,,,
"Nu: 0.9, Gamma: 0.0002",1,4,8,31,72.72727273,10,40,,,
"Nu: 0.9, Gamma: 0.0003",1,4,8,31,72.72727273,10,40,,,
"Nu: 0.9, Gamma: 0.0004",1,4,8,31,72.72727273,10,40,,,
"Nu: 0.9, Gamma: 0.005",1,4,8,31,72.72727273,10,40,,,
"Nu: 0.9, Gamma: 0.05",1,4,7,32,75,10,40,,,
"Nu: 0.9, Gamma: 0.0625",1,4,6,33,77.27272727,10,40,,,
"Nu: 0.9, Gamma: 0.1",1,4,6,33,77.27272727,10,40,,,
"Nu: 0.9, Gamma: 0.2",1,4,3,36,84.09090909,10,40,,,
"Nu: 0.9, Gamma: 0.5",1,4,0,39,90.90909091,10,40,,,
"Nu: 0.9, Gamma: 0.7",1,4,0,39,90.90909091,10,40,,,
"Nu: 0.9, Gamma: 0.9",1,4,0,39,90.90909091,10,40,,,
