Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,212
"Nu: 0.05, Gamma: 0.5",3,1,11,30,73.33333333,0,40,,,
"Nu: 0.05, Gamma: 0.7",3,1,10,31,75.55555556,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,9,32,77.77777778,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,6,35,84.44444444,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",1,3,9,32,73.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",2,2,19,22,53.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,1,24,17,44.44444444,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,2,24,17,42.22222222,0,40,,,
"Nu: 0.0625, Gamma: 0.005",2,2,31,10,26.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.05",2,2,30,11,28.88888889,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",2,2,30,11,28.88888889,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,1,26,15,40,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,23,18,46.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,1,11,30,73.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,1,10,31,75.55555556,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,9,32,77.77777778,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,5,36,86.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,27,14,37.77777778,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,29,12,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,29,12,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,2,31,10,26.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,2,31,10,26.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,2,30,11,28.88888889,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,2,30,11,28.88888889,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,27,14,37.77777778,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,1,23,18,46.66666667,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,1,11,30,73.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,10,31,75.55555556,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,1,9,32,77.77777778,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,5,36,86.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0001",2,2,24,17,42.22222222,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,28,13,35.55555556,0,40,,,
"Nu: 0.2, Gamma: 0.0003",2,2,31,10,26.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,2,31,10,26.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,2,31,10,26.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,2,30,11,28.88888889,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,2,30,11,28.88888889,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,2,27,14,35.55555556,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,20,21,53.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.5",3,1,11,30,73.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,1,10,31,75.55555556,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,1,9,32,77.77777778,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,1,7,34,82.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,17,24,57.77777778,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,19,22,53.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,19,22,53.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,19,22,53.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,19,22,53.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,19,22,53.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,18,23,55.55555556,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,16,25,60,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,11,30,71.11111111,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,8,33,77.77777778,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,2,39,88.88888889,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,2,39,88.88888889,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,2,39,88.88888889,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,16,25,57.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,16,25,57.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,13,28,64.44444444,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,13,28,64.44444444,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,13,28,64.44444444,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,13,28,64.44444444,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,12,29,66.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,9,32,73.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,6,35,80,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,2,39,88.88888889,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,2,39,88.88888889,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,2,39,88.88888889,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,1,40,91.11111111,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,3,2,39,88.88888889,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,3,2,39,88.88888889,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,1,40,88.88888889,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,1,40,88.88888889,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,1,40,91.11111111,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,1,40,91.11111111,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,0,41,93.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,0,41,93.33333333,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,1,40,88.88888889,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,0,41,91.11111111,0,40,,,
