Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.5",5,0,46,2,13.20754716981132,0,40,
"Nu: 0.05, Gamma: 0.7",4,1,32,16,37.735849056603776,0,40,
"Nu: 0.05, Gamma: 0.9",4,1,29,19,43.39622641509434,0,40,
"Nu: 0.05, Gamma: 0.99",4,1,27,21,47.16981132075472,0,40,
"Nu: 0.0625, Gamma: 0.0001",1,4,30,18,35.84905660377358,0,40,
"Nu: 0.0625, Gamma: 0.0002",4,1,42,6,18.867924528301888,0,40,
"Nu: 0.0625, Gamma: 0.0003",5,0,42,6,20.754716981132077,0,40,
"Nu: 0.0625, Gamma: 0.0004",5,0,42,6,20.754716981132077,0,40,
"Nu: 0.0625, Gamma: 0.005",5,0,42,6,20.754716981132077,0,40,
"Nu: 0.0625, Gamma: 0.05",5,0,42,6,20.754716981132077,0,40,
"Nu: 0.0625, Gamma: 0.0625",5,0,42,6,20.754716981132077,0,40,
"Nu: 0.0625, Gamma: 0.1",5,0,42,6,20.754716981132077,0,40,
"Nu: 0.0625, Gamma: 0.2",5,0,42,6,20.754716981132077,0,40,
"Nu: 0.0625, Gamma: 0.5",5,0,46,2,13.20754716981132,0,40,
"Nu: 0.0625, Gamma: 0.7",4,1,32,16,37.735849056603776,0,40,
"Nu: 0.0625, Gamma: 0.9",4,1,30,18,41.509433962264154,0,40,
"Nu: 0.0625, Gamma: 0.99",4,1,27,21,47.16981132075472,0,40,
"Nu: 0.1, Gamma: 0.0001",3,2,41,7,18.867924528301888,0,40,
"Nu: 0.1, Gamma: 0.0002",4,1,42,6,18.867924528301888,0,40,
"Nu: 0.1, Gamma: 0.0003",4,1,42,6,18.867924528301888,0,40,
"Nu: 0.1, Gamma: 0.0004",4,1,42,6,18.867924528301888,0,40,
"Nu: 0.1, Gamma: 0.005",4,1,42,6,18.867924528301888,0,40,
"Nu: 0.1, Gamma: 0.05",4,1,42,6,18.867924528301888,0,40,
"Nu: 0.1, Gamma: 0.0625",4,1,42,6,18.867924528301888,0,40,
"Nu: 0.1, Gamma: 0.1",4,1,42,6,18.867924528301888,0,40,
"Nu: 0.1, Gamma: 0.2",5,0,42,6,20.754716981132077,0,40,
"Nu: 0.1, Gamma: 0.5",5,0,41,7,22.641509433962266,0,40,
"Nu: 0.1, Gamma: 0.7",4,1,28,20,45.28301886792453,0,40,
"Nu: 0.1, Gamma: 0.9",4,1,25,23,50.943396226415096,0,40,
"Nu: 0.1, Gamma: 0.99",4,1,24,24,52.83018867924528,0,40,
"Nu: 0.2, Gamma: 0.0001",2,3,34,14,30.18867924528302,0,40,
"Nu: 0.2, Gamma: 0.0002",2,3,34,14,30.18867924528302,0,40,
"Nu: 0.2, Gamma: 0.0003",2,3,34,14,30.18867924528302,0,40,
"Nu: 0.2, Gamma: 0.0004",2,3,34,14,30.18867924528302,0,40,
"Nu: 0.2, Gamma: 0.005",2,3,33,15,32.075471698113205,0,40,
"Nu: 0.2, Gamma: 0.05",2,3,24,24,49.056603773584904,0,40,
"Nu: 0.2, Gamma: 0.0625",2,3,24,24,49.056603773584904,0,40,
"Nu: 0.2, Gamma: 0.1",2,3,24,24,49.056603773584904,0,40,
"Nu: 0.2, Gamma: 0.2",2,3,24,24,49.056603773584904,0,40,
"Nu: 0.2, Gamma: 0.5",2,3,38,10,22.641509433962266,0,40,
"Nu: 0.2, Gamma: 0.7",3,2,33,15,33.9622641509434,0,40,
"Nu: 0.2, Gamma: 0.9",3,2,26,22,47.16981132075472,0,40,
"Nu: 0.2, Gamma: 0.99",3,2,25,23,49.056603773584904,0,40,
"Nu: 0.5, Gamma: 0.0001",1,4,21,27,52.83018867924528,0,40,
"Nu: 0.5, Gamma: 0.0002",1,4,20,28,54.71698113207547,0,40,
"Nu: 0.5, Gamma: 0.0003",1,4,20,28,54.71698113207547,0,40,
"Nu: 0.5, Gamma: 0.0004",1,4,20,28,54.71698113207547,0,40,
"Nu: 0.5, Gamma: 0.005",1,4,21,27,52.83018867924528,0,40,
"Nu: 0.5, Gamma: 0.05",1,4,21,27,52.83018867924528,0,40,
"Nu: 0.5, Gamma: 0.0625",1,4,21,27,52.83018867924528,0,40,
"Nu: 0.5, Gamma: 0.1",2,3,21,27,54.71698113207547,0,40,
"Nu: 0.5, Gamma: 0.2",2,3,20,28,56.60377358490566,0,40,
"Nu: 0.5, Gamma: 0.5",2,3,21,27,54.71698113207547,0,40,
"Nu: 0.5, Gamma: 0.7",2,3,19,29,58.490566037735846,0,40,
"Nu: 0.5, Gamma: 0.9",2,3,18,30,60.37735849056604,0,40,
"Nu: 0.5, Gamma: 0.99",2,3,17,31,62.264150943396224,0,40,
"Nu: 0.7, Gamma: 0.0001",1,4,20,28,54.71698113207547,0,40,
"Nu: 0.7, Gamma: 0.0002",1,4,20,28,54.71698113207547,0,40,
"Nu: 0.7, Gamma: 0.0003",1,4,13,35,67.9245283018868,0,40,
"Nu: 0.7, Gamma: 0.0004",1,4,13,35,67.9245283018868,0,40,
"Nu: 0.7, Gamma: 0.005",1,4,15,33,64.15094339622641,0,40,
