Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.20143885,26
"Nu: 0.05, Gamma: 0.5",10,0,19,249,93.16546763,0,40,,,
"Nu: 0.05, Gamma: 0.7",10,0,14,254,94.96402878,0,40,,,
"Nu: 0.05, Gamma: 0.9",10,0,13,255,95.32374101,0,40,,,
"Nu: 0.05, Gamma: 0.99",10,0,11,257,96.04316547,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",9,1,265,3,4.316546763,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",9,1,265,3,4.316546763,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",9,1,265,3,4.316546763,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",9,1,265,3,4.316546763,0,40,,,
"Nu: 0.0625, Gamma: 0.005",9,1,263,5,5.035971223,0,40,,,
"Nu: 0.0625, Gamma: 0.05",9,1,250,18,9.712230216,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",9,1,247,21,10.79136691,0,40,,,
"Nu: 0.0625, Gamma: 0.1",9,1,221,47,20.14388489,0,40,,,
"Nu: 0.0625, Gamma: 0.2",10,0,143,125,48.56115108,0,40,,,
"Nu: 0.0625, Gamma: 0.5",10,0,19,249,93.16546763,0,40,,,
"Nu: 0.0625, Gamma: 0.7",10,0,14,254,94.96402878,0,40,,,
"Nu: 0.0625, Gamma: 0.9",10,0,13,255,95.32374101,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,0,13,255,95.32374101,0,40,,,
"Nu: 0.1, Gamma: 0.0001",6,4,217,51,20.50359712,0,40,,,
"Nu: 0.1, Gamma: 0.0002",6,4,217,51,20.50359712,0,40,,,
"Nu: 0.1, Gamma: 0.0003",9,1,240,28,13.30935252,0,40,,,
"Nu: 0.1, Gamma: 0.0004",9,1,240,28,13.30935252,0,40,,,
"Nu: 0.1, Gamma: 0.005",9,1,239,29,13.66906475,0,40,,,
