Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.91281604,421
"Nu: 0.9, Gamma: 0.9",12,102,0,116,55.65217391,0,40,,,
"Nu: 0.9, Gamma: 0.99",12,102,0,116,55.65217391,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,112,0,116,51.30434783,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,114,0,116,50.43478261,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,114,0,116,50.43478261,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",9,3,1110,25,2.964254577,10,40,,,
"Nu: 0.0001, Gamma: 0.005",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0001, Gamma: 0.2",12,0,1042,93,9.154315606,10,40,,,
"Nu: 0.0001, Gamma: 0.5",11,1,24,1111,97.82040105,10,40,,,
"Nu: 0.0001, Gamma: 0.7",11,1,12,1123,98.86660854,10,40,,,
"Nu: 0.0001, Gamma: 0.9",11,1,6,1129,99.38971229,10,40,,,
"Nu: 0.0001, Gamma: 0.99",11,1,6,1129,99.38971229,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",9,3,1110,25,2.964254577,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0002, Gamma: 0.005",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,1041,94,9.241499564,10,40,,,
"Nu: 0.0002, Gamma: 0.5",11,1,26,1109,97.64603313,10,40,,,
"Nu: 0.0002, Gamma: 0.7",11,1,12,1123,98.86660854,10,40,,,
"Nu: 0.0002, Gamma: 0.9",11,1,7,1128,99.30252833,10,40,,,
"Nu: 0.0002, Gamma: 0.99",11,1,7,1128,99.30252833,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",9,3,1067,68,6.713164778,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0003, Gamma: 0.005",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,1045,90,8.892763731,10,40,,,
"Nu: 0.0003, Gamma: 0.5",11,1,26,1109,97.64603313,10,40,,,
"Nu: 0.0003, Gamma: 0.7",11,1,12,1123,98.86660854,10,40,,,
"Nu: 0.0003, Gamma: 0.9",11,1,6,1129,99.38971229,10,40,,,
"Nu: 0.0003, Gamma: 0.99",11,1,7,1128,99.30252833,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",8,4,1038,97,9.154315606,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.0004, Gamma: 0.1",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.0004, Gamma: 0.2",12,0,1046,89,8.805579773,10,40,,,
"Nu: 0.0004, Gamma: 0.5",11,1,26,1109,97.64603313,10,40,,,
"Nu: 0.0004, Gamma: 0.7",11,1,11,1124,98.9537925,10,40,,,
"Nu: 0.0004, Gamma: 0.9",11,1,6,1129,99.38971229,10,40,,,
"Nu: 0.0004, Gamma: 0.99",11,1,7,1128,99.30252833,10,40,,,
"Nu: 0.005, Gamma: 0.0001",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.005, Gamma: 0.0002",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.005, Gamma: 0.0003",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,1135,0,1.046207498,10,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,1134,1,1.133391456,10,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,944,191,17.6983435,10,40,,,
"Nu: 0.005, Gamma: 0.5",11,1,25,1110,97.73321709,10,40,,,
"Nu: 0.005, Gamma: 0.7",11,1,12,1123,98.86660854,10,40,,,
"Nu: 0.005, Gamma: 0.9",11,1,7,1128,99.30252833,10,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,7,1128,99.30252833,10,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,1128,7,1.656495205,10,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,1127,8,1.743679163,10,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,829,306,27.72449869,10,40,,,
"Nu: 0.05, Gamma: 0.5",11,1,3,1132,99.65126417,10,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,0,1135,99.91281604,10,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,7,1128,99.30252833,10,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,7,1128,99.30252833,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,1129,6,1.569311247,10,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,1128,7,1.656495205,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,1128,7,1.656495205,10,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,1125,10,1.918047079,10,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,860,275,25.02179599,10,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,5,1130,99.47689625,10,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,0,1135,99.91281604,10,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,0,1135,99.91281604,10,40,,,
"Nu: 0.0625, Gamma: 0.99",11,1,1,1134,99.82563208,10,40,,,
"Nu: 0.1, Gamma: 0.0001",12,0,1126,9,1.830863121,10,40,,,
"Nu: 0.1, Gamma: 0.0002",12,0,1126,9,1.830863121,10,40,,,
"Nu: 0.1, Gamma: 0.0003",12,0,1126,9,1.830863121,10,40,,,
"Nu: 0.1, Gamma: 0.0004",12,0,1126,9,1.830863121,10,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,1126,9,1.830863121,10,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,1121,14,2.266782912,10,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,1120,15,2.35396687,10,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,1115,20,2.789886661,10,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,737,398,35.74542284,10,40,,,
"Nu: 0.1, Gamma: 0.5",11,1,8,1127,99.21534438,10,40,,,
"Nu: 0.1, Gamma: 0.7",11,1,0,1135,99.91281604,10,40,,,
"Nu: 0.1, Gamma: 0.9",11,1,0,1135,99.91281604,10,40,,,
"Nu: 0.1, Gamma: 0.99",11,1,0,1135,99.91281604,10,40,,,
"Nu: 0.2, Gamma: 0.0001",9,3,845,290,26.06800349,10,40,,,
"Nu: 0.2, Gamma: 0.0002",9,3,845,290,26.06800349,10,40,,,
"Nu: 0.2, Gamma: 0.0003",9,3,845,290,26.06800349,10,40,,,
"Nu: 0.2, Gamma: 0.0004",9,3,850,285,25.6320837,10,40,,,
"Nu: 0.2, Gamma: 0.005",9,3,834,301,27.02702703,10,40,,,
"Nu: 0.2, Gamma: 0.05",9,3,717,418,37.22755013,10,40,,,
"Nu: 0.2, Gamma: 0.0625",9,3,679,456,40.54054054,10,40,,,
"Nu: 0.2, Gamma: 0.1",9,3,536,599,53.00784656,10,40,,,
"Nu: 0.2, Gamma: 0.2",9,3,7,1128,99.12816042,10,40,,,
"Nu: 0.2, Gamma: 0.5",10,2,0,1135,99.82563208,10,40,,,
"Nu: 0.2, Gamma: 0.7",10,2,0,1135,99.82563208,10,40,,,
"Nu: 0.2, Gamma: 0.9",10,2,0,1135,99.82563208,10,40,,,
"Nu: 0.2, Gamma: 0.99",10,2,0,1135,99.82563208,10,40,,,
"Nu: 0.5, Gamma: 0.0001",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.0002",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.0003",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.0004",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.005",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.05",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.0625",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.1",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.2",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.5",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.7",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.5, Gamma: 0.9",7,5,0,1135,99.56408021,10,40,,,
"Nu: 0.5, Gamma: 0.99",7,5,0,1135,99.56408021,10,40,,,
"Nu: 0.7, Gamma: 0.0001",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.0002",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.0003",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.0004",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.005",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.05",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.0625",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.1",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.2",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.5",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.7",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.9",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.7, Gamma: 0.99",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.9, Gamma: 0.0001",4,8,0,1135,99.30252833,10,40,,,
"Nu: 0.9, Gamma: 0.0002",4,8,0,1135,99.30252833,10,40,,,
"Nu: 0.9, Gamma: 0.0003",4,8,0,1135,99.30252833,10,40,,,
"Nu: 0.9, Gamma: 0.0004",4,8,0,1135,99.30252833,10,40,,,
"Nu: 0.9, Gamma: 0.005",4,8,0,1135,99.30252833,10,40,,,
"Nu: 0.9, Gamma: 0.05",5,7,0,1135,99.38971229,10,40,,,
"Nu: 0.9, Gamma: 0.0625",5,7,0,1135,99.38971229,10,40,,,
"Nu: 0.9, Gamma: 0.1",5,7,0,1135,99.38971229,10,40,,,
"Nu: 0.9, Gamma: 0.2",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.9, Gamma: 0.5",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.9, Gamma: 0.7",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.9, Gamma: 0.9",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.9, Gamma: 0.99",6,6,0,1135,99.47689625,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,1135,98.9537925,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,1135,98.9537925,10,40,,,
,,,,,,,,,,
Target Class: streamcluster_dropped,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",114,0,109,7,52.60869565,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",114,0,109,7,52.60869565,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",114,0,109,7,52.60869565,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",114,0,109,7,52.60869565,10,40,,,
"Nu: 0.0001, Gamma: 0.005",114,0,107,9,53.47826087,10,40,,,
"Nu: 0.0001, Gamma: 0.05",114,0,107,9,53.47826087,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0001, Gamma: 0.1",114,0,105,11,54.34782609,10,40,,,
"Nu: 0.0001, Gamma: 0.2",114,0,103,13,55.2173913,10,40,,,
"Nu: 0.0001, Gamma: 0.5",114,0,68,48,70.43478261,10,40,,,
"Nu: 0.0001, Gamma: 0.7",114,0,40,76,82.60869565,10,40,,,
"Nu: 0.0001, Gamma: 0.9",114,0,27,89,88.26086957,10,40,,,
"Nu: 0.0001, Gamma: 0.99",114,0,25,91,89.13043478,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0002, Gamma: 0.005",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0002, Gamma: 0.05",114,0,107,9,53.47826087,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",114,0,107,9,53.47826087,10,40,,,
"Nu: 0.0002, Gamma: 0.1",114,0,104,12,54.7826087,10,40,,,
"Nu: 0.0002, Gamma: 0.2",114,0,102,14,55.65217391,10,40,,,
"Nu: 0.0002, Gamma: 0.5",114,0,68,48,70.43478261,10,40,,,
"Nu: 0.0002, Gamma: 0.7",114,0,40,76,82.60869565,10,40,,,
"Nu: 0.0002, Gamma: 0.9",114,0,27,89,88.26086957,10,40,,,
"Nu: 0.0002, Gamma: 0.99",114,0,24,92,89.56521739,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0003, Gamma: 0.005",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0003, Gamma: 0.05",114,0,108,8,53.04347826,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",114,0,107,9,53.47826087,10,40,,,
"Nu: 0.0003, Gamma: 0.1",114,0,104,12,54.7826087,10,40,,,
"Nu: 0.0003, Gamma: 0.2",114,0,103,13,55.2173913,10,40,,,
"Nu: 0.0003, Gamma: 0.5",114,0,68,48,70.43478261,10,40,,,
"Nu: 0.0003, Gamma: 0.7",114,0,40,76,82.60869565,10,40,,,
"Nu: 0.0003, Gamma: 0.9",114,0,27,89,88.26086957,10,40,,,
"Nu: 0.0003, Gamma: 0.99",114,0,25,91,89.13043478,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",114,0,107,9,53.47826087,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",114,0,107,9,53.47826087,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",114,0,107,9,53.47826087,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",114,0,106,10,53.91304348,10,40,,,
"Nu: 0.0004, Gamma: 0.005",114,0,106,10,53.91304348,10,40,,,
"Nu: 0.0004, Gamma: 0.05",114,0,107,9,53.47826087,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",114,0,106,10,53.91304348,10,40,,,
"Nu: 0.0004, Gamma: 0.1",114,0,104,12,54.7826087,10,40,,,
"Nu: 0.0004, Gamma: 0.2",114,0,102,14,55.65217391,10,40,,,
"Nu: 0.0004, Gamma: 0.5",114,0,66,50,71.30434783,10,40,,,
"Nu: 0.0004, Gamma: 0.7",114,0,39,77,83.04347826,10,40,,,
"Nu: 0.0004, Gamma: 0.9",114,0,25,91,89.13043478,10,40,,,
"Nu: 0.0004, Gamma: 0.99",114,0,24,92,89.56521739,10,40,,,
"Nu: 0.005, Gamma: 0.0001",114,0,102,14,55.65217391,10,40,,,
"Nu: 0.005, Gamma: 0.0002",114,0,102,14,55.65217391,10,40,,,
"Nu: 0.005, Gamma: 0.0003",114,0,102,14,55.65217391,10,40,,,
"Nu: 0.005, Gamma: 0.0004",114,0,102,14,55.65217391,10,40,,,
"Nu: 0.005, Gamma: 0.005",114,0,102,14,55.65217391,10,40,,,
"Nu: 0.005, Gamma: 0.05",114,0,102,14,55.65217391,10,40,,,
"Nu: 0.005, Gamma: 0.0625",114,0,102,14,55.65217391,10,40,,,
"Nu: 0.005, Gamma: 0.1",114,0,101,15,56.08695652,10,40,,,
"Nu: 0.005, Gamma: 0.2",114,0,85,31,63.04347826,10,40,,,
"Nu: 0.005, Gamma: 0.5",114,0,26,90,88.69565217,10,40,,,
"Nu: 0.005, Gamma: 0.7",114,0,22,94,90.43478261,10,40,,,
"Nu: 0.005, Gamma: 0.9",114,0,18,98,92.17391304,10,40,,,
"Nu: 0.005, Gamma: 0.99",114,0,18,98,92.17391304,10,40,,,
"Nu: 0.05, Gamma: 0.0001",109,5,51,65,75.65217391,10,40,,,
"Nu: 0.05, Gamma: 0.0002",109,5,51,65,75.65217391,10,40,,,
"Nu: 0.05, Gamma: 0.0003",109,5,51,65,75.65217391,10,40,,,
"Nu: 0.05, Gamma: 0.0004",109,5,51,65,75.65217391,10,40,,,
"Nu: 0.05, Gamma: 0.005",109,5,51,65,75.65217391,10,40,,,
"Nu: 0.05, Gamma: 0.05",109,5,44,72,78.69565217,10,40,,,
"Nu: 0.05, Gamma: 0.0625",109,5,42,74,79.56521739,10,40,,,
"Nu: 0.05, Gamma: 0.1",109,5,32,84,83.91304348,10,40,,,
"Nu: 0.05, Gamma: 0.2",108,6,17,99,90,10,40,,,
"Nu: 0.05, Gamma: 0.5",106,8,1,115,96.08695652,10,40,,,
"Nu: 0.05, Gamma: 0.7",108,6,1,115,96.95652174,10,40,,,
"Nu: 0.05, Gamma: 0.9",109,5,1,115,97.39130435,10,40,,,
"Nu: 0.05, Gamma: 0.99",110,4,1,115,97.82608696,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",107,7,38,78,80.43478261,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",107,7,39,77,80,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",107,7,39,77,80,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",107,7,39,77,80,10,40,,,
"Nu: 0.0625, Gamma: 0.005",107,7,38,78,80.43478261,10,40,,,
"Nu: 0.0625, Gamma: 0.05",107,7,29,87,84.34782609,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",107,7,26,90,85.65217391,10,40,,,
"Nu: 0.0625, Gamma: 0.1",108,6,21,95,88.26086957,10,40,,,
"Nu: 0.0625, Gamma: 0.2",107,7,15,101,90.43478261,10,40,,,
"Nu: 0.0625, Gamma: 0.5",106,8,1,115,96.08695652,10,40,,,
"Nu: 0.0625, Gamma: 0.7",106,8,1,115,96.08695652,10,40,,,
"Nu: 0.0625, Gamma: 0.9",107,7,1,115,96.52173913,10,40,,,
"Nu: 0.0625, Gamma: 0.99",107,7,1,115,96.52173913,10,40,,,
"Nu: 0.1, Gamma: 0.0001",103,11,7,109,92.17391304,10,40,,,
"Nu: 0.1, Gamma: 0.0002",103,11,7,109,92.17391304,10,40,,,
"Nu: 0.1, Gamma: 0.0003",103,11,7,109,92.17391304,10,40,,,
"Nu: 0.1, Gamma: 0.0004",103,11,7,109,92.17391304,10,40,,,
"Nu: 0.1, Gamma: 0.005",103,11,7,109,92.17391304,10,40,,,
"Nu: 0.1, Gamma: 0.05",103,11,4,112,93.47826087,10,40,,,
"Nu: 0.1, Gamma: 0.0625",103,11,3,113,93.91304348,10,40,,,
"Nu: 0.1, Gamma: 0.1",104,10,2,114,94.7826087,10,40,,,
"Nu: 0.1, Gamma: 0.2",104,10,2,114,94.7826087,10,40,,,
"Nu: 0.1, Gamma: 0.5",104,10,1,115,95.2173913,10,40,,,
"Nu: 0.1, Gamma: 0.7",103,11,1,115,94.7826087,10,40,,,
"Nu: 0.1, Gamma: 0.9",104,10,1,115,95.2173913,10,40,,,
"Nu: 0.1, Gamma: 0.99",104,10,1,115,95.2173913,10,40,,,
"Nu: 0.2, Gamma: 0.0001",92,22,0,116,90.43478261,10,40,,,
"Nu: 0.2, Gamma: 0.0002",92,22,0,116,90.43478261,10,40,,,
"Nu: 0.2, Gamma: 0.0003",92,22,0,116,90.43478261,10,40,,,
"Nu: 0.2, Gamma: 0.0004",92,22,0,116,90.43478261,10,40,,,
"Nu: 0.2, Gamma: 0.005",92,22,0,116,90.43478261,10,40,,,
"Nu: 0.2, Gamma: 0.05",92,22,0,116,90.43478261,10,40,,,
"Nu: 0.2, Gamma: 0.0625",92,22,0,116,90.43478261,10,40,,,
"Nu: 0.2, Gamma: 0.1",92,22,0,116,90.43478261,10,40,,,
"Nu: 0.2, Gamma: 0.2",93,21,0,116,90.86956522,10,40,,,
"Nu: 0.2, Gamma: 0.5",94,20,0,116,91.30434783,10,40,,,
"Nu: 0.2, Gamma: 0.7",96,18,0,116,92.17391304,10,40,,,
"Nu: 0.2, Gamma: 0.9",98,16,0,116,93.04347826,10,40,,,
"Nu: 0.2, Gamma: 0.99",98,16,0,116,93.04347826,10,40,,,
"Nu: 0.5, Gamma: 0.0001",67,47,0,116,79.56521739,10,40,,,
"Nu: 0.5, Gamma: 0.0002",67,47,0,116,79.56521739,10,40,,,
"Nu: 0.5, Gamma: 0.0003",67,47,0,116,79.56521739,10,40,,,
"Nu: 0.5, Gamma: 0.0004",67,47,0,116,79.56521739,10,40,,,
"Nu: 0.5, Gamma: 0.005",67,47,0,116,79.56521739,10,40,,,
"Nu: 0.5, Gamma: 0.05",67,47,0,116,79.56521739,10,40,,,
"Nu: 0.5, Gamma: 0.0625",67,47,0,116,79.56521739,10,40,,,
"Nu: 0.5, Gamma: 0.1",67,47,0,116,79.56521739,10,40,,,
"Nu: 0.5, Gamma: 0.2",69,45,0,116,80.43478261,10,40,,,
"Nu: 0.5, Gamma: 0.5",69,45,0,116,80.43478261,10,40,,,
"Nu: 0.5, Gamma: 0.7",70,44,0,116,80.86956522,10,40,,,
"Nu: 0.5, Gamma: 0.9",70,44,0,116,80.86956522,10,40,,,
"Nu: 0.5, Gamma: 0.99",70,44,0,116,80.86956522,10,40,,,
"Nu: 0.7, Gamma: 0.0001",46,68,0,116,70.43478261,10,40,,,
"Nu: 0.7, Gamma: 0.0002",47,67,0,116,70.86956522,10,40,,,
"Nu: 0.7, Gamma: 0.0003",46,68,0,116,70.43478261,10,40,,,
"Nu: 0.7, Gamma: 0.0004",47,67,0,116,70.86956522,10,40,,,
"Nu: 0.7, Gamma: 0.005",47,67,0,116,70.86956522,10,40,,,
"Nu: 0.7, Gamma: 0.05",47,67,0,116,70.86956522,10,40,,,
"Nu: 0.7, Gamma: 0.0625",47,67,0,116,70.86956522,10,40,,,
"Nu: 0.7, Gamma: 0.1",47,67,0,116,70.86956522,10,40,,,
"Nu: 0.7, Gamma: 0.2",48,66,0,116,71.30434783,10,40,,,
"Nu: 0.7, Gamma: 0.5",51,63,0,116,72.60869565,10,40,,,
"Nu: 0.7, Gamma: 0.7",51,63,0,116,72.60869565,10,40,,,
"Nu: 0.7, Gamma: 0.9",51,63,0,116,72.60869565,10,40,,,
