Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.91281604,421
"Nu: 0.05, Gamma: 0.1",11,1,1119,16,2.35396687,0,40,,,
"Nu: 0.05, Gamma: 0.2",10,2,476,659,58.326068,0,40,,,
"Nu: 0.05, Gamma: 0.5",11,1,13,1122,98.77942459,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,6,1129,99.38971229,0,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,3,1132,99.65126417,0,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,6,1129,99.38971229,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",11,1,1127,8,1.656495205,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",11,1,1127,8,1.656495205,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",11,1,1127,8,1.656495205,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",11,1,1127,8,1.656495205,0,40,,,
"Nu: 0.0625, Gamma: 0.005",11,1,1126,9,1.743679163,0,40,,,
"Nu: 0.0625, Gamma: 0.05",10,2,1120,15,2.179598954,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",10,2,1116,19,2.528334786,0,40,,,
"Nu: 0.0625, Gamma: 0.1",10,2,1106,29,3.400174368,0,40,,,
"Nu: 0.0625, Gamma: 0.2",10,2,634,501,44.55100262,0,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,15,1120,98.60505667,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,8,1127,99.21534438,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,2,1133,99.73844813,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,2,0,1135,99.82563208,0,40,,,
"Nu: 0.1, Gamma: 0.0001",10,2,1120,15,2.179598954,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,2,1120,15,2.179598954,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,2,1089,46,4.882301656,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,2,1089,46,4.882301656,0,40,,,
"Nu: 0.1, Gamma: 0.005",10,2,1088,47,4.969485615,0,40,,,
"Nu: 0.1, Gamma: 0.05",10,2,1079,56,5.754141238,0,40,,,
"Nu: 0.1, Gamma: 0.0625",10,2,1075,60,6.102877071,0,40,,,
"Nu: 0.1, Gamma: 0.1",10,2,1056,79,7.759372276,0,40,,,
"Nu: 0.1, Gamma: 0.2",10,2,513,622,55.10026155,0,40,,,
"Nu: 0.1, Gamma: 0.5",10,2,2,1133,99.65126417,0,40,,,
"Nu: 0.1, Gamma: 0.7",10,2,11,1124,98.86660854,0,40,,,
"Nu: 0.1, Gamma: 0.9",10,2,7,1128,99.21534438,0,40,,,
"Nu: 0.1, Gamma: 0.99",10,2,6,1129,99.30252833,0,40,,,
"Nu: 0.2, Gamma: 0.0001",10,2,947,188,17.26242371,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,947,188,17.26242371,0,40,,,
"Nu: 0.2, Gamma: 0.0003",8,4,786,349,31.12467306,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,4,785,350,31.21185702,0,40,,,
"Nu: 0.2, Gamma: 0.005",10,2,853,282,25.45771578,0,40,,,
"Nu: 0.2, Gamma: 0.05",10,2,712,423,37.75065388,0,40,,,
"Nu: 0.2, Gamma: 0.0625",10,2,701,434,38.70967742,0,40,,,
"Nu: 0.2, Gamma: 0.1",10,2,633,502,44.63818657,0,40,,,
"Nu: 0.2, Gamma: 0.2",10,2,42,1093,96.16390584,0,40,,,
"Nu: 0.2, Gamma: 0.5",9,3,0,1135,99.73844813,0,40,,,
"Nu: 0.2, Gamma: 0.7",9,3,0,1135,99.73844813,0,40,,,
"Nu: 0.2, Gamma: 0.9",9,3,0,1135,99.73844813,0,40,,,
"Nu: 0.2, Gamma: 0.99",9,3,0,1135,99.73844813,0,40,,,
