Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.92657856,104
"Nu: 0.0001, Gamma: 0.0001",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0001, Gamma: 0.05",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0001, Gamma: 0.1",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0001, Gamma: 0.2",22,1,1294,45,4.919236417,0,40,,,
"Nu: 0.0001, Gamma: 0.5",22,1,946,393,30.46989721,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,22,418,921,67.69456681,0,40,,,
"Nu: 0.0001, Gamma: 0.9",1,22,182,1157,85.02202643,0,40,,,
"Nu: 0.0001, Gamma: 0.99",1,22,96,1243,91.33627019,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0002, Gamma: 0.05",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0002, Gamma: 0.1",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0002, Gamma: 0.2",22,1,1294,45,4.919236417,0,40,,,
"Nu: 0.0002, Gamma: 0.5",21,2,1018,321,25.11013216,0,40,,,
"Nu: 0.0002, Gamma: 0.7",23,0,599,740,56.020558,0,40,,,
"Nu: 0.0002, Gamma: 0.9",23,0,384,955,71.8061674,0,40,,,
"Nu: 0.0002, Gamma: 0.99",14,9,377,962,71.65932452,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0003, Gamma: 0.005",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0003, Gamma: 0.05",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0003, Gamma: 0.1",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0003, Gamma: 0.2",22,1,1294,45,4.919236417,0,40,,,
"Nu: 0.0003, Gamma: 0.5",20,3,1002,337,26.21145374,0,40,,,
"Nu: 0.0003, Gamma: 0.7",23,0,599,740,56.020558,0,40,,,
"Nu: 0.0003, Gamma: 0.9",7,16,404,935,69.16299559,0,40,,,
"Nu: 0.0003, Gamma: 0.99",6,17,224,1115,82.30543319,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,23,0,1339,98.3113069,0,40,,,
"Nu: 0.0004, Gamma: 0.005",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0004, Gamma: 0.05",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0004, Gamma: 0.1",23,0,1326,13,2.643171806,0,40,,,
"Nu: 0.0004, Gamma: 0.2",22,1,1294,45,4.919236417,0,40,,,
"Nu: 0.0004, Gamma: 0.5",23,0,1018,321,25.25697504,0,40,,,
