Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.7",3,2,15,14,50.0,0,40,
"Nu: 0.05, Gamma: 0.9",2,3,14,15,50.0,0,40,
"Nu: 0.05, Gamma: 0.99",3,2,1,28,91.17647058823529,0,40,
"Nu: 0.0625, Gamma: 0.0001",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.0625, Gamma: 0.0002",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.0625, Gamma: 0.0003",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.0625, Gamma: 0.0004",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.0625, Gamma: 0.005",3,2,24,5,23.52941176470588,0,40,
"Nu: 0.0625, Gamma: 0.05",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.0625, Gamma: 0.0625",3,2,24,5,23.52941176470588,0,40,
"Nu: 0.0625, Gamma: 0.1",3,2,25,4,20.588235294117645,0,40,
"Nu: 0.0625, Gamma: 0.2",3,2,22,7,29.411764705882355,0,40,
"Nu: 0.0625, Gamma: 0.5",2,3,15,14,47.05882352941176,0,40,
"Nu: 0.0625, Gamma: 0.7",2,3,14,15,50.0,0,40,
"Nu: 0.0625, Gamma: 0.9",3,2,15,14,50.0,0,40,
"Nu: 0.0625, Gamma: 0.99",2,3,0,29,91.17647058823529,0,40,
"Nu: 0.1, Gamma: 0.0001",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.1, Gamma: 0.0002",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.1, Gamma: 0.0003",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.1, Gamma: 0.0004",3,2,23,6,26.47058823529412,0,40,
"Nu: 0.1, Gamma: 0.005",4,1,26,3,20.588235294117645,0,40,
"Nu: 0.1, Gamma: 0.05",4,1,24,5,26.47058823529412,0,40,
"Nu: 0.1, Gamma: 0.0625",3,2,23,6,26.47058823529412,0,40,
"Nu: 0.1, Gamma: 0.1",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.1, Gamma: 0.2",4,1,23,6,29.411764705882355,0,40,
"Nu: 0.1, Gamma: 0.5",3,2,15,14,50.0,0,40,
"Nu: 0.1, Gamma: 0.7",3,2,15,14,50.0,0,40,
"Nu: 0.1, Gamma: 0.9",3,2,15,14,50.0,0,40,
"Nu: 0.1, Gamma: 0.99",3,2,1,28,91.17647058823529,0,40,
"Nu: 0.2, Gamma: 0.0001",4,1,26,3,20.588235294117645,0,40,
"Nu: 0.2, Gamma: 0.0002",3,2,25,4,20.588235294117645,0,40,
"Nu: 0.2, Gamma: 0.0003",3,2,24,5,23.52941176470588,0,40,
"Nu: 0.2, Gamma: 0.0004",3,2,24,5,23.52941176470588,0,40,
"Nu: 0.2, Gamma: 0.005",3,2,24,5,23.52941176470588,0,40,
"Nu: 0.2, Gamma: 0.05",3,2,22,7,29.411764705882355,0,40,
"Nu: 0.2, Gamma: 0.0625",3,2,22,7,29.411764705882355,0,40,
"Nu: 0.2, Gamma: 0.1",4,1,22,7,32.35294117647059,0,40,
"Nu: 0.2, Gamma: 0.2",3,2,20,9,35.294117647058826,0,40,
"Nu: 0.2, Gamma: 0.5",2,3,15,14,47.05882352941176,0,40,
"Nu: 0.2, Gamma: 0.7",2,3,14,15,50.0,0,40,
"Nu: 0.2, Gamma: 0.9",3,2,15,14,50.0,0,40,
"Nu: 0.2, Gamma: 0.99",3,2,1,28,91.17647058823529,0,40,
"Nu: 0.5, Gamma: 0.0001",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.5, Gamma: 0.0002",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.5, Gamma: 0.0003",1,4,22,7,23.52941176470588,0,40,
"Nu: 0.5, Gamma: 0.0004",2,3,23,6,23.52941176470588,0,40,
"Nu: 0.5, Gamma: 0.005",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.5, Gamma: 0.05",2,3,22,7,26.47058823529412,0,40,
"Nu: 0.5, Gamma: 0.0625",2,3,22,7,26.47058823529412,0,40,
