Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.10526316,160
"Nu: 0.05, Gamma: 0.5",3,1,30,4,18.42105263,0,40,,,
"Nu: 0.05, Gamma: 0.7",3,1,30,4,18.42105263,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,29,5,21.05263158,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,26,8,28.94736842,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,30,4,21.05263158,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,30,4,21.05263158,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,30,4,21.05263158,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,2,17,17,50,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,1,30,4,18.42105263,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,1,30,4,18.42105263,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,29,5,21.05263158,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,26,8,28.94736842,0,40,,,
"Nu: 0.1, Gamma: 0.0001",4,0,28,6,26.31578947,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,27,7,26.31578947,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,29,5,23.68421053,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,1,30,4,18.42105263,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,30,4,18.42105263,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,1,29,5,21.05263158,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,26,8,28.94736842,0,40,,,
"Nu: 0.2, Gamma: 0.0001",1,3,14,20,55.26315789,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,26,8,28.94736842,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,28,6,26.31578947,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,28,6,26.31578947,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,28,6,26.31578947,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,28,6,26.31578947,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,28,6,26.31578947,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,0,28,6,26.31578947,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,28,6,23.68421053,0,40,,,
"Nu: 0.2, Gamma: 0.5",3,1,29,5,21.05263158,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,1,29,5,21.05263158,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,1,29,5,21.05263158,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,1,26,8,28.94736842,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,0,28,6,26.31578947,0,40,,,
"Nu: 0.5, Gamma: 0.0002",1,3,14,20,55.26315789,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,27,7,26.31578947,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,27,7,26.31578947,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,27,7,26.31578947,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,27,7,23.68421053,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,1,27,7,26.31578947,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,1,27,7,26.31578947,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,1,25,9,31.57894737,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,20,14,42.10526316,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,19,15,44.73684211,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,17,17,50,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,15,19,55.26315789,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,13,21,57.89473684,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,1,24,10,34.21052632,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,11,23,63.15789474,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,11,23,63.15789474,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,14,20,55.26315789,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.7, Gamma: 0.2",0,4,17,17,44.73684211,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,14,20,55.26315789,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,2,13,21,60.52631579,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,2,13,21,60.52631579,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,2,14,20,57.89473684,0,40,,,
"Nu: 0.9, Gamma: 0.0001",4,0,25,9,34.21052632,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,3,9,25,68.42105263,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,3,9,25,68.42105263,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,3,7,27,73.68421053,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,3,9,25,68.42105263,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,8,26,71.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,8,26,71.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,6,28,73.68421053,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,4,30,78.94736842,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,6,28,76.31578947,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,6,28,76.31578947,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,7,27,73.68421053,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,7,27,73.68421053,0,40,,,
"Nu: 0.99, Gamma: 0.0001",3,1,24,10,34.21052632,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,3,0,34,92.10526316,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,3,0,34,92.10526316,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,3,0,34,92.10526316,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,3,0,34,92.10526316,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,0,34,89.47368421,0,40,,,
