Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.5,169
"Nu: 0.99, Gamma: 0.005",0,4,2,29,82.85714286,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,1,30,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,31,88.57142857,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,36,90,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,36,90,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,36,90,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,36,90,10,40,,,
"Nu: 0.0001, Gamma: 0.005",2,2,26,10,30,10,40,,,
"Nu: 0.0001, Gamma: 0.05",3,1,32,4,17.5,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,1,32,4,17.5,10,40,,,
"Nu: 0.0001, Gamma: 0.1",3,1,28,8,27.5,10,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,31,5,17.5,10,40,,,
"Nu: 0.0001, Gamma: 0.5",2,2,28,8,25,10,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,28,8,25,10,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,26,10,30,10,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,24,12,35,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,36,90,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,36,90,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,36,90,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",2,2,26,10,30,10,40,,,
"Nu: 0.0002, Gamma: 0.005",4,0,33,3,17.5,10,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,32,4,17.5,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,1,32,4,17.5,10,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,28,8,27.5,10,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,28,8,25,10,40,,,
"Nu: 0.0002, Gamma: 0.5",2,2,31,5,17.5,10,40,,,
"Nu: 0.0002, Gamma: 0.7",2,2,28,8,25,10,40,,,
"Nu: 0.0002, Gamma: 0.9",2,2,25,11,32.5,10,40,,,
"Nu: 0.0002, Gamma: 0.99",2,2,23,13,37.5,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,36,90,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,36,90,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",2,2,26,10,30,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",2,2,26,10,30,10,40,,,
"Nu: 0.0003, Gamma: 0.005",4,0,33,3,17.5,10,40,,,
"Nu: 0.0003, Gamma: 0.05",3,1,32,4,17.5,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,1,35,1,10,10,40,,,
"Nu: 0.0003, Gamma: 0.1",3,1,28,8,27.5,10,40,,,
"Nu: 0.0003, Gamma: 0.2",2,2,28,8,25,10,40,,,
"Nu: 0.0003, Gamma: 0.5",2,2,31,5,17.5,10,40,,,
"Nu: 0.0003, Gamma: 0.7",2,2,28,8,25,10,40,,,
"Nu: 0.0003, Gamma: 0.9",2,2,26,10,30,10,40,,,
"Nu: 0.0003, Gamma: 0.99",2,2,23,13,37.5,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,36,90,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",2,2,26,10,30,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",2,2,26,10,30,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",2,2,26,10,30,10,40,,,
"Nu: 0.0004, Gamma: 0.005",4,0,33,3,17.5,10,40,,,
"Nu: 0.0004, Gamma: 0.05",3,1,35,1,10,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,1,32,4,17.5,10,40,,,
"Nu: 0.0004, Gamma: 0.1",3,1,28,8,27.5,10,40,,,
"Nu: 0.0004, Gamma: 0.2",2,2,28,8,25,10,40,,,
"Nu: 0.0004, Gamma: 0.5",2,2,28,8,25,10,40,,,
"Nu: 0.0004, Gamma: 0.7",2,2,28,8,25,10,40,,,
"Nu: 0.0004, Gamma: 0.9",2,2,26,10,30,10,40,,,
"Nu: 0.0004, Gamma: 0.99",2,2,23,13,37.5,10,40,,,
"Nu: 0.005, Gamma: 0.0001",4,0,33,3,17.5,10,40,,,
"Nu: 0.005, Gamma: 0.0002",4,0,33,3,17.5,10,40,,,
"Nu: 0.005, Gamma: 0.0003",4,0,33,3,17.5,10,40,,,
"Nu: 0.005, Gamma: 0.0004",4,0,33,3,17.5,10,40,,,
"Nu: 0.005, Gamma: 0.005",4,0,33,3,17.5,10,40,,,
"Nu: 0.005, Gamma: 0.05",3,1,32,4,17.5,10,40,,,
"Nu: 0.005, Gamma: 0.0625",3,1,31,5,20,10,40,,,
"Nu: 0.005, Gamma: 0.1",3,1,28,8,27.5,10,40,,,
"Nu: 0.005, Gamma: 0.2",2,2,28,8,25,10,40,,,
"Nu: 0.005, Gamma: 0.5",2,2,28,8,25,10,40,,,
"Nu: 0.005, Gamma: 0.7",2,2,28,8,25,10,40,,,
"Nu: 0.005, Gamma: 0.9",2,2,26,10,30,10,40,,,
"Nu: 0.005, Gamma: 0.99",2,2,23,13,37.5,10,40,,,
"Nu: 0.05, Gamma: 0.0001",3,1,32,4,17.5,10,40,,,
"Nu: 0.05, Gamma: 0.0002",3,1,32,4,17.5,10,40,,,
"Nu: 0.05, Gamma: 0.0003",3,1,32,4,17.5,10,40,,,
"Nu: 0.05, Gamma: 0.0004",3,1,32,4,17.5,10,40,,,
"Nu: 0.05, Gamma: 0.005",3,1,32,4,17.5,10,40,,,
"Nu: 0.05, Gamma: 0.05",3,1,31,5,20,10,40,,,
"Nu: 0.05, Gamma: 0.0625",3,1,31,5,20,10,40,,,
"Nu: 0.05, Gamma: 0.1",3,1,28,8,27.5,10,40,,,
"Nu: 0.05, Gamma: 0.2",2,2,28,8,25,10,40,,,
"Nu: 0.05, Gamma: 0.5",2,2,28,8,25,10,40,,,
"Nu: 0.05, Gamma: 0.7",2,2,28,8,25,10,40,,,
"Nu: 0.05, Gamma: 0.9",2,2,24,12,35,10,40,,,
"Nu: 0.05, Gamma: 0.99",2,2,23,13,37.5,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",3,1,32,4,17.5,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,1,32,4,17.5,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,1,32,4,17.5,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,1,32,4,17.5,10,40,,,
"Nu: 0.0625, Gamma: 0.005",3,1,32,4,17.5,10,40,,,
"Nu: 0.0625, Gamma: 0.05",3,1,31,5,20,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,1,30,6,22.5,10,40,,,
"Nu: 0.0625, Gamma: 0.1",3,1,28,8,27.5,10,40,,,
"Nu: 0.0625, Gamma: 0.2",2,2,28,8,25,10,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,28,8,25,10,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,28,8,25,10,40,,,
"Nu: 0.0625, Gamma: 0.9",2,2,24,12,35,10,40,,,
"Nu: 0.0625, Gamma: 0.99",2,2,23,13,37.5,10,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,25,11,35,10,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,25,11,35,10,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,25,11,35,10,40,,,
"Nu: 0.1, Gamma: 0.0004",3,1,25,11,35,10,40,,,
"Nu: 0.1, Gamma: 0.005",3,1,25,11,35,10,40,,,
"Nu: 0.1, Gamma: 0.05",3,1,25,11,35,10,40,,,
"Nu: 0.1, Gamma: 0.0625",3,1,25,11,35,10,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,25,11,35,10,40,,,
"Nu: 0.1, Gamma: 0.2",2,2,28,8,25,10,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,28,8,25,10,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,28,8,25,10,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,23,13,37.5,10,40,,,
"Nu: 0.1, Gamma: 0.99",2,2,23,13,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,24,12,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,24,12,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,24,12,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,24,12,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,24,12,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,24,12,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,24,12,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,24,12,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.2",2,2,24,12,35,10,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,24,12,35,10,40,,,
"Nu: 0.2, Gamma: 0.7",2,2,24,12,35,10,40,,,
"Nu: 0.2, Gamma: 0.9",2,2,23,13,37.5,10,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,23,13,37.5,10,40,,,
"Nu: 0.5, Gamma: 0.0001",1,3,21,15,40,10,40,,,
"Nu: 0.5, Gamma: 0.0002",1,3,21,15,40,10,40,,,
"Nu: 0.5, Gamma: 0.0003",1,3,21,15,40,10,40,,,
"Nu: 0.5, Gamma: 0.0004",1,3,21,15,40,10,40,,,
"Nu: 0.5, Gamma: 0.005",1,3,21,15,40,10,40,,,
"Nu: 0.5, Gamma: 0.05",1,3,21,15,40,10,40,,,
"Nu: 0.5, Gamma: 0.0625",1,3,21,15,40,10,40,,,
"Nu: 0.5, Gamma: 0.1",1,3,21,15,40,10,40,,,
"Nu: 0.5, Gamma: 0.2",1,3,20,16,42.5,10,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,20,16,45,10,40,,,
"Nu: 0.5, Gamma: 0.7",2,2,18,18,50,10,40,,,
"Nu: 0.5, Gamma: 0.9",2,2,18,18,50,10,40,,,
"Nu: 0.5, Gamma: 0.99",2,2,18,18,50,10,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,14,22,55,10,40,,,
"Nu: 0.7, Gamma: 0.0002",0,4,14,22,55,10,40,,,
"Nu: 0.7, Gamma: 0.0003",0,4,14,22,55,10,40,,,
"Nu: 0.7, Gamma: 0.0004",0,4,13,23,57.5,10,40,,,
"Nu: 0.7, Gamma: 0.005",0,4,14,22,55,10,40,,,
"Nu: 0.7, Gamma: 0.05",0,4,15,21,52.5,10,40,,,
"Nu: 0.7, Gamma: 0.0625",0,4,15,21,52.5,10,40,,,
"Nu: 0.7, Gamma: 0.1",0,4,17,19,47.5,10,40,,,
"Nu: 0.7, Gamma: 0.2",0,4,19,17,42.5,10,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,17,19,50,10,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,13,23,60,10,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,13,23,60,10,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,13,23,60,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,9,27,67.5,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,8,28,70,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,8,28,70,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,9,27,67.5,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,9,27,67.5,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,11,25,62.5,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,11,25,62.5,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,11,25,62.5,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,9,27,67.5,10,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,10,26,65,10,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,6,30,77.5,10,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,7,29,75,10,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,6,30,77.5,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,3,33,82.5,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,4,32,80,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,1,35,87.5,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,36,90,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,36,90,10,40,,,
,,,,,,,,,,
Target Class: fluidanimate_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,31,88.57142857,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,31,88.57142857,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,31,88.57142857,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,31,88.57142857,10,40,,,
"Nu: 0.0001, Gamma: 0.005",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.2",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0001, Gamma: 0.5",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0001, Gamma: 0.7",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0001, Gamma: 0.9",4,0,28,3,20,10,40,,,
"Nu: 0.0001, Gamma: 0.99",4,0,27,4,22.85714286,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,31,88.57142857,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,31,88.57142857,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0002, Gamma: 0.005",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.2",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0002, Gamma: 0.5",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0002, Gamma: 0.7",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0002, Gamma: 0.9",4,0,28,3,20,10,40,,,
"Nu: 0.0002, Gamma: 0.99",4,0,28,3,20,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,31,88.57142857,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0003, Gamma: 0.005",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.05",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.1",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.2",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0003, Gamma: 0.5",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0003, Gamma: 0.7",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0003, Gamma: 0.9",4,0,28,3,20,10,40,,,
"Nu: 0.0003, Gamma: 0.99",4,0,28,3,20,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,31,88.57142857,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0004, Gamma: 0.005",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.05",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.1",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.2",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0004, Gamma: 0.5",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0004, Gamma: 0.7",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0004, Gamma: 0.9",4,0,28,3,20,10,40,,,
"Nu: 0.0004, Gamma: 0.99",4,0,28,3,20,10,40,,,
"Nu: 0.005, Gamma: 0.0001",3,1,20,11,40,10,40,,,
"Nu: 0.005, Gamma: 0.0002",4,0,23,8,34.28571429,10,40,,,
"Nu: 0.005, Gamma: 0.0003",4,0,24,7,31.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.0004",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.005",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.05",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.0625",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.1",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.005, Gamma: 0.2",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.005, Gamma: 0.5",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.005, Gamma: 0.7",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.005, Gamma: 0.9",4,0,28,3,20,10,40,,,
"Nu: 0.005, Gamma: 0.99",4,0,28,3,20,10,40,,,
"Nu: 0.05, Gamma: 0.0001",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.05, Gamma: 0.0002",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.05, Gamma: 0.0003",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.05, Gamma: 0.0004",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.05, Gamma: 0.005",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.05, Gamma: 0.05",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.05, Gamma: 0.0625",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.05, Gamma: 0.1",4,0,31,0,11.42857143,10,40,,,
"Nu: 0.05, Gamma: 0.2",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.05, Gamma: 0.5",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.05, Gamma: 0.7",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.05, Gamma: 0.9",4,0,28,3,20,10,40,,,
"Nu: 0.05, Gamma: 0.99",4,0,28,3,20,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,30,1,14.28571429,10,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0625, Gamma: 0.5",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0625, Gamma: 0.7",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.0625, Gamma: 0.9",4,0,28,3,20,10,40,,,
"Nu: 0.0625, Gamma: 0.99",4,0,28,3,20,10,40,,,
"Nu: 0.1, Gamma: 0.0001",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0002",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.5",4,0,29,2,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.7",4,0,28,3,20,10,40,,,
"Nu: 0.1, Gamma: 0.9",4,0,28,3,20,10,40,,,
"Nu: 0.1, Gamma: 0.99",4,0,28,3,20,10,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,21,10,37.14285714,10,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,21,10,37.14285714,10,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,21,10,37.14285714,10,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,21,10,37.14285714,10,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,21,10,37.14285714,10,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,24,7,28.57142857,10,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,25,6,25.71428571,10,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,29,2,14.28571429,10,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,27,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.5",4,0,25,6,28.57142857,10,40,,,
"Nu: 0.2, Gamma: 0.7",4,0,26,5,25.71428571,10,40,,,
"Nu: 0.2, Gamma: 0.9",4,0,26,5,25.71428571,10,40,,,
"Nu: 0.2, Gamma: 0.99",4,0,26,5,25.71428571,10,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,16,15,48.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,16,15,48.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,16,15,48.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,16,15,48.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,16,15,48.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,15,16,51.42857143,10,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,15,16,51.42857143,10,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,13,18,57.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,12,19,60,10,40,,,
"Nu: 0.5, Gamma: 0.5",3,1,9,22,71.42857143,10,40,,,
"Nu: 0.5, Gamma: 0.7",3,1,14,17,57.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.9",3,1,15,16,54.28571429,10,40,,,
"Nu: 0.5, Gamma: 0.99",3,1,15,16,54.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,6,25,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,6,25,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,6,25,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,6,25,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,6,25,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,6,25,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,6,25,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,5,26,77.14285714,10,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,4,27,80,10,40,,,
"Nu: 0.7, Gamma: 0.5",2,2,2,29,88.57142857,10,40,,,
"Nu: 0.7, Gamma: 0.7",1,3,1,30,88.57142857,10,40,,,
"Nu: 0.7, Gamma: 0.9",1,3,2,29,85.71428571,10,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,2,29,85.71428571,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,4,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,4,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,4,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,4,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,4,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,3,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,3,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,3,28,80,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,2,29,82.85714286,10,40,,,
"Nu: 0.9, Gamma: 0.5",1,3,1,30,88.57142857,10,40,,,
"Nu: 0.9, Gamma: 0.7",1,3,1,30,88.57142857,10,40,,,
"Nu: 0.9, Gamma: 0.9",1,3,1,30,88.57142857,10,40,,,
"Nu: 0.9, Gamma: 0.99",1,3,1,30,88.57142857,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,2,29,82.85714286,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,2,29,82.85714286,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,2,29,82.85714286,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,2,29,82.85714286,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,2,29,82.85714286,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,30,85.71428571,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,30,85.71428571,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,1,30,85.71428571,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,31,88.57142857,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,31,88.57142857,10,40,,,
