Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.5,169
"Nu: 0.0625, Gamma: 0.0003",4,0,35,1,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",2,2,22,14,40,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,32,4,20,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,32,4,20,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,32,4,20,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,32,4,20,0,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,31,5,22.5,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,1,30,6,22.5,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,1,29,7,25,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,1,26,10,32.5,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,25,11,35,0,40,,,
"Nu: 0.1, Gamma: 0.0001",4,0,25,11,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,32,4,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,33,3,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,33,3,17.5,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,32,4,20,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,32,4,20,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,32,4,20,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,32,4,20,0,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,31,5,22.5,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,1,30,6,22.5,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,29,7,25,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,1,26,10,32.5,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,25,11,35,0,40,,,
"Nu: 0.2, Gamma: 0.0001",1,3,12,24,62.5,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,23,13,40,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,24,12,40,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,24,12,40,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,24,12,40,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,24,12,40,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,24,12,40,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,0,24,12,40,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,24,12,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.5",3,1,24,12,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,1,25,11,35,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,1,26,10,32.5,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,1,25,11,35,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,0,24,12,40,0,40,,,
"Nu: 0.5, Gamma: 0.0002",1,3,12,24,62.5,0,40,,,
