Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.91902834,447
"Nu: 0.05, Gamma: 0.2",23,1,464,747,62.34817814,0,40,,,
"Nu: 0.05, Gamma: 0.5",24,0,174,1037,85.91093117,0,40,,,
"Nu: 0.05, Gamma: 0.7",24,0,215,996,82.59109312,0,40,,,
"Nu: 0.05, Gamma: 0.9",24,0,202,1009,83.6437247,0,40,,,
"Nu: 0.05, Gamma: 0.99",24,0,211,1000,82.91497976,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",19,5,308,903,74.65587045,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",19,5,311,900,74.41295547,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",19,5,311,900,74.41295547,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",19,5,311,900,74.41295547,0,40,,,
"Nu: 0.0625, Gamma: 0.005",23,1,316,895,74.33198381,0,40,,,
"Nu: 0.0625, Gamma: 0.05",23,1,316,895,74.33198381,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",23,1,316,895,74.33198381,0,40,,,
"Nu: 0.0625, Gamma: 0.1",23,1,325,886,73.60323887,0,40,,,
"Nu: 0.0625, Gamma: 0.2",22,2,315,896,74.33198381,0,40,,,
"Nu: 0.0625, Gamma: 0.5",22,2,11,1200,98.94736842,0,40,,,
"Nu: 0.0625, Gamma: 0.7",24,0,3,1208,99.75708502,0,40,,,
"Nu: 0.0625, Gamma: 0.9",24,0,173,1038,85.99190283,0,40,,,
"Nu: 0.0625, Gamma: 0.99",24,0,194,1017,84.29149798,0,40,,,
"Nu: 0.1, Gamma: 0.0001",20,4,314,897,74.25101215,0,40,,,
"Nu: 0.1, Gamma: 0.0002",22,2,315,896,74.33198381,0,40,,,
"Nu: 0.1, Gamma: 0.0003",22,2,315,896,74.33198381,0,40,,,
"Nu: 0.1, Gamma: 0.0004",19,5,313,898,74.25101215,0,40,,,
"Nu: 0.1, Gamma: 0.005",21,3,313,898,74.41295547,0,40,,,
"Nu: 0.1, Gamma: 0.05",21,3,313,898,74.41295547,0,40,,,
"Nu: 0.1, Gamma: 0.0625",21,3,313,898,74.41295547,0,40,,,
"Nu: 0.1, Gamma: 0.1",21,3,313,898,74.41295547,0,40,,,
"Nu: 0.1, Gamma: 0.2",21,3,312,899,74.49392713,0,40,,,
"Nu: 0.1, Gamma: 0.5",22,2,285,926,76.7611336,0,40,,,
"Nu: 0.1, Gamma: 0.7",22,2,0,1211,99.83805668,0,40,,,
"Nu: 0.1, Gamma: 0.9",22,2,0,1211,99.83805668,0,40,,,
"Nu: 0.1, Gamma: 0.99",22,2,0,1211,99.83805668,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,21,292,919,74.65587045,0,40,,,
"Nu: 0.2, Gamma: 0.0002",20,4,303,908,75.1417004,0,40,,,
"Nu: 0.2, Gamma: 0.0003",20,4,303,908,75.1417004,0,40,,,
"Nu: 0.2, Gamma: 0.0004",20,4,303,908,75.1417004,0,40,,,
"Nu: 0.2, Gamma: 0.005",20,4,303,908,75.1417004,0,40,,,
"Nu: 0.2, Gamma: 0.05",20,4,245,966,79.83805668,0,40,,,
"Nu: 0.2, Gamma: 0.0625",20,4,101,1110,91.49797571,0,40,,,
"Nu: 0.2, Gamma: 0.1",20,4,23,1188,97.81376518,0,40,,,
"Nu: 0.2, Gamma: 0.2",20,4,3,1208,99.43319838,0,40,,,
"Nu: 0.2, Gamma: 0.5",20,4,0,1211,99.67611336,0,40,,,
"Nu: 0.2, Gamma: 0.7",20,4,0,1211,99.67611336,0,40,,,
"Nu: 0.2, Gamma: 0.9",20,4,0,1211,99.67611336,0,40,,,
"Nu: 0.2, Gamma: 0.99",20,4,0,1211,99.67611336,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,20,2,1209,98.21862348,0,40,,,
"Nu: 0.5, Gamma: 0.0002",4,20,1,1210,98.29959514,0,40,,,
"Nu: 0.5, Gamma: 0.0003",4,20,1,1210,98.29959514,0,40,,,
"Nu: 0.5, Gamma: 0.0004",4,20,1,1210,98.29959514,0,40,,,
"Nu: 0.5, Gamma: 0.005",9,15,0,1211,98.7854251,0,40,,,
"Nu: 0.5, Gamma: 0.05",14,10,0,1211,99.1902834,0,40,,,
"Nu: 0.5, Gamma: 0.0625",15,9,0,1211,99.27125506,0,40,,,
"Nu: 0.5, Gamma: 0.1",15,9,0,1211,99.27125506,0,40,,,
"Nu: 0.5, Gamma: 0.2",13,11,0,1211,99.10931174,0,40,,,
"Nu: 0.5, Gamma: 0.5",14,10,0,1211,99.1902834,0,40,,,
"Nu: 0.5, Gamma: 0.7",14,10,0,1211,99.1902834,0,40,,,
"Nu: 0.5, Gamma: 0.9",15,9,0,1211,99.27125506,0,40,,,
"Nu: 0.5, Gamma: 0.99",15,9,0,1211,99.27125506,0,40,,,
"Nu: 0.7, Gamma: 0.0001",14,10,0,1211,99.1902834,0,40,,,
"Nu: 0.7, Gamma: 0.0002",14,10,0,1211,99.1902834,0,40,,,
"Nu: 0.7, Gamma: 0.0003",14,10,0,1211,99.1902834,0,40,,,
"Nu: 0.7, Gamma: 0.0004",15,9,0,1211,99.27125506,0,40,,,
"Nu: 0.7, Gamma: 0.005",15,9,0,1211,99.27125506,0,40,,,
"Nu: 0.7, Gamma: 0.05",4,20,0,1211,98.3805668,0,40,,,
"Nu: 0.7, Gamma: 0.0625",5,19,0,1211,98.46153846,0,40,,,
"Nu: 0.7, Gamma: 0.1",5,19,0,1211,98.46153846,0,40,,,
"Nu: 0.7, Gamma: 0.2",9,15,0,1211,98.7854251,0,40,,,
"Nu: 0.7, Gamma: 0.5",11,13,0,1211,98.94736842,0,40,,,
"Nu: 0.7, Gamma: 0.7",12,12,0,1211,99.02834008,0,40,,,
"Nu: 0.7, Gamma: 0.9",12,12,0,1211,99.02834008,0,40,,,
"Nu: 0.7, Gamma: 0.99",11,13,0,1211,98.94736842,0,40,,,
"Nu: 0.9, Gamma: 0.0001",19,5,2,1209,99.43319838,0,40,,,
"Nu: 0.9, Gamma: 0.0002",18,6,0,1211,99.51417004,0,40,,,
"Nu: 0.9, Gamma: 0.0003",17,7,0,1211,99.43319838,0,40,,,
"Nu: 0.9, Gamma: 0.0004",16,8,0,1211,99.35222672,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,23,0,1211,98.13765182,0,40,,,
"Nu: 0.9, Gamma: 0.05",2,22,0,1211,98.21862348,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,21,0,1211,98.29959514,0,40,,,
"Nu: 0.9, Gamma: 0.1",3,21,0,1211,98.29959514,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,23,0,1211,98.13765182,0,40,,,
"Nu: 0.9, Gamma: 0.5",3,21,0,1211,98.29959514,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,22,0,1211,98.21862348,0,40,,,
