Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.28571429,681
"Nu: 0.05, Gamma: 0.5",2,2,18,7,31.03448276,0,40,,,
"Nu: 0.05, Gamma: 0.7",2,2,18,7,31.03448276,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,1,18,7,34.48275862,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,1,17,8,37.93103448,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,23,2,20.68965517,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,21,4,24.13793103,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,18,7,31.03448276,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,18,7,31.03448276,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,2,18,7,31.03448276,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,1,17,8,37.93103448,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,19,6,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,19,6,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,19,6,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,1,19,6,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.005",3,1,19,6,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.05",3,1,19,6,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.0625",3,1,19,6,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,19,6,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.2",2,2,19,6,27.5862069,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,18,7,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,18,7,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,18,7,31.03448276,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,1,17,8,37.93103448,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,20,5,27.5862069,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,18,7,34.48275862,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,18,7,34.48275862,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,18,7,34.48275862,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,18,7,34.48275862,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,18,7,34.48275862,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,18,7,34.48275862,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,18,7,34.48275862,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,2,17,8,34.48275862,0,40,,,
"Nu: 0.2, Gamma: 0.5",1,3,15,10,37.93103448,0,40,,,
"Nu: 0.2, Gamma: 0.7",1,3,14,11,41.37931034,0,40,,,
"Nu: 0.2, Gamma: 0.9",1,3,14,11,41.37931034,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,13,12,48.27586207,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,13,12,48.27586207,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,13,12,48.27586207,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,13,12,48.27586207,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,13,12,48.27586207,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,13,12,48.27586207,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,13,12,48.27586207,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,13,12,48.27586207,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,12,13,51.72413793,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,3,12,13,48.27586207,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,3,10,15,55.17241379,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,10,15,55.17241379,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,9,16,58.62068966,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,6,19,68.96551724,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,4,6,19,65.51724138,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,2,9,16,62.06896552,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,2,9,16,62.06896552,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,2,9,16,62.06896552,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,3,9,16,58.62068966,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,9,16,58.62068966,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,9,16,58.62068966,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,8,17,62.06896552,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,7,18,65.51724138,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,3,22,79.31034483,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,4,4,21,72.4137931,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,4,2,23,79.31034483,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,4,2,23,79.31034483,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,1,24,82.75862069,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,1,24,82.75862069,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,1,24,82.75862069,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,1,24,82.75862069,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,2,23,79.31034483,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,4,21,72.4137931,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,3,22,75.86206897,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,3,22,79.31034483,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,3,22,79.31034483,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,0,25,86.20689655,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,2,23,79.31034483,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,1,24,82.75862069,0,40,,,
