Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.67105263,804
"Nu: 0.005, Gamma: 0.5",12,0,142,150,53.28947368,0,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,136,156,55.26315789,0,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,124,168,59.21052632,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,123,169,59.21052632,0,40,,,
"Nu: 0.05, Gamma: 0.0001",11,1,277,15,8.552631579,0,40,,,
"Nu: 0.05, Gamma: 0.0002",11,1,205,87,32.23684211,0,40,,,
"Nu: 0.05, Gamma: 0.0003",11,1,205,87,32.23684211,0,40,,,
"Nu: 0.05, Gamma: 0.0004",11,1,205,87,32.23684211,0,40,,,
"Nu: 0.05, Gamma: 0.005",11,1,205,87,32.23684211,0,40,,,
"Nu: 0.05, Gamma: 0.05",11,1,204,88,32.56578947,0,40,,,
"Nu: 0.05, Gamma: 0.0625",11,1,203,89,32.89473684,0,40,,,
"Nu: 0.05, Gamma: 0.1",11,1,198,94,34.53947368,0,40,,,
"Nu: 0.05, Gamma: 0.2",10,2,175,117,41.77631579,0,40,,,
"Nu: 0.05, Gamma: 0.5",11,1,113,179,62.5,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,98,194,67.43421053,0,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,94,198,68.75,0,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,111,181,63.15789474,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",11,1,181,111,40.13157895,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",11,1,181,111,40.13157895,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",11,1,181,111,40.13157895,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",11,1,181,111,40.13157895,0,40,,,
"Nu: 0.0625, Gamma: 0.005",11,1,181,111,40.13157895,0,40,,,
"Nu: 0.0625, Gamma: 0.05",10,2,163,129,45.72368421,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",10,2,160,132,46.71052632,0,40,,,
"Nu: 0.0625, Gamma: 0.1",10,2,164,128,45.39473684,0,40,,,
"Nu: 0.0625, Gamma: 0.2",10,2,178,114,40.78947368,0,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,115,177,61.84210526,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,98,194,67.43421053,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,87,205,71.05263158,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,2,82,210,72.36842105,0,40,,,
"Nu: 0.1, Gamma: 0.0001",10,2,141,151,52.96052632,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,2,141,151,52.96052632,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,2,59,233,79.93421053,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,2,59,233,79.93421053,0,40,,,
"Nu: 0.1, Gamma: 0.005",10,2,59,233,79.93421053,0,40,,,
"Nu: 0.1, Gamma: 0.05",10,2,55,237,81.25,0,40,,,
"Nu: 0.1, Gamma: 0.0625",10,2,55,237,81.25,0,40,,,
"Nu: 0.1, Gamma: 0.1",10,2,52,240,82.23684211,0,40,,,
"Nu: 0.1, Gamma: 0.2",10,2,43,249,85.19736842,0,40,,,
"Nu: 0.1, Gamma: 0.5",10,2,12,280,95.39473684,0,40,,,
"Nu: 0.1, Gamma: 0.7",10,2,88,204,70.39473684,0,40,,,
"Nu: 0.1, Gamma: 0.9",10,2,91,201,69.40789474,0,40,,,
"Nu: 0.1, Gamma: 0.99",10,2,89,203,70.06578947,0,40,,,
"Nu: 0.2, Gamma: 0.0001",10,2,40,252,86.18421053,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,40,252,86.18421053,0,40,,,
"Nu: 0.2, Gamma: 0.0003",8,4,38,254,86.18421053,0,40,,,
"Nu: 0.2, Gamma: 0.0004",8,4,38,254,86.18421053,0,40,,,
"Nu: 0.2, Gamma: 0.005",10,2,38,254,86.84210526,0,40,,,
"Nu: 0.2, Gamma: 0.05",10,2,37,255,87.17105263,0,40,,,
"Nu: 0.2, Gamma: 0.0625",10,2,37,255,87.17105263,0,40,,,
"Nu: 0.2, Gamma: 0.1",10,2,37,255,87.17105263,0,40,,,
"Nu: 0.2, Gamma: 0.2",10,2,25,267,91.11842105,0,40,,,
"Nu: 0.2, Gamma: 0.5",9,3,1,291,98.68421053,0,40,,,
"Nu: 0.2, Gamma: 0.7",9,3,0,292,99.01315789,0,40,,,
"Nu: 0.2, Gamma: 0.9",9,3,0,292,99.01315789,0,40,,,
"Nu: 0.2, Gamma: 0.99",9,3,0,292,99.01315789,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,9,0,292,97.03947368,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,9,0,292,97.03947368,0,40,,,
