Features: 16,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.0625, Gamma: 0.0003",12,0,100,25,27.00729927,0,40
"Nu: 0.0625, Gamma: 0.0004",12,0,100,25,27.00729927,0,40
"Nu: 0.0625, Gamma: 0.005",12,0,119,6,13.13868613,0,40
"Nu: 0.0625, Gamma: 0.05",12,0,100,25,27.00729927,0,40
"Nu: 0.0625, Gamma: 0.0625",12,0,100,25,27.00729927,0,40
"Nu: 0.0625, Gamma: 0.1",12,0,102,23,25.54744526,0,40
"Nu: 0.0625, Gamma: 0.2",12,0,98,27,28.46715328,0,40
"Nu: 0.0625, Gamma: 0.5",12,0,93,32,32.11678832,0,40
"Nu: 0.0625, Gamma: 0.7",12,0,88,37,35.76642336,0,40
"Nu: 0.0625, Gamma: 0.9",12,0,84,41,38.68613139,0,40
"Nu: 0.0625, Gamma: 0.99",12,0,82,43,40.1459854,0,40
"Nu: 0.1, Gamma: 0.0001",7,5,74,51,42.33576642,0,40
"Nu: 0.1, Gamma: 0.0002",12,0,119,6,13.13868613,0,40
"Nu: 0.1, Gamma: 0.0003",12,0,119,6,13.13868613,0,40
"Nu: 0.1, Gamma: 0.0004",12,0,119,6,13.13868613,0,40
"Nu: 0.1, Gamma: 0.005",12,0,96,29,29.9270073,0,40
"Nu: 0.1, Gamma: 0.05",12,0,96,29,29.9270073,0,40
"Nu: 0.1, Gamma: 0.0625",12,0,96,29,29.9270073,0,40
"Nu: 0.1, Gamma: 0.1",12,0,95,30,30.65693431,0,40
"Nu: 0.1, Gamma: 0.2",12,0,93,32,32.11678832,0,40
"Nu: 0.1, Gamma: 0.5",12,0,88,37,35.76642336,0,40
"Nu: 0.1, Gamma: 0.7",12,0,83,42,39.41605839,0,40
"Nu: 0.1, Gamma: 0.9",12,0,79,46,42.33576642,0,40
"Nu: 0.1, Gamma: 0.99",12,0,79,46,42.33576642,0,40
"Nu: 0.2, Gamma: 0.0001",11,1,89,36,34.30656934,0,40
"Nu: 0.2, Gamma: 0.0002",11,1,89,36,34.30656934,0,40
"Nu: 0.2, Gamma: 0.0003",11,1,89,36,34.30656934,0,40
"Nu: 0.2, Gamma: 0.0004",11,1,89,36,34.30656934,0,40
"Nu: 0.2, Gamma: 0.005",11,1,89,36,34.30656934,0,40
"Nu: 0.2, Gamma: 0.05",11,1,89,36,34.30656934,0,40
