Features: 16,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.0001, Gamma: 0.7",12,0,102,23,25.54744526,10,40
"Nu: 0.0001, Gamma: 0.9",12,0,100,25,27.00729927,10,40
"Nu: 0.0001, Gamma: 0.99",12,0,99,26,27.73722628,10,40
"Nu: 0.0002, Gamma: 0.0001",12,0,103,22,24.81751825,10,40
"Nu: 0.0002, Gamma: 0.0002",12,0,103,22,24.81751825,10,40
"Nu: 0.0002, Gamma: 0.0003",12,0,103,22,24.81751825,10,40
"Nu: 0.0002, Gamma: 0.0004",12,0,103,22,24.81751825,10,40
"Nu: 0.0002, Gamma: 0.005",12,0,124,1,9.489051095,10,40
"Nu: 0.0002, Gamma: 0.05",12,0,124,1,9.489051095,10,40
"Nu: 0.0002, Gamma: 0.0625",12,0,124,1,9.489051095,10,40
"Nu: 0.0002, Gamma: 0.1",12,0,105,20,23.35766423,10,40
"Nu: 0.0002, Gamma: 0.2",12,0,104,21,24.08759124,10,40
"Nu: 0.0002, Gamma: 0.5",12,0,103,22,24.81751825,10,40
"Nu: 0.0002, Gamma: 0.7",12,0,102,23,25.54744526,10,40
"Nu: 0.0002, Gamma: 0.9",12,0,100,25,27.00729927,10,40
"Nu: 0.0002, Gamma: 0.99",12,0,98,27,28.46715328,10,40
"Nu: 0.0003, Gamma: 0.0001",12,0,103,22,24.81751825,10,40
"Nu: 0.0003, Gamma: 0.0002",12,0,103,22,24.81751825,10,40
"Nu: 0.0003, Gamma: 0.0003",12,0,103,22,24.81751825,10,40
"Nu: 0.0003, Gamma: 0.0004",12,0,103,22,24.81751825,10,40
"Nu: 0.0003, Gamma: 0.005",12,0,124,1,9.489051095,10,40
"Nu: 0.0003, Gamma: 0.05",12,0,124,1,9.489051095,10,40
"Nu: 0.0003, Gamma: 0.0625",12,0,124,1,9.489051095,10,40
"Nu: 0.0003, Gamma: 0.1",12,0,105,20,23.35766423,10,40
"Nu: 0.0003, Gamma: 0.2",12,0,104,21,24.08759124,10,40
"Nu: 0.0003, Gamma: 0.5",12,0,103,22,24.81751825,10,40
"Nu: 0.0003, Gamma: 0.7",12,0,102,23,25.54744526,10,40
"Nu: 0.0003, Gamma: 0.9",12,0,100,25,27.00729927,10,40
"Nu: 0.0003, Gamma: 0.99",12,0,98,27,28.46715328,10,40
"Nu: 0.0004, Gamma: 0.0001",12,0,125,0,8.759124088,10,40
"Nu: 0.0004, Gamma: 0.0002",12,0,103,22,24.81751825,10,40
"Nu: 0.0004, Gamma: 0.0003",12,0,103,22,24.81751825,10,40
"Nu: 0.0004, Gamma: 0.0004",12,0,103,22,24.81751825,10,40
"Nu: 0.0004, Gamma: 0.005",12,0,124,1,9.489051095,10,40
"Nu: 0.0004, Gamma: 0.05",12,0,124,1,9.489051095,10,40
"Nu: 0.0004, Gamma: 0.0625",12,0,124,1,9.489051095,10,40
"Nu: 0.0004, Gamma: 0.1",12,0,105,20,23.35766423,10,40
"Nu: 0.0004, Gamma: 0.2",12,0,103,22,24.81751825,10,40
"Nu: 0.0004, Gamma: 0.5",12,0,103,22,24.81751825,10,40
"Nu: 0.0004, Gamma: 0.7",12,0,102,23,25.54744526,10,40
"Nu: 0.0004, Gamma: 0.9",12,0,100,25,27.00729927,10,40
"Nu: 0.0004, Gamma: 0.99",12,0,98,27,28.46715328,10,40
"Nu: 0.005, Gamma: 0.0001",12,0,124,1,9.489051095,10,40
"Nu: 0.005, Gamma: 0.0002",12,0,120,5,12.40875912,10,40
"Nu: 0.005, Gamma: 0.0003",12,0,124,1,9.489051095,10,40
"Nu: 0.005, Gamma: 0.0004",12,0,124,1,9.489051095,10,40
"Nu: 0.005, Gamma: 0.005",12,0,124,1,9.489051095,10,40
"Nu: 0.005, Gamma: 0.05",12,0,124,1,9.489051095,10,40
"Nu: 0.005, Gamma: 0.0625",12,0,124,1,9.489051095,10,40
"Nu: 0.005, Gamma: 0.1",12,0,105,20,23.35766423,10,40
"Nu: 0.005, Gamma: 0.2",12,0,103,22,24.81751825,10,40
"Nu: 0.005, Gamma: 0.5",12,0,103,22,24.81751825,10,40
"Nu: 0.005, Gamma: 0.7",12,0,102,23,25.54744526,10,40
"Nu: 0.005, Gamma: 0.9",12,0,100,25,27.00729927,10,40
"Nu: 0.005, Gamma: 0.99",12,0,98,27,28.46715328,10,40
"Nu: 0.05, Gamma: 0.0001",12,0,121,4,11.67883212,10,40
"Nu: 0.05, Gamma: 0.0002",12,0,121,4,11.67883212,10,40
"Nu: 0.05, Gamma: 0.0003",12,0,121,4,11.67883212,10,40
"Nu: 0.05, Gamma: 0.0004",12,0,121,4,11.67883212,10,40
"Nu: 0.05, Gamma: 0.005",12,0,121,4,11.67883212,10,40
"Nu: 0.05, Gamma: 0.05",12,0,121,4,11.67883212,10,40
"Nu: 0.05, Gamma: 0.0625",12,0,124,1,9.489051095,10,40
"Nu: 0.05, Gamma: 0.1",12,0,105,20,23.35766423,10,40
"Nu: 0.05, Gamma: 0.2",12,0,103,22,24.81751825,10,40
"Nu: 0.05, Gamma: 0.5",12,0,103,22,24.81751825,10,40
"Nu: 0.05, Gamma: 0.7",12,0,102,23,25.54744526,10,40
"Nu: 0.05, Gamma: 0.9",12,0,98,27,28.46715328,10,40
"Nu: 0.05, Gamma: 0.99",12,0,98,27,28.46715328,10,40
"Nu: 0.0625, Gamma: 0.0001",12,0,120,5,12.40875912,10,40
"Nu: 0.0625, Gamma: 0.0002",12,0,120,5,12.40875912,10,40
"Nu: 0.0625, Gamma: 0.0003",12,0,120,5,12.40875912,10,40
"Nu: 0.0625, Gamma: 0.0004",12,0,120,5,12.40875912,10,40
"Nu: 0.0625, Gamma: 0.005",12,0,120,5,12.40875912,10,40
"Nu: 0.0625, Gamma: 0.05",12,0,101,24,26.27737226,10,40
"Nu: 0.0625, Gamma: 0.0625",12,0,102,23,25.54744526,10,40
"Nu: 0.0625, Gamma: 0.1",12,0,105,20,23.35766423,10,40
"Nu: 0.0625, Gamma: 0.2",12,0,103,22,24.81751825,10,40
"Nu: 0.0625, Gamma: 0.5",12,0,103,22,24.81751825,10,40
"Nu: 0.0625, Gamma: 0.7",12,0,101,24,26.27737226,10,40
"Nu: 0.0625, Gamma: 0.9",12,0,98,27,28.46715328,10,40
"Nu: 0.0625, Gamma: 0.99",12,0,98,27,28.46715328,10,40
"Nu: 0.1, Gamma: 0.0001",11,1,110,15,18.97810219,10,40
"Nu: 0.1, Gamma: 0.0002",11,1,110,15,18.97810219,10,40
"Nu: 0.1, Gamma: 0.0003",11,1,108,17,20.4379562,10,40
"Nu: 0.1, Gamma: 0.0004",11,1,108,17,20.4379562,10,40
"Nu: 0.1, Gamma: 0.005",11,1,100,25,26.27737226,10,40
"Nu: 0.1, Gamma: 0.05",12,0,100,25,27.00729927,10,40
"Nu: 0.1, Gamma: 0.0625",12,0,100,25,27.00729927,10,40
"Nu: 0.1, Gamma: 0.1",12,0,101,24,26.27737226,10,40
"Nu: 0.1, Gamma: 0.2",12,0,101,24,26.27737226,10,40
"Nu: 0.1, Gamma: 0.5",12,0,101,24,26.27737226,10,40
"Nu: 0.1, Gamma: 0.7",12,0,100,25,27.00729927,10,40
"Nu: 0.1, Gamma: 0.9",12,0,97,28,29.19708029,10,40
"Nu: 0.1, Gamma: 0.99",12,0,97,28,29.19708029,10,40
"Nu: 0.2, Gamma: 0.0001",9,3,90,35,32.11678832,10,40
"Nu: 0.2, Gamma: 0.0002",9,3,90,35,32.11678832,10,40
"Nu: 0.2, Gamma: 0.0003",9,3,90,35,32.11678832,10,40
"Nu: 0.2, Gamma: 0.0004",9,3,90,35,32.11678832,10,40
"Nu: 0.2, Gamma: 0.005",11,1,90,35,33.57664234,10,40
"Nu: 0.2, Gamma: 0.05",11,1,92,33,32.11678832,10,40
"Nu: 0.2, Gamma: 0.0625",11,1,92,33,32.11678832,10,40
"Nu: 0.2, Gamma: 0.1",11,1,93,32,31.38686131,10,40
"Nu: 0.2, Gamma: 0.2",12,0,93,32,32.11678832,10,40
"Nu: 0.2, Gamma: 0.5",12,0,93,32,32.11678832,10,40
"Nu: 0.2, Gamma: 0.7",12,0,90,35,34.30656934,10,40
"Nu: 0.2, Gamma: 0.9",12,0,87,38,36.49635036,10,40
"Nu: 0.2, Gamma: 0.99",12,0,87,38,36.49635036,10,40
"Nu: 0.5, Gamma: 0.0001",6,6,76,49,40.1459854,10,40
"Nu: 0.5, Gamma: 0.0002",6,6,76,49,40.1459854,10,40
"Nu: 0.5, Gamma: 0.0003",6,6,76,49,40.1459854,10,40
"Nu: 0.5, Gamma: 0.0004",6,6,76,49,40.1459854,10,40
"Nu: 0.5, Gamma: 0.005",6,6,75,50,40.87591241,10,40
"Nu: 0.5, Gamma: 0.05",6,6,75,50,40.87591241,10,40
"Nu: 0.5, Gamma: 0.0625",6,6,75,50,40.87591241,10,40
"Nu: 0.5, Gamma: 0.1",6,6,76,49,40.1459854,10,40
"Nu: 0.5, Gamma: 0.2",8,4,79,46,39.41605839,10,40
"Nu: 0.5, Gamma: 0.5",10,2,81,44,39.41605839,10,40
"Nu: 0.5, Gamma: 0.7",11,1,80,45,40.87591241,10,40
"Nu: 0.5, Gamma: 0.9",11,1,75,50,44.52554745,10,40
"Nu: 0.5, Gamma: 0.99",11,1,72,53,46.71532847,10,40
"Nu: 0.7, Gamma: 0.0001",4,8,50,75,57.66423358,10,40
"Nu: 0.7, Gamma: 0.0002",4,8,50,75,57.66423358,10,40
"Nu: 0.7, Gamma: 0.0003",4,8,50,75,57.66423358,10,40
"Nu: 0.7, Gamma: 0.0004",4,8,50,75,57.66423358,10,40
"Nu: 0.7, Gamma: 0.005",4,8,50,75,57.66423358,10,40
"Nu: 0.7, Gamma: 0.05",4,8,50,75,57.66423358,10,40
"Nu: 0.7, Gamma: 0.0625",4,8,50,75,57.66423358,10,40
"Nu: 0.7, Gamma: 0.1",4,8,51,74,56.93430657,10,40
"Nu: 0.7, Gamma: 0.2",5,7,65,60,47.44525547,10,40
"Nu: 0.7, Gamma: 0.5",8,4,61,64,52.55474453,10,40
"Nu: 0.7, Gamma: 0.7",9,3,58,67,55.47445255,10,40
"Nu: 0.7, Gamma: 0.9",9,3,56,69,56.93430657,10,40
"Nu: 0.7, Gamma: 0.99",9,3,57,68,56.20437956,10,40
"Nu: 0.9, Gamma: 0.0001",0,12,12,113,82.48175182,10,40
"Nu: 0.9, Gamma: 0.0002",0,12,11,114,83.21167883,10,40
"Nu: 0.9, Gamma: 0.0003",0,12,12,113,82.48175182,10,40
"Nu: 0.9, Gamma: 0.0004",0,12,12,113,82.48175182,10,40
"Nu: 0.9, Gamma: 0.005",0,12,12,113,82.48175182,10,40
"Nu: 0.9, Gamma: 0.05",1,11,13,112,82.48175182,10,40
"Nu: 0.9, Gamma: 0.0625",1,11,13,112,82.48175182,10,40
"Nu: 0.9, Gamma: 0.1",1,11,13,112,82.48175182,10,40
"Nu: 0.9, Gamma: 0.2",4,8,34,91,69.34306569,10,40
"Nu: 0.9, Gamma: 0.5",5,7,44,81,62.77372263,10,40
"Nu: 0.9, Gamma: 0.7",6,6,47,78,61.31386861,10,40
"Nu: 0.9, Gamma: 0.9",6,6,44,81,63.50364964,10,40
"Nu: 0.9, Gamma: 0.99",7,5,43,82,64.96350365,10,40
"Nu: 0.99, Gamma: 0.0001",0,12,3,122,89.05109489,10,40
"Nu: 0.99, Gamma: 0.0002",0,12,4,121,88.32116788,10,40
"Nu: 0.99, Gamma: 0.0003",0,12,3,122,89.05109489,10,40
"Nu: 0.99, Gamma: 0.0004",0,12,3,122,89.05109489,10,40
"Nu: 0.99, Gamma: 0.005",0,12,3,122,89.05109489,10,40
"Nu: 0.99, Gamma: 0.05",0,12,3,122,89.05109489,10,40
"Nu: 0.99, Gamma: 0.0625",0,12,4,121,88.32116788,10,40
"Nu: 0.99, Gamma: 0.1",0,12,4,121,88.32116788,10,40
"Nu: 0.99, Gamma: 0.2",1,11,5,120,88.32116788,10,40
"Nu: 0.99, Gamma: 0.5",4,8,28,97,73.72262774,10,40
"Nu: 0.99, Gamma: 0.7",4,8,28,97,73.72262774,10,40
"Nu: 0.99, Gamma: 0.9",2,10,25,100,74.45255474,10,40
"Nu: 0.99, Gamma: 0.99",1,11,24,101,74.45255474,10,40
,,,,,,,
Target Class: vips_Halfcache,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.0001, Gamma: 0.0001",0,13,0,111,89.51612903,10,40
"Nu: 0.0001, Gamma: 0.0002",0,13,0,111,89.51612903,10,40
"Nu: 0.0001, Gamma: 0.0003",0,13,0,111,89.51612903,10,40
"Nu: 0.0001, Gamma: 0.0004",12,1,109,2,11.29032258,10,40
"Nu: 0.0001, Gamma: 0.005",12,1,109,2,11.29032258,10,40
"Nu: 0.0001, Gamma: 0.05",12,1,91,20,25.80645161,10,40
"Nu: 0.0001, Gamma: 0.0625",12,1,90,21,26.61290323,10,40
"Nu: 0.0001, Gamma: 0.1",12,1,89,22,27.41935484,10,40
"Nu: 0.0001, Gamma: 0.2",12,1,88,23,28.22580645,10,40
"Nu: 0.0001, Gamma: 0.5",12,1,86,25,29.83870968,10,40
"Nu: 0.0001, Gamma: 0.7",12,1,86,25,29.83870968,10,40
"Nu: 0.0001, Gamma: 0.9",12,1,86,25,29.83870968,10,40
"Nu: 0.0001, Gamma: 0.99",12,1,86,25,29.83870968,10,40
"Nu: 0.0002, Gamma: 0.0001",0,13,0,111,89.51612903,10,40
"Nu: 0.0002, Gamma: 0.0002",12,1,109,2,11.29032258,10,40
"Nu: 0.0002, Gamma: 0.0003",12,1,109,2,11.29032258,10,40
"Nu: 0.0002, Gamma: 0.0004",12,1,109,2,11.29032258,10,40
"Nu: 0.0002, Gamma: 0.005",12,1,109,2,11.29032258,10,40
"Nu: 0.0002, Gamma: 0.05",12,1,91,20,25.80645161,10,40
"Nu: 0.0002, Gamma: 0.0625",12,1,90,21,26.61290323,10,40
"Nu: 0.0002, Gamma: 0.1",12,1,89,22,27.41935484,10,40
"Nu: 0.0002, Gamma: 0.2",12,1,87,24,29.03225806,10,40
"Nu: 0.0002, Gamma: 0.5",12,1,86,25,29.83870968,10,40
"Nu: 0.0002, Gamma: 0.7",12,1,86,25,29.83870968,10,40
"Nu: 0.0002, Gamma: 0.9",12,1,86,25,29.83870968,10,40
"Nu: 0.0002, Gamma: 0.99",12,1,86,25,29.83870968,10,40
"Nu: 0.0003, Gamma: 0.0001",2,11,22,89,73.38709677,10,40
"Nu: 0.0003, Gamma: 0.0002",12,1,109,2,11.29032258,10,40
"Nu: 0.0003, Gamma: 0.0003",12,1,109,2,11.29032258,10,40
"Nu: 0.0003, Gamma: 0.0004",12,1,109,2,11.29032258,10,40
"Nu: 0.0003, Gamma: 0.005",12,1,109,2,11.29032258,10,40
"Nu: 0.0003, Gamma: 0.05",12,1,91,20,25.80645161,10,40
"Nu: 0.0003, Gamma: 0.0625",12,1,90,21,26.61290323,10,40
"Nu: 0.0003, Gamma: 0.1",12,1,88,23,28.22580645,10,40
"Nu: 0.0003, Gamma: 0.2",12,1,88,23,28.22580645,10,40
"Nu: 0.0003, Gamma: 0.5",12,1,86,25,29.83870968,10,40
"Nu: 0.0003, Gamma: 0.7",12,1,86,25,29.83870968,10,40
"Nu: 0.0003, Gamma: 0.9",12,1,86,25,29.83870968,10,40
"Nu: 0.0003, Gamma: 0.99",12,1,86,25,29.83870968,10,40
"Nu: 0.0004, Gamma: 0.0001",1,12,19,92,75,10,40
"Nu: 0.0004, Gamma: 0.0002",13,0,111,0,10.48387097,10,40
"Nu: 0.0004, Gamma: 0.0003",13,0,111,0,10.48387097,10,40
"Nu: 0.0004, Gamma: 0.0004",12,1,109,2,11.29032258,10,40
"Nu: 0.0004, Gamma: 0.005",12,1,109,2,11.29032258,10,40
"Nu: 0.0004, Gamma: 0.05",12,1,92,19,25,10,40
"Nu: 0.0004, Gamma: 0.0625",12,1,90,21,26.61290323,10,40
"Nu: 0.0004, Gamma: 0.1",12,1,88,23,28.22580645,10,40
"Nu: 0.0004, Gamma: 0.2",12,1,87,24,29.03225806,10,40
"Nu: 0.0004, Gamma: 0.5",12,1,86,25,29.83870968,10,40
"Nu: 0.0004, Gamma: 0.7",12,1,86,25,29.83870968,10,40
"Nu: 0.0004, Gamma: 0.9",12,1,86,25,29.83870968,10,40
"Nu: 0.0004, Gamma: 0.99",12,1,86,25,29.83870968,10,40
"Nu: 0.005, Gamma: 0.0001",12,1,88,23,28.22580645,10,40
"Nu: 0.005, Gamma: 0.0002",12,1,90,21,26.61290323,10,40
"Nu: 0.005, Gamma: 0.0003",12,1,109,2,11.29032258,10,40
"Nu: 0.005, Gamma: 0.0004",12,1,109,2,11.29032258,10,40
"Nu: 0.005, Gamma: 0.005",12,1,109,2,11.29032258,10,40
"Nu: 0.005, Gamma: 0.05",12,1,91,20,25.80645161,10,40
"Nu: 0.005, Gamma: 0.0625",12,1,90,21,26.61290323,10,40
"Nu: 0.005, Gamma: 0.1",12,1,88,23,28.22580645,10,40
"Nu: 0.005, Gamma: 0.2",12,1,87,24,29.03225806,10,40
"Nu: 0.005, Gamma: 0.5",12,1,86,25,29.83870968,10,40
"Nu: 0.005, Gamma: 0.7",12,1,86,25,29.83870968,10,40
"Nu: 0.005, Gamma: 0.9",12,1,87,24,29.03225806,10,40
"Nu: 0.005, Gamma: 0.99",12,1,87,24,29.03225806,10,40
"Nu: 0.05, Gamma: 0.0001",12,1,87,24,29.03225806,10,40
"Nu: 0.05, Gamma: 0.0002",12,1,87,24,29.03225806,10,40
"Nu: 0.05, Gamma: 0.0003",12,1,87,24,29.03225806,10,40
"Nu: 0.05, Gamma: 0.0004",12,1,87,24,29.03225806,10,40
"Nu: 0.05, Gamma: 0.005",12,1,87,24,29.03225806,10,40
"Nu: 0.05, Gamma: 0.05",12,1,87,24,29.03225806,10,40
"Nu: 0.05, Gamma: 0.0625",12,1,86,25,29.83870968,10,40
"Nu: 0.05, Gamma: 0.1",12,1,86,25,29.83870968,10,40
"Nu: 0.05, Gamma: 0.2",12,1,87,24,29.03225806,10,40
"Nu: 0.05, Gamma: 0.5",12,1,85,26,30.64516129,10,40
"Nu: 0.05, Gamma: 0.7",12,1,85,26,30.64516129,10,40
"Nu: 0.05, Gamma: 0.9",12,1,85,26,30.64516129,10,40
"Nu: 0.05, Gamma: 0.99",12,1,85,26,30.64516129,10,40
"Nu: 0.0625, Gamma: 0.0001",12,1,87,24,29.03225806,10,40
"Nu: 0.0625, Gamma: 0.0002",12,1,87,24,29.03225806,10,40
"Nu: 0.0625, Gamma: 0.0003",12,1,87,24,29.03225806,10,40
"Nu: 0.0625, Gamma: 0.0004",12,1,87,24,29.03225806,10,40
"Nu: 0.0625, Gamma: 0.005",12,1,87,24,29.03225806,10,40
"Nu: 0.0625, Gamma: 0.05",12,1,86,25,29.83870968,10,40
"Nu: 0.0625, Gamma: 0.0625",12,1,86,25,29.83870968,10,40
"Nu: 0.0625, Gamma: 0.1",12,1,85,26,30.64516129,10,40
"Nu: 0.0625, Gamma: 0.2",12,1,86,25,29.83870968,10,40
"Nu: 0.0625, Gamma: 0.5",12,1,85,26,30.64516129,10,40
"Nu: 0.0625, Gamma: 0.7",12,1,85,26,30.64516129,10,40
"Nu: 0.0625, Gamma: 0.9",12,1,85,26,30.64516129,10,40
"Nu: 0.0625, Gamma: 0.99",12,1,85,26,30.64516129,10,40
"Nu: 0.1, Gamma: 0.0001",12,1,86,25,29.83870968,10,40
"Nu: 0.1, Gamma: 0.0002",12,1,86,25,29.83870968,10,40
"Nu: 0.1, Gamma: 0.0003",12,1,86,25,29.83870968,10,40
"Nu: 0.1, Gamma: 0.0004",12,1,86,25,29.83870968,10,40
"Nu: 0.1, Gamma: 0.005",12,1,86,25,29.83870968,10,40
"Nu: 0.1, Gamma: 0.05",12,1,85,26,30.64516129,10,40
"Nu: 0.1, Gamma: 0.0625",12,1,85,26,30.64516129,10,40
"Nu: 0.1, Gamma: 0.1",12,1,83,28,32.25806452,10,40
"Nu: 0.1, Gamma: 0.2",12,1,83,28,32.25806452,10,40
"Nu: 0.1, Gamma: 0.5",12,1,85,26,30.64516129,10,40
"Nu: 0.1, Gamma: 0.7",12,1,85,26,30.64516129,10,40
"Nu: 0.1, Gamma: 0.9",12,1,85,26,30.64516129,10,40
"Nu: 0.1, Gamma: 0.99",12,1,85,26,30.64516129,10,40
"Nu: 0.2, Gamma: 0.0001",11,2,80,31,33.87096774,10,40
"Nu: 0.2, Gamma: 0.0002",11,2,80,31,33.87096774,10,40
"Nu: 0.2, Gamma: 0.0003",11,2,80,31,33.87096774,10,40
"Nu: 0.2, Gamma: 0.0004",11,2,80,31,33.87096774,10,40
"Nu: 0.2, Gamma: 0.005",11,2,80,31,33.87096774,10,40
"Nu: 0.2, Gamma: 0.05",11,2,79,32,34.67741935,10,40
"Nu: 0.2, Gamma: 0.0625",12,1,78,33,36.29032258,10,40
"Nu: 0.2, Gamma: 0.1",12,1,79,32,35.48387097,10,40
"Nu: 0.2, Gamma: 0.2",11,2,80,31,33.87096774,10,40
"Nu: 0.2, Gamma: 0.5",11,2,81,30,33.06451613,10,40
"Nu: 0.2, Gamma: 0.7",11,2,80,31,33.87096774,10,40
"Nu: 0.2, Gamma: 0.9",12,1,81,30,33.87096774,10,40
"Nu: 0.2, Gamma: 0.99",12,1,81,30,33.87096774,10,40
"Nu: 0.5, Gamma: 0.0001",5,8,46,65,56.4516129,10,40
"Nu: 0.5, Gamma: 0.0002",5,8,46,65,56.4516129,10,40
"Nu: 0.5, Gamma: 0.0003",5,8,46,65,56.4516129,10,40
"Nu: 0.5, Gamma: 0.0004",5,8,46,65,56.4516129,10,40
"Nu: 0.5, Gamma: 0.005",5,8,46,65,56.4516129,10,40
"Nu: 0.5, Gamma: 0.05",5,8,46,65,56.4516129,10,40
"Nu: 0.5, Gamma: 0.0625",5,8,46,65,56.4516129,10,40
"Nu: 0.5, Gamma: 0.1",5,8,46,65,56.4516129,10,40
"Nu: 0.5, Gamma: 0.2",8,5,56,55,50.80645161,10,40
"Nu: 0.5, Gamma: 0.5",8,5,67,44,41.93548387,10,40
"Nu: 0.5, Gamma: 0.7",9,4,69,42,41.12903226,10,40
"Nu: 0.5, Gamma: 0.9",9,4,69,42,41.12903226,10,40
"Nu: 0.5, Gamma: 0.99",9,4,69,42,41.12903226,10,40
"Nu: 0.7, Gamma: 0.0001",2,11,25,86,70.96774194,10,40
"Nu: 0.7, Gamma: 0.0002",2,11,25,86,70.96774194,10,40
"Nu: 0.7, Gamma: 0.0003",2,11,25,86,70.96774194,10,40
"Nu: 0.7, Gamma: 0.0004",2,11,25,86,70.96774194,10,40
"Nu: 0.7, Gamma: 0.005",2,11,25,86,70.96774194,10,40
"Nu: 0.7, Gamma: 0.05",2,11,28,83,68.5483871,10,40
"Nu: 0.7, Gamma: 0.0625",2,11,30,81,66.93548387,10,40
"Nu: 0.7, Gamma: 0.1",2,11,32,79,65.32258065,10,40
"Nu: 0.7, Gamma: 0.2",3,10,37,74,62.09677419,10,40
"Nu: 0.7, Gamma: 0.5",7,6,39,72,63.70967742,10,40
"Nu: 0.7, Gamma: 0.7",8,5,47,64,58.06451613,10,40
"Nu: 0.7, Gamma: 0.9",8,5,51,60,54.83870968,10,40
"Nu: 0.7, Gamma: 0.99",8,5,51,60,54.83870968,10,40
"Nu: 0.9, Gamma: 0.0001",1,12,17,94,76.61290323,10,40
"Nu: 0.9, Gamma: 0.0002",1,12,17,94,76.61290323,10,40
"Nu: 0.9, Gamma: 0.0003",1,12,17,94,76.61290323,10,40
"Nu: 0.9, Gamma: 0.0004",1,12,17,94,76.61290323,10,40
"Nu: 0.9, Gamma: 0.005",1,12,17,94,76.61290323,10,40
"Nu: 0.9, Gamma: 0.05",1,12,16,95,77.41935484,10,40
"Nu: 0.9, Gamma: 0.0625",1,12,14,97,79.03225806,10,40
"Nu: 0.9, Gamma: 0.1",0,13,12,99,79.83870968,10,40
"Nu: 0.9, Gamma: 0.2",1,12,11,100,81.4516129,10,40
"Nu: 0.9, Gamma: 0.5",2,11,22,89,73.38709677,10,40
"Nu: 0.9, Gamma: 0.7",2,11,30,81,66.93548387,10,40
"Nu: 0.9, Gamma: 0.9",3,10,31,80,66.93548387,10,40
"Nu: 0.9, Gamma: 0.99",4,9,32,79,66.93548387,10,40
"Nu: 0.99, Gamma: 0.0001",0,13,5,106,85.48387097,10,40
"Nu: 0.99, Gamma: 0.0002",0,13,5,106,85.48387097,10,40
"Nu: 0.99, Gamma: 0.0003",0,13,5,106,85.48387097,10,40
"Nu: 0.99, Gamma: 0.0004",0,13,5,106,85.48387097,10,40
"Nu: 0.99, Gamma: 0.005",0,13,5,106,85.48387097,10,40
"Nu: 0.99, Gamma: 0.05",0,13,5,106,85.48387097,10,40
"Nu: 0.99, Gamma: 0.0625",0,13,4,107,86.29032258,10,40
"Nu: 0.99, Gamma: 0.1",0,13,5,106,85.48387097,10,40
"Nu: 0.99, Gamma: 0.2",0,13,7,104,83.87096774,10,40
"Nu: 0.99, Gamma: 0.5",2,11,9,102,83.87096774,10,40
"Nu: 0.99, Gamma: 0.7",2,11,11,100,82.25806452,10,40
"Nu: 0.99, Gamma: 0.9",2,11,12,99,81.4516129,10,40
"Nu: 0.99, Gamma: 0.99",2,11,13,98,80.64516129,10,40
