Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.302866,128
"Nu: 0.05, Gamma: 0.2",23,0,649,619,49.72889233,0,40,,,
"Nu: 0.05, Gamma: 0.5",23,0,301,967,76.68474051,0,40,,,
"Nu: 0.05, Gamma: 0.7",22,1,63,1205,95.04260263,0,40,,,
"Nu: 0.05, Gamma: 0.9",22,1,64,1204,94.9651433,0,40,,,
"Nu: 0.05, Gamma: 0.99",22,1,229,1039,82.18435321,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",23,0,782,486,39.42680093,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",16,7,391,877,69.17118513,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",23,0,648,620,49.80635167,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",23,0,648,620,49.80635167,0,40,,,
"Nu: 0.0625, Gamma: 0.005",23,0,627,641,51.43299768,0,40,,,
"Nu: 0.0625, Gamma: 0.05",23,0,630,638,51.20061967,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",23,0,631,637,51.12316034,0,40,,,
"Nu: 0.0625, Gamma: 0.1",23,0,639,629,50.50348567,0,40,,,
"Nu: 0.0625, Gamma: 0.2",23,0,637,631,50.65840434,0,40,,,
"Nu: 0.0625, Gamma: 0.5",23,0,272,996,78.93106119,0,40,,,
"Nu: 0.0625, Gamma: 0.7",22,1,54,1214,95.73973664,0,40,,,
"Nu: 0.0625, Gamma: 0.9",22,1,52,1216,95.89465531,0,40,,,
"Nu: 0.0625, Gamma: 0.99",22,1,50,1218,96.04957397,0,40,,,
"Nu: 0.1, Gamma: 0.0001",20,3,489,779,61.89000775,0,40,,,
"Nu: 0.1, Gamma: 0.0002",21,2,516,752,59.87606507,0,40,,,
"Nu: 0.1, Gamma: 0.0003",23,0,609,659,52.82726569,0,40,,,
"Nu: 0.1, Gamma: 0.0004",21,2,455,813,64.60108443,0,40,,,
"Nu: 0.1, Gamma: 0.005",23,0,599,669,53.60185902,0,40,,,
"Nu: 0.1, Gamma: 0.05",22,1,599,669,53.52439969,0,40,,,
"Nu: 0.1, Gamma: 0.0625",22,1,599,669,53.52439969,0,40,,,
"Nu: 0.1, Gamma: 0.1",22,1,598,670,53.60185902,0,40,,,
"Nu: 0.1, Gamma: 0.2",22,1,591,677,54.14407436,0,40,,,
"Nu: 0.1, Gamma: 0.5",22,1,444,824,65.53059644,0,40,,,
"Nu: 0.1, Gamma: 0.7",22,1,54,1214,95.73973664,0,40,,,
